"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k.","Density","Centralization","Heterogeneity"
"1",1,0.869742358145063,9.8661580320702,0.840594677626614,12071.0778835892,12178.8541745601,14236.8946276763,0.615149461529287,0.110382586659058,0.0876573066089187
"2",2,0.779160867863187,4.24944894396801,0.838236010943631,7687.99985591468,7769.78391349245,10598.4742183458,0.391785142736314,0.14833465915669,0.170582937480514
"3",3,0.583005656021016,2.27244866746923,0.84149459523873,5053.51695777773,5075.63594644739,8066.06027870902,0.257530293929457,0.153536685453516,0.249873046744642
"4",4,0.267861560892874,1.12355286622746,0.877235135263513,3418.59574528792,3389.57837212102,6257.59838323194,0.174213715807365,0.1446920454206,0.325941621633295
"5",5,0.0200513100976959,0.2537968189614,0.83765226059868,2373.74057374908,2306.60194218126,4936.44511510244,0.120967261568011,0.1306102914246,0.398951608584837
"6",6,0.0587783156288808,-0.404642823436065,0.7922367636772,1687.68916271397,1597.89982353122,3956.59501803593,0.0860056649194299,0.115636605857843,0.468978235476101
"7",7,0.237928258474283,-0.821095235278822,0.803767516922989,1225.88170601192,1124.08758440266,3226.30682092026,0.06247167640075,0.101953269686442,0.536081458821184
"8",8,0.389127279327999,-1.11050566322726,0.820884560700913,907.831349407601,802.710623633962,2661.86987727901,0.0462636370283647,0.0893959797543718,0.600338039449757
"9",9,0.483264489027791,-1.32422553536244,0.831917712553461,684.141187636073,580.272023478499,2218.64448081922,0.0348642505038003,0.0782071905210019,0.661852709695758
"10",10,0.543947166008887,-1.43705499881963,0.850041516220958,523.759260004665,425.323391341845,1865.69962494553,0.0266910900476311,0.0683930665088686,0.720758215229319
"11",11,0.598482779110337,-1.50517614687377,0.871517719071425,406.723591644925,314.859352079824,1581.15733806236,0.0207268812946504,0.0598559574087533,0.777209935696173
"12",12,0.637095885606815,-1.54926160147033,0.887587114755131,319.930223531665,235.946413716868,1349.24595588536,0.016303838532929,0.0524599014834711,0.831378518370949
"13",13,0.674394139553622,-1.57784262117664,0.905967754589247,254.607399527332,178.634452596276,1158.39510337977,0.0129749477412899,0.0460622648773232,0.883442494340959
"14",14,0.705808070522178,-1.58189016986053,0.9224148149738,204.775237875625,136.177023072604,999.979192185481,0.0104354705129504,0.0405282070322299,0.933581877231651
"15",15,0.722539280860875,-1.60862776264889,0.930189685845448,166.287144568825,105.471491545769,872.472836455858,0.00847409389842658,0.0359913199234973,0.981973129712909
"16",16,0.73174703706833,-1.65836452935055,0.935638219770192,136.221751635606,82.5377885240901,773.250684209292,0.00694194321131358,0.032466690243352,1.02878552437173
"17",17,0.739482666996751,-1.70899854191872,0.939423614899961,112.49019237224,64.9789397951223,688.529017436383,0.0057325685355063,0.0293582805194467,1.07417874215646
"18",18,0.750655281703208,-1.74585900093782,0.946864288464298,93.5781079995612,51.5679687828457,615.704579810983,0.00476879722772059,0.0266105942153497,1.11830147932023
"19",19,0.759119797448139,-1.77075096908067,0.952960715229083,78.3734253176051,41.0529222469448,552.726488380162,0.00399395736215691,0.024175784139374,1.16129082557623
"20",20,0.76339228844871,-1.80187683961114,0.955024226051846,66.0496391376482,32.9498822167999,497.961940482467,0.00336592973233696,0.0220127566944277,1.20327220033053
"21",21,0.768899516120015,-1.82392522162565,0.958155824546325,55.9855750975242,26.4987211461636,450.09842851168,0.00285305891543211,0.0200862775274982,1.24435967076388
"22",22,0.769127860335411,-1.85206583348595,0.957509794230441,47.7094840205019,21.4502839560041,408.071576096251,0.00243130428683188,0.0183661429185029,1.28465651414935
"23",23,0.77138906710679,-1.88063244871636,0.958262148037183,40.8595922216921,17.4476240411585,371.011216224237,0.00208222963979474,0.0168264421939586,1.32425592165898
"24",24,0.772611154237281,-1.90975273126759,0.958446772947438,35.1559289570639,14.3344459763148,338.200633058583,0.00179156749513652,0.0154449162900685,1.36324176991135
"25",25,0.773028910865201,-1.93367400511223,0.958989706512057,30.3799790708944,11.7495098016975,309.045422861904,0.00154818218778446,0.0142024077439252,1.40168940936123
"26",26,0.792517557078227,-1.92025511914116,0.970420992623995,26.3598301057112,9.70583426644779,283.049466725975,0.00134331295447746,0.0130823931138555,1.4396664359274
"27",27,0.800372208642222,-1.92026204800455,0.974050381171787,22.9592207866439,8.05241134867711,259.796219167367,0.00117001583787616,0.0120705874904713,1.47723342492789
"28",28,0.809047916763009,-1.92276481633183,0.977972757397692,20.0693892378742,6.69375444179205,238.934010959973,0.00102274826672141,0.0111546109059307,1.51444461541017
"29",29,0.817425681571402,-1.91937762178518,0.98173828772791,17.6029506560933,5.58164936378771,220.164412347907,0.000897057058354651,0.0103237072850345,1.55134853920022
"30",30,0.816902131141177,-1.93943977484052,0.980669207931554,15.4892601654436,4.67696334115163,203.232950344073,0.00078934210698892,0.00956850768072193,1.58798859317145
