"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k.","Density","Centralization","Heterogeneity"
"1",1,0.442761835249523,12.5234186674549,0.962440414208988,9456.48467867963,9501.60934464267,10589.4059869724,0.525360259926646,0.0629470664128824,0.0509797572249786
"2",2,0.272569051973185,4.86373724678935,0.967507533299729,5160.33828419368,5175.79956491855,6490.03979602725,0.286685460232982,0.0738805147030273,0.10074296534181
"3",3,0.131074070275821,2.07516298867809,0.965416743019036,2914.87397965566,2900.56880180217,4116.20288628552,0.161937443314203,0.0667479108353059,0.151936351875048
"4",4,0.000264105806819098,0.0639074280619061,0.955005029181083,1699.73662364584,1672.32960049422,2737.01278878577,0.0944298124247687,0.0576328569139146,0.205759587006323
"5",5,0.122695530724061,-1.13048953724527,0.954008428114967,1020.93555036941,992.567041096786,1885.90997707826,0.0567186416871896,0.0480594744621182,0.262563744811017
"6",6,0.354399231467054,-1.72529868907239,0.970828250955248,630.427613051578,604.602821989243,1335.99408815926,0.0350237562806432,0.0392024930965715,0.322264180903292
"7",7,0.52974222560688,-2.00832624858813,0.980694291714376,399.521182603317,377.369967131449,969.422102615022,0.0221956212557398,0.0316646803252363,0.384596564025451
"8",8,0.61180916761245,-1.99297358547981,0.990049404833102,259.425391543208,240.14654439107,718.287074439751,0.0144125217524004,0.0254951483533674,0.44926072169071
"9",9,0.674477481667146,-1.98688439982379,0.992458749539616,172.341802174449,155.672125390947,542.264448666768,0.00957454456524719,0.0205535417384553,0.515991999494242
"10",10,0.724186041928046,-1.98442104151492,0.994318270830795,116.961085428765,102.401798222262,418.610025405098,0.00649783807937584,0.0167601365770752,0.584588981244279
"11",11,0.768641375594908,-1.96547219813879,0.996641930619461,80.9766269987645,68.3215741336889,327.759210253147,0.00449870149993136,0.0137116669480469,0.654916878661077
"12",12,0.806124296916264,-1.9639034781082,0.996700705357208,57.1174871605427,46.4032380243613,259.949063099787,0.00317319373114126,0.0112696730018407,0.726898963691285
"13",13,0.834789466298732,-1.998895127648,0.997890584707311,40.9943353385267,31.8301672252354,212.492505261398,0.00227746307436259,0.0095287347963208,0.8005035720802
"14",14,0.837831293223619,-2.11452638197307,0.992369047891396,29.9027293069235,22.1227854215838,179.13192545476,0.00166126273927353,0.00829143211615834,0.87573085446342
"15",15,0.830532645356983,-2.21288413727906,0.979387229258939,22.1437402859888,15.5087723751318,152.72339264247,0.00123020779366604,0.0072552312229353,0.952601207981279
"16",16,0.821425516824662,-2.30995710435163,0.969937232774554,16.6302931566681,10.9833480263045,131.483468735457,0.000923905175370448,0.00638144098620843,1.03114593395905
"17",17,0.829356396565449,-2.36837098512923,0.974838001633271,12.6545764032816,7.895485234186,114.158686308082,0.000703032022404535,0.00563974382032433,1.11139992275206
"18",18,0.844566304405719,-2.37457678136078,0.981368942857949,9.74804449372909,5.71560093128169,99.8505206365136,0.000541558027429394,0.00500624933806898,1.19339586788769
"19",19,0.860674235844891,-2.35329299779013,0.986382530247782,7.59564745864555,4.17437787103617,87.9028816228467,0.000421980414369197,0.0044620087603317,1.27715948563418
"20",20,0.873964684102273,-2.32892411086163,0.991782066623413,5.98238799940913,3.06331033452726,77.8284014616898,0.000332354888856063,0.00399188871089911,1.36270532910963
"21",21,0.884906263747129,-2.30684517654612,0.99326007723187,4.75948060672994,2.28298073165039,69.2592431357324,0.000264415589262774,0.0035837183093029,1.4500329465971
"22",22,0.892206843561225,-2.2764184682674,0.993381419454526,3.82259103537364,1.70710443417873,61.9136861151404,0.000212366168631869,0.00322764166691632,1.53912328773416
"23",23,0.896210758927723,-2.25258610514365,0.992845687260998,3.09763719127597,1.28589050333766,55.5730403812397,0.000172090955070887,0.0029156241174588,1.62993538220488
"24",24,0.903126926529766,-2.21304567263733,0.992488404950466,2.5313937123325,0.982229264431966,50.0654357271083,0.000140632984018472,0.00264107354824644,1.72240339484087
"25",25,0.909667350017028,-2.16810912000979,0.992623149030518,2.0851919182659,0.757378378061584,45.2542621613382,0.000115843995459217,0.00239854817071796,1.81643420016515
"26",26,0.912713232366339,-2.13296672326698,0.990475944181116,1.73064156658378,0.584948696783424,41.029805962034,9.61467536990988e-05,0.00218352951177071,1.91190562489962
"27",27,0.911737877848764,-2.10661770212576,0.988681906730557,1.44669040791075,0.456504437801653,37.3031142641973,8.03716893283751e-05,0.00199224489581833,2.00866548716994
"28",28,0.920125312174025,-2.05692393929287,0.987541335043547,1.21757995336636,0.359530733995645,34.0014359649212,6.76433307425758e-05,0.0018215277147002,2.10653152456039
"29",29,0.926597072917473,-2.01812129738145,0.991061426051517,1.03140875039295,0.282944194869458,31.0647927713685,5.73004861329419e-05,0.00166870673605812,2.20529225747226
"30",30,0.933259320580132,-1.97483828367539,0.992016463725934,0.879112123992436,0.223953293052786,28.443370947623,4.88395624440242e-05,0.00153151787162303,2.30470878585001
