"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k.","Density","Centralization","Heterogeneity"
"1",1,0.0337430270525737,6.28829489142483,0.987590294215869,8761.52490117741,8758.33067148714,9378.37398262324,0.50764962635016,0.0357448616389813,0.0237210022786307
"2",2,0.000318233452177088,0.298113673137965,0.972629597384426,4650.06132669621,4630.92046580169,5412.36325089823,0.269428201326625,0.0441734901247853,0.0527399773031164
"3",3,0.0586082641811512,-2.30467554653895,0.933306726795133,2568.35532141711,2537.12596813484,3353.07578957478,0.148812522244458,0.0454725886821895,0.0956091176661998
"4",4,0.202373092127662,-2.86113757201736,0.901762055779262,1471.65609664911,1434.77169964002,2218.57925478512,0.0852689087808745,0.0432823290908427,0.152581386718472
"5",5,0.359542665447965,-2.67163370158676,0.899367984811414,872.782881088497,834.016801416755,1539.7179419373,0.0505697248443419,0.0386472188891792,0.221931039116522
"6",6,0.535301706591719,-2.42527110639604,0.9320966979994,534.730958518181,498.050133855143,1112.50328635485,0.0309827312427245,0.0334804614914021,0.301798043203282
"7",7,0.660228471025597,-2.41667921013245,0.947322250645237,337.875020533194,303.644952593097,845.167390939708,0.0195767437588037,0.0293963242162728,0.390422505546007
"8",8,0.742642744107874,-2.43082342773137,0.957130143112679,219.811505424892,189.412105559848,665.125769526838,0.0127360510704497,0.0258048479522404,0.486134593318123
"9",9,0.787664573725579,-2.38495723314638,0.960547740316245,146.989838984279,120.14620422026,534.827930518345,0.00851670658695631,0.0224742474897065,0.587343055003746
"10",10,0.819611326800221,-2.32014082798202,0.965882686245388,100.858324157905,77.6717500556493,437.640900286188,0.00584381042690221,0.0195157080527846,0.692547818258333
"11",11,0.823182886815725,-2.28619366008595,0.961292885712518,70.884005227118,51.0598792400509,363.310387909544,0.00410707487265299,0.0169453775696171,0.800367493360474
"12",12,0.844929765496008,-2.21018014246214,0.967997166776867,50.9346221492343,34.0170319502924,305.256668729418,0.00295119196646586,0.0147373265847191,0.909569179086733
"13",13,0.855969987189348,-2.15161294741039,0.970770328162584,37.3534022069549,22.9433263291813,259.107326340183,0.00216428542829566,0.0128500853360507,1.01909102622274
"14",14,0.858842571210483,-2.11312609410934,0.971108926182095,27.9091634421339,15.7056438204835,221.8662092591,0.00161707882508453,0.0112393257527155,1.12805260183414
"15",15,0.857124383254916,-2.07893563974173,0.971044935953793,21.2103191715547,10.8905324407655,191.786380233684,0.00122894253268177,0.00988445615789356,1.23575234414354
"16",16,0.86330703567089,-2.04491588886268,0.973344554495917,16.3705026106737,7.64261373998556,166.845840548986,0.000948519764220041,0.00871966952123323,1.34165433888195
"17",17,0.862895454252408,-2.01231615295243,0.974496366199781,12.8136953750085,5.40625776679314,145.954727949907,0.00074243556260551,0.00771518987546517,1.4453680299146
"18",18,0.868535815593244,-1.9744879669741,0.976435559429863,10.1583326450197,3.88711901731942,128.308984932476,0.000588581762849508,0.00684653482610624,1.54662457552608
"19",19,0.871327448871617,-1.93951687384385,0.977737031540674,8.1470220187182,2.79944266697928,113.294232364989,0.000472044847251764,0.00609301788493035,1.64525288531332
"20",20,0.874433609254338,-1.90479915117527,0.978683809868655,6.60311771725285,2.04228762048813,100.434159334878,0.000382589820803804,0.00543727420684831,1.74115740589142
"21",21,0.878442435953408,-1.87720599638513,0.980453370534229,5.40340088980421,1.50696044512811,89.3546974577237,0.000313077286621717,0.0048647676887185,1.83429879805642
"22",22,0.883467419640085,-1.85045215297222,0.982660589487442,4.46059271930362,1.12496978805796,79.7586657754881,0.000258450241572723,0.00436333502639993,1.92467792623701
"23",23,0.884235145646262,-1.82842167006606,0.98198204954935,3.7119742296922,0.854946539579502,71.4075092024649,0.00021507469897979,0.00392278695707367,2.0123231006305
"24",24,0.888643064147276,-1.80400815712439,0.984285308035439,3.11186177021785,0.659259969199402,64.1079358727981,0.000180303712278686,0.00353456995381657,2.09728024220705
"25",25,0.890095638845592,-1.7832134941232,0.984251927727413,2.62655584405684,0.509538565036117,57.7019975609057,0.000152184706185575,0.00319148411352124,2.17960552462492
"26",26,0.890745843024104,-1.76522379246895,0.983282627155591,2.23090090096707,0.394537203105982,52.0596290406195,0.000129260148384441,0.00288745018282839,2.25936002948115
"27",27,0.89139186600029,-1.74912312123219,0.982777121937382,1.90590984432309,0.308652098541831,47.0729694598453,0.000110429911601083,0.00261731814986619,2.33660598826454
"28",28,0.88955090178048,-1.74130914041516,0.984299439051233,1.63710214118639,0.239600764169687,42.7100465806595,9.48549823968009e-05,0.00238007441407443,2.41140424563164
"29",29,0.892846165974499,-1.72504618660544,0.986187811731,1.41332665049523,0.188087153527892,38.858215038203,8.18892549102053e-05,0.0021698376390032,2.4838126456654
"30",30,0.896430322043391,-1.71051842923313,0.987043907801993,1.22591792919887,0.148408219466495,35.4265969733591,7.10306465727373e-05,0.00198184382074024,2.5538851056022
