"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k.","Density","Centralization","Heterogeneity"
"1",1,0.395330578646476,12.5521410132455,0.956341606370038,10194.2226244881,10229.6907278389,11328.2683894416,0.529322530997877,0.0588900534267103,0.0446838155604522
"2",2,0.19826738554183,4.15356361493623,0.953463639184973,5573.21214565741,5589.00098140979,6910.09966901236,0.28938221847746,0.0694234572439047,0.0880426668864438
"3",3,0.0720490454669863,1.63544373297416,0.960650313594909,3139.42577820505,3136.94596031844,4348.79373859029,0.163010840552731,0.0628014723925744,0.131753781940195
"4",4,0.0048115264762774,0.313326335560286,0.971597493906018,1818.548455706,1808.70722839445,2826.1976027409,0.0944259024718835,0.0523263821779721,0.176623084705501
"5",5,0.038907403319691,-0.748296509196773,0.978572935667519,1081.39580644849,1068.15754976568,1913.95432612263,0.0561501535099687,0.0432340715160524,0.22289281107419
"6",6,0.200457672984521,-1.63767988565908,0.979147036293063,659.121037381145,647.140750934488,1347.9144772491,0.0342240530339657,0.0357684704862482,0.270472628276299
"7",7,0.36950439486647,-2.24203399970884,0.980902811955349,411.204323848138,399.325029073245,972.019158520895,0.0213512811593612,0.0291226479539179,0.319104080223135
"8",8,0.494581837892141,-2.66978638665846,0.983275225882527,262.237098806448,251.854557747075,715.27229775643,0.0136163403503011,0.0235257411074943,0.368473178584045
"9",9,0.573208223306752,-2.86934347508347,0.989098926356383,170.741329743098,161.946755201889,535.606515093769,0.00886553454193354,0.0189471456292859,0.418286052152887
"10",10,0.63476171726354,-2.90123339972953,0.995087011077589,113.366184543708,106.088949093646,407.208760291991,0.00588640036054352,0.0152590005797246,0.468319869818824
"11",11,0.683090577133521,-2.94665774426146,0.99776942749709,76.6739771915328,70.523195593294,313.74709822831,0.00398120240882355,0.0123110100097822,0.518458013368788
"12",12,0.705654788003748,-3.1514563478399,0.996523194626487,52.7689676701257,47.5983140911503,244.605528507858,0.00273996405161876,0.0099619130603555,0.568715593240187
"13",13,0.734959081909283,-3.20136794313016,0.995190772938937,36.9190192105569,32.5281495766215,192.716476862641,0.00191697487982538,0.00809043240442211,0.619258964503546
"14",14,0.759709640601277,-3.20785008052345,0.993851475770622,26.2341286670694,22.5049675640277,153.273497820435,0.00136217501776153,0.00659704878580848,0.670420766060274
"15",15,0.781987797882734,-3.19877852358381,0.995131050145576,18.917413945399,15.7070438022611,122.945068060602,0.000982263562251365,0.005402069561938,0.722710070752609
"16",16,0.796848179610263,-3.17519491083585,0.993621415633442,13.8324438198141,11.1195975836299,99.3821810567818,0.000718232713007638,0.00444252670590674,0.776815543883796
"17",17,0.797913785638206,-3.19389811404188,0.98156225143499,10.2487409734741,7.92700798635341,80.9028595128051,0.000532153329532897,0.0036690096151183,0.833598287020433
"18",18,0.790634149204598,-3.14951104165171,0.966311192436345,7.68947691268039,5.69894542939916,66.2858117238964,0.000399266675979043,0.00304285893416622,0.894070665854301
"19",19,0.820597023546635,-2.93432463679838,0.985816700271103,5.8388057967622,4.14399134269475,54.632920956777,0.000303172843697087,0.0025338378198523,0.959358282724113
"20",20,0.8660482861229,-2.64187742891253,0.990024795506656,4.48458642236015,3.04276100833563,45.276027359589,0.000232856660385282,0.00211826560301519,1.03064454039591
"21",21,0.921154306558124,-2.45174207881033,0.992688576143788,3.48243934663604,2.25241894621271,38.9292846221554,0.000180821400209567,0.00184072519522119,1.10910064809313
"22",22,0.938439152617742,-2.45473026565242,0.991485452370691,2.73286428331027,1.67947161812685,36.2699891518412,0.000141900632603472,0.00174155500273584,1.1958075282195
"23",23,0.95286614733409,-2.42325273350561,0.990114721953516,2.16646992039017,1.26939764260462,33.8966221212081,0.000112491298633894,0.00164772041489926,1.2916786141077
"24",24,0.960396232303263,-2.38400835493471,0.986929299442005,1.73431376467585,0.962193010648795,31.7601933778934,9.00521192520824e-05,0.00155921895681077,1.39739294356696
"25",25,0.969203039286212,-2.32940203468472,0.988030372017192,1.40150420145771,0.736964837956823,29.8234964383554,7.27713900751707e-05,0.00147593041925709,1.51334604521812
"26",26,0.972002167122612,-2.27333423137209,0.986000988287806,1.1429120082276,0.567108656456935,28.0576553399777,5.9344306985181e-05,0.00139766023714047,1.63962265484751
"27",27,0.976916543372916,-2.20651352346749,0.987174858072839,0.940262746733612,0.43713800316093,26.4398046354657,4.8821992145678e-05,0.00132417000317949,1.77599157496557
"28",28,0.982085131328451,-2.14012249016083,0.990275803807568,0.780143767555935,0.342135202293466,24.951503123472,4.05080101540025e-05,0.00125519858885463,1.92192010664719
"29",29,0.967179333234635,-2.11244806485424,0.975355989719206,0.652623836411622,0.267988069009871,23.5776299605393,3.38866938268665e-05,0.00119047650207748,2.07660391404498
"30",30,0.969904842612965,-2.05540820682561,0.976375887632202,0.550287530321139,0.211085721247016,22.3056028202628,2.85730064032992e-05,0.00112973542985031,2.23900779044613
