"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k.","Density","Centralization","Heterogeneity"
"1",1,0.17125458759763,10.7171888051587,0.985211624643875,10198.0605211971,10214.9081392851,11317.018867765,0.522655828269632,0.0573530671803966,0.0377608702288747
"2",2,0.273402322095392,5.04217438721678,0.96539302757637,5929.587722053,5961.7298514087,7196.99880747677,0.303894409699313,0.0649621260259061,0.0849306297422775
"3",3,0.0895478165958332,1.23110372958958,0.928121728999386,3718.85288680226,3685.44824999266,5314.87153838254,0.19059311637978,0.0818051585441104,0.175004050340644
"4",4,0.00728197122147928,-0.190243039575634,0.797619732133954,2472.59597103857,2368.85810080752,4212.88418663816,0.126721810733834,0.0891998055590458,0.283663993417216
"5",5,0.188367523878454,-0.686625493407787,0.721332489309646,1723.41868758705,1578.34496055743,3458.60842459837,0.0883260909997463,0.088938479133547,0.397716241360463
"6",6,0.430025683630147,-0.907970156987238,0.70589049754732,1249.02429984368,1081.05536166193,2908.19987097007,0.0640131354983437,0.0850423148339266,0.510603307028949
"7",7,0.595779204847957,-1.00168220103289,0.734314936623796,935.214867634368,757.0687691992,2488.33282392694,0.047930241268674,0.0796062505450165,0.619082201253918
"8",8,0.697552297543321,-1.03986128518754,0.764160996828548,719.713767259916,538.919816149327,2157.46995929866,0.036885699429065,0.0736932949505634,0.721770963207728
"9",9,0.769608061512018,-1.05789991136957,0.799136080281892,566.853039451697,389.255152671653,1894.40420359014,0.0290515087869873,0.0680446518279937,0.818340684596563
"10",10,0.837772808417133,-1.05384136753203,0.850946909230138,455.330860434076,284.483611681386,1684.80080318171,0.023335939956646,0.0630174236949574,0.909026694827429
"11",11,0.897826289731393,-1.03463650177813,0.907333157843575,371.949504947231,210.068893402164,1509.3591819303,0.0190626027545731,0.0582988042546227,0.994333278321256
"12",12,0.926647305785198,-1.03064764952128,0.933076492746374,308.260473325082,156.267635973564,1360.51555581057,0.0157985072429829,0.0539341402848523,1.0748620832569
"13",13,0.934420469848545,-1.04280149141533,0.940650408138057,258.694272829609,117.214251789731,1244.09277787505,0.0132582140646581,0.050507355195728,1.15121839030371
"14",14,0.93236266707107,-1.05930907443803,0.943304597027053,219.48070770096,88.5290375074705,1151.46227017874,0.0112484987546617,0.0477694288868074,1.22396455958183
"15",15,0.92537600316432,-1.08111823278127,0.9392056695833,188.005662632964,67.4612626890725,1070.2254741754,0.00963538656380505,0.0452188522248944,1.2936007558915
"16",16,0.926115027268191,-1.09921187497794,0.944077472466317,162.416833640751,51.724888886499,1000.81674816771,0.00832394596354813,0.0429728298371312,1.36056057968107
"17",17,0.926563981182497,-1.114791520817,0.948440147407747,141.375661225394,39.9924343716012,939.756355032754,0.00724557509355235,0.0409216140242475,1.42521422950515
"18",18,0.924172410983428,-1.12957318265356,0.950708500818845,123.897455934031,30.992970814029,885.164812699031,0.00634980811470023,0.0390193415051606,1.4878749840964
"19",19,0.912282193083003,-1.14905944467429,0.941362271696631,109.246052532208,24.162963249006,836.07338336591,0.00559891618143748,0.0372540915948393,1.54880671197201
"20",20,0.912247367300467,-1.16303172364906,0.94505152763629,96.8629578960573,19.0047847791725,791.697011039135,0.00496427623493528,0.0356142516398138,1.60823124022052
"21",21,0.911785826136345,-1.17515669272133,0.946776141466137,86.3187868685511,14.9356165193976,751.392728413419,0.0044238820658339,0.0340888743234701,1.66633504874087
"22",22,0.916283151644575,-1.18507464310951,0.952116438651002,77.2793864848815,11.7859799501072,714.628910169932,0.00396060816343181,0.0326678380490382,1.72327510023185
"23",23,0.91882335744036,-1.19263593046967,0.956042056368253,69.4818198116776,9.38820246403073,680.962198562858,0.00356097887513723,0.031341895209573,1.77918379260523
"24",24,0.91991838444448,-1.20089945568373,0.958385893665628,62.7170824006455,7.48742171752887,650.019949182651,0.00321428261585924,0.0301026583135116,1.83417310298418
"25",25,0.919652817355014,-1.20566781190434,0.96127550213311,56.8174900475149,6.01556143516779,621.486710263504,0.00291192548418998,0.0289425534212968,1.88833802417291
"26",26,0.918812986153759,-1.21346064517864,0.96163861209304,51.6473562184744,4.86275743816649,595.09369100207,0.00264695347573157,0.0278547581716351,1.94175940006291
"27",27,0.919435673636214,-1.2186561874477,0.96211461808895,47.0960184959717,3.94658997866575,570.610473484623,0.0024136950848694,0.0268331344048369,1.9945062595847
"28",28,0.918045603055303,-1.22495098474257,0.961803239068913,43.0725641867211,3.20957455619139,547.83842864488,0.00220749098947935,0.0258721610356931,2.0466377369235
"29",29,0.922664357947202,-1.22643286709152,0.96660338172201,39.5017999261519,2.60962699566893,526.605440506869,0.00202448749109019,0.024966870221513,2.0982046526197
"30",30,0.925829284794559,-1.23144035954115,0.969331799747566,36.3211423472013,2.14117872756264,506.761644924635,0.00186147716006567,0.0241127883191171,2.14925081771475
