"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k.","Density","Centralization","Heterogeneity"
"1",1,0.667495143128438,13.9767529686235,0.889900132147668,10381.4377599708,10418.0114832399,11914.8057042155,0.563932737246502,0.0833035223118814,0.0612615424138336
"2",2,0.51135991222621,5.59417436865858,0.899311328956458,6036.18790890632,6052.94792556741,7916.83444882222,0.327893308105075,0.102170181388411,0.120535059965113
"3",3,0.329183955348028,2.83565549310713,0.927999653890138,3610.5025043327,3608.05607780629,5390.5885709989,0.196127030492297,0.096707016687145,0.178697588128968
"4",4,0.122685023402281,1.25708426591637,0.933421934552709,2217.17790868429,2199.67171918502,3750.44213610115,0.120439888569954,0.0832978876714113,0.23612920708357
"5",5,0.00583842416481491,0.220039358714541,0.91369405494941,1395.29982113469,1372.29991073252,2659.03846595865,0.0757944386514577,0.0686553288078167,0.292919703996288
"6",6,0.0360575403667527,-0.478327879422464,0.900274918951415,898.326323588497,872.597530319745,1916.95647930157,0.0487982141120374,0.0553392812354646,0.349007088006599
"7",7,0.161422912640856,-0.963742160070818,0.90179128521924,590.764182703182,565.18929965837,1405.5278441696,0.0320910523495671,0.0442637940271498,0.40426615957034
"8",8,0.302398394716543,-1.33569944766591,0.910424678509478,396.244989688899,372.381722875051,1052.90997524546,0.0215245254869302,0.0356747423089572,0.458561557620539
"9",9,0.412487787372275,-1.5398982817485,0.927319157853652,270.693910089512,249.580142868608,798.888940070936,0.014704433162557,0.0286953347565632,0.51177648277539
"10",10,0.493283790778752,-1.73800301227381,0.933375374510024,188.101302384401,170.17969005361,613.105093473862,0.0102178989833451,0.0230892480350477,0.563825527782355
"11",11,0.553268844864205,-1.86955477822589,0.941084577094239,132.792895988327,117.239135584626,475.378838344783,0.00721347688567154,0.0186117205592732,0.614657751158169
"12",12,0.600655989778631,-1.92825102372033,0.950630926518973,95.1340393848521,82.2043569636097,372.0305435082,0.0051678004989327,0.0150430000809001,0.664254290122181
"13",13,0.63738763821837,-1.95435832140427,0.959707713853705,69.090784133921,58.0866790619587,293.621974623038,0.00375309816578418,0.0121981414224997,0.712623383568326
"14",14,0.667786210141734,-1.97109046699389,0.966948098045695,50.816911636138,41.5073501680243,233.792128140553,0.00276043846141224,0.00994052346523116,0.759794612622897
"15",15,0.690237787455281,-2.01188997092338,0.970494901860758,37.819506169958,29.8371887438007,188.555019341529,0.00205440307295117,0.0081890320140133,0.805813407086178
"16",16,0.709276472083432,-2.04998067278236,0.974005811567445,28.4571503856153,21.7114444917556,153.186981473785,0.00154582814849342,0.00677621721910273,0.850736350539134
"17",17,0.723672746949754,-2.08224558466903,0.976975909600418,21.6328982664645,15.9230514479328,125.291100111512,0.00117512620275216,0.00563145549156654,0.894627487213843
"18",18,0.741871928102092,-2.10055412043237,0.981005639106371,16.6033149758148,11.7557208982747,103.109733109962,0.000901912921713011,0.00469964783091178,0.937555638328425
"19",19,0.758873662320295,-2.10546702790746,0.984667392347249,12.8578395446668,8.7406790055825,85.3396637154423,0.000698453992322603,0.00393773150122202,0.979592631854261
"20",20,0.772081225516824,-2.11509393793966,0.986812072793995,10.0414349461666,6.54014433051142,71.0045639783855,0.000545463357388593,0.00331195353248327,1.02081230471407
"21",21,0.785387388960217,-2.11855208034404,0.989195016725604,7.90428899901791,4.92872456948553,59.365888737671,0.000429370905481988,0.00279576245096599,1.06129012636378
"22",22,0.799992755181724,-2.10399809237927,0.992566607042192,6.26866462754636,3.74002454876318,49.8598805710265,0.000340521735430841,0.00236818686837661,1.10110330132941
"23",23,0.809163199917371,-2.09816013894967,0.993934944349204,5.00677240544561,2.85896916729419,42.0525361473831,0.000271974165106503,0.00201259105358268,1.14033122512696
"24",24,0.817888548558208,-2.09583345724251,0.994756328109279,4.02582060810424,2.19705214409232,35.6070730512865,0.000218687631490262,0.00171571968581476,1.17905618685825
"25",25,0.824608651746237,-2.09180091529404,0.995517814135994,3.25779774414065,1.70466502637234,30.2601929896936,0.000176967664954134,0.0014669633881777,1.21736422925668
"26",26,0.828261701639876,-2.08686963006946,0.994296600353853,2.65241273005104,1.33088978424152,25.8045998600693,0.000144082390681245,0.00125779252422317,1.25534609148328
"27",27,0.834519394892426,-2.07044180718282,0.994027329122509,2.17216592410405,1.04247524239377,22.0760097239601,0.00011799478103667,0.00108131926345332,1.29309817106951
"28",28,0.840497939978845,-2.06087450378044,0.993109723399974,1.78887372099037,0.826634680716075,19.0905068019551,9.71738671840063e-05,0.000939948551032321,1.33072344922403
"29",29,0.839189936912178,-2.07140548004087,0.988114084036759,1.48119494088954,0.658707398406243,16.5676775599293,8.04603694328612e-05,0.000819605722279597,1.36833232874569
"30",30,0.847830960552166,-2.05366355282411,0.989306225621202,1.23285445808713,0.532370603872725,14.4169899175615,6.69702025143751e-05,0.000716256607902573,1.406043336659
