"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k.","Density","Centralization","Heterogeneity"
"1",1,0.85470184300085,10.3420659225702,0.851849425945391,12580.4396496395,12716.1049913889,14840.1737841251,0.620031525364196,0.111382793942579,0.0928470381323842
"2",2,0.764360195213336,4.42975548193131,0.847756566733802,8094.47122802847,8180.52719828094,11142.1562732214,0.398938946674641,0.150221068138124,0.181214769052979
"3",3,0.591041318843955,2.27961400160268,0.896743783021667,5384.57078739004,5388.31838582864,8597.88923238934,0.265380521803353,0.158385174950115,0.266126556097798
"4",4,0.289905802277755,1.16340663645227,0.918228641192137,3690.85174691749,3622.45321160367,6780.09817003926,0.181904965348324,0.152269637623875,0.347884253875325
"5",5,0.024870522067485,0.262554090168485,0.825832550408334,2598.85997751624,2481.56519943049,5464.4770826668,0.12808575542219,0.141246899212758,0.426515726638221
"6",6,0.092616337078057,-0.449314072351203,0.771480736935722,1874.57642937709,1725.86279108352,4474.18717915399,0.0923891783823109,0.128135387280517,0.501977410583067
"7",7,0.317104175926428,-0.84616029239817,0.791366568277558,1381.60115175792,1219.82152235429,3712.20893310167,0.0680927132458316,0.114876171629578,0.574243654024991
"8",8,0.461707214972532,-1.0652241590967,0.819146443084445,1038.06926702535,874.624390282467,3114.74586752471,0.0511616198632503,0.102359847713435,0.643339299311358
"9",9,0.559341982972017,-1.20475918802828,0.846690449998753,793.495810393115,635.562103938604,2638.62790988827,0.0391077284570288,0.0909469681846849,0.70934397452959
"10",10,0.618363487775167,-1.31489313831836,0.861414140094249,615.953672417082,467.614013557543,2253.87308504268,0.0303574998727,0.0807334091417604,0.772383583908551
"11",11,0.670307015001762,-1.3726026843889,0.885166591507494,484.774228838042,349.594370557298,1939.16371040268,0.0238922734764929,0.0716871783566014,0.832617435376691
"12",12,0.705693254825674,-1.40641785307321,0.901319714907028,386.283485141393,264.667390541885,1679.0184816456,0.0190381214953865,0.0637191931301098,0.890225337862591
"13",13,0.73802238281721,-1.43164406999535,0.917825671864359,311.250691103709,203.700212037378,1461.97885640734,0.0153401030608038,0.0567196450962642,0.945396608132115
"14",14,0.760591117793218,-1.45291695474874,0.928986723950232,253.326831580555,158.231250810627,1279.41790103443,0.0124853046614369,0.0505762551492895,0.998321594326343
"15",15,0.776934389643474,-1.46823652465845,0.936674903869924,208.06851041491,123.912806729211,1124.74046747497,0.0102547319080783,0.0451829629636517,1.04918564350398
"16",16,0.791157504250873,-1.47546137730317,0.943897852282208,172.31552841245,97.4111316962681,992.835019151441,0.00849263323866191,0.0404435866893057,1.09816514587773
"17",17,0.804920267517529,-1.47604607035467,0.952063504825769,143.786521153105,76.8473837976232,879.690744561904,0.00708657078132601,0.0362728814981039,1.14542520613819
"18",18,0.819927710899933,-1.47661556997396,0.959058970687595,120.811617415129,60.9170651158743,782.125404194967,0.00595424432800042,0.0325963024234501,1.19111851550827
"19",19,0.842129721562541,-1.46863005039173,0.970505023064035,102.152754638466,48.7793245188672,697.588744627614,0.00503463551692785,0.0293491712882651,1.23538506497808
"20",20,0.847767840864132,-1.48183861810084,0.972762550460412,86.8810286741833,39.170939490837,627.19733326717,0.00428196297063496,0.0266323098367483,1.27835241726468
"21",21,0.854290153567569,-1.50035469045645,0.976013133440226,74.2917501323897,31.765613679311,568.748050330577,0.00366149581726908,0.0243718601042959,1.32013632648394
"22",22,0.848406854033813,-1.53366574064628,0.973155490208271,63.8448076108017,25.8329528518092,517.117680240986,0.00314661447071472,0.0223419198751988,1.36084155414153
"23",23,0.849928188361737,-1.55149670907369,0.974736825274135,55.1222587274772,21.1176262380235,471.336212508776,0.00271672048927931,0.0205152775906542,1.40056277674792
"24",24,0.856109536604058,-1.56316964213428,0.978347184877368,47.7978073404338,17.2626811243262,430.597234999414,0.00235573224940531,0.0188682682274849,1.43938551536388
"25",25,0.855796916595924,-1.57763739569593,0.978492329995247,41.614585925343,14.1552183244011,394.2260495293,0.0020509899421066,0.0173802968203299,1.47738704274101
"26",26,0.862779530806557,-1.58226858488778,0.981637416951815,36.3688106372494,11.6778819633053,361.654814235644,0.00179245000676439,0.016033418869186,1.51463724157053
"27",27,0.865760768244366,-1.58704439537919,0.982615599194974,31.8976360683032,9.63385913002706,332.402992232951,0.00157208654846246,0.0148119752910436,1.55119939957732
"28",28,0.866535712506444,-1.60048055039683,0.983117700639453,28.0700454222256,7.99097754876459,306.061847511962,0.00138344235693571,0.0137022772446352,1.58713093533074
"29",29,0.870136748609958,-1.6068643700866,0.985312048238939,24.779956749486,6.65400806630182,282.282056449996,0.00122128914487363,0.012692335294237,1.62248405387493
"30",30,0.870118779841415,-1.61934267004669,0.984250242849954,21.940962488344,5.54723332044163,260.763738451634,0.00108136828429492,0.0117716273069307,1.65730633449572
