"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k.","Density","Centralization","Heterogeneity"
"1",1,0.949157141947913,7.96639647843338,0.936997502094899,12117.5227914394,12330.682138041,14180.0017231475,0.650640184248247,0.110754962937115,0.0945247081352243
"2",2,0.83154261010295,3.35493297706172,0.856398673753613,8099.19764195788,8314.64641082757,11031.9388037495,0.434879598472824,0.157487978996896,0.181047933958123
"3",3,0.559459518708463,1.6683912224341,0.781802016250514,5545.25038682603,5695.2967393592,8731.2647876071,0.297747550839027,0.171088732811144,0.262138005328295
"4",4,0.144338167330406,0.645974004724337,0.673338869334348,3880.14890177326,3954.7842184104,7009.63950030815,0.208341328488685,0.168053408897481,0.338765593748106
"5",5,0.00131379962348993,-0.0571812011605255,0.633733398336654,2769.1852628737,2781.58479421981,5696.16306239981,0.148689071245366,0.15717848687831,0.411380219999753
"6",6,0.113103360964688,-0.57099621925565,0.655310904870122,2012.09951988745,1978.64682094829,4677.50162947728,0.108037989684678,0.143131892074963,0.480255083159436
"7",7,0.254672182297955,-0.967183412893951,0.691677548243848,1486.03689390782,1424.66749049604,3876.19865256642,0.0797914998876624,0.128351506007726,0.545609857838947
"8",8,0.360898273804572,-1.19879283868269,0.739144383830538,1113.89672045858,1036.88577199437,3238.00682641516,0.0598097465881971,0.114064552341748,0.607654697942016
"9",9,0.432091330867465,-1.37341874929049,0.772771767421829,846.267173430506,760.477671091159,2724.13358535037,0.0454396033843699,0.100841284560803,0.666603209790418
"10",10,0.4832088787268,-1.491970863574,0.803011306136008,650.857201331401,562.462520665018,2306.32732418226,0.0349472294529318,0.0888986206263934,0.722672958865936
"11",11,0.51869119569888,-1.58900019608414,0.822099013760859,506.17552992043,418.950860234747,1963.67638995303,0.0271786689175489,0.0782676861576637,0.776081521518565
"12",12,0.540777231049246,-1.67122101078389,0.839732395602317,397.671901482534,314.294159399682,1680.47465355305,0.0213526579404282,0.0688864109479817,0.827041661806957
"13",13,0.55331472985382,-1.75323615737541,0.850278013748894,315.336130557601,237.440295704728,1444.76905094084,0.0169317080411083,0.0606504625641949,0.875757147728603
"14",14,0.553995460903188,-1.86321830826848,0.861395173700515,252.177242719771,180.623582565513,1247.35312435172,0.0135404447336647,0.0534408697182545,0.922419715405802
"15",15,0.575723860181495,-1.88905272625871,0.878601401484602,203.243679077819,138.115188036364,1081.05808220159,0.0109129982322712,0.0471385671819306,0.967207211537776
"16",16,0.59515763379723,-1.91468061717161,0.893574233664361,164.981899970242,105.998174790426,940.245887632388,0.00885856421661524,0.0416316176131262,1.0102827409364
"17",17,0.610562084392371,-1.91723392934534,0.907101936517212,134.810101884871,81.8103978699766,820.441769312462,0.00723851492079417,0.0368183687828343,1.05179458429316
"18",18,0.625609247494769,-1.92051202022119,0.918088450486215,110.830804206442,63.5286054252025,718.064388728607,0.00595096672070673,0.0326083976490491,1.09187665828543
"19",19,0.638943177222004,-1.92729227006203,0.927963021636004,91.6344112082183,49.4583757324728,630.225356155811,0.00492023256057873,0.0289222930856967,1.13064932559386
"20",20,0.652041032119615,-1.94423677363373,0.935401754867446,76.1632112391846,38.6885483803862,554.57862646852,0.0040895195038222,0.02569087168245,1.16822040533124
"21",21,0.66355572324381,-1.94987865025023,0.942793281499291,63.6160630808022,30.3543388308727,489.206201971939,0.00341581094720802,0.0228541583308452,1.20468627470415
"22",22,0.675124362204204,-1.94937659434114,0.94933765807375,53.3808219965221,23.9571513949541,432.530559132416,0.0028662382944868,0.0203603122623537,1.24013298644914
"23",23,0.68604060817884,-1.95152455878869,0.955346335155945,44.9859068779613,19.0093215865803,383.246952115434,0.00241548039507954,0.0181645925940776,1.27463735286371
"24",24,0.695406520228605,-1.96550693730163,0.959464965738861,38.0652269908531,15.1608278209177,340.270645950457,0.00204388031523051,0.0162284081847791,1.3082679667197
"25",25,0.705080218479906,-1.96642561318895,0.963619282481624,32.3325348251759,12.1832254992191,302.695467061674,0.00173606823588788,0.0145184690515234,1.34108614317613
"26",26,0.711728532892908,-1.97796546706607,0.966392624479052,27.5624985562858,9.76169560511698,269.76100731788,0.00147994515443974,0.0130060416370407,1.37314677625343
"27",27,0.720081968244043,-1.97617301850034,0.969871390748028,23.5766117776821,7.8673940558329,240.826498679586,0.00126592631967795,0.0116663025265356,1.40449910960981
"28",28,0.728603208192783,-1.9821990398883,0.972412891682481,20.232617892119,6.38407958813527,215.349869282442,0.00108637338338268,0.0104777816703465,1.43518742519003
"29",29,0.735345658795055,-1.97726591605042,0.975034932022862,17.4165107319151,5.1760351784839,192.870853227634,0.000935164880364856,0.00942188494705042,1.46525165550772
"30",30,0.741179504609875,-1.97672883867914,0.977121758737284,15.0364393578739,4.18247275539492,172.997293291616,0.000807368951775876,0.00848248593184788,1.49472792640135
