"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k.","Density","Centralization","Heterogeneity"
"1",1,0.0984522736625016,4.95796579906394,0.920343910004542,11153.2918656983,11190.9251414905,12681.3904843046,0.526545740048076,0.0721481875257039,0.0534037849144287
"2",2,0.0076226417737442,0.700499842541191,0.939718517261992,6147.63376258824,6133.64972801986,7941.30328568474,0.290229145623088,0.0846869459443225,0.103953465004303
"3",3,0.0449525302823819,-1.19137233085295,0.936828101560572,3526.28955242844,3477.94709478088,5256.37843110045,0.166475760193959,0.0816850269574925,0.156133680090508
"4",4,0.159048280988279,-1.70363249583909,0.953302217351648,2095.46996990005,2034.94191771298,3612.30212518691,0.0989269176612241,0.0716162487500089,0.211482553775572
"5",5,0.292322029680323,-1.90116967636492,0.965227176700546,1285.40228897971,1229.52240989598,2559.41472359607,0.0606837073449016,0.0601516727543496,0.270059453377821
"6",6,0.413559218101869,-2.00443414819971,0.973632231135333,811.507113443001,764.258851373013,1866.38551017744,0.038311165774856,0.0498054009458002,0.331319026012285
"7",7,0.524178020409401,-2.12372209316118,0.980787241674102,525.926147106731,486.779631702849,1405.63266864938,0.0248289182847102,0.041534774203075,0.394554123116188
"8",8,0.620316016708595,-2.21870452564235,0.987274493875133,349.10377572876,316.384995167196,1078.47140810617,0.0164811526639959,0.0344366208274817,0.459093958613731
"9",9,0.685312579138818,-2.31288186266566,0.988706665672353,236.867614944263,209.441219325725,840.723684805061,0.0111824952763791,0.0285106736151536,0.524379703700831
"10",10,0.729871265764713,-2.41033571619542,0.985914260265481,163.979705296308,140.896238782804,664.494317470262,0.00774146470098707,0.0236314735572606,0.589982798955063
"11",11,0.754678675002769,-2.44749081667399,0.983681518830568,115.636771903034,96.2487762753843,531.601364576471,0.00545919988211849,0.0196394990943894,0.655598185308619
"12",12,0.785264584555602,-2.4372416443064,0.987765156509887,82.9429581816598,66.8444444405372,429.867793113365,0.00391572836283919,0.0163798316045891,0.721027901200633
"13",13,0.799303637861291,-2.45368752666481,0.986829976888852,60.4308693201478,46.9428904609665,350.943876983583,0.00285293500708846,0.0137163836812275,0.786162326211185
"14",14,0.819139134121095,-2.44804855178624,0.989996565820268,44.6692294037509,33.3301650899904,288.98464482719,0.00210882963854928,0.0115351942556346,0.850962358211348
"15",15,0.829558127425385,-2.44153046780793,0.989671611387909,33.4622074954359,23.8921805408362,239.822850372801,0.0015797473088205,0.00974318422839752,0.91544383293586
"16",16,0.826376225931008,-2.46884448088177,0.98528137883058,25.3787719331445,17.31544938154,200.438395330585,0.00119812916311701,0.008265326846887,0.979664514866595
"17",17,0.836827237972121,-2.44547892198338,0.986611807865681,19.4703056855056,12.692330216829,168.610123027816,0.0009191910908085,0.00704153997532961,1.0437135194968
"18",18,0.846071475064637,-2.42382085097157,0.987660581078771,15.0978871096724,9.38593318527631,142.682608089775,0.000712769668098972,0.00602383004775073,1.10770282639779
"19",19,0.853536522614054,-2.39192572300307,0.988163137521182,11.8247206100235,7.01942905614518,121.407078100199,0.000558243820697929,0.00517386010395107,1.17176048293081
"20",20,0.858787905889402,-2.36290390901242,0.988077410719969,9.34799353289077,5.28761180511303,103.831085689515,0.000441317794962269,0.00446095806116344,1.23602511104073
"21",21,0.864754976930176,-2.32417850146731,0.987911294783384,7.45501160821452,3.9916384425708,89.2208244767231,0.000351950316694104,0.00386051994825384,1.30064137637657
"22",22,0.856169614889454,-2.32940954434641,0.980597855084154,5.99453293549429,3.03294081731826,77.0056672576552,0.000283001271621862,0.00335274475947169,1.36575613920518
"23",23,0.864436273163907,-2.27720059723823,0.979349723411806,4.85776539475482,2.3201211463383,66.7380624416398,0.000229334595163574,0.00292163818560139,1.43151506912685
"24",24,0.882602798375184,-2.20432596612039,0.983668848843732,3.96559918210892,1.793445314825,58.0641936379992,0.000187215521768904,0.00255423013289574,1.49805956482974
"25",25,0.899542089816317,-2.14193796731459,0.986816231925346,3.25991881203895,1.3976839866857,50.7022796779766,0.000153900425457414,0.00223996037084282,1.56552387337864
"26",26,0.905185931624504,-2.10850362985618,0.987931051475221,2.69761961771459,1.09276566890546,44.9155066781299,0.000127354339425672,0.00199329022059576,1.63403234970518
"27",27,0.894120993275406,-2.13965810266939,0.982617461251058,2.24643974799194,0.860132405670967,41.0705297600623,0.000106054185062409,0.00183305428890472,1.70369683566048
"28",28,0.911711878929462,-2.11204832151824,0.990684987314139,1.88202540675972,0.67803526226865,37.6518617630591,8.88502222056331e-05,0.00168884967879349,1.77461416913547
"29",29,0.908714980796843,-2.1141970038698,0.987843180664071,1.5858432830006,0.540828528959153,34.6003606207353,7.4867495184619e-05,0.00155875907415316,1.84686385741381
"30",30,0.916867397210174,-2.09578918086349,0.990632240883082,1.34368120822987,0.43141639564503,31.8667008439784,6.34350490147232e-05,0.00144112462227027,1.92050596526431
