"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k.","Density","Centralization","Heterogeneity"
"1",1,0.942962759327905,8.91076834468129,0.935462609254055,12565.8009569195,12774.6169725433,14711.1445638002,0.642193537942428,0.10965211324679,0.100082918809427
"2",2,0.882779047740531,3.81506729319063,0.927732614451942,8368.2078683019,8561.24151431901,11372.213173149,0.427669436720085,0.153539754109593,0.193625344003473
"3",3,0.715792291981993,2.03314170940529,0.952414963253294,5757.11465858527,5867.51519303045,8991.80517795039,0.294225719762113,0.165330462686791,0.28187612610572
"4",4,0.39921430949115,1.01372391702887,0.905114253340206,4077.54901849195,4099.55534259059,7251.91699039832,0.208389074385034,0.162247276019599,0.365226529788685
"5",5,0.0338526373826309,0.200113941534148,0.746482714382298,2963.63070281287,2916.54488142079,5957.51569291098,0.151460658394893,0.153022487833276,0.443854265787184
"6",6,0.07613959644132,-0.277796649250179,0.665468826240432,2203.98112701828,2105.45800656053,4963.26564892502,0.11263766172731,0.141031664068092,0.517923715891217
"7",7,0.28492962365255,-0.569105919902326,0.693828706953771,1672.64449895476,1538.7570055602,4184.23584957557,0.0854829303906965,0.128371650268349,0.587645411613644
"8",8,0.448886001043332,-0.761397536633017,0.74027971315724,1292.38046682612,1137.34280128901,3563.27443496778,0.0660489838414737,0.116069202978712,0.653282003343388
"9",9,0.545402466569034,-0.902883070100357,0.766623204817693,1014.53946507845,850.828959206887,3060.90005171071,0.0518495152592859,0.104592924913982,0.715134462863093
"10",10,0.600878583993842,-1.00031153560614,0.791643723482472,807.707381352488,641.89644229083,2654.54446567533,0.0412790607324827,0.0943949437605392,0.773523562759458
"11",11,0.624489062257808,-1.10363211347497,0.8006167041517,651.1241664553,489.474746019104,2329.71115584493,0.0332766477464762,0.0857953989583787,0.828773175278822
"12",12,0.643437878599581,-1.18118574767283,0.812906053066876,530.772226482016,375.460222730392,2056.61569657138,0.0271258867727304,0.0779884212685076,0.881197660310335
"13",13,0.65615151069436,-1.24048337538532,0.823950403536924,436.995959719438,289.968932426269,1825.04997616392,0.0223333142392517,0.0709457709784449,0.931093535941972
"14",14,0.677726302667527,-1.27978779539427,0.846851263570585,363.020486979938,226.363240004271,1629.9212472277,0.0185526900894331,0.0647534246680022,0.978734757031974
"15",15,0.693803368492656,-1.31178541252486,0.860281113510941,304.010396339331,177.348598405938,1461.57088690621,0.0155368935625968,0.0591648599294545,1.02437069213601
"16",16,0.693522354981127,-1.35405357910232,0.86465955437494,256.459722894042,139.947767539551,1315.39303848082,0.0131067472220597,0.0541238594456889,1.06822594813103
"17",17,0.710041254842265,-1.37194834790616,0.880903388015901,217.78920125913,111.475463495798,1187.74435146991,0.0111304339581505,0.0495760360410801,1.11050135813049
"18",18,0.71819584634629,-1.40064248534852,0.888865218145262,186.075692071534,89.0368478303502,1075.70760812761,0.00950966893604199,0.0454705807006714,1.15137562914225
"19",19,0.7227100514734,-1.42401938199444,0.895892237091964,159.867409732443,71.6962090071386,976.921486880545,0.00817025654072891,0.041761005513918,1.19100730255184
"20",20,0.724789644889296,-1.44239008807612,0.899222078580013,138.055793817035,58.1556745251678,889.455922990809,0.00705554217902768,0.0384053220162768,1.2295368019198
"21",21,0.732370816945107,-1.45853902612616,0.907645586895676,119.785373700163,47.3897900305309,811.719461865072,0.00612180578014837,0.0353659128315993,1.2670884303772
"22",22,0.742508631794828,-1.46474119745446,0.916211227334809,104.389501235993,38.6179795315007,742.389429853705,0.00533497732079486,0.0326092473950828,1.30377224023223
"23",23,0.73561155970094,-1.48934000129553,0.914398202410944,91.3439462544124,31.5748785562348,680.358628317377,0.00466826525550225,0.0301055292096063,1.33968573709006
"24",24,0.740862507743056,-1.4976580639799,0.919114903841524,80.2329920382522,26.0627901446958,624.694163252389,0.00410042377667768,0.027828324475843,1.37491540578945
"25",25,0.750094101054631,-1.51546122062865,0.927591754139634,70.7243881917064,21.5962871231496,580.428125718195,0.00361447274450383,0.0260518136909682,1.40953806042235
"26",26,0.753031092029199,-1.54907655540192,0.932017091608644,62.5506542168885,17.8983003002136,541.381224641369,0.00319674217902021,0.0244738342920044,1.44362202903137
"27",27,0.7363952021248,-1.60101433060619,0.92515686166318,55.4949873485803,14.9889948356958,505.872076380543,0.00283615205951757,0.0230195290917041,1.47722818766426
"28",28,0.735681932069043,-1.63364480369861,0.927735442986533,49.3805435558751,12.5416769516531,473.490625602276,0.0025236645145334,0.0216769782688907,1.51041085992733
"29",29,0.743532507171597,-1.65221517883735,0.93345768926599,44.0622142510396,10.569699607267,443.884600739093,0.00225186355859557,0.0204355933758946,1.54321859809512
"30",30,0.750106001600645,-1.66742096364663,0.938580947457131,39.4202667196937,8.92062624659913,416.74999829699,0.00201463007715509,0.0192859560238243,1.57569486089516
