"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k.","Density","Centralization","Heterogeneity"
"1",1,0.423765294161149,7.22124463731612,0.916605936342822,10572.3794591939,10656.5376750145,12038.1045382061,0.530236193349412,0.0735178347614129,0.0654081352330202
"2",2,0.0011380081076989,0.18274138215178,0.864356688907204,5823.38919708522,5848.63102434642,7759.70109884416,0.292060243597233,0.0971215274122264,0.130545361420569
"3",3,0.165885066217893,-1.78283386940992,0.873532144587687,3320.90587829093,3288.63368689574,5239.65895170619,0.166553281422886,0.0962408117451084,0.198220968716811
"4",4,0.39301977782858,-2.66032803205209,0.87190305613899,1955.67646563757,1892.88328028747,3664.02844271006,0.0980829763597757,0.085687514093292,0.26943763511303
"5",5,0.49733695332533,-2.76801718339605,0.888176261254729,1186.80644265592,1112.25525720338,2634.18055814137,0.0595218638174393,0.0725973871798097,0.344175250206967
"6",6,0.576768623546981,-2.69438132844101,0.907770622364768,740.796092012979,666.626418454804,1937.36913208474,0.0371531216215948,0.0600177074811623,0.421889539787951
"7",7,0.637938449301808,-2.61365456246147,0.921687232690367,474.79045027253,407.491716442513,1452.48228923389,0.0238121495698144,0.0490390647561165,0.501812013162331
"8",8,0.681732478319635,-2.56519020174348,0.931844876856396,311.934121096705,253.893176706265,1107.06090316465,0.0156444215405339,0.0398819670997517,0.583125131324124
"9",9,0.712611193792994,-2.49018107337593,0.939101048280712,209.732571713613,161.589998204084,856.007840939518,0.0105187106531728,0.032415873299622,0.665061034676466
"10",10,0.733559876576585,-2.43765524278151,0.943339145111407,144.080483740695,104.903114000013,670.332621803501,0.0072260636812626,0.0263957533939554,0.746952490386561
"11",11,0.753390032386843,-2.35648170362145,0.95069525326399,100.969352558278,69.4174813310861,530.884749537063,0.00506391256122566,0.0215636953812473,0.828253232308556
"12",12,0.769366113034174,-2.29409905002105,0.955583862459529,72.069336359808,46.8713903437923,424.714524573158,0.00361449101558795,0.017687976447772,0.90853883005772
"13",13,0.788555126816445,-2.22485668328579,0.962047427913277,52.3178754251757,32.0384731931386,342.884475517214,0.00262389665605977,0.01457423878368,0.987495923234652
"14",14,0.799500118494272,-2.18231549302679,0.966236992336141,38.5734000507246,22.2046126219714,279.11357238349,0.0019345704423855,0.0120650133481784,1.06490550088797
"15",15,0.812006499192864,-2.13281983333724,0.970695128763714,28.8473510297876,15.5443437330235,228.959127218496,0.00144678023119453,0.0100372059578657,1.14062421754823
"16",16,0.824369938284322,-2.10777142121126,0.976279809371036,21.857024122872,11.0082237443902,192.479835450061,0.0010961945996726,0.00855809853382173,1.21456633134052
"17",17,0.824770810767408,-2.11615267663696,0.976302853550532,16.7600622149994,7.8781753897004,162.884729916101,0.000840566839610783,0.00732932070853006,1.28668772414424
"18",18,0.83124442113239,-2.11048299003397,0.979988933691331,12.993817004752,5.70592467553623,138.657681097493,0.000651678469569786,0.00630304777351353,1.35697263581908
"19",19,0.839442649495397,-2.09332015601911,0.983660232495122,10.1763941619896,4.14364569428375,118.663579885294,0.000510376355985233,0.00544149998382492,1.42542319779242
"20",20,0.83946357113912,-2.09598727488727,0.984925051154921,8.04463558877343,3.036633622181,102.041601413835,0.000403462339574373,0.00471469957125812,1.49205153718204
"21",21,0.840767546733276,-2.08784094878998,0.987022217857311,6.41460394229872,2.25051943148264,88.1311307940254,0.000321711416936592,0.00409873734466668,1.55687407872812
"22",22,0.846594586864423,-2.07806886193089,0.989010988568285,5.15600405439674,1.68515807822513,76.4196041040674,0.000258588898861364,0.00357443946888455,1.619907638565
"23",23,0.852179162855682,-2.0606783143448,0.991315013690376,4.1753743058986,1.26818129417971,66.5052752523536,0.000209407407888992,0.00312634301213222,1.6811669335041
"24",24,0.857311257729787,-2.05019002192243,0.992736759213186,3.40488124429001,0.967419310477742,58.0702929043408,0.000170764895144692,0.00274190757812283,1.7406631883546
"25",25,0.860543629715753,-2.04345728472554,0.993178977942214,2.79474678104235,0.744193405403699,50.8609948175033,0.000140164841819668,0.00241090674598208,1.79840359069379
"26",26,0.859712881936847,-2.04331221423203,0.990405608109957,2.30806347545405,0.578960806390209,44.6733189045176,0.000115756230275041,0.00212495637337255,1.85439140562541
"27",27,0.86082386783713,-2.04483240578699,0.98909223758802,1.91720083018799,0.450975347021998,39.4604583714874,9.61533091021613e-05,0.0018830946156605,1.90862661689608
"28",28,0.838217305847688,-2.09461230019823,0.972411267685375,1.60128512800267,0.352004984249988,35.050006844954,8.03091994584818e-05,0.00167772089826325,1.96110700348385
"29",29,0.855083274041062,-2.07620099993033,0.990157502268179,1.3444124733146,0.277825632721668,31.2059904854042,6.74262738008225e-05,0.00149779695349647,2.01182959259538
"30",30,0.860764473783419,-2.06555887923342,0.99129906630371,1.13436840353286,0.21836690346686,27.8448105300549,5.68919405954591e-05,0.00133974228781385,2.06079245192129
