"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k.","Density","Centralization","Heterogeneity"
"1",1,0.0609860500565226,4.34904791061405,0.886378159739598,10327.6194138571,10367.235913879,11626.2443355632,0.520125877007307,0.0654087294811199,0.0486906088948292
"2",2,0.0180072450049663,-1.20593616778293,0.902391930667168,5591.95544679978,5595.68542913716,7156.24580769168,0.2816254757655,0.0787896823288101,0.0972712768419692
"3",3,0.1011541160929,-1.96902161178067,0.932081919873295,3139.51021610837,3115.19179221451,4585.39829796826,0.158113931109406,0.0728260337727837,0.147748969141978
"4",4,0.288479515558623,-2.73981679413507,0.949608979610483,1821.62739340338,1785.32218982645,3085.57348407193,0.0917419114324828,0.0636620370835351,0.200887528069398
"5",5,0.44315055809953,-3.08248433588014,0.959498824191674,1089.25423459302,1050.98274167096,2170.42674493716,0.0548576870766023,0.0544561551757488,0.256733425309264
"6",6,0.526174732836687,-3.11611961227126,0.963980131516359,669.574927460546,635.247524397632,1570.53106290567,0.033721541471623,0.0453790737823381,0.314975356712796
"7",7,0.590462016957406,-3.15512386576087,0.966267464292463,422.199513996888,391.668701182477,1163.33405273075,0.0212630698024218,0.0373292301286417,0.375162130151913
"8",8,0.652626604465567,-3.10585790375101,0.977424591685153,272.539738106111,246.958846054835,878.800055645844,0.0137258127571571,0.0305359279975899,0.43682283528393
"9",9,0.702331227470208,-3.09838753135929,0.985042065372293,179.788137330189,158.311416035285,675.055295377485,0.00905459998641159,0.0249454596320533,0.499526876587756
"10",10,0.747422810917545,-3.05608039069554,0.990240041222691,121.005917134892,103.793155305012,526.083058200477,0.00609417390888859,0.0204027973713414,0.562909473939995
"11",11,0.780604328652398,-3.0279155563656,0.991750972701864,82.9705530066509,68.8824823796097,415.177945613702,0.00417861366874753,0.0167325169196006,0.626678455998489
"12",12,0.805145309536452,-2.98491183812003,0.991158996704085,57.8798137487852,46.4187985895083,331.304255608901,0.00291497853287597,0.0137717558412926,0.69061167765225
"13",13,0.828773194954765,-2.93676145893168,0.992734945381145,41.0281646976976,31.8504721521403,266.989308868965,0.00206628549041587,0.0113811394693743,0.754550396871307
"14",14,0.845000249254147,-2.9144407922829,0.992892485790161,29.5191112349045,22.0986940781211,217.696690403848,0.0014866595102188,0.00947806881305084,0.818391553408054
"15",15,0.855696505623362,-2.89723657451974,0.990298021643477,21.535255087378,15.4837517992222,179.814680499342,0.00108457167039575,0.00797216805726834,0.88208047136208
"16",16,0.864818555598045,-2.88908140909745,0.995647846176528,15.9156139652084,10.9615302930217,149.661629428577,0.000801551871736924,0.00673647702150042,0.94560466834966
"17",17,0.868878035827941,-2.88337513974677,0.992282149776192,11.9059257335975,7.88073974838119,125.429073464458,0.000599613503908011,0.00571789801324433,1.00898896134765
"18",18,0.879305842660631,-2.84126136497187,0.993870455875926,9.00834128355449,5.69229859350291,105.783589007887,0.000453683585996902,0.00487434508075892,1.072291772916
"19",19,0.888528113984313,-2.80286258694054,0.994396485728833,6.88932636464762,4.15866154617795,89.729179033999,0.000346964462361383,0.00417245150846688,1.13560237751182
"20",20,0.895660365299295,-2.76362176666406,0.994276453326629,5.3222770415474,3.06895350623433,76.5130160974011,0.000268043767201219,0.003585712636985,1.19903873660075
"21",21,0.901520093647747,-2.72688060262302,0.99525456359935,4.15119419669723,2.27463685741606,65.5598457831961,0.000209064977674115,0.00309301154804928,1.26274552568761
"22",22,0.897994676439172,-2.71693943630757,0.991471168598411,3.26734205969577,1.70437599881994,56.4256675889474,0.000164551876495557,0.0026774617336344,1.32689194275548
"23",23,0.899212393481933,-2.68376512059764,0.989673821875173,2.59403584908027,1.29157024261612,48.7645891333165,0.000130642417862625,0.00232550383046294,1.39166890145633
"24",24,0.896306857118879,-2.66444457671837,0.983968296909013,2.07659352353576,0.992700389070099,42.3048140912643,0.000104582671410947,0.00202620229493549,1.45728525460063
"25",25,0.898971629034537,-2.64167899725154,0.990361841854218,1.67561369824959,0.769808171703315,36.8310482048531,8.43882805323119e-05,0.00177069781042906,1.52396276717114
"26",26,0.905723414261584,-2.5769059654709,0.994354348278829,1.36242419034009,0.598190316253376,32.1714711832589,6.86152392395289e-05,0.00155178033830076,1.59192966580793
"27",27,0.906484880358989,-2.54248288418771,0.996821076884783,1.11596485260137,0.465188421579783,28.1879942542176,5.62029035355244e-05,0.00136355541776361,1.66141273285806
"28",28,0.913294839328828,-2.47139971887088,0.997228044986902,0.92062942977124,0.364482823103582,24.7689074507459,4.63653016605177e-05,0.00120118252744995,1.73262808163694
"29",29,0.916993542986021,-2.41192399784557,0.995975571754013,0.764755916057279,0.286884178706413,21.8232824151007,3.85151045556648e-05,0.00106066920480572,1.80577093280457
"30",30,0.931119325757547,-2.31561992141859,0.992473656859468,0.639560159226718,0.22643258513996,19.2766769145942,3.22099193808782e-05,0.000938708404393099,1.88100489049441
