"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k.","Density","Centralization","Heterogeneity"
"1",1,0.492151959685791,6.71826500561019,0.828823458951337,10722.0275140842,10911.1315992701,12306.9349018046,0.537552768178289,0.0794678790489655,0.0795361063620451
"2",2,0.102652395667167,1.55902644726609,0.860488012785894,6166.76306927451,6217.86776816992,8296.8647911119,0.309172920348667,0.106804137140423,0.150936006219529
"3",3,0.000801353039228301,-0.0977169479874522,0.862805793104392,3739.64863185646,3652.97148957935,6005.40282997353,0.187488650950389,0.113605805591973,0.226001141012789
"4",4,0.118536042112799,-0.915215411490156,0.861287269302247,2368.79184783111,2221.19954182527,4519.63280342018,0.118760245053199,0.107844010468111,0.306248357615522
"5",5,0.328221473381496,-1.27663729052856,0.894160776812855,1557.03651606202,1419.25736693439,3500.98788515701,0.0780625948090854,0.0974704853250124,0.390215136502986
"6",6,0.49361144888231,-1.56117719129893,0.9022280091702,1056.81527249335,932.277383166689,2810.86325925602,0.0529838199385017,0.0879486551315902,0.476146034391198
"7",7,0.605260640322207,-1.73031089253595,0.914417776517796,737.762575139276,622.705188595618,2297.91146280888,0.036987996347101,0.0782264781300725,0.562676829966415
"8",8,0.655319414593975,-1.86384896387626,0.904211853186663,528.004783022112,425.016084857336,1906.19792775193,0.0264717127755997,0.0691031456980116,0.648897209692351
"9",9,0.687198234994963,-1.93297887620584,0.901718317211732,386.339067540066,294.081793676493,1600.47144266999,0.0193692503529563,0.0608770742592277,0.734263403861497
"10",10,0.701768014759908,-1.99436192623483,0.895463194104097,288.327756018355,206.488422776172,1357.51938677442,0.0144554174279733,0.0536096883965531,0.818496279829745
"11",11,0.700200689058478,-2.05038621357389,0.883995176230929,219.032584962692,146.79551212459,1161.50515448752,0.0109812787006263,0.0472559448850119,0.901497802089343
"12",12,0.723263606897114,-2.03221630198293,0.895154617633857,169.071222647169,105.288135636461,1001.30238176436,0.00847644754071839,0.0417283972589882,0.983289528074924
"13",13,0.716960137327822,-2.05362620418768,0.887987058504591,132.404444509987,76.5792811457885,868.897617556024,0.00663814521758685,0.0369280570268461,1.06396939219001
"14",14,0.730858318897799,-2.02687419971539,0.895322842988266,105.057010874796,56.2007340178284,758.395279687362,0.00526707163716012,0.0327586374612915,1.1436820168322
"15",15,0.740904845780336,-1.98855046941381,0.900665577496768,84.3581799120116,41.5881264926706,665.377071977395,0.00422932818169115,0.0291325155006213,1.22259850803947
"16",16,0.733005928652198,-1.98706706769061,0.893687886525592,68.4796056371515,30.885168518957,586.477758033048,0.00343325005701151,0.0259726308559834,1.30090270838634
"17",17,0.738869682758691,-1.95597758540324,0.893977230611052,56.1478043222545,23.1912790179284,519.0972048948,0.00281499069097837,0.0232124648137351,1.37878177309349
"18",18,0.759613757802994,-1.89151581536011,0.901736373891123,46.4615067985472,17.5171952307646,461.200636343972,0.00232936462441327,0.0207951828850973,1.45641961989519
"19",19,0.763907611959892,-1.8490254123292,0.899194542579048,38.7733960186044,13.3600973227519,411.177380184717,0.00194391838055773,0.0186724820644757,1.53399229503073
"20",20,0.768625596908245,-1.80380479485876,0.893986912735908,32.612161627067,10.2691500418007,367.73924540315,0.00163502264248807,0.0168034036347412,1.61166463778866
"21",21,0.775021532924194,-1.74816079957865,0.887251602947998,27.6302712772409,7.9158832203382,329.846269458227,0.0013852537489843,0.0151532288739288,1.68958785454668
"22",22,0.77959140648804,-1.70056625191028,0.877810893379778,23.5684307892749,6.16498254246765,296.651698566973,0.00118161189157099,0.0136925023267554,1.76789776265983
"23",23,0.862550385603519,-1.58048139707904,0.931466029491535,20.2310502583169,4.80398642480809,267.460696525265,0.00101429109888283,0.0123961915876472,1.84671355910659
"24",24,0.923573833634451,-1.49702385661702,0.974133002481188,17.4690785553551,3.76331937629824,241.698993766436,0.000875818638090601,0.0112429760370936,1.92613702601801
"25",25,0.926840933595966,-1.49752183640362,0.976808270589138,15.1678410827476,2.97138049908506,226.470845364654,0.00076044525632947,0.0105948156447859,2.00625211754914
"26",26,0.927894509186124,-1.50944596597645,0.980508828153252,13.2383201666352,2.35159513375353,215.314345455483,0.00066370801998572,0.0101321712932681,2.0871248888137
"27",27,0.924740426830834,-1.52364787739203,0.98027360811571,11.610833964537,1.87779048977868,205.048122666991,0.000582113404418779,0.00969902164711066,2.16880373398715
"28",28,0.929992410116203,-1.52473926139947,0.986034217891741,10.2304061527033,1.50150461443739,195.571236862426,0.000512905151544333,0.00929306206267287,2.25131990150339
"29",29,0.929424011777808,-1.53290785058315,0.987044281075827,9.05334073223971,1.21237494989675,186.797440162692,0.000453892546487502,0.0089121589719649,2.33468825246474
"30",30,0.934810020926484,-1.5265414423761,0.990349935594164,8.04466479170429,0.991374366450608,178.652606507245,0.000403322209551002,0.00855434922070961,2.41890822588086
