"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","tan",TRUE,0.0057,78,139,7,0.05,0.09,"GO:0035265","BP",10,"organ growth",1,"FGFR3,TGFBR3,EVC,TGFB2,WWC1,SOX9,PDLIM5",6.84247127456149
"2","tan",TRUE,0.0405,1948,139,33,0.237,0.017,"GO:0032879","BP",5,"regulation of localization",1,"ATP1A2,TGFBR3,SRI,TRIP6,EZR,TGFB2,MLC1,PLTP,SNTA1,WWC1,WLS,CLU,SDC4,AHNAK,SOX9,AMOT,MDFIC,SERPINE2,TLR4,IL33,PRCP,GRTP1,STON2,ERBB2,TP53BP2,KCNN3,EGFR,GLUD1,AHCYL1,MCC,BCL2,PLIN5,FXYD1",3.48848995415331
"3","tan",TRUE,0.0481,1358,139,26,0.187,0.019,"GO:0051049","BP",5,"regulation of transport",2,"ATP1A2,SRI,TRIP6,EZR,TGFB2,MLC1,PLTP,SNTA1,WWC1,WLS,CLU,SDC4,AHNAK,MDFIC,TLR4,IL33,GRTP1,STON2,ERBB2,TP53BP2,KCNN3,EGFR,GLUD1,AHCYL1,BCL2,FXYD1",3.85637431299117
"4","tan",TRUE,0.0381,726,139,18,0.129,0.025,"GO:0051050","BP",5,"positive regulation of transport",3,"TRIP6,EZR,TGFB2,MLC1,PLTP,WLS,CLU,SDC4,TLR4,IL33,ERBB2,TP53BP2,KCNN3,EGFR,GLUD1,AHCYL1,BCL2,FXYD1",4.68959468767958
"5","tan",TRUE,0.0226,1983,139,34,0.245,0.017,"GO:0051239","BP",6,"regulation of multicellular organismal process",1,"TSPAN6,ATP1A2,TGFBR3,SRI,EZR,TGFB2,SNTA1,CST3,LFNG,RFX4,WWC1,EFEMP1,CLU,SOX9,AMOT,SOX5,SERPINE2,EDNRB,TLR4,IL33,PRCP,YAP1,BMPR1B,ERBB2,EGFR,NTRK2,GJA1,TNIK,PDLIM5,RANBP3L,AHCYL1,MCC,SOX2,FXYD1",3.18330988194552
"6","tan",TRUE,0.00381,323,139,13,0.094,0.04,"GO:0044282","BP",8,"small molecule catabolic process",1,"PRODH,ACADL,HADHB,ALDH1L1,GLUD1,DDAH1,ALDH4A1,BDH2,ALDH7A1,ACOX2,CYP4F11,SULT1C4,PLIN5",5.57417401310394
"7","tan",TRUE,0.00362,224,139,11,0.079,0.049,"GO:0016054","BP",8,"organic acid catabolic process",1,"PRODH,ACADL,HADHB,ALDH1L1,GLUD1,DDAH1,ALDH4A1,BDH2,ALDH7A1,ACOX2,PLIN5",5.90718404199668
"8","tan",TRUE,0.00362,224,139,11,0.079,0.049,"GO:0046395","BP",8,"carboxylic acid catabolic process",2,"PRODH,ACADL,HADHB,ALDH1L1,GLUD1,DDAH1,ALDH4A1,BDH2,ALDH7A1,ACOX2,PLIN5",5.90718404199668
"9","tan",TRUE,0.0469,3819,139,52,0.374,0.014,"GO:0031982","CC",12,"vesicle",1,"TSPAN6,ATP1A2,FGFR3,TGFBR3,CYBRD1,SRI,SLC4A4,EZR,TGFB2,MLC1,CST3,LFNG,ALDH2,PLSCR4,EFEMP1,WLS,PRDX6,MARC2,CLU,HVCN1,SDC4,AHNAK,AMOT,BBOX1,HRSP12,NT5E,SERPINE2,TLR4,PRCP,HADHB,ERBB2,ALDH9A1,SELENBP1,ALDH1L1,EGFR,NTRK2,SPARCL1,GJA1,C16ORF89,DDAH1,TNIK,SLC15A2,BDH2,RHOBTB3,ALDH7A1,NDRG2,RAB31,AHCYL1,ANTXR1,GNG12,GOLIM4,PLCD1",2.6951949366212
"10","tan",TRUE,0.00073,4458,139,63,0.453,0.014,"GO:0071944","CC",4,"cell periphery",1,"TSPAN6,CD99,ATP1A2,FGFR3,TGFBR3,CYBRD1,EVC,FERMT2,SRI,SLC1A3,SLC4A4,TRIP6,HEPH,EZR,MLC1,SNTA1,PON2,WWC1,PLSCR4,WLS,CLU,HVCN1,SDC4,AHNAK,AMOT,ATP13A4,PALLD,NOTCH2,NT5E,SERPINE2,EDNRB,TLR4,PRCP,BMPR1B,SLCO1C1,ERBB2,KCNN3,IL17RD,LRIG1,PSD2,SLC18B1,EGFR,TMEM47,NTRK2,SLC7A11,GJA1,TNIK,SLC15A2,PLIN4,RAB31,AHCYL1,NTSR2,CCDC8,ANTXR1,MCC,AQP4,SNTB1,GNG12,CDC42EP4,PLCD1,SLC2A10,PCDHGB6,FXYD1",2.07779832322015
