"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","pink",TRUE,0.00675,79,150,8,0.053,0.101,"REAC:380287","rea",1,"Centrosome maturation",1,"TUBG2,NINL,CEP164,CEP72,TUBGCP6,NUMA1,SFI1,HAUS5",NA
"2","pink",TRUE,0.00675,79,150,8,0.053,0.101,"REAC:380270","rea",1,"Recruitment of mitotic centrosome proteins and complexes",2,"TUBG2,NINL,CEP164,CEP72,TUBGCP6,NUMA1,SFI1,HAUS5",NA
"3","pink",TRUE,0.00124,187,150,13,0.087,0.07,"REAC:5617833","rea",2,"Assembly of the primary cilium",1,"MKS1,NINL,CEP164,CEP72,BBS2,IFT172,DYNC2LI1,INPP5E,IFT122,IFT140,FBF1,SFI1,HAUS5",NA
"4","blue",TRUE,0.0362,45,334,7,0.021,0.156,"GO:0038083","BP",48,"peptidyl-tyrosine autophosphorylation",1,"BTK,TXK,HCK,PTK2B,TEC,SYK,LYN",7.97593029455977
"5","blue",TRUE,0.019,41,334,7,0.021,0.171,"GO:0090382","BP",2,"phagosome maturation",1,"CORO1A,ATP6V1A,ATP6V0B,MYO7A,ATP6V1B2,ATP6V0D1,RAB39A",7.8557859827177
"6","blue",TRUE,0.0198,657,334,29,0.087,0.044,"GO:0030029","BP",19,"actin filament-based process",1,"WAS,KCNQ1,ADD2,HCK,CORO1A,PYCARD,TRPV4,ARPC3,PLEK,CAPZA1,PTK2B,NCKAP1L,LRP1,FGD3,DOCK2,LCP1,MYO7A,TRPM2,IQGAP2,FGD2,ARHGAP18,RHOG,GRB2,HCLS1,CSF1R,KIAA1598,MYO5A,AIF1,FMN1",4.98767269542248
"7","blue",TRUE,0.00431,353,334,21,0.063,0.059,"GO:0032535","BP",19,"regulation of cellular component size",1,"WAS,ADD2,ARHGAP4,HCK,CORO1A,PYCARD,TRPV4,ARPC3,PLEK,CAPZA1,PTK2B,NCKAP1L,VAV3,VAV1,IQGAP2,ARHGAP18,DISC1,GRB2,HCLS1,KIAA1598,FMN1",5.8885416911874
"8","blue",TRUE,0.0359,572,334,26,0.078,0.045,"GO:0030036","BP",19,"actin cytoskeleton organization",1,"WAS,ADD2,HCK,CORO1A,PYCARD,TRPV4,ARPC3,PLEK,CAPZA1,PTK2B,NCKAP1L,LRP1,FGD3,DOCK2,LCP1,TRPM2,IQGAP2,FGD2,ARHGAP18,RHOG,GRB2,HCLS1,CSF1R,KIAA1598,AIF1,FMN1",5.11312169559275
"9","blue",TRUE,0.0268,335,334,19,0.057,0.057,"GO:0007015","BP",19,"actin filament organization",2,"WAS,ADD2,HCK,CORO1A,PYCARD,TRPV4,ARPC3,PLEK,CAPZA1,PTK2B,NCKAP1L,LCP1,IQGAP2,ARHGAP18,GRB2,HCLS1,KIAA1598,AIF1,FMN1",5.73250812622469
"10","blue",TRUE,0.000981,192,334,16,0.048,0.083,"GO:0008154","BP",19,"actin polymerization or depolymerization",3,"WAS,ADD2,HCK,CORO1A,PYCARD,ARPC3,PLEK,CAPZA1,PTK2B,NCKAP1L,IQGAP2,ARHGAP18,GRB2,HCLS1,AIF1,FMN1",6.51287191722804
"11","blue",TRUE,0.0165,238,334,16,0.048,0.067,"GO:0051258","BP",19,"protein polymerization",1,"WAS,ADD2,HCK,CORO1A,PYCARD,TRPV4,ARPC3,CAPZA1,PTK2B,NCKAP1L,IQGAP2,ARHGAP18,GRB2,HCLS1,AIF1,FMN1",6.25012879312351
"12","blue",TRUE,0.0104,178,334,14,0.042,0.079,"GO:0032271","BP",19,"regulation of protein polymerization",2,"WAS,ADD2,HCK,CORO1A,PYCARD,ARPC3,CAPZA1,PTK2B,NCKAP1L,IQGAP2,ARHGAP18,GRB2,HCLS1,FMN1",6.55307833770608
"13","blue",TRUE,0.000686,164,334,15,0.045,0.091,"GO:0030041","BP",19,"actin filament polymerization",2,"WAS,ADD2,HCK,CORO1A,PYCARD,ARPC3,CAPZA1,PTK2B,NCKAP1L,IQGAP2,ARHGAP18,GRB2,HCLS1,AIF1,FMN1",6.73848156103744
"14","blue",TRUE,0.0155,293,334,18,0.054,0.061,"GO:0032956","BP",19,"regulation of actin cytoskeleton organization",1,"WAS,ADD2,HCK,CORO1A,PYCARD,ARPC3,PLEK,CAPZA1,PTK2B,NCKAP1L,LRP1,TRPM2,IQGAP2,ARHGAP18,GRB2,HCLS1,CSF1R,FMN1",5.96529167280396
"15","blue",TRUE,0.00101,169,334,15,0.045,0.089,"GO:0030832","BP",19,"regulation of actin filament length",2,"WAS,ADD2,HCK,CORO1A,PYCARD,ARPC3,PLEK,CAPZA1,PTK2B,NCKAP1L,IQGAP2,ARHGAP18,GRB2,HCLS1,FMN1",6.59496927941524
