"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"1","pink","105976_REACTOME_Eukaryotic_Translation_Elongation__Reactome_NCBI_Biosystems","PW_Lists",1.38303324317518e-129
"2","pink","105968_REACTOME_Formation_of_a_pool_of_free_40S_subunits__Reactome_NCBI_Biosystems","PW_Lists",6.516687075327e-127
"3","pink","105977_REACTOME_Peptide_chain_elongation__Reactome_NCBI_Biosystems","PW_Lists",5.6123179368629e-126
"4","pink","413404_KEGG_Ribosome,_eukaryotes__Kegg_NCBI_Biosystems","PW_Lists",2.13324353347013e-123
"5","pink","441_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",2.23433248830984e-122
"6","pink","83036_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",2.23433248830984e-122
"7","pink","160955_REACTOME_L13a-mediated_translational_silencing_of_Ceruloplasmin_expression__Reactome_NCBI_Biosystems","PW_Lists",2.8568363196798e-122
"8","pink","105978_REACTOME_Eukaryotic_Translation_Termination__Reactome_NCBI_Biosystems","PW_Lists",1.80500707211457e-120
"9","pink","106077_REACTOME_Viral_mRNA_Translation__Reactome_NCBI_Biosystems","PW_Lists",1.80500707211457e-120
"10","pink","198853_WikiPathways_Cytoplasmic_Ribosomal_Proteins__Wiki_Pathways_NCBI_Biosystems","PW_Lists",1.80500707211457e-120
"11","pink","105973_REACTOME_GTP_hydrolysis_and_joining_of_the_60S_ribosomal_subunit__Reactome_NCBI_Biosystems","PW_Lists",2.77340444964851e-119
"12","pink","366242_REACTOME_Nonsense_Mediated_Decay_Independent_of_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",7.73669650045484e-119
"13","pink","105966_REACTOME_Eukaryotic_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",1.54280241698379e-117
"14","pink","105967_REACTOME_Cap-dependent_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",1.54280241698379e-117
"15","pink","105965_REACTOME_Translation__Reactome_NCBI_Biosystems","PW_Lists",5.90381001689571e-116
"16","pink","salmon_M12_Ribosome__HumanMeta","Brain",1.82128528537822e-112
"17","pink","106074_REACTOME_Influenza_Viral_RNA_Transcription_and_Replication__Reactome_NCBI_Biosystems","PW_Lists",2.95852180390386e-111
"18","pink","530746_REACTOME_SRP-dependent_cotranslational_protein_targeting_to_membrane__Reactome_NCBI_Biosystems","PW_Lists",1.49468683532215e-109
"19","pink","366240_REACTOME_Nonsense-Mediated_Decay__Reactome_NCBI_Biosystems","PW_Lists",2.53080275390289e-107
"20","pink","366241_REACTOME_Nonsense_Mediated_Decay_Enhanced_by_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",2.53080275390289e-107
"21","pink","106068_REACTOME_Influenza_Life_Cycle__Reactome_NCBI_Biosystems","PW_Lists",5.24611617076849e-95
"22","pink","106067_REACTOME_Influenza_Infection__Reactome_NCBI_Biosystems","PW_Lists",1.22212252060223e-93
"23","pink","106230_REACTOME_Metabolism_of_proteins__Reactome_NCBI_Biosystems","PW_Lists",2.45492634234887e-79
"24","red","198860_WikiPathways_Electron_Transport_Chain__Wiki_Pathways_NCBI_Biosystems","PW_Lists",1.44485023318627e-52
"25","red","6209_mito_oxidative_phosph_pad_196__Palazzolo_and_Wang","PW_Lists",1.14488747457095e-51
