"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","skyblue",0.741901964677796
"2","ENSG00000237683","AL627309.1","darkgrey",0.743213214386926
"3","ENSG00000268903","RP11-34P13.15","darkgrey",0.717803082515688
"4","ENSG00000269981","RP11-34P13.16","darkgrey",0.721374709680107
"5","ENSG00000239906","RP11-34P13.14","darkgrey",0.717894130979575
"6","ENSG00000228463","AP006222.2","sienna3",0.608321524326753
"7","ENSG00000241670","AP006222.1","darkmagenta",0.521289411776187
"8","ENSG00000237094","RP4-669L17.10","blue",0.538056351963444
"9","ENSG00000225972","MTND1P23","cyan",0.32179579835596
"10","ENSG00000225630","MTND2P28","green",0.234535229001405
"11","ENSG00000237973","hsa-mir-6723","cyan",0.49067158996783
"12","ENSG00000229344","RP5-857K21.7","cyan",0.196249072808442
"13","ENSG00000224956","RP11-206L10.1","darkorange",0.583839669630958
"14","ENSG00000228327","RP11-206L10.2","mediumpurple3",0.472071288802388
"15","ENSG00000237491","RP11-206L10.9","darkorange",0.445395070245131
"16","ENSG00000230092","RP11-206L10.8","cyan",0.266037992214584
"17","ENSG00000177757","FAM87B","sienna3",0.372085410888166
"18","ENSG00000225880","LINC00115","paleturquoise",0.623485204418768
"19","ENSG00000228794","RP11-206L10.11","purple",0.656397547730032
"20","ENSG00000223764","RP11-54O7.3","lightsteelblue1",0.640710961871575
"21","ENSG00000187634","SAMD11","lightsteelblue1",0.601214026719724
"22","ENSG00000188976","NOC2L","yellow",0.832196728736216
"23","ENSG00000187961","KLHL17","lightyellow",0.828980004865182
"24","ENSG00000187583","PLEKHN1","plum2",0.508224946584803
"25","ENSG00000272512","ENSG00000272512","darkturquoise",0.404758585575337
"26","ENSG00000188290","HES4","darkturquoise",0.426886504314248
"27","ENSG00000187608","ISG15","thistle1",0.539949774005481
"28","ENSG00000188157","AGRN","lightcyan",0.810103406146609
"29","ENSG00000242590","RP11-54O7.14","lightcyan",0.815254477259115
"30","ENSG00000131591","C1orf159","darkolivegreen",0.573165084157504
"31","ENSG00000205231","TTLL10-AS1","royalblue",0.63102411984515
"32","ENSG00000162571","TTLL10","royalblue",0.610655352465734
"33","ENSG00000186891","TNFRSF18","saddlebrown",0.407195711543523
"34","ENSG00000186827","TNFRSF4","royalblue",0.404007235998973
"35","ENSG00000078808","SDF4","darkred",0.528628491611008
"36","ENSG00000176022","B3GALT6","bisque4",0.683155719963709
"37","ENSG00000184163","FAM132A","royalblue",0.43168596701908
"38","ENSG00000260179","RP5-902P8.12","cyan",0.487786339563138
"39","ENSG00000160087","UBE2J2","bisque4",0.756725078507571
"40","ENSG00000230415","RP5-902P8.10","darkmagenta",0.76794625689775
"41","ENSG00000162572","SCNN1D","skyblue",0.794709697763948
"42","ENSG00000131584","ACAP3","lightcyan",0.819634581432473
"43","ENSG00000169972","PUSL1","orangered4",0.68939714707215
"44","ENSG00000127054","CPSF3L","darkolivegreen",0.812047321332414
"45","ENSG00000240731","RP5-890O3.9","skyblue",0.779548230107057
"46","ENSG00000224051","GLTPD1","orangered4",0.823985767344751
"47","ENSG00000107404","DVL1","darkolivegreen",0.649618016889979
"48","ENSG00000162576","MXRA8","plum1",0.666789189770184
"49","ENSG00000175756","AURKAIP1","red",0.87358439639426
"50","ENSG00000221978","CCNL2","skyblue",0.784104086343548
"51","ENSG00000224870","RP4-758J18.2","thistle2",0.579326771035657
"52","ENSG00000242485","MRPL20","darkred",0.820381064461954
"53","ENSG00000264293","RN7SL657P","cyan",0.359705812696306
"54","ENSG00000272455","ENSG00000272455","bisque4",0.38377309312199
"55","ENSG00000235098","ANKRD65","sienna3",0.693649227753148
"56","ENSG00000225285","RP4-758J18.10","green",0.292266278270667
