"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","skyblue",TRUE,0.0362,5103,314,120,0.382,0.024,"GO:0090304","BP",6,"nucleic acid metabolic process",1,"RBM5,RBM6,LUC7L,AKAP8L,CLK1,DDX11,ZCCHC8,TRAF1,HDAC7,SUGP2,ZNF76,XAB2,CBFA2T2,EBF4,KDM2B,ZBTB25,CAPN3,HDAC6,MZF1,TOP3B,PABPC1L,HSF4,TAF1C,IKBKB,SNRNP70,LIG1,NRF1,CDK5RAP3,LUC7L3,CEP164,PRPF40B,CAPRIN2,ATN1,PHF1,APBB3,INO80B,TFAP2E,SUPT7L,ZMIZ2,POLM,XRCC3,SIN3B,CHTF18,SNRPN,RPAIN,SAFB2,ZNF337,MUTYH,KRBA1,ERCC5,PAN2,WDR33,CDK9,HNRNPA1L2,NEIL1,CELF6,SLMO1,MBD1,TBX19,ZNF514,RNF44,OGT,ZNF7,CPSF7,FLCN,MMS19,TRMT44,MOV10,ALX3,DONSON,CRTC2,DVL3,ZNF577,DBF4B,ZNF496,UCN,METTL3,ZNF226,ZNF83,ZNF558,ING5,ZBTB5,ZRSR2,TCEA2,EXOSC10,RAD9A,KCTD13,CLK2,CTC1,KIAA1875,HKR1,ZNF662,POU6F1,SS18L1,MED12,L3MBTL1,EXD3,ZNF600,ZNF418,ZNF273,ZNF251,ZNF587,RXRB,PBX2,AGER,ZNF814,DHX16,ZBTB48,ZNF783,SAP25,ZNF316,MXD3,IRF9,ZNF90,MEF2B,CCNL2,ZBED5,PI4KA,ZNF224,MLLT6",2.2717223785017
"2","skyblue",TRUE,0.0463,473,314,22,0.07,0.047,"GO:0006397","BP",4,"mRNA processing",1,"RBM5,LUC7L,AKAP8L,ZCCHC8,SUGP2,XAB2,PABPC1L,SNRNP70,LUC7L3,PRPF40B,SNRPN,SAFB2,PAN2,WDR33,CDK9,HNRNPA1L2,CELF6,CPSF7,METTL3,ZRSR2,KIAA1875,DHX16",5.10706474188456
"3","skyblue",TRUE,0.00246,21,314,6,0.019,0.286,"GO:0071010","CC",2,"prespliceosome",1,"LUC7L,XAB2,SNRNP70,LUC7L3,PRPF40B,SNRPN",8.09314214411807
"4","skyblue",TRUE,0.0127,16,314,5,0.016,0.312,"GO:0071004","CC",2,"U2-type prespliceosome",1,"LUC7L,SNRNP70,LUC7L3,PRPF40B,SNRPN",8.42961438073929
"5","skyblue",TRUE,0.0243,18,314,5,0.016,0.278,"GO:0005685","CC",5,"U1 snRNP",1,"LUC7L,SNRNP70,LUC7L3,PRPF40B,SNRPN",8.30445123778528
"6","skyblue",TRUE,0.0172,6910,314,154,0.49,0.022,"GO:0005634","CC",1,"nucleus",1,"RBM5,RBM6,LUC7L,AKAP8L,CLK1,DDX11,ZCCHC8,ATP6V0A1,OFD1,KIAA0556,ANAPC4,HDAC7,SUGP2,ZNF76,STAG3,IP6K2,LLGL2,PTPN23,XAB2,LRCH4,CBFA2T2,EBF4,KDM2B,ZBTB25,YPEL3,CAPN3,HDAC6,ITPR3,MZF1,TOP3B,GGA1,BRD1,HSF4,CENPT,TAF1C,IKBKB,SNRNP70,TYK2,LIG1,NRF1,CDK5RAP3,LUC7L3,CEP164,PRPF40B,CAPRIN2,ATN1,PHC1,PHF1,APBB3,TMCO6,KANSL3,INO80B,TFAP2E,SUPT7L,ZMIZ2,POLM,XRCC3,SIN3B,CHTF18,SNRPN,RPAIN,MAU2,SAFB2,ZNF337,C19ORF66,PNISR,KIAA0907,MUTYH,ERCC5,PAN2,WDR33,CDK9,HNRNPA1L2,NEIL1,CELF6,RANBP10,SLMO1,MBD1,TBX19,POGZ,ZNF514,KIAA0226,FAM193B,RNF44,OGT,ZNF7,CPSF7,FLCN,MMS19,ALX3,DONSON,DIP2A,CRTC2,DVL3,ZNF577,DBF4B,SYCE2,NXF1,ZNF496,ANKRD23,TSC1,METTL17,METTL3,YPEL4,ZNF226,PPP2R3B,ZNF83,ZNF558,ING5,ATXN2L,ZBTB5,ZRSR2,CALML6,TCEA2,EXOSC10,RAD9A,KCTD13,CLK2,WDR6,CTC1,KIAA1875,R3HDM2,SYNE4,HKR1,ZNF662,POU6F1,SS18L1,WDR27,MED12,L3MBTL1,ZNF600,ZNF418,ZNF273,ZNF251,ZNF587,RXRB,PBX2,CCHCR1,DHX16,ZBTB48,ZNF783,SAP25,ZNF316,MXD3,LAT,IRF9,ZNF90,MEF2B,CCNL2,ZBED5,AQP1,MICAL3,ZNF224,FAM156A",1.71060122635403
"7","skyblue",TRUE,0.00498,3919,314,101,0.322,0.026,"GO:0044428","CC",1,"nuclear part",2,"RBM5,LUC7L,AKAP8L,DDX11,ZCCHC8,ATP6V0A1,KIAA0556,ANAPC4,HDAC7,SUGP2,STAG3,IP6K2,LLGL2,PTPN23,XAB2,LRCH4,KDM2B,ZBTB25,YPEL3,HDAC6,ITPR3,GGA1,BRD1,HSF4,CENPT,TAF1C,SNRNP70,LIG1,NRF1,CDK5RAP3,LUC7L3,CEP164,PRPF40B,ATN1,PHC1,PHF1,KANSL3,INO80B,SUPT7L,ZMIZ2,POLM,XRCC3,SIN3B,CHTF18,SNRPN,RPAIN,MAU2,SAFB2,PNISR,MUTYH,ERCC5,WDR33,CDK9,HNRNPA1L2,NEIL1,MBD1,POGZ,KIAA0226,FAM193B,RNF44,OGT,CPSF7,MMS19,CRTC2,DVL3,DBF4B,SYCE2,NXF1,ZNF496,ANKRD23,METTL17,METTL3,YPEL4,PPP2R3B,ING5,ATXN2L,ZRSR2,TCEA2,EXOSC10,RAD9A,KCTD13,CLK2,WDR6,CTC1,KIAA1875,SYNE4,SS18L1,WDR27,MED12,L3MBTL1,RXRB,DHX16,ZBTB48,LAT,IRF9,CCNL2,ZBED5,AQP1,MICAL3,ZNF224,FAM156A",2.26686113785937
"8","skyblue",TRUE,0.0438,3544,314,90,0.287,0.025,"GO:0031981","CC",1,"nuclear lumen",3,"RBM5,AKAP8L,DDX11,ZCCHC8,ATP6V0A1,KIAA0556,ANAPC4,HDAC7,SUGP2,STAG3,IP6K2,LLGL2,PTPN23,XAB2,LRCH4,KDM2B,ZBTB25,YPEL3,HDAC6,ITPR3,GGA1,BRD1,HSF4,CENPT,TAF1C,SNRNP70,LIG1,NRF1,CDK5RAP3,LUC7L3,CEP164,PRPF40B,ATN1,PHC1,PHF1,KANSL3,INO80B,SUPT7L,ZMIZ2,POLM,XRCC3,SIN3B,CHTF18,RPAIN,MAU2,SAFB2,PNISR,MUTYH,ERCC5,WDR33,CDK9,NEIL1,MBD1,POGZ,KIAA0226,FAM193B,RNF44,OGT,CPSF7,MMS19,CRTC2,DVL3,DBF4B,SYCE2,NXF1,ZNF496,ANKRD23,METTL17,METTL3,YPEL4,PPP2R3B,ING5,ATXN2L,TCEA2,EXOSC10,RAD9A,KCTD13,CLK2,CTC1,SS18L1,WDR27,MED12,L3MBTL1,RXRB,DHX16,ZBTB48,IRF9,CCNL2,ZBED5,MICAL3",2.48419377213271
"9","skyblue",TRUE,0.00486,2967,314,82,0.261,0.028,"GO:0005654","CC",1,"nucleoplasm",3,"RBM5,AKAP8L,DDX11,ZCCHC8,ATP6V0A1,KIAA0556,ANAPC4,HDAC7,SUGP2,IP6K2,LLGL2,PTPN23,XAB2,LRCH4,KDM2B,ZBTB25,HDAC6,ITPR3,GGA1,BRD1,HSF4,CENPT,TAF1C,SNRNP70,LIG1,NRF1,LUC7L3,CEP164,PRPF40B,ATN1,PHC1,PHF1,KANSL3,SUPT7L,ZMIZ2,POLM,XRCC3,SIN3B,CHTF18,RPAIN,MAU2,SAFB2,PNISR,MUTYH,ERCC5,WDR33,CDK9,NEIL1,MBD1,POGZ,KIAA0226,FAM193B,RNF44,OGT,CPSF7,MMS19,CRTC2,DBF4B,NXF1,ZNF496,ANKRD23,METTL17,METTL3,PPP2R3B,ING5,ATXN2L,TCEA2,EXOSC10,RAD9A,KCTD13,CLK2,SS18L1,WDR27,MED12,L3MBTL1,RXRB,DHX16,ZBTB48,IRF9,CCNL2,ZBED5,MICAL3",2.82602063333852
"10","skyblue",TRUE,0.00612,732,314,31,0.099,0.042,"GO:0044451","CC",1,"nucleoplasm part",4,"AKAP8L,HDAC7,LRCH4,HDAC6,BRD1,SNRNP70,LUC7L3,PRPF40B,PHF1,KANSL3,SUPT7L,SIN3B,RPAIN,PNISR,ERCC5,WDR33,CDK9,MBD1,OGT,CPSF7,MMS19,NXF1,ZNF496,METTL3,ING5,ATXN2L,TCEA2,CLK2,SS18L1,MED12,CCNL2",4.3111193582849
