"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","darkgrey",0.560344108494108
"2","ENSG00000237683","AL627309.1","darkgrey",0.257586039215905
"3","ENSG00000268903","RP11-34P13.15","darkgrey",0.304829316876549
"4","ENSG00000269981","RP11-34P13.16","darkmagenta",0.297787279928747
"5","ENSG00000239906","RP11-34P13.14","orange",0.209005754302257
"6","ENSG00000228463","AP006222.2","green",0.195316753188752
"7","ENSG00000241670","AP006222.1","violet",0.448119868338485
"8","ENSG00000237094","RP4-669L17.10","orange",0.631969594097217
"9","ENSG00000225972","MTND1P23","turquoise",0.27950156845865
"10","ENSG00000225630","MTND2P28","steelblue",0.0795189030084022
"11","ENSG00000237973","hsa-mir-6723","turquoise",0.381263999995419
"12","ENSG00000229344","RP5-857K21.7","palevioletred3",0.164741506174613
"13","ENSG00000224956","RP11-206L10.1","darkgrey",0.657069101816962
"14","ENSG00000228327","RP11-206L10.2","orange",0.607182095072423
"15","ENSG00000237491","RP11-206L10.9","green",0.599297947996492
"16","ENSG00000230092","RP11-206L10.8","darkgreen",0.359753525702745
"17","ENSG00000177757","FAM87B","brown4",0.352882314929665
"18","ENSG00000225880","LINC00115","darkseagreen4",0.759399939415352
"19","ENSG00000228794","RP11-206L10.11","blue",0.392684329325895
"20","ENSG00000223764","RP11-54O7.3","blue",0.827412400644141
"21","ENSG00000187634","SAMD11","blue",0.835321860350117
"22","ENSG00000188976","NOC2L","yellow",0.857363606615069
"23","ENSG00000187961","KLHL17","purple",0.759438397631369
"24","ENSG00000187583","PLEKHN1","salmon",0.602820653324293
"25","ENSG00000188290","HES4","darkolivegreen",0.530512089134193
"26","ENSG00000187608","ISG15","salmon",0.34152777864343
"27","ENSG00000188157","AGRN","grey60",0.478841550648493
"28","ENSG00000242590","RP11-54O7.14","saddlebrown",0.435663472528089
"29","ENSG00000131591","C1orf159","darkgrey",0.776964460580124
"30","ENSG00000186827","TNFRSF4","saddlebrown",0.470808638361224
"31","ENSG00000078808","SDF4","skyblue3",0.622107709159612
"32","ENSG00000176022","B3GALT6","plum1",0.506837214850633
"33","ENSG00000184163","FAM132A","saddlebrown",0.340316408442641
"34","ENSG00000160087","UBE2J2","lightsteelblue1",0.795350373446882
"35","ENSG00000230415","RP5-902P8.10","orange",0.560012346643792
"36","ENSG00000162572","SCNN1D","brown",0.747358926939354
"37","ENSG00000131584","ACAP3","brown",0.706234097706529
"38","ENSG00000169972","PUSL1","plum1",0.51328041769591
"39","ENSG00000127054","CPSF3L","darkgrey",0.819913128350954
"40","ENSG00000240731","RP5-890O3.9","brown",0.690647444517926
"41","ENSG00000224051","GLTPD1","steelblue",0.531809576532254
"42","ENSG00000107404","DVL1","brown4",0.508314200628997
"43","ENSG00000162576","MXRA8","darkslateblue",0.740250419019515
"44","ENSG00000175756","AURKAIP1","skyblue3",0.802878651303689
"45","ENSG00000221978","CCNL2","green",0.761508857675525
"46","ENSG00000224870","RP4-758J18.2","yellowgreen",0.302465086935638
