"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","darkgrey",TRUE,0.0276,403,183,15,0.082,0.037,"GO:0034470","BP",2,"ncRNA processing",1,"TRMU,TRMT1,CPSF3L,GTPBP3,NSUN5,DDX56,TARBP2,PELP1,TUT1,CPSF4,NOL9,INTS1,DUS1L,TSEN54,DDX51",5.89383270882181
"2","darkgrey",TRUE,0.00919,3919,183,65,0.355,0.017,"GO:0044428","CC",1,"nuclear part",1,"TCOF1,TCF3,CHFR,XAB2,LRCH4,SIRT6,DTX2,HDAC6,AAAS,CDC34,GGA1,TRMU,ACTR5,TRMT1,PIAS4,CACTIN,DRG2,CEP164,ZNF346,ZBTB17,SMUG1,SYMPK,KDM5C,CPSF3L,SIN3B,KRI1,NSUN5,TAF4,CHMP1A,ANKHD1,MUTYH,MEN1,DDX56,PELP1,CBX8,MBD1,KIAA0226,DGKQ,TRIM41,NOM1,C9ORF142,TUT1,NR2F6,CHTOP,CPSF4,SAP30BP,LEMD2,NOL9,POLR2H,INTS1,E4F1,ATXN2L,RAD9A,MUS81,ANAPC2,SCRIB,TSEN54,EP400,SS18L1,DDX51,CCDC137,SUPT5H,RING1,SKIV2L,GTF2H4",2.26686113785937
"3","darkgrey",TRUE,0.00125,3544,183,63,0.344,0.018,"GO:0031981","CC",1,"nuclear lumen",2,"TCOF1,TCF3,CHFR,XAB2,LRCH4,SIRT6,DTX2,HDAC6,AAAS,CDC34,GGA1,TRMU,ACTR5,TRMT1,PIAS4,CACTIN,DRG2,CEP164,ZNF346,ZBTB17,SMUG1,SYMPK,KDM5C,CPSF3L,SIN3B,KRI1,NSUN5,TAF4,CHMP1A,ANKHD1,MUTYH,MEN1,DDX56,PELP1,CBX8,MBD1,KIAA0226,DGKQ,TRIM41,NOM1,TUT1,NR2F6,CHTOP,CPSF4,SAP30BP,NOL9,POLR2H,INTS1,E4F1,ATXN2L,RAD9A,MUS81,ANAPC2,SCRIB,TSEN54,EP400,SS18L1,DDX51,CCDC137,SUPT5H,RING1,SKIV2L,GTF2H4",2.48419377213271
"4","darkgrey",TRUE,0.0299,2967,183,52,0.284,0.018,"GO:0005654","CC",1,"nucleoplasm",2,"TCF3,CHFR,XAB2,LRCH4,SIRT6,DTX2,HDAC6,AAAS,CDC34,GGA1,TRMU,TRMT1,PIAS4,CACTIN,DRG2,CEP164,ZBTB17,SMUG1,SYMPK,KDM5C,CPSF3L,SIN3B,TAF4,ANKHD1,MUTYH,MEN1,PELP1,CBX8,MBD1,KIAA0226,DGKQ,TUT1,NR2F6,CHTOP,CPSF4,SAP30BP,NOL9,POLR2H,INTS1,E4F1,ATXN2L,RAD9A,MUS81,ANAPC2,SCRIB,TSEN54,EP400,SS18L1,SUPT5H,RING1,SKIV2L,GTF2H4",2.82602063333852
"5","darkgrey",TRUE,0.00779,732,183,22,0.12,0.03,"GO:0044451","CC",1,"nucleoplasm part",3,"CHFR,LRCH4,HDAC6,PIAS4,CPSF3L,SIN3B,TAF4,MEN1,PELP1,MBD1,DGKQ,TUT1,CHTOP,CPSF4,POLR2H,INTS1,ATXN2L,EP400,SS18L1,SUPT5H,RING1,GTF2H4",4.3111193582849
"6","green",TRUE,0.000136,10975,566,393,0.694,0.036,"GO:0008152","BP",2,"metabolic process",1,"RBM5,RBM6,MSL3,OSBPL7,LUC7L,JARID2,FAM76A,ZNF207,BID,ZDHHC6,IKZF2,ZCCHC8,SH3YL1,DAPK2,TRIT1,YTHDC2,SCML1,ADAMTS6,ZC3H11A,CCAR1,PMS1,PRKCQ,CDK13,TRMT11,IGF2BP2,ZNF37A,GPATCH1,FGF20,RUNX1T1,THOC1,CDC14A,RFX3,ZNF506,CCNT2,DLG3,TRAF5,TDRD3,ZNF671,OVGP1,UIMC1,ZNF343,ZNF302,ZBTB25,TFAP4,TGM1,BTAF1,TNRC6B,BRD1,PNN,DIDO1,ZNF516,SMCHD1,CEP192,POLI,ALG13,MTMR8,ZC3H12B,KLF8,SUPT20H,DGKH,GDPD3,NFAT5,KAT8,ZNF419,CARD8,ZNF175,HOXA3,NOD1,ZKSCAN1,RBM28,USP42,NRF1,NMRK1,CUBN,MAPK8,PLEKHA1,CPEB3,CASC3,DDX5,PHF12,DCUN1D4,ELF2,SEPSECS,MIR4691,CAPRIN2,CPSF6,ING4,MAK,MCM9,TBP,GUCA1B,PRPF4B,PAPD7,BRD8,CLK4,TCERG1,INO80D,KANSL3,GALNT3,FANCL,KDM3A,DCAF17,ORC2,TIA1,EPHA4,ALMS1,SRSF4,SFPQ,PRPF3,PTBP2,TNFSF4,CASP8AP2,CNTRL,NEK9,MLH3,RBM25,ATAD2B,HOXB3,EPC1,TSHZ3,ZNF549,ZNF211,RBBP6,TRMT13,RWDD3,TTC21B,HS3ST3B1,NUP85,THOC2,GPCPD1,ZNF133,MAX,AGO3,FOXP2,RPAIN,USP6,STK33,TNNI2,RBM39,MRPS25,ZNF304,PER2,ZRANB2,NASP,ZMYM5,USPL1,SRRM1,ZFC3H1,IRAK2,PRPF38B,RBM17,DMTF1,AHI1,USP44,VILL,NEK3,WDR33,TEX10,ZSCAN9,MDC1,PGBD1,CPEB2,CREBZF,BUD13,SLTM,THUMPD2,TET1,MSTN,JDP2,PRDM15,ZFP14,MTF2,GABPB2,GATAD2B,SOX13,ETNK2,KANSL1L,COPS7B,MIR922,ZNF300,PHIP,RNF217,SHPRH,ZNF182,TAF1,OGT,RBMX,GNRH1,ZNF7,CELF1,ATM,ZNF256,HNRPDL,ZNF117,SLC25A27,ZNF599,SREK1,RABGEF1,TTN,RASA2,MAP3K7CL,EXOG,SMG1,RBPMS,GATAD1,ZNF19,RHBDL2,PAXBP1,ZNF235,ANKLE1,ZNF333,MAML1,ZNF382,ZNF385A,DBF4B,ZNF75A,PRKAA2,DHRS3,ZNF326,ACP6,DISC1,TYW5,CCNL1,U2SURP,ZMYM6,C5ORF63,TRA2A,RP9,ZNF12,SOX17,TRMT10B,HECTD2,AKR1E2,TSC1,METTL3,SPRED1,USP54,ZNF3,ATF7IP2,TMPRSS5,ZNF606,ZNF592,ZNF91,ZNF23,ZNF528,ZNF701,ZNF283,THAP9,IRF2BP2,ING5,ZNF30,TET2,ZBTB5,ANKRD49,HNRNPH1,MECP2,NRG4,BRD3,ZNF212,PRDM10,SLC23A1,HSD17B13,ATF7,INSR,ZNF439,ZNF440,ZNF318,ZNF57,MALT1,MBOAT1,RAB40A,CARNS1,ZNF596,NAA16,PARP14,ZNF417,PHC3,MGA,SLC16A11,ZNF266,FBXW8,ZNF654,UCP3,ZNF77,ZNF169,ZDHHC21,CRLF3,MUC20,NFATC2IP,ZBTB34,ZNF491,ZNF518A,ZNF354C,RNF212,ZNF543,ZNF354B,NSUN7,ZNF154,ZADH2,ATP5EP2,MAP6D1,ZNF443,ZNF792,ZNF572,ZNF678,ZNF708,FIGN,ZNF721,MTA1,TREX2,FOXL2,AMER1,EIF4ENIF1,ZNF445,ZBTB37,ZFP36L1,SETD4,ZNF529,ZNF75D,ZNF197,FOXD2,ZNF397,ZSCAN30,ZDHHC17,RNF220,ZNF546,ZKSCAN4,FANCM,ZFP69,ZNF383,ENO4,SRSF10,PTAR1,ZNF563,LRRC66,ZNF292,ADAT2,ZNF567,ZNF676,LCOR,ZNF493,ZNF34,ZNF140,ZNF124,ZNF605,TRAPPC2,ZNF782,ZNF700,ZNF585A,ZNF138,ZSCAN25,ZNF682,ZNF785,ZNF720,ZNF655,ZNF665,ZNF433,PHF2,ZNF81,ZNF780A,ZNF461,ZNF823,ZNF347,ZNF84,ZNF334,ZNF26,MDM4,ZNF652,CHML,ZNF814,ATXN2,ZNF254,LCAT,ZNF90,CCNL2,ERCC6,ZBED5,ASB14,AMY2B,P2RY11,ASPRV1,N4BP2L2,ZNF585B,RP11-849H4.2,ZNF225,ZNF878,ZNF625,ZNF234,ZNF285,ZNF224,ZNF595,CCL16,TADA2A",1.10347152361181
"7","green",TRUE,3.42e-07,10168,566,381,0.673,0.037,"GO:0044238","BP",2,"primary metabolic process",2,"RBM5,RBM6,MSL3,OSBPL7,LUC7L,JARID2,FAM76A,ZNF207,BID,ZDHHC6,IKZF2,ZCCHC8,SH3YL1,DAPK2,TRIT1,YTHDC2,SCML1,ADAMTS6,ZC3H11A,CCAR1,PMS1,PRKCQ,CDK13,TRMT11,IGF2BP2,ZNF37A,GPATCH1,FGF20,RUNX1T1,THOC1,CDC14A,RFX3,ZNF506,CCNT2,DLG3,TRAF5,TDRD3,ZNF671,OVGP1,UIMC1,ZNF343,ZNF302,ZBTB25,TFAP4,TGM1,BTAF1,TNRC6B,BRD1,PNN,DIDO1,ZNF516,POLI,ALG13,MTMR8,ZC3H12B,KLF8,SUPT20H,GDPD3,NFAT5,KAT8,ZNF419,CARD8,ZNF175,HOXA3,NOD1,ZKSCAN1,RBM28,USP42,NRF1,NMRK1,CUBN,MAPK8,CPEB3,CASC3,DDX5,PHF12,DCUN1D4,ELF2,SEPSECS,MIR4691,CAPRIN2,CPSF6,ING4,MAK,MCM9,TBP,GUCA1B,PRPF4B,PAPD7,BRD8,CLK4,TCERG1,INO80D,KANSL3,GALNT3,FANCL,KDM3A,DCAF17,ORC2,TIA1,EPHA4,ALMS1,SRSF4,SFPQ,PRPF3,PTBP2,TNFSF4,CASP8AP2,CNTRL,NEK9,MLH3,RBM25,ATAD2B,HOXB3,EPC1,TSHZ3,ZNF549,ZNF211,RBBP6,TRMT13,RWDD3,TTC21B,NUP85,THOC2,GPCPD1,ZNF133,MAX,AGO3,FOXP2,RPAIN,USP6,STK33,TNNI2,RBM39,MRPS25,ZNF304,PER2,ZRANB2,NASP,ZMYM5,USPL1,SRRM1,ZFC3H1,IRAK2,PRPF38B,RBM17,DMTF1,AHI1,USP44,VILL,NEK3,WDR33,TEX10,ZSCAN9,MDC1,PGBD1,CPEB2,CREBZF,BUD13,SLTM,THUMPD2,TET1,MSTN,JDP2,PRDM15,ZFP14,MTF2,GABPB2,GATAD2B,SOX13,ETNK2,KANSL1L,COPS7B,MIR922,ZNF300,PHIP,RNF217,SHPRH,ZNF182,TAF1,OGT,RBMX,ZNF7,CELF1,ATM,ZNF256,HNRPDL,ZNF117,ZNF599,SREK1,RABGEF1,TTN,RASA2,MAP3K7CL,EXOG,SMG1,RBPMS,GATAD1,ZNF19,RHBDL2,PAXBP1,ZNF235,ANKLE1,ZNF333,MAML1,ZNF382,ZNF385A,DBF4B,ZNF75A,PRKAA2,DHRS3,ZNF326,ACP6,DISC1,TYW5,CCNL1,U2SURP,ZMYM6,TRA2A,RP9,ZNF12,SOX17,HECTD2,TSC1,METTL3,SPRED1,USP54,ZNF3,ATF7IP2,TMPRSS5,ZNF606,ZNF592,ZNF91,ZNF23,ZNF528,ZNF701,ZNF283,THAP9,IRF2BP2,ING5,ZNF30,TET2,ZBTB5,ANKRD49,HNRNPH1,MECP2,NRG4,BRD3,ZNF212,PRDM10,SLC23A1,HSD17B13,ATF7,INSR,ZNF439,ZNF440,ZNF318,ZNF57,MALT1,MBOAT1,RAB40A,CARNS1,ZNF596,NAA16,PARP14,ZNF417,PHC3,MGA,SLC16A11,ZNF266,FBXW8,ZNF654,UCP3,ZNF77,ZNF169,ZDHHC21,CRLF3,MUC20,NFATC2IP,ZBTB34,ZNF491,ZNF518A,ZNF354C,RNF212,ZNF543,ZNF354B,ZNF154,ATP5EP2,MAP6D1,ZNF443,ZNF792,ZNF572,ZNF678,ZNF708,FIGN,ZNF721,MTA1,TREX2,FOXL2,AMER1,EIF4ENIF1,ZNF445,ZBTB37,ZFP36L1,SETD4,ZNF529,ZNF75D,ZNF197,FOXD2,ZNF397,ZSCAN30,ZDHHC17,RNF220,ZNF546,ZKSCAN4,FANCM,ZFP69,ZNF383,ENO4,SRSF10,PTAR1,ZNF563,LRRC66,ZNF292,ADAT2,ZNF567,ZNF676,LCOR,ZNF493,ZNF34,ZNF140,ZNF124,ZNF605,TRAPPC2,ZNF782,ZNF700,ZNF585A,ZNF138,ZSCAN25,ZNF682,ZNF785,ZNF720,ZNF655,ZNF665,ZNF433,PHF2,ZNF81,ZNF780A,ZNF461,ZNF823,ZNF347,ZNF84,ZNF334,ZNF26,MDM4,ZNF652,CHML,ZNF814,ATXN2,ZNF254,LCAT,ZNF90,CCNL2,ERCC6,ZBED5,ASB14,AMY2B,P2RY11,ASPRV1,N4BP2L2,ZNF585B,RP11-849H4.2,ZNF225,ZNF878,ZNF625,ZNF234,ZNF285,ZNF224,ZNF595,CCL16,TADA2A",1.36698257719581
"8","green",TRUE,1.42e-11,6208,566,276,0.488,0.044,"GO:0009058","BP",2,"biosynthetic process",2,"MSL3,JARID2,ZNF207,ZDHHC6,IKZF2,SH3YL1,TRIT1,SCML1,ZC3H11A,CCAR1,PRKCQ,CDK13,IGF2BP2,ZNF37A,FGF20,RUNX1T1,THOC1,RFX3,ZNF506,CCNT2,TRAF5,TDRD3,ZNF671,UIMC1,ZNF343,ZNF302,ZBTB25,TFAP4,BTAF1,TNRC6B,PNN,DIDO1,ZNF516,POLI,ALG13,KLF8,SUPT20H,NFAT5,KAT8,ZNF419,ZNF175,HOXA3,NOD1,ZKSCAN1,NRF1,NMRK1,MAPK8,CPEB3,CASC3,DDX5,PHF12,ELF2,SEPSECS,CAPRIN2,ING4,MAK,MCM9,TBP,GUCA1B,PAPD7,BRD8,TCERG1,INO80D,GALNT3,KDM3A,ORC2,TIA1,SRSF4,SFPQ,TNFSF4,ATAD2B,HOXB3,EPC1,TSHZ3,ZNF549,ZNF211,RBBP6,RWDD3,TTC21B,HS3ST3B1,NUP85,THOC2,ZNF133,MAX,AGO3,FOXP2,RPAIN,TNNI2,RBM39,MRPS25,ZNF304,PER2,ZRANB2,NASP,ZMYM5,SRRM1,IRAK2,DMTF1,AHI1,TEX10,ZSCAN9,PGBD1,CPEB2,CREBZF,SLTM,TET1,MSTN,JDP2,PRDM15,ZFP14,MTF2,GABPB2,GATAD2B,SOX13,ETNK2,ZNF300,PHIP,ZNF182,TAF1,OGT,RBMX,ZNF7,CELF1,ATM,ZNF256,HNRPDL,ZNF117,ZNF599,RBPMS,GATAD1,ZNF19,PAXBP1,ZNF235,ZNF333,MAML1,ZNF382,ZNF385A,DBF4B,ZNF75A,PRKAA2,ZNF326,TYW5,CCNL1,ZMYM6,ZNF12,SOX17,TSC1,METTL3,ZNF3,ATF7IP2,ZNF606,ZNF592,ZNF91,ZNF23,ZNF528,ZNF701,ZNF283,IRF2BP2,ING5,ZNF30,TET2,ZBTB5,ANKRD49,MECP2,BRD3,ZNF212,PRDM10,HSD17B13,ATF7,INSR,ZNF439,ZNF440,ZNF318,ZNF57,MALT1,MBOAT1,CARNS1,ZNF596,NAA16,PARP14,ZNF417,MGA,ZNF266,ZNF654,ZNF77,ZNF169,ZDHHC21,CRLF3,MUC20,NFATC2IP,ZBTB34,ZNF491,ZNF518A,ZNF354C,ZNF543,ZNF354B,ZNF154,ATP5EP2,MAP6D1,ZNF443,ZNF792,ZNF572,ZNF678,ZNF708,ZNF721,MTA1,FOXL2,EIF4ENIF1,ZNF445,ZBTB37,ZFP36L1,ZNF529,ZNF75D,ZNF197,FOXD2,ZNF397,ZSCAN30,ZDHHC17,ZNF546,ZKSCAN4,FANCM,ZFP69,ZNF383,SRSF10,ZNF563,ZNF292,ZNF567,ZNF676,LCOR,ZNF493,ZNF34,ZNF140,ZNF124,ZNF605,TRAPPC2,ZNF782,ZNF700,ZNF585A,ZNF138,ZSCAN25,ZNF682,ZNF785,ZNF720,ZNF655,ZNF665,ZNF433,PHF2,ZNF81,ZNF780A,ZNF461,ZNF823,ZNF347,ZNF84,ZNF334,ZNF26,MDM4,ZNF652,ZNF814,ATXN2,ZNF254,LCAT,ZNF90,CCNL2,ERCC6,ZBED5,P2RY11,N4BP2L2,ZNF585B,ZNF225,ZNF878,ZNF625,ZNF234,ZNF285,ZNF224,ZNF595,TADA2A",2.18753292921599
"9","green",TRUE,5.53e-05,10599,566,384,0.678,0.036,"GO:0071704","BP",2,"organic substance metabolic process",2,"RBM5,RBM6,MSL3,OSBPL7,LUC7L,JARID2,FAM76A,ZNF207,BID,ZDHHC6,IKZF2,ZCCHC8,SH3YL1,DAPK2,TRIT1,YTHDC2,SCML1,ADAMTS6,ZC3H11A,CCAR1,PMS1,PRKCQ,CDK13,TRMT11,IGF2BP2,ZNF37A,GPATCH1,FGF20,RUNX1T1,THOC1,CDC14A,RFX3,ZNF506,CCNT2,DLG3,TRAF5,TDRD3,ZNF671,OVGP1,UIMC1,ZNF343,ZNF302,ZBTB25,TFAP4,TGM1,BTAF1,TNRC6B,BRD1,PNN,DIDO1,ZNF516,SMCHD1,POLI,ALG13,MTMR8,ZC3H12B,KLF8,SUPT20H,GDPD3,NFAT5,KAT8,ZNF419,CARD8,ZNF175,HOXA3,NOD1,ZKSCAN1,RBM28,USP42,NRF1,NMRK1,CUBN,MAPK8,CPEB3,CASC3,DDX5,PHF12,DCUN1D4,ELF2,SEPSECS,MIR4691,CAPRIN2,CPSF6,ING4,MAK,MCM9,TBP,GUCA1B,PRPF4B,PAPD7,BRD8,CLK4,TCERG1,INO80D,KANSL3,GALNT3,FANCL,KDM3A,DCAF17,ORC2,TIA1,EPHA4,ALMS1,SRSF4,SFPQ,PRPF3,PTBP2,TNFSF4,CASP8AP2,CNTRL,NEK9,MLH3,RBM25,ATAD2B,HOXB3,EPC1,TSHZ3,ZNF549,ZNF211,RBBP6,TRMT13,RWDD3,TTC21B,HS3ST3B1,NUP85,THOC2,GPCPD1,ZNF133,MAX,AGO3,FOXP2,RPAIN,USP6,STK33,TNNI2,RBM39,MRPS25,ZNF304,PER2,ZRANB2,NASP,ZMYM5,USPL1,SRRM1,ZFC3H1,IRAK2,PRPF38B,RBM17,DMTF1,AHI1,USP44,VILL,NEK3,WDR33,TEX10,ZSCAN9,MDC1,PGBD1,CPEB2,CREBZF,BUD13,SLTM,THUMPD2,TET1,MSTN,JDP2,PRDM15,ZFP14,MTF2,GABPB2,GATAD2B,SOX13,ETNK2,KANSL1L,COPS7B,MIR922,ZNF300,PHIP,RNF217,SHPRH,ZNF182,TAF1,OGT,RBMX,GNRH1,ZNF7,CELF1,ATM,ZNF256,HNRPDL,ZNF117,ZNF599,SREK1,RABGEF1,TTN,RASA2,MAP3K7CL,EXOG,SMG1,RBPMS,GATAD1,ZNF19,RHBDL2,PAXBP1,ZNF235,ANKLE1,ZNF333,MAML1,ZNF382,ZNF385A,DBF4B,ZNF75A,PRKAA2,DHRS3,ZNF326,ACP6,DISC1,TYW5,CCNL1,U2SURP,ZMYM6,TRA2A,RP9,ZNF12,SOX17,HECTD2,TSC1,METTL3,SPRED1,USP54,ZNF3,ATF7IP2,TMPRSS5,ZNF606,ZNF592,ZNF91,ZNF23,ZNF528,ZNF701,ZNF283,THAP9,IRF2BP2,ING5,ZNF30,TET2,ZBTB5,ANKRD49,HNRNPH1,MECP2,NRG4,BRD3,ZNF212,PRDM10,SLC23A1,HSD17B13,ATF7,INSR,ZNF439,ZNF440,ZNF318,ZNF57,MALT1,MBOAT1,RAB40A,CARNS1,ZNF596,NAA16,PARP14,ZNF417,PHC3,MGA,SLC16A11,ZNF266,FBXW8,ZNF654,UCP3,ZNF77,ZNF169,ZDHHC21,CRLF3,MUC20,NFATC2IP,ZBTB34,ZNF491,ZNF518A,ZNF354C,RNF212,ZNF543,ZNF354B,ZNF154,ATP5EP2,MAP6D1,ZNF443,ZNF792,ZNF572,ZNF678,ZNF708,FIGN,ZNF721,MTA1,TREX2,FOXL2,AMER1,EIF4ENIF1,ZNF445,ZBTB37,ZFP36L1,SETD4,ZNF529,ZNF75D,ZNF197,FOXD2,ZNF397,ZSCAN30,ZDHHC17,RNF220,ZNF546,ZKSCAN4,FANCM,ZFP69,ZNF383,ENO4,SRSF10,PTAR1,ZNF563,LRRC66,ZNF292,ADAT2,ZNF567,ZNF676,LCOR,ZNF493,ZNF34,ZNF140,ZNF124,ZNF605,TRAPPC2,ZNF782,ZNF700,ZNF585A,ZNF138,ZSCAN25,ZNF682,ZNF785,ZNF720,ZNF655,ZNF665,ZNF433,PHF2,ZNF81,ZNF780A,ZNF461,ZNF823,ZNF347,ZNF84,ZNF334,ZNF26,MDM4,ZNF652,CHML,ZNF814,ATXN2,ZNF254,LCAT,ZNF90,CCNL2,ERCC6,ZBED5,ASB14,AMY2B,P2RY11,ASPRV1,N4BP2L2,ZNF585B,RP11-849H4.2,ZNF225,ZNF878,ZNF625,ZNF234,ZNF285,ZNF224,ZNF595,CCL16,TADA2A",1.26232799050953
"10","green",TRUE,2.64e-11,9000,566,362,0.64,0.04,"GO:0043170","BP",2,"macromolecule metabolic process",3,"RBM5,RBM6,MSL3,OSBPL7,LUC7L,JARID2,FAM76A,ZNF207,BID,ZDHHC6,IKZF2,ZCCHC8,DAPK2,TRIT1,YTHDC2,SCML1,ADAMTS6,ZC3H11A,CCAR1,PMS1,PRKCQ,CDK13,TRMT11,IGF2BP2,ZNF37A,GPATCH1,FGF20,RUNX1T1,THOC1,CDC14A,RFX3,ZNF506,CCNT2,TRAF5,TDRD3,ZNF671,OVGP1,UIMC1,ZNF343,ZNF302,ZBTB25,TFAP4,TGM1,BTAF1,TNRC6B,BRD1,PNN,DIDO1,ZNF516,SMCHD1,POLI,ALG13,MTMR8,ZC3H12B,KLF8,SUPT20H,NFAT5,KAT8,ZNF419,CARD8,ZNF175,HOXA3,NOD1,ZKSCAN1,RBM28,USP42,NRF1,CUBN,MAPK8,CPEB3,CASC3,DDX5,PHF12,DCUN1D4,ELF2,SEPSECS,CAPRIN2,CPSF6,ING4,MAK,MCM9,TBP,PRPF4B,PAPD7,BRD8,CLK4,TCERG1,INO80D,KANSL3,GALNT3,FANCL,KDM3A,DCAF17,ORC2,TIA1,EPHA4,SRSF4,SFPQ,PRPF3,PTBP2,TNFSF4,CASP8AP2,CNTRL,NEK9,MLH3,RBM25,ATAD2B,HOXB3,EPC1,TSHZ3,ZNF549,ZNF211,RBBP6,TRMT13,RWDD3,TTC21B,HS3ST3B1,NUP85,THOC2,ZNF133,MAX,AGO3,FOXP2,RPAIN,USP6,STK33,TNNI2,RBM39,MRPS25,ZNF304,PER2,ZRANB2,NASP,ZMYM5,USPL1,SRRM1,ZFC3H1,IRAK2,PRPF38B,RBM17,DMTF1,AHI1,USP44,VILL,NEK3,WDR33,TEX10,ZSCAN9,MDC1,PGBD1,CPEB2,CREBZF,BUD13,SLTM,THUMPD2,TET1,MSTN,JDP2,PRDM15,ZFP14,MTF2,GABPB2,GATAD2B,SOX13,KANSL1L,COPS7B,ZNF300,PHIP,RNF217,SHPRH,ZNF182,TAF1,OGT,RBMX,GNRH1,ZNF7,CELF1,ATM,ZNF256,HNRPDL,ZNF117,ZNF599,SREK1,RABGEF1,TTN,RASA2,MAP3K7CL,EXOG,SMG1,RBPMS,GATAD1,ZNF19,RHBDL2,PAXBP1,ZNF235,ANKLE1,ZNF333,MAML1,ZNF382,ZNF385A,DBF4B,ZNF75A,PRKAA2,ZNF326,DISC1,TYW5,CCNL1,U2SURP,ZMYM6,TRA2A,RP9,ZNF12,SOX17,HECTD2,TSC1,METTL3,SPRED1,USP54,ZNF3,ATF7IP2,TMPRSS5,ZNF606,ZNF592,ZNF91,ZNF23,ZNF528,ZNF701,ZNF283,THAP9,IRF2BP2,ING5,ZNF30,TET2,ZBTB5,ANKRD49,HNRNPH1,MECP2,NRG4,BRD3,ZNF212,PRDM10,ATF7,INSR,ZNF439,ZNF440,ZNF318,ZNF57,MALT1,RAB40A,ZNF596,NAA16,PARP14,ZNF417,PHC3,MGA,ZNF266,FBXW8,ZNF654,ZNF77,ZNF169,ZDHHC21,CRLF3,MUC20,NFATC2IP,ZBTB34,ZNF491,ZNF518A,ZNF354C,RNF212,ZNF543,ZNF354B,ZNF154,MAP6D1,ZNF443,ZNF792,ZNF572,ZNF678,ZNF708,FIGN,ZNF721,MTA1,TREX2,FOXL2,AMER1,EIF4ENIF1,ZNF445,ZBTB37,ZFP36L1,SETD4,ZNF529,ZNF75D,ZNF197,FOXD2,ZNF397,ZSCAN30,ZDHHC17,RNF220,ZNF546,ZKSCAN4,FANCM,ZFP69,ZNF383,SRSF10,PTAR1,ZNF563,LRRC66,ZNF292,ADAT2,ZNF567,ZNF676,LCOR,ZNF493,ZNF34,ZNF140,ZNF124,ZNF605,TRAPPC2,ZNF782,ZNF700,ZNF585A,ZNF138,ZSCAN25,ZNF682,ZNF785,ZNF720,ZNF655,ZNF665,ZNF433,PHF2,ZNF81,ZNF780A,ZNF461,ZNF823,ZNF347,ZNF84,ZNF334,ZNF26,MDM4,ZNF652,CHML,ZNF814,ATXN2,ZNF254,LCAT,ZNF90,CCNL2,ERCC6,ZBED5,ASB14,ASPRV1,N4BP2L2,ZNF585B,RP11-849H4.2,ZNF225,ZNF878,ZNF625,ZNF234,ZNF285,ZNF224,ZNF595,CCL16,TADA2A",1.48452897992254
