"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"1","greenyellow","central glial substance_localMarker(FC>2)_IN_Myelencephalon__HBA","HumanBrainRegions",1.1771984723181e-242
"2","greenyellow","central glial substance_localMarker(top200)_IN_Myelencephalon__HBA","HumanBrainRegions",5.98429272171551e-148
"3","greenyellow","Epithalamus_globalMarker(top200)__HBA","HumanBrainRegions",9.77403513438025e-146
"4","skyblue","105976_REACTOME_Eukaryotic_Translation_Elongation__Reactome_NCBI_Biosystems","PW_Lists",9.39801882879177e-127
"5","skyblue","413404_KEGG_Ribosome,_eukaryotes__Kegg_NCBI_Biosystems","PW_Lists",5.50205196387701e-124
"6","skyblue","105977_REACTOME_Peptide_chain_elongation__Reactome_NCBI_Biosystems","PW_Lists",5.07341088624682e-123
"7","skyblue","441_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",5.07341088624682e-123
"8","skyblue","83036_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",5.07341088624682e-123
"9","skyblue","105978_REACTOME_Eukaryotic_Translation_Termination__Reactome_NCBI_Biosystems","PW_Lists",3.06771895049792e-120
"10","skyblue","106077_REACTOME_Viral_mRNA_Translation__Reactome_NCBI_Biosystems","PW_Lists",3.06771895049792e-120
"11","skyblue","366242_REACTOME_Nonsense_Mediated_Decay_Independent_of_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",9.90040671747327e-119
"12","skyblue","198853_WikiPathways_Cytoplasmic_Ribosomal_Proteins__Wiki_Pathways_NCBI_Biosystems","PW_Lists",1.65803170314852e-118
"13","blue","Neuron_probable__Cahoy","Brain",2.25589452743412e-115
"14","skyblue","105968_REACTOME_Formation_of_a_pool_of_free_40S_subunits__Reactome_NCBI_Biosystems","PW_Lists",2.06424503204986e-114
"15","yellow","brown_M3_Astrocytes__HumanMeta","Brain",2.77387457579321e-114
"16","skyblue","160955_REACTOME_L13a-mediated_translational_silencing_of_Ceruloplasmin_expression__Reactome_NCBI_Biosystems","PW_Lists",8.56870391898892e-111
"17","skyblue","106074_REACTOME_Influenza_Viral_RNA_Transcription_and_Replication__Reactome_NCBI_Biosystems","PW_Lists",6.39765701785146e-109
"18","skyblue","105973_REACTOME_GTP_hydrolysis_and_joining_of_the_60S_ribosomal_subunit__Reactome_NCBI_Biosystems","PW_Lists",5.9310540067422e-108
"19","skyblue","366240_REACTOME_Nonsense-Mediated_Decay__Reactome_NCBI_Biosystems","PW_Lists",1.95928828778535e-107
"20","skyblue","366241_REACTOME_Nonsense_Mediated_Decay_Enhanced_by_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",1.95928828778535e-107
"21","skyblue","530746_REACTOME_SRP-dependent_cotranslational_protein_targeting_to_membrane__Reactome_NCBI_Biosystems","PW_Lists",1.95928828778535e-107
"22","skyblue","105966_REACTOME_Eukaryotic_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",1.03108840255464e-106
"23","skyblue","105967_REACTOME_Cap-dependent_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",1.03108840255464e-106
"24","skyblue","105965_REACTOME_Translation__Reactome_NCBI_Biosystems","PW_Lists",1.13680255304407e-102
"25","skyblue","salmon_M12_Ribosome__HumanMeta","Brain",1.44284763339238e-101
"26","darkorange","blue_M2_Oligodendrocytes__HumanMeta","Brain",7.33986675529987e-94
"27","skyblue","106068_REACTOME_Influenza_Life_Cycle__Reactome_NCBI_Biosystems","PW_Lists",9.56662877908599e-94
"28","skyblue","106067_REACTOME_Influenza_Infection__Reactome_NCBI_Biosystems","PW_Lists",2.00401385248246e-92
"29","brown","Neuron_probable__Cahoy","Brain",4.31608479336489e-77
"30","yellow","brown_M15_Astrocyte__CTX","Brain",1.13371586571751e-75
"31","yellow","Astrocyte_probable__Cahoy","Brain",7.08053952963883e-75
"32","darkgreen","blue_M2_Oligodendrocytes__HumanMeta","Brain",4.26708385668588e-74
"33","darkorange","Red Nucleus_localMarker(top200)_IN_Mesencephalon__HBA","HumanBrainRegions",1.77111543251349e-73
"34","darkorange","Red Nucleus_localMarker(FC>2)_IN_Mesencephalon__HBA","HumanBrainRegions",1.59093735353277e-72
"35","darkorange2","pink_M10_Microglia(Type1)__HumanMeta","Brain",1.91421905605985e-70
"36","skyblue","106230_REACTOME_Metabolism_of_proteins__Reactome_NCBI_Biosystems","PW_Lists",5.95976535786359e-68
"37","brown","Lateral Nucleus_localMarker(top200)_IN_Amygdala__HBA","HumanBrainRegions",1.03114673733177e-66
"38","yellow","Astrocyte_definite__Cahoy","Brain",1.74352801929954e-61
"39","brown","Autism_associated_module_M12__Voineagu","Brain",1.01695854110763e-53
"40","red","red_M11_Neuron__HumanMeta","Brain",1.05168453212619e-53
"41","lightyellow","magenta_M8_Microglia(Type2)__HumanMeta","Brain",2.07827421851364e-53
"42","greenyellow","Head of Caudate Nucleus_localMarker(top200)_IN_Striatum__HBA","HumanBrainRegions",1.59706372583632e-51
"43","red","brown_downAD_mitochondrion__Blalock_AD","Brain",3.040213829731e-51
"44","darkorange","turquoise_M9_Oligodendrocyte__CTX","Brain",1.39737483326053e-50
"45","darkturquoise","Substantia Nigra, pars reticulata_localMarker(top200)_IN_Mesencephalon__HBA","HumanBrainRegions",1.50196792416249e-47
"46","blue","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",4.63472082640514e-46
"47","lightcyan","cyan_M4_Mitochondria__MouseMeta","Brain",5.17782998940556e-45
"48","lightgreen","blue_M16_Neuron__CTX","Brain",1.2381591491419e-44
"49","red","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",2.72196450113552e-44
"50","skyblue","530764_REACTOME_Disease__Reactome_NCBI_Biosystems","PW_Lists",8.04984301187712e-44
"51","lightcyan","cyan_M4_Mitochondria__HumanMeta","Brain",1.64796454151681e-43
"52","blue","Neuron_definite__Cahoy","Brain",1.83813006793417e-43
"53","paleturquoise","brown_M3_Astrocytes__HumanMeta","Brain",6.35667624374096e-43
"54","white","Supraoptic Nucleus_localMarker(FC>2)_IN_Hypothalamus__HBA","HumanBrainRegions",1.1214465147531e-42
"55","darkorange","Oligodendrocyte_probable__Cahoy","Brain",1.16267668456184e-40
"56","darkorange","Ventral Thalamus_globalMarker(top200)__HBA","HumanBrainRegions",1.26024019439318e-40
"57","bisque4","black_noChangeAD_heatShockProteinActivity__Blalock_AD","Brain",1.59364937919012e-40
"58","darkorange","nucleus subceruleus_localMarker(top200)_IN_Pontine Tegmentum__HBA","HumanBrainRegions",2.46727809223286e-40
"59","darkorange","tan_noChangeAD_oligo_plasmaMembrane__Blalock_AD","Brain",3.30762391861878e-39
"60","skyblue","105969_REACTOME_Formation_of_the_ternary_complex,_and_subsequently,_the_43S_complex__Reactome_NCBI_Biosystems","PW_Lists",4.59069534876981e-39
"61","yellow","red_ACCandCaudate__HumanChimp","Brain",2.15617397198212e-38
"62","skyblue","105971_REACTOME_Translation_initiation_complex_formation__Reactome_NCBI_Biosystems","PW_Lists",2.29500062541426e-38
"63","skyblue","105970_REACTOME_Activation_of_the_mRNA_upon_binding_of_the_cap-binding_complex_and_eIFs,_and_subsequent_binding_to_43S__Reactome_NCBI_Biosystems","PW_Lists",5.15962498372154e-38
"64","darkorange","Globus Pallidus_globalMarker(top200)__HBA","HumanBrainRegions",1.60059127100386e-37
"65","lightcyan","198860_WikiPathways_Electron_Transport_Chain__Wiki_Pathways_NCBI_Biosystems","PW_Lists",3.14069630144429e-37
"66","brown","green_M5_Mitochondria__HumanMeta","Brain",5.65542335252225e-37
"67","skyblue","105972_REACTOME_Ribosomal_scanning_and_start_codon_recognition__Reactome_NCBI_Biosystems","PW_Lists",2.0069563304421e-36
"68","brown","Neuron_definite__Cahoy","Brain",3.06906665620832e-36
"69","lightcyan","303_KEGG_Oxidative_phosphorylation__Kegg_NCBI_Biosystems","PW_Lists",4.56927616700552e-36
"70","lightcyan","82942_KEGG_Oxidative_phosphorylation__Kegg_NCBI_Biosystems","PW_Lists",4.56927616700552e-36
"71","skyblue","105937_REACTOME_Gene_Expression__Reactome_NCBI_Biosystems","PW_Lists",4.79414134365302e-36
"72","darkturquoise","Substantia Nigra, pars reticulata_localMarker(FC>2)_IN_Mesencephalon__HBA","HumanBrainRegions",5.26801064765034e-36
"73","lightcyan","105921_REACTOME_Respiratory_electron_transport,_ATP_synthesis_by_chemiosmotic_coupling,_and_heat_production_by_uncoupling_proteins.__Reactome_NCBI_Biosystems","PW_Lists",2.63268670094098e-35
"74","paleturquoise","Astrocyte_probable__Cahoy","Brain",1.16133053115069e-34
"75","lightcyan","6209_mito_oxidative_phosph_pad_196__Palazzolo_and_Wang","PW_Lists",2.0610689451148e-34
"76","brown","Cerebral Cortex_globalMarker(top200)__HBA","HumanBrainRegions",2.60036554835303e-34
"77","blue","medial parabrachial nucleus_localMarker(top200)_IN_Pontine Tegmentum__HBA","HumanBrainRegions",5.50608427450179e-34
"78","blue","tan_M13_Neuron__HumanMeta","Brain",1.62711326649945e-33
"79","darkmagenta","Annotated_genes_bound_by_RNA_polymerase_II_(Table_S2)__Lee","StemCells",4.74202300611304e-33
"80","darkgreen","turquoise_M9_Oligodendrocyte__CTX","Brain",8.1367640801344e-33
"81","lightcyan","83098_KEGG_Parkinson's_disease__Kegg_NCBI_Biosystems","PW_Lists",1.37814194036245e-32
"82","darkorange","White Matter_globalMarker(top200)__HBA","HumanBrainRegions",3.19848281834869e-32
"83","darkgreen","gigantocellular group_localMarker(top200)_IN_Myelencephalon__HBA","HumanBrainRegions",5.15122558098663e-32
"84","brown","Tail of Caudate Nucleus_localMarker(top200)_IN_Striatum__HBA","HumanBrainRegions",8.33289094973708e-32
"85","blue","22578497_synaptic_transcriptome_2338__PMID_22578497_Cajigas_2012","PW_Lists",2.67108780677818e-31
"86","blue","pink_downAD_synapticTransmission__Blalock_AD","Brain",1.27538064699272e-30
"87","darkorange2","Supraoptic Nucleus_localMarker(FC>2)_IN_Hypothalamus__HBA","HumanBrainRegions",1.673704083268e-30
"88","skyblue","upWithABeta_MGactivation_GSE772__MicrogialMarkers","Brain",1.8173928135145e-30
"89","greenyellow","Myelencephalon_globalMarker(top200)__HBA","HumanBrainRegions",3.28846337624348e-30
"90","lightcyan","160962_REACTOME_Respiratory_electron_transport__Reactome_NCBI_Biosystems","PW_Lists",3.81992959039248e-30
"91","lightcyan","512_KEGG_Huntington's_disease__Kegg_NCBI_Biosystems","PW_Lists",5.23699493942311e-30
"92","lightcyan","83100_KEGG_Huntington's_disease__Kegg_NCBI_Biosystems","PW_Lists",5.23699493942311e-30
"93","brown","Hippocampal Formation_globalMarker(top200)__HBA","HumanBrainRegions",5.86543898677255e-30
"94","yellowgreen","turquoise_M14_Nucleus__HumanMeta","Brain",6.46621228250638e-30
"95","darkgreen","Red Nucleus_localMarker(top200)_IN_Mesencephalon__HBA","HumanBrainRegions",2.33888367030454e-29
"96","darkturquoise","frontal part, inferior bank of gyrus_localMarker(top200)_IN_Cingulate Gyrus__HBA","HumanBrainRegions",3.35758883617381e-29
"97","blue","black_M1_PvalbInterneurons__HumanMeta","Brain",3.4677422425546e-28
"98","lightcyan","477137_REACTOME_The_citric_acid_(TCA)_cycle_and_respiratory_electron_transport__Reactome_NCBI_Biosystems","PW_Lists",1.9769870839332e-27
"99","blue","purple_downAD_synapticTransmission__Blalock_AD","Brain",2.74154182187019e-27
"100","darkorange","lateral bank of gyrus_localMarker(top200)_IN_Parahippocampal Gyrus__HBA","HumanBrainRegions",1.62891149416931e-26
"101","darkorange","Putamen_localMarker(top200)_IN_Striatum__HBA","HumanBrainRegions",4.36246068655565e-25
"102","darkturquoise","Lateral group of Nuclei, Dorsal Division_localMarker(top200)_IN_Dorthal Thalamus__HBA","HumanBrainRegions",5.22547825422336e-25
"103","darkgreen","White Matter_globalMarker(top200)__HBA","HumanBrainRegions",7.04816676303143e-25
"104","red","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",1.53862150066711e-24
"105","cyan","greenyellow_M6_GlutatmatergicSynapse__MouseMeta","Brain",2.25428471011431e-24
"106","darkturquoise","overexpressed_in_multipotent_primary_hematopoietic_SCs_(CD133+)__Cui","StemCells",1.7853847518509e-23
"107","skyblue","midnightblue_M2_Ribosome__CTX","Brain",2.3440274921346e-23
"108","darkturquoise","pink_M10_Microglia(Type1)__HumanMeta","Brain",2.53934036029464e-23
"109","darkorange2","Substantia Nigra, pars reticulata_localMarker(top200)_IN_Mesencephalon__HBA","HumanBrainRegions",3.87790674293398e-23
"110","darkorange","Lateral hypothalamic area_localMarker(top200)_IN_Hypothalamus__HBA","HumanBrainRegions",5.0680401897823e-23
"111","lightgreen","yellow_M18__CTX","Brain",1.00913685579989e-22
"112","blue","Nucleus Accumbens_localMarker(top200)_IN_Striatum__HBA","HumanBrainRegions",1.01212585079808e-22
"113","red","Annotated_genes_bound_by_RNA_polymerase_II_(Table_S2)__Lee","StemCells",1.19641931555307e-22
"114","brown","Basal Pons_globalMarker(top200)__HBA","HumanBrainRegions",2.37133853634865e-22
"115","darkgreen","Ventral Thalamus_globalMarker(top200)__HBA","HumanBrainRegions",4.91765605029058e-22
"116","lightcyan","6201_mito_db_pad_2664__Palazzolo_and_Wang","PW_Lists",8.2862338696652e-22
"117","lightcyan","509_KEGG_Alzheimer's_disease__Kegg_NCBI_Biosystems","PW_Lists",8.71992138236666e-22
"118","lightcyan","83097_KEGG_Alzheimer's_disease__Kegg_NCBI_Biosystems","PW_Lists",8.71992138236666e-22
"119","lightgreen","Annotated_genes_bound_by_RNA_polymerase_II_(Table_S2)__Lee","StemCells",1.8124908147779e-21
"120","darkgreen","nucleus subceruleus_localMarker(top200)_IN_Pontine Tegmentum__HBA","HumanBrainRegions",4.40814862366139e-21
"121","greenyellow","Midbrain Raphe Nuclei_localMarker(top200)_IN_Mesencephalon__HBA","HumanBrainRegions",4.51800348954623e-21
"122","blue","6001_synapsedb_pad_3552__Palazzolo_and_Wang","PW_Lists",7.80542916135889e-21
"123","lightgreen","turquoise_M14_Nucleus__MouseMeta","Brain",8.32562097312308e-21
"124","yellow","brown_upAging_copperHomeostatisMT1__Lu_Aging","Brain",1.26294203089232e-20
"125","lightyellow","orange_M5_Microglia(Type2)__CTX","Brain",2.27199657959052e-20
"126","lightcyan","6205_mito_inner_membrane_pad_299__Palazzolo_and_Wang","PW_Lists",2.99484973193165e-20
"127","darkorange","Paravermis_localMarker(top200)_IN_Cerebellar Cortex__HBA","HumanBrainRegions",4.92766512808372e-20
"128","mediumpurple3","Astrocyte_probable__Cahoy","Brain",5.08720429612919e-20
"129","greenyellow","Midbrain Raphe Nuclei_localMarker(FC>2)_IN_Mesencephalon__HBA","HumanBrainRegions",6.40554649275152e-20
"130","lightcyan","198870_WikiPathways_Oxidative_phosphorylation__Wiki_Pathways_NCBI_Biosystems","PW_Lists",1.16513617060855e-19
"131","darkorange","Oligodendrocyte_definite__Cahoy","Brain",1.25197477751024e-19
"132","brown","22578497_synaptic_transcriptome_2338__PMID_22578497_Cajigas_2012","PW_Lists",8.91629646341998e-19
"133","blue","Autism_associated_module_M12__Voineagu","Brain",8.94832827488209e-19
"134","cyan","Neuron_probable__Cahoy","Brain",1.82294752170586e-18
"135","plum1","blue_M2_Oligodendrocytes__HumanMeta","Brain",2.83137792737995e-18
"136","darkorange2","upInFrontalCortex__EarlyAD","Brain",4.54587063723057e-18
"137","blue","spinal trigeminal nucleus_localMarker(top200)_IN_Myelencephalon__HBA","HumanBrainRegions",1.4085931149268e-17
"138","blue","Substantia Nigra, pars compacta_localMarker(top200)_IN_Mesencephalon__HBA","HumanBrainRegions",1.4085931149268e-17
"139","blue","6011_postsynaptic_density_pad_1054__Palazzolo_and_Wang","PW_Lists",1.81443934099853e-17
"140","blue","6012_postsynaptic_proteomics_pad_1097__Palazzolo_and_Wang","PW_Lists",1.88670304110497e-17
"141","blue","subiculum_localMarker(top200)_IN_Hippocampal Formation__HBA","HumanBrainRegions",3.38906205705726e-17
"142","darkorange2","Supraoptic Nucleus_localMarker(top200)_IN_Hypothalamus__HBA","HumanBrainRegions",4.79263240070447e-17
"143","blue","106513_REACTOME_Neuronal_System__Reactome_NCBI_Biosystems","PW_Lists",7.55728295780177e-17
"144","blue","Dentate Nucleus_localMarker(top200)_IN_Cerebellar Nucleus__HBA","HumanBrainRegions",7.96420438066783e-17
"145","darkorange2","Lateral group of Nuclei, Dorsal Division_localMarker(top200)_IN_Dorthal Thalamus__HBA","HumanBrainRegions",9.01655264739347e-17
"146","brown","Autism_differential_expression_across_at_least_one_comparison__Voineagu","Brain",9.72460417908597e-17
"147","darkgreen","Red Nucleus_localMarker(FC>2)_IN_Mesencephalon__HBA","HumanBrainRegions",1.0328397966202e-16
"148","brown","Annotated_genes_bound_by_Suz12_(Table_S8)__Lee","StemCells",1.22867818169501e-16
"149","red","salmon_M12_Ribosome__MouseMeta","Brain",1.73341287990997e-16
"150","darkgreen","Putamen_localMarker(top200)_IN_Striatum__HBA","HumanBrainRegions",2.63639638444097e-16
"151","skyblue","22556411_tanese_interactome_cytoplasm_329__PMID_22556411_Culver_2012","PW_Lists",2.79241870007563e-16
"152","darkgrey","22578497_synaptic_transcriptome_2338__PMID_22578497_Cajigas_2012","PW_Lists",3.46199984354097e-16
"153","brown","brown_Cortex__HumanChimp","Brain",3.52936424948435e-16
"154","darkgreen","Oligodendrocyte_probable__Cahoy","Brain",3.79709487026903e-16
"155","red","yellow_M18__CTX","Brain",4.54323685809426e-16
"156","blue","inferior olivary complex_localMarker(top200)_IN_Myelencephalon__HBA","HumanBrainRegions",4.91599016643453e-16
"157","brown","arcuate nucleus of medulla_localMarker(top200)_IN_Myelencephalon__HBA","HumanBrainRegions",8.53794194212929e-16
"158","lightyellow","Supraoptic Nucleus_localMarker(FC>2)_IN_Hypothalamus__HBA","HumanBrainRegions",9.94713225424671e-16
"159","brown","6001_synapsedb_pad_3552__Palazzolo_and_Wang","PW_Lists",1.03947220044784e-15
"160","red","6201_mito_db_pad_2664__Palazzolo_and_Wang","PW_Lists",1.23291975760168e-15
"161","darkorange2","Substantia Nigra, pars reticulata_localMarker(FC>2)_IN_Mesencephalon__HBA","HumanBrainRegions",1.36569270731759e-15
"162","brown","arcuate nucleus of medulla_localMarker(FC>2)_IN_Myelencephalon__HBA","HumanBrainRegions",1.43714089204032e-15
"163","blue","Annotated_genes_bound_by_Suz12_(Table_S8)__Lee","StemCells",1.98572270511595e-15
"164","darkorange2","RedBloodCell__Kabanova","Blood",2.34251029600721e-15
"165","white","magenta_M8_Microglia(Type2)__HumanMeta","Brain",2.34872847111061e-15
