"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","purple",0.59461395259601
"2","ENSG00000237683","AL627309.1","darkorange2",0.819364227562037
"3","ENSG00000268903","RP11-34P13.15","darkorange2",0.724710096802904
"4","ENSG00000269981","RP11-34P13.16","darkorange2",0.780647309453121
"5","ENSG00000228463","AP006222.2","grey60",0.564629450490676
"6","ENSG00000241670","AP006222.1","red",0.490578592448982
"7","ENSG00000237094","RP4-669L17.10","magenta",0.615570754708939
"8","ENSG00000225972","MTND1P23","thistle1",0.498885866625527
"9","ENSG00000225630","MTND2P28","thistle1",0.389987040926428
"10","ENSG00000237973","hsa-mir-6723","thistle1",0.364765377402246
"11","ENSG00000229344","RP5-857K21.7","thistle1",0.330935220100877
"12","ENSG00000224956","RP11-206L10.1","purple",0.689424123898912
"13","ENSG00000228327","RP11-206L10.2","magenta",0.781512092480243
"14","ENSG00000237491","RP11-206L10.9","black",0.549977967114804
"15","ENSG00000225880","LINC00115","purple",0.600769765469228
"16","ENSG00000228794","RP11-206L10.11","darkslateblue",0.865840436202808
"17","ENSG00000188976","NOC2L","darkgrey",0.923125900050462
"18","ENSG00000187961","KLHL17","lightcyan1",0.78567044227273
"19","ENSG00000272512","ENSG00000272512","sienna3",0.455010039253172
"20","ENSG00000188290","HES4","ivory",0.586468789846364
"21","ENSG00000187608","ISG15","ivory",0.543319759112144
"22","ENSG00000188157","AGRN","purple",0.74210698138761
"23","ENSG00000242590","RP11-54O7.14","grey60",0.705536427790726
"24","ENSG00000217801","RP11-465B22.3","darkgrey",0.673248062885081
"25","ENSG00000131591","C1orf159","grey60",0.789321364215182
"26","ENSG00000186891","TNFRSF18","brown",0.541978126175056
"27","ENSG00000186827","TNFRSF4","bisque4",0.517136762126619
"28","ENSG00000078808","SDF4","lightcyan1",0.906583995121542
"29","ENSG00000176022","B3GALT6","brown",0.862560685267345
"30","ENSG00000184163","FAM132A","grey60",0.507135367602773
"31","ENSG00000160087","UBE2J2","ivory",0.889029988359698
"32","ENSG00000230415","RP5-902P8.10","magenta",0.666660274930652
"33","ENSG00000162572","SCNN1D","purple",0.834429008002787
"34","ENSG00000131584","ACAP3","grey60",0.837757304230148
"35","ENSG00000169972","PUSL1","ivory",0.777901727962979
"36","ENSG00000127054","CPSF3L","purple",0.939637857490031
"37","ENSG00000240731","RP5-890O3.9","magenta",0.769795224357699
"38","ENSG00000224051","GLTPD1","ivory",0.859643885745352
"39","ENSG00000107404","DVL1","cyan",0.904744798438833
"40","ENSG00000162576","MXRA8","mediumpurple3",0.633864029147816
"41","ENSG00000175756","AURKAIP1","lightcyan",0.892283877621042
"42","ENSG00000221978","CCNL2","purple",0.891828964831432
"43","ENSG00000224870","RP4-758J18.2","plum1",0.531643680175801
"44","ENSG00000242485","MRPL20","lightcyan",0.91569360463872
"45","ENSG00000264293","RN7SL657P","magenta",0.664208633996374
"46","ENSG00000272455","ENSG00000272455","brown4",0.66468755860015
"47","ENSG00000235098","ANKRD65","darkgreen",0.583893689120869
"48","ENSG00000225905","RP4-758J18.7","plum2",0.547185900405331
"49","ENSG00000205116","TMEM88B","darkgreen",0.645359126083228
"50","ENSG00000225285","RP4-758J18.10","lightyellow",0.607642095200925
"51","ENSG00000179403","VWA1","darkgreen",0.779576302978222
"52","ENSG00000215915","ATAD3C","lightcyan1",0.409920853786362
"53","ENSG00000160072","ATAD3B","purple",0.816315063065879
"54","ENSG00000197785","ATAD3A","purple",0.825088722148695
"55","ENSG00000205090","TMEM240","ivory",0.853799650750348
"56","ENSG00000160075","SSU72","lightcyan",0.854388633374365
"57","ENSG00000215791","AL645728.2","lightyellow",0.443018001475666
"58","ENSG00000215014","AL645728.1","darkslateblue",0.578062578692042
"59","ENSG00000228594","C1orf233","cyan",0.729427149789673
"60","ENSG00000272106","ENSG00000272106","plum2",0.698578789525467
"61","ENSG00000197530","MIB2","ivory",0.845788789249708
"62","ENSG00000248333","CDK11B","darkgreen",0.721534265222195
"63","ENSG00000272004","ENSG00000272004","blue",0.640295830071921
"64","ENSG00000189339","SLC35E2B","darkgrey",0.819293225207848
"65","ENSG00000008128","CDK11A","purple",0.730836102886212
"66","ENSG00000268575","RP1-283E3.8","purple",0.743865593112026
"67","ENSG00000227775","RP1-283E3.4","steelblue",0.59355532328581
"68","ENSG00000215790","SLC35E2","steelblue",0.658427788722596
"69","ENSG00000008130","NADK","lightcyan1",0.897638335229885
"70","ENSG00000078369","GNB1","cyan",0.82219013880827
"71","ENSG00000231050","RP1-140A9.1","ivory",0.585694121558959
"72","ENSG00000169885","CALML6","grey60",0.524388214577039
