"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","purple",TRUE,0.0233,2967,425,102,0.24,0.034,"GO:0005654","CC",3,"nucleoplasm",1,"LAS1L,RBM5,SPPL2B,AKAP8L,DDX11,PNKP,KIAA0556,CTDP1,FSTL3,FAM50A,CPSF1,SREBF1,XRCC1,XAB2,LRCH4,CAD,DNMT3B,HDAC6,AAAS,SETD1A,IGFALS,GGA1,PATZ1,TAB1,TRMU,PCIF1,HSF4,TAF1C,SNRNP70,AKT2,PIAS4,LIG1,NRF1,RECQL5,SMARCD2,KAT2A,EZH1,CEP164,PRPF40B,FANCE,SLC39A7,ZBTB17,POLM,XRCC3,CPSF3L,CHTF18,KDM4B,MAU2,SAFB2,TRPM4,NASP,MUTYH,SUV420H2,TRIM45,DDB2,NUMA1,NEIL1,CMTM2,PELP1,INTS3,SOX13,FAM193B,GTF3C5,NOTCH1,TUT1,CPSF7,CXXC1,CRTC2,FGFR4,MAML1,TAF6L,ANKRD23,METTL17,PACSIN3,ILK,PPP2R3B,E4F1,ATG16L2,ING5,CCBL1,EXOSC10,RAD9A,RPS6KB2,ANAPC2,CLK2,FLII,DMAP1,PARP10,CLK3,EHMT1,TSEN54,UBA7,WDR27,NELFA,C17ORF70,AKAP17A,RING1,ZBTB48,CSNK1E,IRF9,FANCG,CCNL2",2.82602063333852
"2","purple",TRUE,0.015,4391,425,140,0.329,0.032,"GO:0031974","CC",2,"membrane-enclosed lumen",1,"LAS1L,RBM5,SPPL2B,AKAP8L,CALCOCO1,DDX11,PNKP,KIAA0556,CTDP1,FSTL3,FAM50A,CPSF1,SREBF1,XRCC1,XAB2,LRCH4,COL16A1,CAD,DNMT3B,HDAC6,AAAS,SETD1A,IGFALS,GGA1,PATZ1,ARSA,TAB1,TRMU,TELO2,REC8,PCIF1,COL20A1,HSF4,TAF1C,SNRNP70,AURKC,AKT2,PIAS4,LIG1,BCAT2,NRF1,CDK5RAP3,RECQL5,FTSJ3,SMARCD2,KAT2A,NAGLU,EZH1,CEP164,PRPF40B,ACAD10,FANCE,SLC39A7,COL7A1,ABHD14B,ZBTB17,CEP89,POLM,XRCC3,CPSF3L,IDUA,CHTF18,KDM4B,PRKRIP1,KRI1,MAU2,SAFB2,TRPM4,NASP,MUTYH,SUV420H2,TRIM45,DDB2,RDH5,FPGS,NUMA1,NEIL1,CMTM2,PELP1,PPOX,INTS3,SOX13,AMT,FAM193B,GTF3C5,NOTCH1,MTG1,TUT1,CPSF7,CXXC1,CRTC2,FGFR4,MAML1,TAF6L,ANKRD23,FIGF,METTL17,PACSIN3,ILK,PPP2R3B,E4F1,ATG16L2,ING5,COG7,XPO6,GUSB,CCBL1,GAA,EXOSC10,QARS,RAD9A,SLC29A2,RPS6KB2,ANAPC2,CLK2,FLII,DMAP1,PARP10,CLK3,D2HGDH,EHMT1,TSEN54,UBA7,WDR27,NELFA,C17ORF70,AGRN,GSTK1,ATAD3A,AKAP17A,RING1,COL11A2,ZBTB48,GPC2,CSNK1E,IRF9,HOMEZ,FANCG,CCNL2,BGLAP",2.31652234550961
"3","purple",TRUE,0.0127,12783,425,332,0.781,0.026,"GO:0043226","CC",2,"organelle",1,"LAS1L,RBM5,RBM6,DVL2,SPPL2B,OSBPL7,LUC7L,CDK11A,POMT2,HHATL,IFFO1,MKS1,AKAP8L,CALCOCO1,DDX11,OSBPL5,PNKP,PQLC2,CTNS,OFD1,KIAA0556,ELN,CROCC,CTDP1,OGFR,SFSWAP,ZNF76,SLC9A3,FSTL3,ZXDC,FAM50A,CPSF1,PTPN18,SREBF1,XRCC1,SEC31B,XAB2,MAP2K7,LRCH4,RAPGEF3,COL16A1,CAD,CTTN,USP40,POMGNT1,GP6,DNMT3B,UNC13D,HDAC6,AAAS,SETD1A,IGFALS,GGT1,TOP3B,GGA1,HPS4,PATZ1,PICK1,LMF2,ARSA,TAB1,TRMU,TELO2,REC8,PCIF1,PABPC1L,ARFGAP1,COL20A1,ABCD1,RENBP,TAZ,HSF4,TAF1C,LMF1,CLCN7,IKBKB,SNRNP70,CLASRP,DMPK,TLE6,AURKC,AKT2,PIAS4,MYH14,TYK2,LIG1,BCAT2,GAPDHS,ATP13A1,NRF1,ZNF862,CDH23,RGS9,CDK5RAP3,RECQL5,GALK1,BLMH,FTSJ3,SMARCD2,KAT2A,NAGLU,EZH1,ALOX12,MYH3,ATG2A,CEP164,PRPF40B,MVK,ACAD10,FANCE,SLC39A7,GUCA1B,APBB3,TMCO6,COL7A1,ABHD14B,MOGS,WRAP73,ZBTB17,TFAP2E,NEK9,ABCD4,CEP89,POLM,STX16,NUP85,ZNF133,CEP250,XRCC3,ASL,WDR60,CPSF3L,IDUA,CHTF18,KDM4B,TUBGCP6,PRKRIP1,KRI1,MAU2,GALNT8,SAFB2,GTPBP3,SLC27A1,KIAA1683,TRPM4,ZNF337,HIP1R,STARD3,NUP210,NASP,MUTYH,SUV420H2,TRIM45,DDB2,RDH5,PAN2,MICAL1,SMPD4,FPGS,KLC4,NUMA1,SPTBN5,IFT172,SIX3,CD27,TCHP,RDH16,FITM1,CDAN1,NEIL1,MAN2C1,CMTM2,RHOT2,GAS8,SCRN2,PELP1,PPOX,INTS3,SOX13,TMEM44,AMT,EIF2B5,FAM193B,SLC12A9,ZNF7,GTF3C5,NOTCH1,MTG1,PGAP2,TUT1,EML3,CPSF7,SIDT2,CXXC1,PROM2,SLC25A28,MOV10,ALX3,TYSND1,CLEC18A,DHRS1,SLC13A3,ZNF276,RGL4,ATAD3B,LSS,NEK8,CRTC2,FGFR4,MAML1,ALDH16A1,ASB16,LEMD2,TAF6L,TPCN2,ANKRD23,ANKZF1,SHROOM1,MICALL2,FIGF,SDCCAG3,METTL17,PACSIN3,SLC39A13,ILK,ZSCAN21,ENTHD2,PPP2R3B,NCKAP5L,WDR81,HID1,GHDC,ITFG3,E4F1,ATG16L2,GLYCTK,POLR2J3,ING5,COG7,BMP1,TMEM150A,XPO6,ZRSR2,HEXDC,GUSB,MYO7B,CNTROB,ZNF212,CCBL1,ZNF692,GAA,EXOSC10,QARS,AZU1,RAD9A,SSH3,METAP1D,MST1,SWSAP1,SLC29A2,RPS6KB2,ANAPC2,RNPEP,CLK2,TMEM80,RABEP2,FLII,DMAP1,PARP10,CLK3,DNHD1,ZNF784,CRIPAK,ZNF792,D2HGDH,RPH3AL,EHMT1,SYNE4,OGFOD3,TMEM259,TSEN54,UBA7,SLC25A10,SERHL2,PLA2G6,WDR27,UBE2G2,NELFA,C17ORF70,GPAT2,ARAP1,FSCN2,POFUT2,AGRN,FZD9,SKOR1,FBF1,ZNF34,GSTK1,ATAD3A,AKAP17A,SFI1,UCKL1,FAM109A,RING1,COL11A2,ZBTB48,ZNF783,SAP25,QTRT1,MXD3,LCAT,GPC2,LAT,CSNK1E,IRF9,TAX1BP3,TM6SF2,TTLL3,CPNE1,HOMEZ,VPS16,NPEPL1,FANCG,CCNL2,SLC26A6,B3GALT4,BGLAP,UPK3B,KRTAP5-7,HAUS5,MYO15B",0.760772938189011
"4","purple",TRUE,0.00119,8325,425,240,0.565,0.029,"GO:0044422","CC",2,"organelle part",1,"LAS1L,RBM5,SPPL2B,OSBPL7,LUC7L,POMT2,HHATL,IFFO1,MKS1,AKAP8L,CALCOCO1,DDX11,OSBPL5,PNKP,PQLC2,CTNS,OFD1,KIAA0556,CROCC,CTDP1,FSTL3,FAM50A,CPSF1,SREBF1,XRCC1,SEC31B,XAB2,LRCH4,RAPGEF3,COL16A1,CAD,CTTN,POMGNT1,DNMT3B,HDAC6,AAAS,SETD1A,IGFALS,GGA1,PATZ1,PICK1,LMF2,ARSA,TAB1,TRMU,TELO2,REC8,PCIF1,COL20A1,ABCD1,TAZ,HSF4,TAF1C,LMF1,CLCN7,SNRNP70,DMPK,AURKC,AKT2,PIAS4,MYH14,LIG1,BCAT2,ATP13A1,NRF1,CDH23,RGS9,CDK5RAP3,RECQL5,FTSJ3,SMARCD2,KAT2A,NAGLU,EZH1,MYH3,CEP164,PRPF40B,ACAD10,FANCE,SLC39A7,GUCA1B,COL7A1,ABHD14B,MOGS,WRAP73,ZBTB17,NEK9,ABCD4,CEP89,POLM,STX16,NUP85,CEP250,XRCC3,WDR60,CPSF3L,IDUA,CHTF18,KDM4B,TUBGCP6,PRKRIP1,KRI1,MAU2,GALNT8,SAFB2,TRPM4,HIP1R,STARD3,NUP210,NASP,MUTYH,SUV420H2,TRIM45,DDB2,RDH5,MICAL1,SMPD4,FPGS,KLC4,NUMA1,SPTBN5,IFT172,TCHP,RDH16,FITM1,NEIL1,CMTM2,RHOT2,GAS8,PELP1,PPOX,INTS3,SOX13,TMEM44,AMT,FAM193B,GTF3C5,NOTCH1,MTG1,PGAP2,TUT1,EML3,CPSF7,SIDT2,CXXC1,PROM2,SLC25A28,DHRS1,ZNF276,ATAD3B,LSS,NEK8,CRTC2,FGFR4,MAML1,LEMD2,TAF6L,TPCN2,ANKRD23,ANKZF1,SHROOM1,MICALL2,FIGF,METTL17,PACSIN3,SLC39A13,ILK,PPP2R3B,NCKAP5L,WDR81,HID1,GHDC,E4F1,ATG16L2,ING5,COG7,XPO6,ZRSR2,GUSB,MYO7B,CNTROB,CCBL1,GAA,EXOSC10,QARS,AZU1,RAD9A,SLC29A2,RPS6KB2,ANAPC2,CLK2,FLII,DMAP1,PARP10,CLK3,DNHD1,D2HGDH,RPH3AL,EHMT1,SYNE4,TMEM259,TSEN54,UBA7,SLC25A10,PLA2G6,WDR27,NELFA,C17ORF70,GPAT2,ARAP1,FSCN2,POFUT2,AGRN,FZD9,FBF1,GSTK1,ATAD3A,AKAP17A,SFI1,FAM109A,RING1,COL11A2,ZBTB48,QTRT1,GPC2,LAT,CSNK1E,IRF9,TM6SF2,TTLL3,HOMEZ,VPS16,FANCG,CCNL2,SLC26A6,B3GALT4,BGLAP,KRTAP5-7,HAUS5,MYO15B",1.42400670158964
"5","purple",TRUE,0.015,4391,425,140,0.329,0.032,"GO:0043233","CC",2,"organelle lumen",2,"LAS1L,RBM5,SPPL2B,AKAP8L,CALCOCO1,DDX11,PNKP,KIAA0556,CTDP1,FSTL3,FAM50A,CPSF1,SREBF1,XRCC1,XAB2,LRCH4,COL16A1,CAD,DNMT3B,HDAC6,AAAS,SETD1A,IGFALS,GGA1,PATZ1,ARSA,TAB1,TRMU,TELO2,REC8,PCIF1,COL20A1,HSF4,TAF1C,SNRNP70,AURKC,AKT2,PIAS4,LIG1,BCAT2,NRF1,CDK5RAP3,RECQL5,FTSJ3,SMARCD2,KAT2A,NAGLU,EZH1,CEP164,PRPF40B,ACAD10,FANCE,SLC39A7,COL7A1,ABHD14B,ZBTB17,CEP89,POLM,XRCC3,CPSF3L,IDUA,CHTF18,KDM4B,PRKRIP1,KRI1,MAU2,SAFB2,TRPM4,NASP,MUTYH,SUV420H2,TRIM45,DDB2,RDH5,FPGS,NUMA1,NEIL1,CMTM2,PELP1,PPOX,INTS3,SOX13,AMT,FAM193B,GTF3C5,NOTCH1,MTG1,TUT1,CPSF7,CXXC1,CRTC2,FGFR4,MAML1,TAF6L,ANKRD23,FIGF,METTL17,PACSIN3,ILK,PPP2R3B,E4F1,ATG16L2,ING5,COG7,XPO6,GUSB,CCBL1,GAA,EXOSC10,QARS,RAD9A,SLC29A2,RPS6KB2,ANAPC2,CLK2,FLII,DMAP1,PARP10,CLK3,D2HGDH,EHMT1,TSEN54,UBA7,WDR27,NELFA,C17ORF70,AGRN,GSTK1,ATAD3A,AKAP17A,RING1,COL11A2,ZBTB48,GPC2,CSNK1E,IRF9,HOMEZ,FANCG,CCNL2,BGLAP",2.32959442707696
"6","purple",TRUE,0.00536,11692,425,311,0.732,0.027,"GO:0043229","CC",2,"intracellular organelle",1,"LAS1L,RBM5,RBM6,DVL2,SPPL2B,OSBPL7,LUC7L,CDK11A,POMT2,HHATL,IFFO1,MKS1,AKAP8L,CALCOCO1,DDX11,OSBPL5,PNKP,PQLC2,CTNS,OFD1,KIAA0556,ELN,CROCC,CTDP1,OGFR,SFSWAP,ZNF76,FSTL3,ZXDC,FAM50A,CPSF1,PTPN18,SREBF1,XRCC1,SEC31B,XAB2,MAP2K7,LRCH4,RAPGEF3,COL16A1,CAD,CTTN,USP40,POMGNT1,DNMT3B,UNC13D,HDAC6,AAAS,SETD1A,IGFALS,TOP3B,GGA1,HPS4,PATZ1,PICK1,LMF2,ARSA,TAB1,TRMU,TELO2,REC8,PCIF1,ARFGAP1,COL20A1,ABCD1,TAZ,HSF4,TAF1C,LMF1,CLCN7,IKBKB,SNRNP70,CLASRP,DMPK,TLE6,AURKC,AKT2,PIAS4,MYH14,TYK2,LIG1,BCAT2,GAPDHS,ATP13A1,NRF1,ZNF862,RGS9,CDK5RAP3,RECQL5,BLMH,FTSJ3,SMARCD2,KAT2A,NAGLU,EZH1,MYH3,ATG2A,CEP164,PRPF40B,MVK,ACAD10,FANCE,SLC39A7,APBB3,TMCO6,COL7A1,ABHD14B,MOGS,WRAP73,ZBTB17,TFAP2E,NEK9,ABCD4,CEP89,POLM,STX16,NUP85,ZNF133,CEP250,XRCC3,CPSF3L,IDUA,CHTF18,KDM4B,TUBGCP6,PRKRIP1,KRI1,MAU2,GALNT8,SAFB2,GTPBP3,SLC27A1,KIAA1683,TRPM4,ZNF337,HIP1R,STARD3,NUP210,NASP,MUTYH,SUV420H2,TRIM45,DDB2,RDH5,PAN2,MICAL1,SMPD4,FPGS,KLC4,NUMA1,SPTBN5,IFT172,SIX3,CD27,TCHP,RDH16,FITM1,CDAN1,NEIL1,MAN2C1,CMTM2,RHOT2,GAS8,PELP1,PPOX,INTS3,SOX13,TMEM44,AMT,EIF2B5,FAM193B,ZNF7,GTF3C5,NOTCH1,MTG1,PGAP2,TUT1,EML3,CPSF7,SIDT2,CXXC1,PROM2,SLC25A28,MOV10,ALX3,TYSND1,CLEC18A,DHRS1,ZNF276,RGL4,ATAD3B,LSS,CRTC2,FGFR4,MAML1,ASB16,LEMD2,TAF6L,TPCN2,ANKRD23,ANKZF1,SHROOM1,MICALL2,FIGF,SDCCAG3,METTL17,PACSIN3,SLC39A13,ILK,ZSCAN21,ENTHD2,PPP2R3B,NCKAP5L,WDR81,HID1,GHDC,E4F1,ATG16L2,GLYCTK,POLR2J3,ING5,COG7,BMP1,TMEM150A,XPO6,ZRSR2,HEXDC,GUSB,MYO7B,CNTROB,ZNF212,CCBL1,ZNF692,GAA,EXOSC10,QARS,AZU1,RAD9A,SSH3,METAP1D,MST1,SWSAP1,SLC29A2,RPS6KB2,ANAPC2,RNPEP,CLK2,RABEP2,FLII,DMAP1,PARP10,CLK3,DNHD1,ZNF784,CRIPAK,ZNF792,D2HGDH,RPH3AL,EHMT1,SYNE4,TMEM259,TSEN54,UBA7,SLC25A10,SERHL2,PLA2G6,WDR27,UBE2G2,NELFA,C17ORF70,GPAT2,ARAP1,FSCN2,POFUT2,AGRN,FZD9,SKOR1,FBF1,ZNF34,GSTK1,ATAD3A,AKAP17A,SFI1,UCKL1,FAM109A,RING1,COL11A2,ZBTB48,ZNF783,SAP25,QTRT1,MXD3,GPC2,LAT,CSNK1E,IRF9,TAX1BP3,TM6SF2,TTLL3,CPNE1,HOMEZ,VPS16,NPEPL1,FANCG,CCNL2,SLC26A6,B3GALT4,BGLAP,KRTAP5-7,HAUS5,MYO15B",0.883484947044495
"7","purple",TRUE,0.00242,8126,425,234,0.551,0.029,"GO:0044446","CC",2,"intracellular organelle part",2,"LAS1L,RBM5,SPPL2B,OSBPL7,LUC7L,POMT2,HHATL,IFFO1,MKS1,AKAP8L,CALCOCO1,DDX11,OSBPL5,PNKP,PQLC2,CTNS,OFD1,KIAA0556,CROCC,CTDP1,FSTL3,FAM50A,CPSF1,SREBF1,XRCC1,SEC31B,XAB2,LRCH4,RAPGEF3,COL16A1,CAD,CTTN,POMGNT1,DNMT3B,HDAC6,AAAS,SETD1A,IGFALS,GGA1,PATZ1,PICK1,LMF2,ARSA,TAB1,TRMU,TELO2,REC8,PCIF1,COL20A1,ABCD1,TAZ,HSF4,TAF1C,LMF1,CLCN7,SNRNP70,DMPK,AURKC,AKT2,PIAS4,MYH14,LIG1,BCAT2,ATP13A1,NRF1,CDK5RAP3,RECQL5,FTSJ3,SMARCD2,KAT2A,NAGLU,EZH1,MYH3,CEP164,PRPF40B,ACAD10,FANCE,SLC39A7,COL7A1,ABHD14B,MOGS,WRAP73,ZBTB17,NEK9,ABCD4,CEP89,POLM,STX16,NUP85,CEP250,XRCC3,CPSF3L,IDUA,CHTF18,KDM4B,TUBGCP6,PRKRIP1,KRI1,MAU2,GALNT8,SAFB2,TRPM4,HIP1R,STARD3,NUP210,NASP,MUTYH,SUV420H2,TRIM45,DDB2,RDH5,MICAL1,SMPD4,FPGS,KLC4,NUMA1,SPTBN5,IFT172,TCHP,RDH16,FITM1,NEIL1,CMTM2,RHOT2,GAS8,PELP1,PPOX,INTS3,SOX13,TMEM44,AMT,FAM193B,GTF3C5,NOTCH1,MTG1,PGAP2,TUT1,EML3,CPSF7,SIDT2,CXXC1,SLC25A28,DHRS1,ZNF276,ATAD3B,LSS,CRTC2,FGFR4,MAML1,LEMD2,TAF6L,TPCN2,ANKRD23,ANKZF1,SHROOM1,MICALL2,FIGF,METTL17,PACSIN3,SLC39A13,ILK,PPP2R3B,NCKAP5L,WDR81,HID1,GHDC,E4F1,ATG16L2,ING5,COG7,XPO6,ZRSR2,GUSB,MYO7B,CNTROB,CCBL1,GAA,EXOSC10,QARS,AZU1,RAD9A,SLC29A2,RPS6KB2,ANAPC2,CLK2,FLII,DMAP1,PARP10,CLK3,DNHD1,D2HGDH,RPH3AL,EHMT1,SYNE4,TMEM259,TSEN54,UBA7,SLC25A10,PLA2G6,WDR27,NELFA,C17ORF70,GPAT2,ARAP1,FSCN2,POFUT2,AGRN,FZD9,FBF1,GSTK1,ATAD3A,AKAP17A,SFI1,FAM109A,RING1,COL11A2,ZBTB48,QTRT1,GPC2,LAT,CSNK1E,IRF9,TM6SF2,TTLL3,HOMEZ,VPS16,FANCG,CCNL2,SLC26A6,B3GALT4,BGLAP,KRTAP5-7,HAUS5,MYO15B",1.46724466181727
"8","purple",TRUE,0.015,4391,425,140,0.329,0.032,"GO:0070013","CC",2,"intracellular organelle lumen",2,"LAS1L,RBM5,SPPL2B,AKAP8L,CALCOCO1,DDX11,PNKP,KIAA0556,CTDP1,FSTL3,FAM50A,CPSF1,SREBF1,XRCC1,XAB2,LRCH4,COL16A1,CAD,DNMT3B,HDAC6,AAAS,SETD1A,IGFALS,GGA1,PATZ1,ARSA,TAB1,TRMU,TELO2,REC8,PCIF1,COL20A1,HSF4,TAF1C,SNRNP70,AURKC,AKT2,PIAS4,LIG1,BCAT2,NRF1,CDK5RAP3,RECQL5,FTSJ3,SMARCD2,KAT2A,NAGLU,EZH1,CEP164,PRPF40B,ACAD10,FANCE,SLC39A7,COL7A1,ABHD14B,ZBTB17,CEP89,POLM,XRCC3,CPSF3L,IDUA,CHTF18,KDM4B,PRKRIP1,KRI1,MAU2,SAFB2,TRPM4,NASP,MUTYH,SUV420H2,TRIM45,DDB2,RDH5,FPGS,NUMA1,NEIL1,CMTM2,PELP1,PPOX,INTS3,SOX13,AMT,FAM193B,GTF3C5,NOTCH1,MTG1,TUT1,CPSF7,CXXC1,CRTC2,FGFR4,MAML1,TAF6L,ANKRD23,FIGF,METTL17,PACSIN3,ILK,PPP2R3B,E4F1,ATG16L2,ING5,COG7,XPO6,GUSB,CCBL1,GAA,EXOSC10,QARS,RAD9A,SLC29A2,RPS6KB2,ANAPC2,CLK2,FLII,DMAP1,PARP10,CLK3,D2HGDH,EHMT1,TSEN54,UBA7,WDR27,NELFA,C17ORF70,AGRN,GSTK1,ATAD3A,AKAP17A,RING1,COL11A2,ZBTB48,GPC2,CSNK1E,IRF9,HOMEZ,FANCG,CCNL2,BGLAP",2.34223377680148
"9","purple",TRUE,0.0417,5930,425,176,0.414,0.03,"GO:0003824","MF",4,"catalytic activity",1,"SPPL2B,CDK11A,POMT2,AKAP8L,DDX11,PNKP,PHKA2,CTDP1,PTPN18,XRCC1,MAP2K7,CAD,USP40,POMGNT1,DNMT3B,CPXM1,HDAC6,SETD1A,TRMT2A,GGT1,TOP3B,PICK1,CHKB,ARSA,TAB1,TRMU,ABCD1,RENBP,TAZ,IKBKB,DMPK,ILVBL,AURKC,AKT2,PIAS4,MYH14,TYK2,LIG1,BCAT2,GAPDHS,ATP13A1,FBXO24,RECQL5,GALK1,BLMH,FTSJ3,DHX58,KAT2A,NAGLU,EZH1,ALOX12,MYH3,ACCS,CHKA,MVK,ACAD10,OGFOD2,PFKFB4,ABHD14B,MOGS,NEK9,ABCD4,PYROXD2,POLM,GNMT,RBCK1,XRCC3,ASL,CPSF3L,IDUA,CHTF18,KDM4B,GALNT8,GTPBP3,SLC27A1,MUTYH,SUV420H2,DDB2,RDH5,PAN2,MICAL1,SMPD4,FPGS,KLC4,RDH16,CSAD,NEIL1,MAN2C1,RHOT2,CTRL,SCRN2,ADAMTS10,PPOX,RRNAD1,AMT,MTG1,TUT1,ADAM33,CXXC1,MOV10,TYSND1,FUK,DHRS1,RNF166,LSS,NEK8,FGFR4,ALDH16A1,ASB16,TAF6L,ANKZF1,MTMR14,METTL17,ILK,TMPRSS5,NAT16,PPP2R3B,PROCA1,E4F1,GLYCTK,POLR2J3,BMP1,GSTM4,HEXDC,DUS1L,GUSB,MYO7B,CCBL1,GAA,EXOSC10,QARS,AZU1,RAD9A,SSH3,METAP1D,NADSYN1,MST1,SWSAP1,RPS6KB2,ANAPC2,RNPEP,CLK2,PARP10,OPLAH,CLK3,DNHD1,D2HGDH,EHMT1,OGFOD3,TSEN54,UBA7,FBXL6,SERHL2,SRPK3,PLA2G6,UBE2G2,GPAT2,POFUT2,EXD3,UAP1L1,GSTK1,GZMM,ADAMTSL2,UCKL1,RING1,ATP6AP1L,QTRT1,LCAT,CSNK1E,TTLL3,CPNE1,NPEPL1,B3GALT4,NSUN6,CDK3,MYO15B",1.72337947088162
"10","purple",TRUE,0.0403,79,243,9,0.037,0.114,"REAC:380287","rea",1,"Centrosome maturation",1,"CDK11A,OFD1,CEP164,CEP250,TUBGCP6,NUMA1,SFI1,CSNK1E,HAUS5",NA
