"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"1","turquoise","Neuron_probable__Cahoy","Brain",2.00659565749522e-138
"2","red","blue_M2_Oligodendrocytes__HumanMeta","Brain",2.41235965070626e-138
"3","red","Red Nucleus_localMarker(top200)_IN_Mesencephalon__HBA","HumanBrainRegions",3.11722342467626e-118
"4","red","Red Nucleus_localMarker(FC>2)_IN_Mesencephalon__HBA","HumanBrainRegions",2.54819850253507e-112
"5","turquoise","red_M11_Neuron__HumanMeta","Brain",2.5986439174221e-108
"6","magenta","Supraoptic Nucleus_localMarker(FC>2)_IN_Hypothalamus__HBA","HumanBrainRegions",1.04930067831578e-106
"7","brown","brown_M3_Astrocytes__HumanMeta","Brain",6.6792034194367e-106
"8","turquoise","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",6.70973590640569e-94
"9","green","green_M5_Mitochondria__HumanMeta","Brain",3.26356694380744e-90
"10","red","White Matter_globalMarker(top200)__HBA","HumanBrainRegions",1.07439848625712e-85
"11","magenta","pink_M10_Microglia(Type1)__HumanMeta","Brain",2.7028039136893e-85
"12","brown","Astrocyte_probable__Cahoy","Brain",3.87814984708162e-85
"13","magenta","magenta_M8_Microglia(Type2)__HumanMeta","Brain",4.32655487118804e-82
"14","red","Ventral Thalamus_globalMarker(top200)__HBA","HumanBrainRegions",4.60612115554785e-79
"15","red","Globus Pallidus_globalMarker(top200)__HBA","HumanBrainRegions",4.89185637597018e-74
"16","turquoise","blue_M16_Neuron__CTX","Brain",6.09095971983734e-72
"17","red","turquoise_M9_Oligodendrocyte__CTX","Brain",9.06478109226923e-72
"18","red","Putamen_localMarker(top200)_IN_Striatum__HBA","HumanBrainRegions",2.44260702982267e-71
"19","turquoise","brown_downAD_mitochondrion__Blalock_AD","Brain",7.9350277050534e-69
"20","red","nucleus subceruleus_localMarker(top200)_IN_Pontine Tegmentum__HBA","HumanBrainRegions",2.88490630114233e-68
"21","pink","turquoise_M14_Nucleus__HumanMeta","Brain",5.33097031668114e-67
"22","turquoise","black_M1_PvalbInterneurons__HumanMeta","Brain",8.8512423097536e-64
"23","brown","brown_M15_Astrocyte__CTX","Brain",9.23986650063787e-62
"24","turquoise","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",2.2116000351771e-60
"25","brown","Astrocyte_definite__Cahoy","Brain",1.00251594395325e-59
"26","magenta","Substantia Nigra, pars reticulata_localMarker(top200)_IN_Mesencephalon__HBA","HumanBrainRegions",7.46592748991306e-58
"27","turquoise","22578497_synaptic_transcriptome_2338__PMID_22578497_Cajigas_2012","PW_Lists",2.22310663386163e-54
"28","greenyellow","413404_KEGG_Ribosome,_eukaryotes__Kegg_NCBI_Biosystems","PW_Lists",1.33206234388622e-52
"29","greenyellow","105976_REACTOME_Eukaryotic_Translation_Elongation__Reactome_NCBI_Biosystems","PW_Lists",1.8650906749318e-52
"30","greenyellow","441_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",5.26838458364105e-52
"31","greenyellow","83036_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",5.26838458364105e-52
"32","red","tan_noChangeAD_oligo_plasmaMembrane__Blalock_AD","Brain",6.11641683582235e-52
"33","greenyellow","105977_REACTOME_Peptide_chain_elongation__Reactome_NCBI_Biosystems","PW_Lists",2.15201542539511e-50
"34","greenyellow","198853_WikiPathways_Cytoplasmic_Ribosomal_Proteins__Wiki_Pathways_NCBI_Biosystems","PW_Lists",2.7555505051289e-49
"35","magenta","Supraoptic Nucleus_localMarker(top200)_IN_Hypothalamus__HBA","HumanBrainRegions",4.42594166158408e-49
"36","greenyellow","105978_REACTOME_Eukaryotic_Translation_Termination__Reactome_NCBI_Biosystems","PW_Lists",8.2559133520689e-49
"37","greenyellow","106077_REACTOME_Viral_mRNA_Translation__Reactome_NCBI_Biosystems","PW_Lists",8.2559133520689e-49
"38","red","gigantocellular group_localMarker(top200)_IN_Myelencephalon__HBA","HumanBrainRegions",1.53008804258492e-48
"39","black","brown_M3_Astrocytes__HumanMeta","Brain",1.67759016006768e-48
"40","greenyellow","106074_REACTOME_Influenza_Viral_RNA_Transcription_and_Replication__Reactome_NCBI_Biosystems","PW_Lists",2.25430144902581e-48
"41","greenyellow","105968_REACTOME_Formation_of_a_pool_of_free_40S_subunits__Reactome_NCBI_Biosystems","PW_Lists",8.84866349496492e-48
"42","greenyellow","366242_REACTOME_Nonsense_Mediated_Decay_Independent_of_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",3.13575991042997e-46
"43","magenta","Substantia Nigra, pars reticulata_localMarker(FC>2)_IN_Mesencephalon__HBA","HumanBrainRegions",7.32090443457547e-46
"44","greenyellow","530746_REACTOME_SRP-dependent_cotranslational_protein_targeting_to_membrane__Reactome_NCBI_Biosystems","PW_Lists",2.0386448826829e-45
"45","green","Neuron_probable__Cahoy","Brain",3.50161048677822e-44
"46","greenyellow","160955_REACTOME_L13a-mediated_translational_silencing_of_Ceruloplasmin_expression__Reactome_NCBI_Biosystems","PW_Lists",1.61968296380618e-43
"47","greenyellow","salmon_M12_Ribosome__HumanMeta","Brain",3.28113012174713e-43
"48","greenyellow","105973_REACTOME_GTP_hydrolysis_and_joining_of_the_60S_ribosomal_subunit__Reactome_NCBI_Biosystems","PW_Lists",3.93356195043801e-43
"49","black","Astrocyte_probable__Cahoy","Brain",2.57106148619759e-41
"50","green","Autism_associated_module_M12__Voineagu","Brain",6.87931921351897e-41
"51","greenyellow","105965_REACTOME_Translation__Reactome_NCBI_Biosystems","PW_Lists",1.16043827921663e-40
"52","greenyellow","105966_REACTOME_Eukaryotic_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",1.32842567253556e-40
"53","greenyellow","105967_REACTOME_Cap-dependent_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",1.32842567253556e-40
"54","magenta","overexpressed_in_multipotent_primary_hematopoietic_SCs_(CD133+)__Cui","StemCells",1.4531676996039e-39
"55","greenyellow","366240_REACTOME_Nonsense-Mediated_Decay__Reactome_NCBI_Biosystems","PW_Lists",6.96071819246858e-39
"56","greenyellow","366241_REACTOME_Nonsense_Mediated_Decay_Enhanced_by_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",6.96071819246858e-39
"57","greenyellow","cyan_M4_Mitochondria__MouseMeta","Brain",8.33383066675858e-39
"58","greenyellow","106067_REACTOME_Influenza_Infection__Reactome_NCBI_Biosystems","PW_Lists",1.67536380210957e-37
"59","green","green_M10_GlutamatergicSynapticFunction__CTX","Brain",6.8516463907087e-37
"60","turquoise","blue_Cortex__HumanChimp","Brain",1.82313457329939e-36
"61","greenyellow","106068_REACTOME_Influenza_Life_Cycle__Reactome_NCBI_Biosystems","PW_Lists",2.4736922108244e-36
"62","red","turquoise_upAging_oligo__Lu_Aging","Brain",4.20733483237444e-36
"63","magenta","upInFrontalCortex__EarlyAD","Brain",5.53738937218383e-36
"64","green","greenyellow_M6_GlutatmatergicSynapse__MouseMeta","Brain",1.6805536411463e-35
"65","turquoise","Neuron_definite__Cahoy","Brain",3.40494307378973e-35
"66","brown","red_ACCandCaudate__HumanChimp","Brain",4.69475000422994e-35
"67","turquoise","tan_M13_Neuron__HumanMeta","Brain",5.6201943307213e-35
"68","red","Oligodendrocyte_probable__Cahoy","Brain",5.32816600393349e-34
"69","red","Paravermis_localMarker(top200)_IN_Cerebellar Cortex__HBA","HumanBrainRegions",1.72031745402951e-33
"70","red","Oligodendrocyte_definite__Cahoy","Brain",2.82243333796987e-33
"71","green","22578497_synaptic_transcriptome_2338__PMID_22578497_Cajigas_2012","PW_Lists",3.16523333349888e-33
"72","red","lateral bank of gyrus_localMarker(top200)_IN_Parahippocampal Gyrus__HBA","HumanBrainRegions",3.3860861881348e-33
"73","magenta","Lateral group of Nuclei, Dorsal Division_localMarker(top200)_IN_Dorthal Thalamus__HBA","HumanBrainRegions",1.64818839727413e-32
"74","black","UpWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",6.84184737905574e-32
"75","turquoise","yellow_M18__CTX","Brain",3.05658248092602e-31
"76","magenta","orange_M5_Microglia(Type2)__CTX","Brain",1.51658554478058e-29
"77","magenta","171867_KEGG_Staphylococcus_aureus_infection__Kegg_NCBI_Biosystems","PW_Lists",8.1566590422072e-29
"78","magenta","172846_KEGG_Staphylococcus_aureus_infection__Kegg_NCBI_Biosystems","PW_Lists",8.1566590422072e-29
"79","turquoise","blue_downAging_mitochondria_synapse__Lu_Aging","Brain",4.8328644676486e-28
"80","magenta","frontal part, inferior bank of gyrus_localMarker(top200)_IN_Cingulate Gyrus__HBA","HumanBrainRegions",7.27822970766705e-27
"81","pink","Annotated_genes_bound_by_RNA_polymerase_II_(Table_S2)__Lee","StemCells",1.58729696151741e-25
"82","magenta","106386_REACTOME_Immune_System__Reactome_NCBI_Biosystems","PW_Lists",1.63448927420915e-25
"83","turquoise","brown_Cortex__HumanChimp","Brain",2.93719020316599e-25
"84","magenta","187106_REACTOME_Interferon_gamma_signaling__Reactome_NCBI_Biosystems","PW_Lists",5.58514866478988e-25
"85","red","Lateral hypothalamic area_localMarker(top200)_IN_Hypothalamus__HBA","HumanBrainRegions",1.402038916919e-24
"86","magenta","366171_REACTOME_Cytokine_Signaling_in_Immune_system__Reactome_NCBI_Biosystems","PW_Lists",1.82381982214548e-23
"87","turquoise","Lateral Nucleus_localMarker(top200)_IN_Amygdala__HBA","HumanBrainRegions",1.80131019165659e-22
"88","magenta","mutationMouseOrHumanOrBoth__JAXdiseaseGene","Brain",9.82134431178894e-22
"89","brown","brown_upAging_copperHomeostatisMT1__Lu_Aging","Brain",1.2130579277837e-21
"90","greenyellow","106230_REACTOME_Metabolism_of_proteins__Reactome_NCBI_Biosystems","PW_Lists",6.25187357430856e-21
"91","turquoise","subiculum_localMarker(top200)_IN_Hippocampal Formation__HBA","HumanBrainRegions",1.47385735598762e-20
"92","turquoise","Autism_associated_module_M12__Voineagu","Brain",3.35307888543378e-20
"93","turquoise","medial parabrachial nucleus_localMarker(top200)_IN_Pontine Tegmentum__HBA","HumanBrainRegions",4.37925878267787e-20
"94","magenta","purple_M4_Microglia(Type1)__CTX","Brain",1.05114913122666e-19
"95","turquoise","purple_downAD_synapticTransmission__Blalock_AD","Brain",5.29225809268971e-19
"96","turquoise","pink_downAD_synapticTransmission__Blalock_AD","Brain",1.58738075691698e-18
"97","green","greenyellow_M6_GlutatmatergicSynapse__HumanMeta","Brain",1.787290700815e-18
"98","brown","central glial substance_localMarker(FC>2)_IN_Myelencephalon__HBA","HumanBrainRegions",1.96365919117537e-18
"99","red","Emboliform Nucleus_localMarker(top200)_IN_Cerebellar Nucleus__HBA","HumanBrainRegions",2.02056566549703e-18
"100","turquoise","6012_postsynaptic_proteomics_pad_1097__Palazzolo_and_Wang","PW_Lists",3.21005013057285e-18
"101","turquoise","6011_postsynaptic_density_pad_1054__Palazzolo_and_Wang","PW_Lists",3.60007116555716e-18
"102","red","Superior Olivary Complex_localMarker(top200)_IN_Pontine Tegmentum__HBA","HumanBrainRegions",4.92638149415049e-18
"103","pink","turquoise_M14_Nucleus__MouseMeta","Brain",8.56927066339888e-18
"104","magenta","upMGactivagtion_GSE1910__MicrogialMarkers","Brain",1.18305700903569e-17
"105","turquoise","Nucleus Accumbens_localMarker(top200)_IN_Striatum__HBA","HumanBrainRegions",1.35000143206116e-17
"106","black","central glial substance_localMarker(FC>2)_IN_Myelencephalon__HBA","HumanBrainRegions",2.01321211385636e-17
"107","magenta","484_KEGG_Complement_and_coagulation_cascades__Kegg_NCBI_Biosystems","PW_Lists",2.79093207651574e-17
"108","magenta","83073_KEGG_Complement_and_coagulation_cascades__Kegg_NCBI_Biosystems","PW_Lists",2.79093207651574e-17
"109","pink","105938_REACTOME_Generic_Transcription_Pathway__Reactome_NCBI_Biosystems","PW_Lists",7.71344606017361e-17
"110","black","brown_M15_Astrocyte__CTX","Brain",9.34231338972323e-17
"111","green","6001_synapsedb_pad_3552__Palazzolo_and_Wang","PW_Lists",1.87790135649449e-16
"112","green","pink_M14_GlutamatergicSynapticFunction__CTX","Brain",2.76120394411714e-16
"113","turquoise","6001_synapsedb_pad_3552__Palazzolo_and_Wang","PW_Lists",1.068331199548e-15
"114","red","black_WhiteMatter__HumanChimp","Brain",1.4233494578828e-15
"115","greenyellow","cyan_M4_Mitochondria__HumanMeta","Brain",2.26013578673026e-15
"116","magenta","Cerebellar Nucleus_globalMarker(top200)__HBA","HumanBrainRegions",2.47538177120947e-15
"117","magenta","193096_KEGG_Osteoclast_differentiation__Kegg_NCBI_Biosystems","PW_Lists",2.49621260006213e-15
"118","magenta","193147_KEGG_Osteoclast_differentiation__Kegg_NCBI_Biosystems","PW_Lists",2.49621260006213e-15
"119","magenta","mutationHuman__JAXdiseaseGene","Brain",5.05443463038937e-15
