"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","tan",0.481203503107153
"2","ENSG00000237683","AL627309.1","magenta",0.604390857758136
"3","ENSG00000268903","RP11-34P13.15","magenta",0.565472754781257
"4","ENSG00000269981","RP11-34P13.16","magenta",0.529894427908303
"5","ENSG00000228463","AP006222.2","pink",0.598236037918387
"6","ENSG00000241670","AP006222.1","pink",0.465491476195992
"7","ENSG00000237094","RP4-669L17.10","purple",0.614584006586726
"8","ENSG00000225972","MTND1P23","black",0.05105331157296
"9","ENSG00000225630","MTND2P28","red",-0.0812289528467009
"10","ENSG00000237973","hsa-mir-6723","brown",-0.0141043580312268
"11","ENSG00000229344","RP5-857K21.7","red",-0.109168630350748
"12","ENSG00000224956","RP11-206L10.1","tan",0.699244614279151
"13","ENSG00000228327","RP11-206L10.2","purple",0.711880485433492
"14","ENSG00000237491","RP11-206L10.9","pink",0.534955908652939
"15","ENSG00000225880","LINC00115","magenta",0.603252327223313
"16","ENSG00000228794","RP11-206L10.11","turquoise",0.943300113669152
"17","ENSG00000188976","NOC2L","green",0.93153445511338
"18","ENSG00000187961","KLHL17","tan",0.712110862641334
"19","ENSG00000272512","ENSG00000272512","brown",0.26814332199238
"20","ENSG00000188290","HES4","greenyellow",0.595437042760833
"21","ENSG00000187608","ISG15","greenyellow",0.563541651612632
"22","ENSG00000188157","AGRN","green",0.724610913176416
"23","ENSG00000242590","RP11-54O7.14","tan",0.665384749894919
"24","ENSG00000217801","RP11-465B22.3","green",0.62347114619755
"25","ENSG00000273443","ENSG00000273443","green",0.728170674751696
"26","ENSG00000131591","C1orf159","tan",0.787446069362032
"27","ENSG00000186891","TNFRSF18","green",0.536763335769033
"28","ENSG00000186827","TNFRSF4","tan",0.33074840932304
"29","ENSG00000078808","SDF4","tan",0.83683790128796
"30","ENSG00000176022","B3GALT6","green",0.917155593900942
"31","ENSG00000184163","FAM132A","greenyellow",0.399886387594996
"32","ENSG00000160087","UBE2J2","greenyellow",0.776709371316403
"33","ENSG00000230415","RP5-902P8.10","tan",0.706444189830337
"34","ENSG00000162572","SCNN1D","tan",0.853330814776424
"35","ENSG00000131584","ACAP3","tan",0.825176685981205
