"","orangered4","maroon","lightcyan1","darkorange","lightsteelblue1","darkred","green","honeydew1","brown","darkturquoise","antiquewhite4","tan","greenyellow","turquoise","yellow","plum1","lightyellow","darkslateblue","coral2","midnightblue","pink","darkmagenta","cyan","orange","royalblue","darkorange2","salmon","blue","darkolivegreen","bisque4","violet","salmon4","navajowhite2","white","palevioletred3","paleturquoise","grey60","skyblue3","black","sienna3","coral1","saddlebrown","mediumpurple3","floralwhite","skyblue","yellow4","brown4","ivory","lightgreen","skyblue2","plum2","darkgreen","purple","steelblue","lightpink4","darkgrey","thistle1","yellowgreen","thistle2","darkseagreen4","lavenderblush3","mediumorchid"
"Astrocytes, highly probable (Cahoy, 2008)",1,0.0291901374596437,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Astrocytes module in Cortex",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00479559515764639,0.00864355051906956,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Microglia in Human brain Module (Geschwind, 2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.74383368543822e-07,1,1,1,0.00934914424164978,1,1,1,1,1,1,1,1,1,1,1,1
"Microglia (Type2) module in Cortex",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.12020899770428e-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron in Human brain Module (Geschwind,2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.07503190999347e-16,1,1,1,1,1,1,1,1,4.21023995089304e-06,1,1,1,1,1,1,1,1,1,1
"Neuron module in Cortex",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0139379945179235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2281882148006e-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.80131377129943e-09,1,1,1,1,0.0017826035353175,1,1,1,1
"Neuron, pyramidal in network from Sugino/Winden",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000644990655777438,1,1,1,1,1,1,1,1,1
"Microglia (Type 1) (Geschwind, 2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.55961102105723e-06,1,1,1,1,1,1,4.6977497812004e-46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron, definite (Cahoy, 2008)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocytes in Human brain Module (Geschwind,2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
