"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","darkturquoise",0.570222773138502
"2","ENSG00000237683","AL627309.1","brown",0.588229121843645
"3","ENSG00000268903","RP11-34P13.15","brown",0.615759506225973
"4","ENSG00000269981","RP11-34P13.16","brown",0.566268753187247
"5","ENSG00000239906","RP11-34P13.14","lightyellow",0.43765081393433
"6","ENSG00000228463","AP006222.2","orangered4",0.380921641756774
"7","ENSG00000241670","AP006222.1","lightcyan",0.455162716425773
"8","ENSG00000237094","RP4-669L17.10","midnightblue",0.695233379974481
"9","ENSG00000225972","MTND1P23","lightgreen",0.366666303449878
"10","ENSG00000225630","MTND2P28","purple",0.460842217672514
"11","ENSG00000237973","hsa-mir-6723","lightgreen",0.557799463608356
"12","ENSG00000229344","RP5-857K21.7","purple",0.376294160914743
"13","ENSG00000224956","RP11-206L10.1","darkred",0.727260671784285
"14","ENSG00000228327","RP11-206L10.2","midnightblue",0.728669502094559
"15","ENSG00000237491","RP11-206L10.9","royalblue",0.728230876739777
"16","ENSG00000230092","RP11-206L10.8","darkgreen",0.352736184699174
"17","ENSG00000177757","FAM87B","cyan",0.294974618308992
"18","ENSG00000225880","LINC00115","white",0.820764720385107
"19","ENSG00000228794","RP11-206L10.11","maroon",0.535064618437287
"20","ENSG00000223764","RP11-54O7.3","darkturquoise",0.59788713379713
"21","ENSG00000187634","SAMD11","cyan",0.628743002320148
"22","ENSG00000188976","NOC2L","honeydew1",0.825855418461015
"23","ENSG00000187961","KLHL17","plum1",0.814395643425066
"24","ENSG00000187583","PLEKHN1","darkorange",0.682940802978211
"25","ENSG00000272512","ENSG00000272512","royalblue",0.366569286188212
"26","ENSG00000188290","HES4","darkslateblue",0.520755210957184
"27","ENSG00000187608","ISG15","brown",0.570255570725493
"28","ENSG00000188157","AGRN","lightcyan1",0.610802206100878
"29","ENSG00000242590","RP11-54O7.14","lightcyan1",0.643061759807938
"30","ENSG00000131591","C1orf159","lightyellow",0.716202807055437
"31","ENSG00000186891","TNFRSF18","brown",0.749729993534314
"32","ENSG00000186827","TNFRSF4","orange",0.726905937688339
"33","ENSG00000078808","SDF4","darkslateblue",0.615554459380915
"34","ENSG00000176022","B3GALT6","lavenderblush3",0.644244877159398
"35","ENSG00000184163","FAM132A","lightyellow",0.60198632107451
"36","ENSG00000160087","UBE2J2","mediumpurple3",0.721157445438835
"37","ENSG00000230415","RP5-902P8.10","lightcyan1",0.686677330172494
"38","ENSG00000162572","SCNN1D","darkturquoise",0.806563149987866
"39","ENSG00000131584","ACAP3","plum1",0.732410700639397
"40","ENSG00000169972","PUSL1","lightpink4",0.596537738679909
"41","ENSG00000127054","CPSF3L","paleturquoise",0.794533204385319
"42","ENSG00000240731","RP5-890O3.9","paleturquoise",0.764353284792725
"43","ENSG00000224051","GLTPD1","plum1",0.55464470905974
"44","ENSG00000107404","DVL1","mediumpurple3",0.599272844268033
"45","ENSG00000162576","MXRA8","lightcyan1",0.735650461199234
"46","ENSG00000175756","AURKAIP1","ivory",0.80015178029625
"47","ENSG00000221978","CCNL2","darkred",0.887181620908734
"48","ENSG00000224870","RP4-758J18.2","lightgreen",0.550224770801475
"49","ENSG00000242485","MRPL20","darkmagenta",0.803162385467387
"50","ENSG00000264293","RN7SL657P","salmon",0.748215640995056
"51","ENSG00000272455","ENSG00000272455","darkred",0.634370267988051
"52","ENSG00000235098","ANKRD65","blue",0.791721524142528
"53","ENSG00000225285","RP4-758J18.10","saddlebrown",0.60911472963266
"54","ENSG00000179403","VWA1","saddlebrown",0.825709936549152
"55","ENSG00000215915","ATAD3C","saddlebrown",0.687227577186748
"56","ENSG00000160072","ATAD3B","darkorange",0.823450610894199
"57","ENSG00000197785","ATAD3A","honeydew1",0.900306222450472
"58","ENSG00000205090","TMEM240","lightcyan1",0.726820446020761
"59","ENSG00000160075","SSU72","lavenderblush3",0.772820931475449
"60","ENSG00000215791","AL645728.2","lightyellow",0.642570871875279
