"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"1","black","105976_REACTOME_Eukaryotic_Translation_Elongation__Reactome_NCBI_Biosystems","PW_Lists",2.31426719600667e-118
"2","black","105977_REACTOME_Peptide_chain_elongation__Reactome_NCBI_Biosystems","PW_Lists",1.45954017192481e-114
"3","black","413404_KEGG_Ribosome,_eukaryotes__Kegg_NCBI_Biosystems","PW_Lists",2.0431753650966e-113
"4","black","441_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",1.14579557309722e-112
"5","black","83036_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",1.14579557309722e-112
"6","black","105968_REACTOME_Formation_of_a_pool_of_free_40S_subunits__Reactome_NCBI_Biosystems","PW_Lists",2.30634048804176e-112
"7","black","105978_REACTOME_Eukaryotic_Translation_Termination__Reactome_NCBI_Biosystems","PW_Lists",6.09479632287627e-112
"8","black","106077_REACTOME_Viral_mRNA_Translation__Reactome_NCBI_Biosystems","PW_Lists",6.09479632287627e-112
"9","black","198853_WikiPathways_Cytoplasmic_Ribosomal_Proteins__Wiki_Pathways_NCBI_Biosystems","PW_Lists",3.08676007933814e-111
"10","black","366242_REACTOME_Nonsense_Mediated_Decay_Independent_of_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",1.32213265370603e-108
"11","black","160955_REACTOME_L13a-mediated_translational_silencing_of_Ceruloplasmin_expression__Reactome_NCBI_Biosystems","PW_Lists",5.57689996285105e-107
"12","black","105973_REACTOME_GTP_hydrolysis_and_joining_of_the_60S_ribosomal_subunit__Reactome_NCBI_Biosystems","PW_Lists",1.70328316713197e-106
"13","black","106074_REACTOME_Influenza_Viral_RNA_Transcription_and_Replication__Reactome_NCBI_Biosystems","PW_Lists",7.80252200223656e-105
"14","black","530746_REACTOME_SRP-dependent_cotranslational_protein_targeting_to_membrane__Reactome_NCBI_Biosystems","PW_Lists",9.56809765099765e-104
"15","black","105966_REACTOME_Eukaryotic_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",2.57420975110377e-103
"16","black","105967_REACTOME_Cap-dependent_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",2.57420975110377e-103
"17","black","105965_REACTOME_Translation__Reactome_NCBI_Biosystems","PW_Lists",2.02050053045858e-102
"18","black","366240_REACTOME_Nonsense-Mediated_Decay__Reactome_NCBI_Biosystems","PW_Lists",2.93118459789279e-99
"19","black","366241_REACTOME_Nonsense_Mediated_Decay_Enhanced_by_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",2.93118459789279e-99
"20","black","106067_REACTOME_Influenza_Infection__Reactome_NCBI_Biosystems","PW_Lists",7.24304921514457e-94
"21","black","106068_REACTOME_Influenza_Life_Cycle__Reactome_NCBI_Biosystems","PW_Lists",4.1505788539364e-93
"22","black","salmon_M12_Ribosome__HumanMeta","Brain",1.42621764008843e-92
"23","black","106230_REACTOME_Metabolism_of_proteins__Reactome_NCBI_Biosystems","PW_Lists",1.66104046483144e-71
"24","red","Substantia Nigra, pars reticulata_localMarker(top200)_IN_Mesencephalon__HBA","HumanBrainRegions",3.47987518872098e-71
"25","red","pink_M10_Microglia(Type1)__HumanMeta","Brain",1.92043006055787e-65
"26","red","Substantia Nigra, pars reticulata_localMarker(FC>2)_IN_Mesencephalon__HBA","HumanBrainRegions",1.48165612787094e-61
"27","yellow","cyan_M4_Mitochondria__MouseMeta","Brain",4.33412626423458e-54
"28","black","530764_REACTOME_Disease__Reactome_NCBI_Biosystems","PW_Lists",5.21083160685539e-54
