"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","blue",0.656394647471502
"2","ENSG00000237683","AL627309.1","skyblue",0.627865200127766
"3","ENSG00000268903","RP11-34P13.15","skyblue",0.569503753856608
"4","ENSG00000269981","RP11-34P13.16","skyblue",0.616361098513797
"5","ENSG00000239906","RP11-34P13.14","tan",0.573601093747987
"6","ENSG00000228463","AP006222.2","steelblue",0.301442607844882
"7","ENSG00000241670","AP006222.1","lightyellow",0.391760866891848
"8","ENSG00000237094","RP4-669L17.10","tan",0.797312815457416
"9","ENSG00000225972","MTND1P23","lightgreen",0.188818521083131
"10","ENSG00000225630","MTND2P28","red",0.34893501855573
"11","ENSG00000237973","hsa-mir-6723","midnightblue",0.388611407768938
"12","ENSG00000229344","RP5-857K21.7","brown",0.440953625675645
"13","ENSG00000224956","RP11-206L10.1","tan",0.572967033743971
"14","ENSG00000228327","RP11-206L10.2","tan",0.699305479908557
"15","ENSG00000237491","RP11-206L10.9","tan",0.572492412282351
"16","ENSG00000230092","RP11-206L10.8","tan",0.592783268937923
"17","ENSG00000177757","FAM87B","brown",0.389366557672467
"18","ENSG00000225880","LINC00115","turquoise",0.672328837634389
"19","ENSG00000228794","RP11-206L10.11","brown",0.689452153065812
"20","ENSG00000223764","RP11-54O7.3","salmon",0.559597783175064
"21","ENSG00000187634","SAMD11","salmon",0.563480513810896
"22","ENSG00000188976","NOC2L","magenta",0.714664600010981
"23","ENSG00000187961","KLHL17","darkgrey",0.812598672391086
"24","ENSG00000187583","PLEKHN1","blue",0.925332998954738
"25","ENSG00000272512","ENSG00000272512","darkred",0.476810371269595
"26","ENSG00000188290","HES4","paleturquoise",0.543207303379687
"27","ENSG00000187608","ISG15","steelblue",0.415994083278156
"28","ENSG00000188157","AGRN","blue",0.898129445150337
"29","ENSG00000242590","RP11-54O7.14","blue",0.893968491902334
"30","ENSG00000131591","C1orf159","blue",0.828147493686317
"31","ENSG00000205231","TTLL10-AS1","red",0.665900645347219
"32","ENSG00000162571","TTLL10","red",0.620188897061332
"33","ENSG00000186891","TNFRSF18","saddlebrown",0.576412763078744
"34","ENSG00000186827","TNFRSF4","red",0.520081464941893
"35","ENSG00000078808","SDF4","paleturquoise",0.600065411288762
"36","ENSG00000176022","B3GALT6","cyan",0.650114204297305
"37","ENSG00000184163","FAM132A","tan",0.296936350574685
"38","ENSG00000260179","RP5-902P8.12","tan",0.646711192210645
"39","ENSG00000160087","UBE2J2","black",0.644784166919914
"40","ENSG00000230415","RP5-902P8.10","greenyellow",0.787061312375969
"41","ENSG00000162572","SCNN1D","greenyellow",0.857011654398525
"42","ENSG00000131584","ACAP3","darkgrey",0.622783774998797
"43","ENSG00000169972","PUSL1","darkgrey",0.69796610609893
"44","ENSG00000127054","CPSF3L","darkgrey",0.896881170656164
"45","ENSG00000240731","RP5-890O3.9","turquoise",0.887827089587991
"46","ENSG00000224051","GLTPD1","black",0.766361668143271
"47","ENSG00000169962","TAS1R3","greenyellow",0.35969499385059
"48","ENSG00000107404","DVL1","darkgrey",0.760594522658851
"49","ENSG00000162576","MXRA8","salmon",0.71151939300643
"50","ENSG00000175756","AURKAIP1","darkorange",0.911963283148036
"51","ENSG00000221978","CCNL2","tan",0.815184404917626
"52","ENSG00000224870","RP4-758J18.2","black",0.572002930789401
"53","ENSG00000242485","MRPL20","darkorange",0.805266311287178
"54","ENSG00000264293","RN7SL657P","tan",0.70523121988506
"55","ENSG00000272455","ENSG00000272455","orange",0.517072022027154
"56","ENSG00000235098","ANKRD65","greenyellow",0.631879393452573
"57","ENSG00000225905","RP4-758J18.7","greenyellow",0.721297759246663
"58","ENSG00000225285","RP4-758J18.10","saddlebrown",0.564361800086282
"59","ENSG00000179403","VWA1","saddlebrown",0.539492271894455
"60","ENSG00000215915","ATAD3C","darkgrey",0.754393936578938
"61","ENSG00000160072","ATAD3B","darkgrey",0.724550018050359
"62","ENSG00000197785","ATAD3A","cyan",0.732193634783518
"63","ENSG00000205090","TMEM240","turquoise",0.620127520477784
"64","ENSG00000160075","SSU72","darkorange",0.783069034705082
"65","ENSG00000215791","AL645728.2","midnightblue",0.477739186525698
"66","ENSG00000215014","AL645728.1","midnightblue",0.199242970824147
"67","ENSG00000228594","C1orf233","greenyellow",0.661899937516173
"68","ENSG00000272106","ENSG00000272106","greenyellow",0.686032651699056
"69","ENSG00000197530","MIB2","darkgrey",0.79240485120155
"70","ENSG00000189409","MMP23B","salmon",0.667150405038886
"71","ENSG00000248333","CDK11B","darkgrey",0.522665806592179
"72","ENSG00000272004","ENSG00000272004","turquoise",0.473387405422871
"73","ENSG00000189339","SLC35E2B","turquoise",0.805614851022103
"74","ENSG00000269227","RP11-345P4.6","darkgreen",0.620392602193151
"75","ENSG00000008128","CDK11A","darkgrey",0.520914373016123
"76","ENSG00000268575","RP1-283E3.8","darkgrey",0.530776845461679
"77","ENSG00000227775","RP1-283E3.4","turquoise",0.708320399365652
"78","ENSG00000215790","SLC35E2","turquoise",0.77901822441012
"79","ENSG00000008130","NADK","midnightblue",0.733648437839888
"80","ENSG00000078369","GNB1","red",0.644941562041742
"81","ENSG00000231050","RP1-140A9.1","midnightblue",0.444679006621238
"82","ENSG00000169885","CALML6","greenyellow",0.68373486531144
"83","ENSG00000178821","TMEM52","midnightblue",0.678943561270431
"84","ENSG00000187730","GABRD","darkred",0.30312977806409
"85","ENSG00000182873","RP11-181G12.2","blue",0.937008888757435
"86","ENSG00000162585","C1orf86","black",0.807100683587262
"87","ENSG00000269554","AL590822.2","tan",0.611544154407363
"88","ENSG00000157933","SKI","darkred",0.307420064434128
"89","ENSG00000116151","MORN1","blue",0.902203859798535
"90","ENSG00000272420","ENSG00000272420","tan",0.634982126336632
"91","ENSG00000178642","AL513477.1","blue",0.881121661162839
"92","ENSG00000157916","RER1","darkorange",0.51647880224526
"93","ENSG00000157911","PEX10","midnightblue",0.511906631812097
"94","ENSG00000149527","PLCH2","blue",0.931497518818051
"95","ENSG00000157881","PANK4","darkgrey",0.777899882478334
"96","ENSG00000272449","ENSG00000272449","saddlebrown",0.631852763766618
"97","ENSG00000238164","RP3-395M20.8","turquoise",0.764640908438126
"98","ENSG00000157873","TNFRSF14","grey60",0.778783284524824
"99","ENSG00000228037","RP3-395M20.9","grey60",0.452515384364859
"100","ENSG00000157870","FAM213B","greenyellow",0.721213045542882
"101","ENSG00000142606","MMEL1","greenyellow",0.628872352821388
"102","ENSG00000177133","RP1-163G9.1","darkred",0.693197724299535
"103","ENSG00000142611","PRDM16","darkred",0.78348893478286
"104","ENSG00000130762","ARHGEF16","blue",0.73283230356933
"105","ENSG00000272088","ENSG00000272088","orange",0.272581150481453
"106","ENSG00000162591","MEGF6","salmon",0.694678097755082
"107","ENSG00000238260","RP11-46F15.2","turquoise",0.783358133035766
"108","ENSG00000158109","TPRG1L","brown",0.357640073138201
"109","ENSG00000116213","WRAP73","darkgrey",0.776144456565822
"110","ENSG00000078900","TP73","blue",0.782815841316273
"111","ENSG00000227372","TP73-AS1","turquoise",0.869564530808415
"112","ENSG00000235169","SMIM1","greenyellow",0.684146833389209
"113","ENSG00000130764","LRRC47","black",0.732987712832249
"114","ENSG00000272153","ENSG00000272153","darkgrey",0.737535586067091
"115","ENSG00000116198","CEP104","turquoise",0.398454614962483
"116","ENSG00000169598","DFFB","turquoise",0.831261259842292
"117","ENSG00000198912","C1orf174","greenyellow",0.667809307158967
"118","ENSG00000131697","NPHP4","orange",0.293900115794004
"119","ENSG00000069424","KCNAB2","pink",0.783873257658818
"120","ENSG00000116251","RPL22","green",0.888507619148399
"121","ENSG00000226944","RP1-120G22.11","greenyellow",0.471402247059163
"122","ENSG00000158286","RNF207","turquoise",0.831359707103889
"123","ENSG00000116237","ICMT","brown",0.700054643516758
"124","ENSG00000158292","GPR153","midnightblue",0.813980378915306
"125","ENSG00000097021","ACOT7","cyan",0.508897927616488
"126","ENSG00000271746","ENSG00000271746","paleturquoise",0.454636321947073
"127","ENSG00000215788","TNFRSF25","steelblue",0.659071269537887
"128","ENSG00000171680","PLEKHG5","steelblue",0.677482551254742
"129","ENSG00000162408","NOL9","orange",0.647639812632104
"130","ENSG00000204859","ZBTB48","greenyellow",0.850036579855315
"131","ENSG00000162413","KLHL21","orange",0.434526535127912
"132","ENSG00000116273","PHF13","blue",0.618411960301499
"133","ENSG00000041988","THAP3","black",0.662257312507692
