"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","blue",TRUE,0.0106,1552,1160,140,0.121,0.09,"GO:0040011","BP",13,"locomotion",1,"SCYL3,SOX8,RHBDF1,ARHGEF5,LAMA3,PKP2,LAMC2,STYK1,TNK2,CNN2,ERBB3,NEO1,NCK2,MARK2,NTN4,CELSR1,PAK3,SLC9A1,ZNF268,EZR,BAMBI,SOX10,SLC16A8,XBP1,RPS6KA5,PTK6,ELMO3,FZD3,SFRP1,PTN,GLI3,GATA3,WNT3,EFNB3,SLC9A3R1,PVRL1,MDK,TRPV4,GCNT2,PTK7,SEMA5A,WWC1,WNT5A,PODXL2,SDC1,TRIM62,PADI2,SSX2IP,TSPAN1,CTGF,EPCAM,MSX2,PREX1,SDC4,PARD6B,SOX9,MBOAT7,STRIP2,PLD2,AJUBA,PAK4,ARHGEF16,ITGB4,UNK,LGR6,VAV3,SORL1,SPTBN5,ANXA3,TPM1,IGF1R,GAS8,CCDC40,ERBB2,GRB7,APP,ATP1B1,SHROOM2,PAK1,CCL28,DST,PTPRK,CMTM7,EPHB1,KIF5A,PAXIP1,KIT,FGFR4,WNT4,VANGL2,ZC3H12A,PLXNB1,ITGA2,F2RL1,CHMP4C,DEFB1,TTC8,SPINT2,SERINC2,LDLRAD4,SEMA4C,ROR2,EFNA1,ALCAM,GPR37,PDGFD,AZU1,JUP,SPTBN2,GCSAM,ETV4,ERBB4,ALOX15B,FAM83H,CLDN7,IDH2,EPHB3,CMTM4,ZNF703,TBX1,TACSTD2,EFNA5,FAM110C,KIAA1598,SEMA4D,S100A14,SEMA4A,SRGAP3,EVL,PLXNB2,MKL1,S100A2,CD47,SRC,PDGFA,LDB1,RASGEF1A,DDR1,TRIM26,EFNA4",3.79827504789951
"2","blue",TRUE,0.0232,1685,1160,148,0.128,0.088,"GO:0022610","BP",22,"biological adhesion",1,"MAP3K14,BAIAP2L1,CD9,LTF,GPM6B,LAMC3,LAMA3,PKP2,LAMC2,CNN2,ERBB3,COL17A1,NEO1,TESK2,NCK2,MARK2,CELSR1,PAK3,ACHE,SLC9A1,EZR,DSP,ARVCF,PATZ1,XBP1,PACSIN2,EFS,TM9SF4,HAS3,SFRP1,PPP1R13L,CADM4,ITGB8,PTN,GLI3,GATA3,EFNB3,NRXN2,PVRL1,KRT18,TRPV4,GCNT2,PERP,PTK7,SEMA5A,PRLR,WNT5A,COL7A1,PODXL2,IGFBP2,IL1RL2,SSX2IP,CTGF,EPCAM,PREX1,SDC4,LYPD3,SOX4,SOX9,AJUBA,PAK4,ARHGEF16,EPS8L1,ARFIP2,ITGB4,VAV3,FLNB,LMO7,TRIM29,AMIGO2,TPM1,SKAP1,ERBB2,APP,CELSR2,ATP1B1,RORC,ANXA9,TPBG,CASK,SH3GLB2,PAK1,ANK3,DLG5,CCL28,DST,PTPRK,EPHB1,FZD7,CLDN12,KIT,CSRP1,LYPD5,MPZL3,AZGP1,WNT4,CLDN1,METAP1,PLXNB1,ITGA2,F2RL1,ARF6,VWA2,TTYH1,SPINT2,EVPL,RHOH,EFNA1,PCDH7,ALCAM,SMAGP,CLSTN1,AZU1,JUP,SPTBN2,RGMB,SFN,BAIAP2,EPS8L2,LGALS7B,CLDN7,EPHB3,ABAT,ZNF703,TACSTD2,EFNA5,PKP3,MUC1,KIAA1598,BCAM,SEMA4D,CLDN4,MYBPC1,SEMA4A,PLXNB2,MYO6,CD47,LAMB3,SRC,KIF13B,LDB1,DDR1,PPME1,COL28A1,FMN1,PCDHGB4,PCDHGB1,PCDHA3",4.04118860061473
"3","blue",TRUE,0.0297,1679,1160,147,0.127,0.088,"GO:0007155","BP",22,"cell adhesion",2,"MAP3K14,BAIAP2L1,CD9,GPM6B,LAMC3,LAMA3,PKP2,LAMC2,CNN2,ERBB3,COL17A1,NEO1,TESK2,NCK2,MARK2,CELSR1,PAK3,ACHE,SLC9A1,EZR,DSP,ARVCF,PATZ1,XBP1,PACSIN2,EFS,TM9SF4,HAS3,SFRP1,PPP1R13L,CADM4,ITGB8,PTN,GLI3,GATA3,EFNB3,NRXN2,PVRL1,KRT18,TRPV4,GCNT2,PERP,PTK7,SEMA5A,PRLR,WNT5A,COL7A1,PODXL2,IGFBP2,IL1RL2,SSX2IP,CTGF,EPCAM,PREX1,SDC4,LYPD3,SOX4,SOX9,AJUBA,PAK4,ARHGEF16,EPS8L1,ARFIP2,ITGB4,VAV3,FLNB,LMO7,TRIM29,AMIGO2,TPM1,SKAP1,ERBB2,APP,CELSR2,ATP1B1,RORC,ANXA9,TPBG,CASK,SH3GLB2,PAK1,ANK3,DLG5,CCL28,DST,PTPRK,EPHB1,FZD7,CLDN12,KIT,CSRP1,LYPD5,MPZL3,AZGP1,WNT4,CLDN1,METAP1,PLXNB1,ITGA2,F2RL1,ARF6,VWA2,TTYH1,SPINT2,EVPL,RHOH,EFNA1,PCDH7,ALCAM,SMAGP,CLSTN1,AZU1,JUP,SPTBN2,RGMB,SFN,BAIAP2,EPS8L2,LGALS7B,CLDN7,EPHB3,ABAT,ZNF703,TACSTD2,EFNA5,PKP3,MUC1,KIAA1598,BCAM,SEMA4D,CLDN4,MYBPC1,SEMA4A,PLXNB2,MYO6,CD47,LAMB3,SRC,KIF13B,LDB1,DDR1,PPME1,COL28A1,FMN1,PCDHGB4,PCDHGB1,PCDHA3",4.04702925134427
"4","blue",TRUE,0.0104,1770,1160,156,0.134,0.088,"GO:0006928","BP",5,"movement of cell or subcellular component",1,"SCYL3,SOX8,RHBDF1,CD9,NEDD4L,ARHGEF5,LAMA3,PKP2,LAMC2,STYK1,TNK2,CNN2,ERBB3,NEO1,NCK2,MARK2,NTN4,CELSR1,PAK3,KIF16B,SLC9A1,ZNF268,EZR,BAMBI,DSP,SOX10,SLC16A8,XBP1,RPS6KA5,PTK6,ELMO3,AP3B2,FZD3,SFRP1,CCDC114,PTN,GLI3,GATA3,WNT3,EFNB3,SLC9A3R1,PVRL1,MDK,TRPV4,GCNT2,PTK7,SEMA5A,NME5,WWC1,WNT5A,PODXL2,MLPH,SDC1,PADI2,SSX2IP,TSPAN1,CTGF,WDR35,EPCAM,MSX2,IFT81,PREX1,SDC4,PARD6B,SOX9,MBOAT7,STRIP2,PLD2,AJUBA,PAK4,ARHGEF16,ARFIP2,ITGB4,UNK,LGR6,VAV3,SORL1,SPTBN5,ANXA3,TPM1,IGF1R,GAS8,CCDC40,ERBB2,GRB7,APP,ATP1B1,SHROOM2,PAK1,CCL28,DST,PTPRK,CABYR,EPHB1,KIF5A,PAXIP1,KIT,AMFR,FGFR4,WNT4,VANGL2,ZC3H12A,DNALI1,PLXNB1,ITGA2,F2RL1,DEFB1,ARF6,TTC8,SPINT2,SERINC2,DYNLRB2,LDLRAD4,SEMA4C,ROR2,EFNA1,ALCAM,PDGFD,AZU1,JUP,SPTBN2,GCSAM,ETV4,ERBB4,ALOX15B,FAM83H,CLDN7,IDH2,EPHB3,ZNF703,TBX1,TACSTD2,EFNA5,FAM110C,KIAA1598,IFT140,SEMA4D,S100A14,MYBPC1,SEMA4A,SRGAP3,EVL,PLXNB2,MYO6,MKL1,S100A2,CD47,SRC,PDGFA,KIF13B,LDB1,RASGEF1A,NOS1AP,DDR1,KIFC1,EFNA4",3.76112700452068
"5","blue",TRUE,0.0239,222,1160,32,0.028,0.144,"GO:0097485","BP",5,"neuron projection guidance",1,"NEO1,NTN4,EZR,RPS6KA5,FZD3,GLI3,GATA3,WNT3,EFNB3,PVRL1,SEMA5A,WNT5A,SPTBN5,ERBB2,APP,EPHB1,KIF5A,VANGL2,PLXNB1,TTC8,SEMA4C,EFNA1,ALCAM,SPTBN2,ETV4,EPHB3,EFNA5,SEMA4D,SEMA4A,EVL,PLXNB2,EFNA4",5.31284778535752
"6","blue",TRUE,0.0217,221,1160,32,0.028,0.145,"GO:0007411","BP",5,"axon guidance",2,"NEO1,NTN4,EZR,RPS6KA5,FZD3,GLI3,GATA3,WNT3,EFNB3,PVRL1,SEMA5A,WNT5A,SPTBN5,ERBB2,APP,EPHB1,KIF5A,VANGL2,PLXNB1,TTC8,SEMA4C,EFNA1,ALCAM,SPTBN2,ETV4,EPHB3,EFNA5,SEMA4D,SEMA4A,EVL,PLXNB2,EFNA4",5.32478822572943
"7","blue",TRUE,0.00564,657,1160,72,0.062,0.11,"GO:0030029","BP",1,"actin filament-based process",1,"BAIAP2L1,GPM6B,NEDD4L,ARHGEF5,PKP2,CNN2,TESK2,NCK2,LLGL2,CELSR1,PAK3,NEBL,SLC9A1,EZR,DSP,PICK1,PACSIN2,PLEK2,SFRP1,CYTH2,COBL,ACTR3C,CORO2A,SLC9A3R1,TRPV4,FZD10,PTK7,SEMA5A,MLPH,CTGF,PLS1,PREX1,SDC4,FGD3,ARFIP2,FHOD3,FLNB,SPTBN5,TPM1,ARHGEF19,IQGAP2,SHROOM2,PAK1,TNIK,OBSCN,PDLIM3,KIT,WNT4,VANGL2,F2RL1,ARF6,TTC8,SERINC2,KRT8,CDC42BPG,KRT19,JUP,SPTBN2,BAIAP2,FAM101A,TACSTD2,EFNA5,KIAA1598,MYBPC1,EVL,MYO6,MKL1,SRC,PDGFA,SIPA1L1,NOS1AP,FMN1",4.98767269542248
"8","blue",TRUE,0.000889,1158,1160,115,0.099,0.099,"GO:0007010","BP",1,"cytoskeleton organization",1,"BAIAP2L1,GPM6B,ARHGEF5,PKP2,CNN2,TESK2,NCK2,MARK2,LLGL2,CELSR1,PAK3,CAPN6,NEBL,SLC9A1,EZR,DSP,RASSF7,PICK1,PACSIN2,PLEK2,SFRP1,CYTH2,CCDC114,SIPA1L3,COBL,ACTR3C,CORO2A,CCDC6,SLC9A3R1,KRT18,TRPV4,FZD10,PTK7,CEP72,SEMA5A,RGS2,SSX2IP,CTGF,PLS1,PREX1,SDC4,SOX9,EML2,FGD3,YEATS4,KRT17,STRIP2,PLD2,AJUBA,PAK4,CEP85,ARFIP2,FHOD3,MAP7,FLNB,CDK5RAP2,ATAT1,SPTBN5,TPM1,CCDC40,ARHGEF19,IQGAP2,SHROOM2,PAK1,ANK3,DST,TNIK,OBSCN,PDLIM3,KIT,RSPH1,BRSK1,WNT4,VANGL2,SPICE1,PLXNB1,F2RL1,CHMP4C,ARF6,TTC8,WEE1,SERINC2,CCDC8,KRT8,CDC42BPG,KRT19,KRT15,JUP,SPTBN2,BAIAP2,GPR35,FAM101A,FAM83H,SYNE4,SYNM,TACSTD2,EFNA5,INPP5J,KRT5,PCLO,KRT14,MAPT,KIAA1598,AGRN,EVL,XRCC2,MKL1,SRC,SVIL,PDGFA,SIPA1L1,KRT6A,RAB6C,KIFC1,FMN1",4.38066033956814
"9","blue",TRUE,0.0309,424,1160,50,0.043,0.118,"GO:0051493","BP",1,"regulation of cytoskeleton organization",2,"BAIAP2L1,GPM6B,ARHGEF5,NCK2,MARK2,CELSR1,PAK3,CAPN6,SLC9A1,EZR,RASSF7,PICK1,SFRP1,ACTR3C,TRPV4,FZD10,SEMA5A,RGS2,CTGF,PREX1,SDC4,EML2,CEP85,ARFIP2,FHOD3,CDK5RAP2,ATAT1,SPTBN5,TPM1,ARHGEF19,IQGAP2,PAK1,WNT4,VANGL2,SPICE1,PLXNB1,F2RL1,CHMP4C,ARF6,TTC8,SPTBN2,BAIAP2,TACSTD2,EFNA5,INPP5J,MAPT,EVL,PDGFA,RAB6C,FMN1",5.55508946441152
"10","blue",TRUE,0.0108,572,1160,64,0.055,0.112,"GO:0030036","BP",1,"actin cytoskeleton organization",1,"BAIAP2L1,GPM6B,ARHGEF5,CNN2,TESK2,NCK2,LLGL2,CELSR1,PAK3,NEBL,SLC9A1,EZR,PICK1,PACSIN2,PLEK2,SFRP1,CYTH2,COBL,ACTR3C,CORO2A,SLC9A3R1,TRPV4,FZD10,PTK7,SEMA5A,CTGF,PLS1,PREX1,SDC4,FGD3,ARFIP2,FHOD3,FLNB,SPTBN5,TPM1,ARHGEF19,IQGAP2,SHROOM2,PAK1,TNIK,OBSCN,PDLIM3,KIT,WNT4,VANGL2,F2RL1,ARF6,TTC8,SERINC2,KRT8,CDC42BPG,KRT19,SPTBN2,BAIAP2,FAM101A,TACSTD2,EFNA5,KIAA1598,EVL,MKL1,SRC,PDGFA,SIPA1L1,FMN1",5.11312169559275
