"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"1","magenta","central glial substance_localMarker(FC>2)_IN_Myelencephalon__HBA","HumanBrainRegions",1.95276068009494e-298
"2","black","blue_M2_Oligodendrocytes__HumanMeta","Brain",1.4421255454286e-183
"3","purple","brown_M3_Astrocytes__HumanMeta","Brain",1.9071717783322e-151
"4","turquoise","Neuron_probable__Cahoy","Brain",3.17303364519505e-150
"5","black","Red Nucleus_localMarker(top200)_IN_Mesencephalon__HBA","HumanBrainRegions",9.3522942793527e-134
"6","magenta","Epithalamus_globalMarker(top200)__HBA","HumanBrainRegions",1.38166272711758e-121
"7","purple","Astrocyte_probable__Cahoy","Brain",5.48808218062676e-116
"8","magenta","central glial substance_localMarker(top200)_IN_Myelencephalon__HBA","HumanBrainRegions",7.15798140491252e-116
"9","black","Red Nucleus_localMarker(FC>2)_IN_Mesencephalon__HBA","HumanBrainRegions",3.71283750142139e-115
"10","cyan","pink_M10_Microglia(Type1)__HumanMeta","Brain",4.69448772676151e-102
"11","black","turquoise_M9_Oligodendrocyte__CTX","Brain",2.68674686165261e-97
"12","purple","brown_M15_Astrocyte__CTX","Brain",8.9830406242182e-96
"13","black","Ventral Thalamus_globalMarker(top200)__HBA","HumanBrainRegions",7.55117839600263e-87
"14","cyan","Substantia Nigra, pars reticulata_localMarker(top200)_IN_Mesencephalon__HBA","HumanBrainRegions",2.19379831252423e-85
"15","black","Putamen_localMarker(top200)_IN_Striatum__HBA","HumanBrainRegions",1.19983922548214e-82
"16","black","Globus Pallidus_globalMarker(top200)__HBA","HumanBrainRegions",2.86098125711628e-80
"17","black","nucleus subceruleus_localMarker(top200)_IN_Pontine Tegmentum__HBA","HumanBrainRegions",6.36444048906602e-77
"18","black","White Matter_globalMarker(top200)__HBA","HumanBrainRegions",2.29639301761306e-73
"19","purple","Astrocyte_definite__Cahoy","Brain",8.8038230059263e-73
"20","blue","blue_M16_Neuron__CTX","Brain",4.91178666200423e-70
"21","pink","magenta_M8_Microglia(Type2)__HumanMeta","Brain",2.32648546001892e-68
"22","cyan","Substantia Nigra, pars reticulata_localMarker(FC>2)_IN_Mesencephalon__HBA","HumanBrainRegions",5.0069837378674e-65
"23","black","gigantocellular group_localMarker(top200)_IN_Myelencephalon__HBA","HumanBrainRegions",3.5958097623478e-64
"24","brown","Neuron_probable__Cahoy","Brain",2.0442280249458e-59
"25","blue","yellow_M18__CTX","Brain",1.02333651576852e-58
"26","brown","green_M5_Mitochondria__HumanMeta","Brain",1.92538567302087e-58
"27","black","tan_noChangeAD_oligo_plasmaMembrane__Blalock_AD","Brain",1.85047777008782e-53
"28","blue","Annotated_genes_bound_by_RNA_polymerase_II_(Table_S2)__Lee","StemCells",2.42302417926433e-53
"29","turquoise","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",4.7477102278952e-52
"30","turquoise","Neuron_definite__Cahoy","Brain",2.47904420969033e-50
"31","black","Oligodendrocyte_probable__Cahoy","Brain",2.83347003091137e-49
"32","blue","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",8.86991325577532e-48
"33","magenta","Head of Caudate Nucleus_localMarker(top200)_IN_Striatum__HBA","HumanBrainRegions",2.36764585371558e-47
"34","cyan","Lateral group of Nuclei, Dorsal Division_localMarker(top200)_IN_Dorthal Thalamus__HBA","HumanBrainRegions",3.37050016620421e-47
"35","purple","red_ACCandCaudate__HumanChimp","Brain",5.41911201238526e-47
"36","darkred","105968_REACTOME_Formation_of_a_pool_of_free_40S_subunits__Reactome_NCBI_Biosystems","PW_Lists",3.10349904220711e-46
"37","darkred","441_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",4.28547838194647e-46
"38","darkred","83036_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",4.28547838194647e-46
"39","darkred","105976_REACTOME_Eukaryotic_Translation_Elongation__Reactome_NCBI_Biosystems","PW_Lists",9.67932895023302e-46
"40","darkred","105965_REACTOME_Translation__Reactome_NCBI_Biosystems","PW_Lists",1.94849067131608e-45
"41","darkred","105977_REACTOME_Peptide_chain_elongation__Reactome_NCBI_Biosystems","PW_Lists",3.74736033171564e-45
"42","darkred","160955_REACTOME_L13a-mediated_translational_silencing_of_Ceruloplasmin_expression__Reactome_NCBI_Biosystems","PW_Lists",4.05202510554545e-45
"43","darkred","413404_KEGG_Ribosome,_eukaryotes__Kegg_NCBI_Biosystems","PW_Lists",4.86927973709718e-45
"44","darkred","105973_REACTOME_GTP_hydrolysis_and_joining_of_the_60S_ribosomal_subunit__Reactome_NCBI_Biosystems","PW_Lists",9.43687224232286e-45
"45","darkred","198860_WikiPathways_Electron_Transport_Chain__Wiki_Pathways_NCBI_Biosystems","PW_Lists",1.0688678161822e-44
"46","grey60","Supraoptic Nucleus_localMarker(FC>2)_IN_Hypothalamus__HBA","HumanBrainRegions",1.2707363496966e-44
"47","darkred","105966_REACTOME_Eukaryotic_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",1.23306423186362e-43
"48","darkred","105967_REACTOME_Cap-dependent_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",1.23306423186362e-43
"49","darkred","105978_REACTOME_Eukaryotic_Translation_Termination__Reactome_NCBI_Biosystems","PW_Lists",3.48621185464234e-42
"50","darkred","106077_REACTOME_Viral_mRNA_Translation__Reactome_NCBI_Biosystems","PW_Lists",3.48621185464234e-42
"51","darkred","salmon_M12_Ribosome__MouseMeta","Brain",4.52268599843552e-42
"52","darkred","530746_REACTOME_SRP-dependent_cotranslational_protein_targeting_to_membrane__Reactome_NCBI_Biosystems","PW_Lists",9.95045204762874e-42
"53","turquoise","black_M1_PvalbInterneurons__HumanMeta","Brain",2.4515831474965e-41
"54","darkred","198853_WikiPathways_Cytoplasmic_Ribosomal_Proteins__Wiki_Pathways_NCBI_Biosystems","PW_Lists",9.84645192750995e-41
"55","blue","turquoise_M14_Nucleus__MouseMeta","Brain",2.55497764148336e-40
"56","black","Paravermis_localMarker(top200)_IN_Cerebellar Cortex__HBA","HumanBrainRegions",3.32027083142438e-40
"57","darkred","366242_REACTOME_Nonsense_Mediated_Decay_Independent_of_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",3.87394740793501e-40
"58","black","Oligodendrocyte_definite__Cahoy","Brain",1.28423979771678e-39
