"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","greenyellow",0.486392521914834
"2","ENSG00000237683","AL627309.1","cyan",0.718477595738665
"3","ENSG00000268903","RP11-34P13.15","cyan",0.635491248190928
"4","ENSG00000269981","RP11-34P13.16","cyan",0.671070921163512
"5","ENSG00000228463","AP006222.2","lightgreen",0.58992410943185
"6","ENSG00000241670","AP006222.1","darkgreen",0.417776207779734
"7","ENSG00000237094","RP4-669L17.10","lightgreen",0.631216310648899
"8","ENSG00000225972","MTND1P23","cyan",0.139928836297924
"9","ENSG00000225630","MTND2P28","purple",0.0557721838009387
"10","ENSG00000237973","hsa-mir-6723","grey60",0.0555157130352139
"11","ENSG00000229344","RP5-857K21.7","grey60",0.0565277127057954
"12","ENSG00000224956","RP11-206L10.1","lightgreen",0.605073263099071
"13","ENSG00000228327","RP11-206L10.2","greenyellow",0.664630969064222
"14","ENSG00000237491","RP11-206L10.9","lightgreen",0.732252555944163
"15","ENSG00000225880","LINC00115","greenyellow",0.626434435150868
"16","ENSG00000228794","RP11-206L10.11","turquoise",0.901917134301591
"17","ENSG00000223764","RP11-54O7.3","greenyellow",0.400197313297506
"18","ENSG00000187634","SAMD11","salmon",0.646904073797552
"19","ENSG00000188976","NOC2L","salmon",0.925411234932966
"20","ENSG00000187961","KLHL17","greenyellow",0.740622592780687
"21","ENSG00000272512","ENSG00000272512","grey60",0.28730481467617
"22","ENSG00000188290","HES4","brown",0.491411569942519
"23","ENSG00000187608","ISG15","midnightblue",0.427662208723931
"24","ENSG00000188157","AGRN","grey60",0.565894010396741
"25","ENSG00000242590","RP11-54O7.14","greenyellow",0.450741339062669
"26","ENSG00000217801","RP11-465B22.3","brown",0.606841130046472
"27","ENSG00000273443","ENSG00000273443","brown",0.649772426007779
"28","ENSG00000131591","C1orf159","greenyellow",0.71766589549672
"29","ENSG00000186827","TNFRSF4","pink",0.439474321272149
"30","ENSG00000078808","SDF4","midnightblue",0.852627831621337
"31","ENSG00000176022","B3GALT6","brown",0.8567387331244
"32","ENSG00000184163","FAM132A","greenyellow",0.434256210384892
"33","ENSG00000160087","UBE2J2","midnightblue",0.857903285149353
"34","ENSG00000230415","RP5-902P8.10","greenyellow",0.626377525881364
"35","ENSG00000162572","SCNN1D","greenyellow",0.84680700867785
"36","ENSG00000131584","ACAP3","brown",0.837790622222101
"37","ENSG00000169972","PUSL1","midnightblue",0.797817562607594
"38","ENSG00000127054","CPSF3L","greenyellow",0.938773294101541
"39","ENSG00000240731","RP5-890O3.9","greenyellow",0.77420067831357
"40","ENSG00000224051","GLTPD1","midnightblue",0.841631063314525
"41","ENSG00000107404","DVL1","salmon",0.80586432076559
"42","ENSG00000162576","MXRA8","pink",0.575218853461434
"43","ENSG00000175756","AURKAIP1","midnightblue",0.908695793820233
"44","ENSG00000221978","CCNL2","greenyellow",0.86438767551357
"45","ENSG00000224870","RP4-758J18.2","black",0.406227570373786
"46","ENSG00000242485","MRPL20","darkred",0.939474155047317
"47","ENSG00000264293","RN7SL657P","greenyellow",0.541633312369343
"48","ENSG00000272455","ENSG00000272455","greenyellow",0.539550002867605
"49","ENSG00000235098","ANKRD65","midnightblue",0.597603782451939
"50","ENSG00000225905","RP4-758J18.7","black",0.480619769036964
"51","ENSG00000205116","TMEM88B","black",0.795183345808337
"52","ENSG00000225285","RP4-758J18.10","pink",0.473822144720232
"53","ENSG00000179403","VWA1","black",0.734145214940881
"54","ENSG00000215915","ATAD3C","pink",0.482242206189943
"55","ENSG00000160072","ATAD3B","greenyellow",0.783423271759278
"56","ENSG00000197785","ATAD3A","midnightblue",0.820126632103938
"57","ENSG00000205090","TMEM240","brown",0.887230126204077
"58","ENSG00000160075","SSU72","darkred",0.929836733730066
"59","ENSG00000215791","AL645728.2","salmon",0.459550893805639
"60","ENSG00000215014","AL645728.1","blue",0.631902024042135
"61","ENSG00000228594","C1orf233","brown",0.526457013928309
"62","ENSG00000272106","ENSG00000272106","turquoise",0.818358473134982
"63","ENSG00000197530","MIB2","greenyellow",0.801966852029145
"64","ENSG00000248333","CDK11B","greenyellow",0.67847815076094
"65","ENSG00000272004","ENSG00000272004","turquoise",0.421801115205879
"66","ENSG00000189339","SLC35E2B","salmon",0.719338473173367
"67","ENSG00000269227","RP11-345P4.6","royalblue",0.480184080638178
"68","ENSG00000008128","CDK11A","greenyellow",0.762599794816687
"69","ENSG00000268575","RP1-283E3.8","greenyellow",0.762448455314238
"70","ENSG00000227775","RP1-283E3.4","royalblue",0.585045235020841
"71","ENSG00000215790","SLC35E2","royalblue",0.705917187923149
"72","ENSG00000008130","NADK","salmon",0.785333499675319
"73","ENSG00000078369","GNB1","turquoise",0.913101604611643
"74","ENSG00000231050","RP1-140A9.1","brown",0.508888219987425
"75","ENSG00000169885","CALML6","greenyellow",0.60613536927245
"76","ENSG00000178821","TMEM52","magenta",0.582943248430314
"77","ENSG00000142609","C1orf222","magenta",0.855320284966758
"78","ENSG00000233542","RP11-547D24.1","brown",0.564314468492395
"79","ENSG00000187730","GABRD","brown",0.955872886724269
"80","ENSG00000067606","PRKCZ","brown",0.923422506470525
"81","ENSG00000271806","ENSG00000271806","brown",0.869410202987881
"82","ENSG00000182873","RP11-181G12.2","greenyellow",0.820541794308324
"83","ENSG00000162585","C1orf86","midnightblue",0.610282045598871
"84","ENSG00000269554","AL590822.2","greenyellow",0.675589050585383
"85","ENSG00000157933","SKI","salmon",0.868952662234017
"86","ENSG00000116151","MORN1","magenta",0.834613391604639
"87","ENSG00000272161","ENSG00000272161","magenta",0.430218916358148
"88","ENSG00000269753","AL589739.1","magenta",0.546382514074094
"89","ENSG00000272420","ENSG00000272420","brown",0.602230140475487
"90","ENSG00000178642","AL513477.1","magenta",0.847945141189299
"91","ENSG00000157916","RER1","salmon",0.797921578430763
"92","ENSG00000157911","PEX10","midnightblue",0.672038422146006
"93","ENSG00000149527","PLCH2","brown",0.741557039871233
"94","ENSG00000224387","RP3-395M20.2","greenyellow",0.420522716096668
"95","ENSG00000229393","RP3-395M20.3","brown",0.515010042470434
"96","ENSG00000157881","PANK4","salmon",0.897715764329353
"97","ENSG00000197921","HES5","purple",0.0963552367489604
"98","ENSG00000272449","ENSG00000272449","greenyellow",0.204861878626236
"99","ENSG00000238164","RP3-395M20.8","grey60",0.785812787529526
"100","ENSG00000157873","TNFRSF14","grey60",0.769228404459963
"101","ENSG00000157870","FAM213B","brown",0.75471665119946
"102","ENSG00000237058","RP13-436F16.1","magenta",0.758284330284559
