"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"1","green","105976_REACTOME_Eukaryotic_Translation_Elongation__Reactome_NCBI_Biosystems","PW_Lists",1.35043569537672e-111
"2","green","105977_REACTOME_Peptide_chain_elongation__Reactome_NCBI_Biosystems","PW_Lists",1.68667988251865e-108
"3","green","105968_REACTOME_Formation_of_a_pool_of_free_40S_subunits__Reactome_NCBI_Biosystems","PW_Lists",1.33542762339209e-103
"4","green","105978_REACTOME_Eukaryotic_Translation_Termination__Reactome_NCBI_Biosystems","PW_Lists",2.00367717018839e-103
"5","green","106077_REACTOME_Viral_mRNA_Translation__Reactome_NCBI_Biosystems","PW_Lists",2.00367717018839e-103
"6","green","413404_KEGG_Ribosome,_eukaryotes__Kegg_NCBI_Biosystems","PW_Lists",7.43241327630058e-103
"7","green","198853_WikiPathways_Cytoplasmic_Ribosomal_Proteins__Wiki_Pathways_NCBI_Biosystems","PW_Lists",1.69814904765374e-102
"8","green","441_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",6.83773508672603e-102
"9","green","83036_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",6.83773508672603e-102
"10","green","366242_REACTOME_Nonsense_Mediated_Decay_Independent_of_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",1.96992476482431e-101
"11","green","160955_REACTOME_L13a-mediated_translational_silencing_of_Ceruloplasmin_expression__Reactome_NCBI_Biosystems","PW_Lists",4.61180011311976e-101
"12","green","105973_REACTOME_GTP_hydrolysis_and_joining_of_the_60S_ribosomal_subunit__Reactome_NCBI_Biosystems","PW_Lists",2.33042009638743e-98
"13","green","105966_REACTOME_Eukaryotic_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",2.10834325581816e-96
"14","green","105967_REACTOME_Cap-dependent_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",2.10834325581816e-96
"15","green","105965_REACTOME_Translation__Reactome_NCBI_Biosystems","PW_Lists",2.00776632416959e-93
"16","green","530746_REACTOME_SRP-dependent_cotranslational_protein_targeting_to_membrane__Reactome_NCBI_Biosystems","PW_Lists",1.04819389697362e-91
