"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","blue",0.643222232160014
"2","ENSG00000237683","AL627309.1","midnightblue",0.418902600886643
"3","ENSG00000228463","AP006222.2","cyan",0.773450847369965
"4","ENSG00000241670","AP006222.1","darkred",0.665777169322108
"5","ENSG00000237094","RP4-669L17.10","midnightblue",0.597594270147165
"6","ENSG00000225972","MTND1P23","orange",0.170444333708942
"7","ENSG00000225630","MTND2P28","cyan",0.785580151875143
"8","ENSG00000237973","hsa-mir-6723","darkgreen",0.328258382509212
"9","ENSG00000229344","RP5-857K21.7","darkred",0.494063616105881
"10","ENSG00000224956","RP11-206L10.1","blue",0.400553395257923
"11","ENSG00000228327","RP11-206L10.2","darkturquoise",0.786237359389963
"12","ENSG00000237491","RP11-206L10.9","blue",0.235975661924022
"13","ENSG00000230092","RP11-206L10.8","sienna3",0.304587423526108
"14","ENSG00000177757","FAM87B","purple",0.526193070619092
"15","ENSG00000225880","LINC00115","cyan",0.614568200766419
"16","ENSG00000228794","RP11-206L10.11","cyan",0.85789338335544
"17","ENSG00000188976","NOC2L","pink",0.900036363604955
"18","ENSG00000187961","KLHL17","brown",0.564095473274537
"19","ENSG00000187583","PLEKHN1","brown",0.772232756106567
"20","ENSG00000188290","HES4","grey",0
"21","ENSG00000187608","ISG15","orange",0.664479981440774
"22","ENSG00000188157","AGRN","yellowgreen",0.476911301078609
"23","ENSG00000242590","RP11-54O7.14","violet",0.464747544589118
"24","ENSG00000131591","C1orf159","orange",0.718370347916137
"25","ENSG00000078808","SDF4","orange",0.728059920562502
"26","ENSG00000176022","B3GALT6","orange",0.732389796504055
"27","ENSG00000184163","FAM132A","green",0.423343220902231
"28","ENSG00000160087","UBE2J2","orange",0.942583428371082
"29","ENSG00000230415","RP5-902P8.10","midnightblue",0.630438617755945
"30","ENSG00000162572","SCNN1D","yellow",0.783086953427492
"31","ENSG00000131584","ACAP3","darkolivegreen",0.511229166024936
"32","ENSG00000169972","PUSL1","orange",0.823130180532689
"33","ENSG00000127054","CPSF3L","orange",0.83865556620129
"34","ENSG00000240731","RP5-890O3.9","darkorange",0.662922113934222
"35","ENSG00000224051","GLTPD1","orange",0.742632220206898
"36","ENSG00000107404","DVL1","white",0.809356442390128
"37","ENSG00000162576","MXRA8","yellow",0.781840086490025
"38","ENSG00000175756","AURKAIP1","paleturquoise",0.951694766025612
"39","ENSG00000221978","CCNL2","grey60",0.859286155862092
"40","ENSG00000224870","RP4-758J18.2","darkorange",0.591454353829985
"41","ENSG00000242485","MRPL20","lightgreen",0.907334620062945
"42","ENSG00000264293","RN7SL657P","darkorange",0.715261861004782
"43","ENSG00000272455","ENSG00000272455","blue",0.346557937621352
"44","ENSG00000235098","ANKRD65","lightcyan",0.524656253334278
"45","ENSG00000179403","VWA1","grey",0
"46","ENSG00000215915","ATAD3C","pink",0.564399592765704
"47","ENSG00000160072","ATAD3B","pink",0.901524820617962
"48","ENSG00000197785","ATAD3A","brown",0.885731562640976
"49","ENSG00000205090","TMEM240","lightcyan",0.81463219693483
"50","ENSG00000160075","SSU72","paleturquoise",0.828084866823093
"51","ENSG00000215791","AL645728.2","orange",0.930622514913576
"52","ENSG00000215014","AL645728.1","cyan",0.671097531022092
"53","ENSG00000228594","C1orf233","darkgreen",0.695385241508223
"54","ENSG00000272106","ENSG00000272106","sienna3",0.389885147656157
"55","ENSG00000197530","MIB2","lightcyan",0.77448454667032
"56","ENSG00000248333","CDK11B","paleturquoise",0.789827915209331
"57","ENSG00000272004","ENSG00000272004","sienna3",0.32998293354479
"58","ENSG00000189339","SLC35E2B","midnightblue",0.538922276699452
"59","ENSG00000269227","RP11-345P4.6","midnightblue",0.56855858054294
"60","ENSG00000008128","CDK11A","orange",0.598864914131826
"61","ENSG00000268575","RP1-283E3.8","orange",0.601110064174869
"62","ENSG00000227775","RP1-283E3.4","lightcyan",0.557957640074661
"63","ENSG00000215790","SLC35E2","midnightblue",0.563708420559026
"64","ENSG00000008130","NADK","paleturquoise",0.589120651772981
"65","ENSG00000078369","GNB1","pink",0.838172705150862
"66","ENSG00000231050","RP1-140A9.1","yellowgreen",0.206801776695767
"67","ENSG00000169885","CALML6","purple",0.727549969429487
"68","ENSG00000178821","TMEM52","darkgrey",0.352029279138337
"69","ENSG00000182873","RP11-181G12.2","grey60",0.313088082366183
"70","ENSG00000162585","C1orf86","orange",0.644392475903018
"71","ENSG00000269554","AL590822.2","orange",0.720145291465381
"72","ENSG00000157933","SKI","darkorange",0.690836819554452
"73","ENSG00000116151","MORN1","green",0.365166032547661
"74","ENSG00000271921","ENSG00000271921","orange",0.431727987200363
"75","ENSG00000271847","ENSG00000271847","orange",0.620570399208132
"76","ENSG00000178642","AL513477.1","black",0.385414878875087
"77","ENSG00000157916","RER1","brown",0.728100830794437
"78","ENSG00000157911","PEX10","violet",0.71251111400969
"79","ENSG00000157881","PANK4","orange",0.820400842422441
"80","ENSG00000238164","RP3-395M20.8","grey60",0.900271570505772
"81","ENSG00000157873","TNFRSF14","grey60",0.891888352154593
"82","ENSG00000157870","FAM213B","white",0.755348762651003
"83","ENSG00000162591","MEGF6","grey",0
"84","ENSG00000238260","RP11-46F15.2","lightcyan",0.451964929480681
"85","ENSG00000158109","TPRG1L","grey60",0.725879759110196
"86","ENSG00000116213","WRAP73","orange",0.776416882267556
"87","ENSG00000227372","TP73-AS1","midnightblue",0.792816626612995
"88","ENSG00000130764","LRRC47","orange",0.934416870799275
"89","ENSG00000272153","ENSG00000272153","orange",0.876313816598155
"90","ENSG00000116198","CEP104","white",0.558904302658374
"91","ENSG00000169598","DFFB","darkred",0.46137930973773
"92","ENSG00000198912","C1orf174","paleturquoise",0.811977575432452
"93","ENSG00000131697","NPHP4","darkturquoise",0.447894180303053
"94","ENSG00000069424","KCNAB2","purple",0.713520476299795
"95","ENSG00000116251","RPL22","green",0.872586667769603
"96","ENSG00000226944","RP1-120G22.11","darkgrey",0.55827934331243
"97","ENSG00000158286","RNF207","darkturquoise",0.34010094984419
"98","ENSG00000116237","ICMT","white",0.854068583300768
"99","ENSG00000158292","GPR153","yellow",0.822786612830932
"100","ENSG00000097021","ACOT7","brown",0.89797292103371
"101","ENSG00000215788","TNFRSF25","darkgreen",0.471715965625141
"102","ENSG00000171680","PLEKHG5","darkgreen",0.345202558908021
"103","ENSG00000162408","NOL9","pink",0.766050597252735
"104","ENSG00000204859","ZBTB48","purple",0.722405795223113
"105","ENSG00000162413","KLHL21","orange",0.789490138933038
"106","ENSG00000116273","PHF13","grey60",0.724732659046479
"107","ENSG00000041988","THAP3","cyan",0.815418911496062
"108","ENSG00000007923","DNAJC11","white",0.928430114702462
"109","ENSG00000171735","CAMTA1","black",0.858688084058683
"110","ENSG00000049245","VAMP3","darkred",0.468178636399249
"111","ENSG00000269925","RP3-467L1.6","midnightblue",0.488608958711751
"112","ENSG00000049246","PER3","darkorange",0.626493974393066
"113","ENSG00000236266","RP3-467L1.4","yellowgreen",0.547925577825333
"114","ENSG00000116288","PARK7","black",0.919092219598806
"115","ENSG00000116285","ERRFI1","cyan",0.671910022336914
"116","ENSG00000162426","SLC45A1","sienna3",0.61830095584752
"117","ENSG00000142599","RERE","midnightblue",0.64226333405548
"118","ENSG00000074800","ENO1","brown",0.817208008419714
"119","ENSG00000180758","GPR157","pink",0.508619792759177
"120","ENSG00000234546","RP3-510D11.2","yellowgreen",0.789043949278113
"121","ENSG00000049239","H6PD","yellow",0.808720546222534
