"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","blue",TRUE,0.000997,69,94,7,0.074,0.101,"REAC:1632852","rea",1,"Macroautophagy",1,"GABARAPL2,CHMP4B,LAMTOR3,CHMP2A,MAP1LC3B,ATG12,LAMTOR4",NA
"2","midnightblue",TRUE,0.0227,9000,358,213,0.595,0.024,"GO:0043170","BP",5,"macromolecule metabolic process",1,"SCYL3,RAD52,HECW1,SPPL2B,MYCBP2,SAMD4A,UBR2,ARID4A,PHKA2,NRIP2,ARID4B,FAM168A,HDAC7,PTPN21,KDM5A,ZNF638,FGFR1,N4BP2,CBFA2T2,OPHN1,KIAA0141,ZNF446,OSBPL8,NLRP1,ZFHX4,HDAC6,BTAF1,TBC1D10A,ZNF516,NFAT5,GGA2,RBL2,SNRNP70,MEGF8,CARD8,HOXA6,ZKSCAN1,KANK1,EZH1,MYH3,ZBTB16,PHF1,XRN1,ACVR2B,ABCC5,NKTR,SLC35D1,PRDM2,SRSF11,KDM5B,ATAD2B,ZSCAN18,ZMYM2,LRP1,TTC21B,CHD6,MOCS1,GGA3,THOC2,SH2D3A,HP1BP3,AKAP9,ZNF780B,TTBK2,TEP1,TRPM4,HELZ2,ZNF337,POMT1,ZNF141,PRKAB2,KDM6B,DLG4,LPIN3,DSTYK,SUV420H2,KIDINS220,ROCK2,FST,LRP4,DMTF1,PHF21A,PAN2,IREB2,USP20,ARRB1,CREBZF,IFT172,MAPK8IP3,CD27,SMARCC2,MAN2C1,IGF1R,KSR1,RERE,WDTC1,POU2F1,INTS3,ZNF514,UBXN4,SPOPL,VGLL4,DGKQ,RNF44,SHPRH,OGT,CAMK2G,ATM,PRSS53,UBE3B,ZNF827,LRRK1,OBSCN,TTN,RASA2,ELMSAN1,ZNF221,SIK3,MUM1,ASB16,NXF1,MYSM1,AGL,TRIM17,STK36,CTSB,BRWD3,PCF11,TSC1,RIMKLB,TK2,STAT6,ZNF91,ZNF701,MIR637,PCMTD1,SEMA4C,SHOX2,AR,OTUD3,BRD3,ZFPM2,CHD3,IRX1,ATF7,AKAP13,ZBTB26,ZNF217,HECTD4,GOLGB1,ZNF417,PEAK1,RNF213,ZBTB4,RALGAPA1,ZNF169,MTHFR,CHD9,ADAMTSL1,ZNF454,TMPRSS9,ZNF354B,ARID3B,ZNF594,D2HGDH,ZNF322,ZNF708,ZNF320,TBX1,SRPK3,IFNE,GP1BA,BRWD1,PTCH1,RNPC3,ZNF397,ZSCAN30,ZDHHC17,DYNC2H1,NHEJ1,BTBD8,MPHOSPH8,ZNF605,MAN2A2,TCF4,ZNF33B,ZNF431,ZNF700,ZNF665,PHF2,HIST4H4,MAN1A2,ZKSCAN8,MAFK,CTNND1,C6ORF89,LDB1,RXRB,DNASE1,IRF9,ZNF891,NPEPL1,B3GNT9,KLHL41,DBNDD2,FMN1,GLI4,ZNF225,ZNF253,MC1R,FSBP,S1PR2,ZNF224",1.48452897992254
"3","midnightblue",TRUE,0.0101,5066,358,136,0.38,0.027,"GO:0009059","BP",5,"macromolecule biosynthetic process",1,"MYCBP2,SAMD4A,UBR2,ARID4A,NRIP2,ARID4B,HDAC7,KDM5A,ZNF638,FGFR1,CBFA2T2,ZNF446,ZFHX4,HDAC6,BTAF1,ZNF516,NFAT5,RBL2,MEGF8,HOXA6,ZKSCAN1,KANK1,EZH1,ZBTB16,PHF1,XRN1,ACVR2B,ABCC5,SLC35D1,PRDM2,SRSF11,KDM5B,ATAD2B,ZSCAN18,ZMYM2,TTC21B,CHD6,THOC2,HP1BP3,ZNF780B,TEP1,HELZ2,ZNF337,POMT1,ZNF141,KDM6B,LPIN3,SUV420H2,FST,LRP4,DMTF1,PHF21A,IREB2,ARRB1,CREBZF,SMARCC2,IGF1R,RERE,WDTC1,POU2F1,INTS3,ZNF514,VGLL4,DGKQ,RNF44,OGT,ATM,ZNF827,ELMSAN1,ZNF221,MYSM1,AGL,STK36,BRWD3,PCF11,TSC1,TK2,STAT6,ZNF91,ZNF701,MIR637,SHOX2,AR,BRD3,ZFPM2,CHD3,IRX1,ATF7,ZBTB26,ZNF217,GOLGB1,ZNF417,ZBTB4,RALGAPA1,ZNF169,CHD9,ADAMTSL1,ZNF454,ZNF354B,ARID3B,ZNF594,ZNF322,ZNF708,ZNF320,TBX1,BRWD1,PTCH1,ZNF397,ZSCAN30,ZDHHC17,BTBD8,MPHOSPH8,ZNF605,MAN2A2,TCF4,ZNF33B,ZNF431,ZNF700,ZNF665,PHF2,HIST4H4,MAN1A2,ZKSCAN8,MAFK,CTNND1,LDB1,RXRB,IRF9,ZNF891,B3GNT9,GLI4,ZNF225,ZNF253,MC1R,FSBP,ZNF224",2.38224768092529
"4","midnightblue",TRUE,9.93e-05,4375,358,129,0.36,0.029,"GO:0018130","BP",5,"heterocycle biosynthetic process",1,"MYCBP2,SAMD4A,UBR2,ARID4A,NRIP2,ARID4B,HDAC7,KDM5A,ZNF638,FGFR1,CBFA2T2,ZNF446,ZFHX4,HDAC6,BTAF1,ZNF516,NFAT5,RBL2,MEGF8,HOXA6,ZKSCAN1,KANK1,EZH1,ZBTB16,PHF1,ACVR2B,SLC35D1,PRDM2,SRSF11,KDM5B,ATAD2B,ZSCAN18,ZMYM2,TTC21B,CHD6,MOCS1,THOC2,HP1BP3,AKAP9,ZNF780B,TEP1,HELZ2,ZNF337,ZNF141,KDM6B,LPIN3,SUV420H2,FST,LRP4,DMTF1,PHF21A,IREB2,GMPR,ARRB1,CREBZF,SMARCC2,RERE,WDTC1,POU2F1,INTS3,ZNF514,VGLL4,DGKQ,RNF44,OGT,ATM,ZNF827,ELMSAN1,ZNF221,MYSM1,STK36,BRWD3,PCF11,TK2,STAT6,ZNF91,ZNF701,MIR637,SHOX2,AR,BRD3,ZFPM2,CHD3,IRX1,ATF7,ZBTB26,ZNF217,GOLGB1,ZNF417,ZBTB4,RALGAPA1,ZNF169,CHD9,ZNF454,ZNF354B,ARID3B,ZNF594,ZNF322,ZNF708,ZNF320,TBX1,BRWD1,PTCH1,ZNF397,ZSCAN30,BTBD8,MPHOSPH8,ZNF605,TCF4,ZNF33B,ZNF431,ZNF700,ZNF665,PHF2,HIST4H4,ZKSCAN8,MAFK,CTNND1,LDB1,RXRB,GABBR1,IRF9,ZNF891,GLI4,ZNF225,ZNF253,MC1R,FSBP,ZNF224",2.60657958650888
"5","midnightblue",TRUE,0.00539,8276,358,202,0.564,0.024,"GO:0044260","BP",5,"cellular macromolecule metabolic process",1,"SCYL3,RAD52,HECW1,SPPL2B,MYCBP2,SAMD4A,UBR2,ARID4A,PHKA2,NRIP2,ARID4B,FAM168A,HDAC7,PTPN21,KDM5A,ZNF638,FGFR1,CBFA2T2,OPHN1,ZNF446,OSBPL8,NLRP1,ZFHX4,HDAC6,BTAF1,TBC1D10A,ZNF516,NFAT5,GGA2,RBL2,SNRNP70,MEGF8,CARD8,HOXA6,ZKSCAN1,KANK1,EZH1,MYH3,ZBTB16,PHF1,XRN1,ACVR2B,NKTR,SLC35D1,PRDM2,SRSF11,KDM5B,ATAD2B,ZSCAN18,ZMYM2,TTC21B,CHD6,MOCS1,GGA3,THOC2,SH2D3A,HP1BP3,AKAP9,ZNF780B,TTBK2,TEP1,TRPM4,HELZ2,ZNF337,POMT1,ZNF141,PRKAB2,KDM6B,DLG4,LPIN3,DSTYK,SUV420H2,KIDINS220,ROCK2,FST,LRP4,DMTF1,PHF21A,PAN2,IREB2,USP20,ARRB1,CREBZF,MAPK8IP3,CD27,SMARCC2,MAN2C1,IGF1R,KSR1,RERE,WDTC1,POU2F1,INTS3,ZNF514,UBXN4,SPOPL,VGLL4,DGKQ,RNF44,SHPRH,OGT,CAMK2G,ATM,UBE3B,ZNF827,LRRK1,OBSCN,TTN,RASA2,ELMSAN1,ZNF221,SIK3,MUM1,ASB16,MYSM1,AGL,TRIM17,STK36,CTSB,BRWD3,PCF11,TSC1,RIMKLB,TK2,STAT6,ZNF91,ZNF701,MIR637,PCMTD1,SEMA4C,SHOX2,AR,OTUD3,BRD3,ZFPM2,CHD3,IRX1,ATF7,AKAP13,ZBTB26,ZNF217,HECTD4,GOLGB1,ZNF417,PEAK1,RNF213,ZBTB4,RALGAPA1,ZNF169,MTHFR,CHD9,ADAMTSL1,ZNF454,ZNF354B,ARID3B,ZNF594,D2HGDH,ZNF322,ZNF708,ZNF320,TBX1,SRPK3,IFNE,GP1BA,BRWD1,PTCH1,RNPC3,ZNF397,ZSCAN30,ZDHHC17,NHEJ1,BTBD8,MPHOSPH8,ZNF605,MAN2A2,TCF4,ZNF33B,ZNF431,ZNF700,ZNF665,PHF2,HIST4H4,MAN1A2,ZKSCAN8,MAFK,CTNND1,C6ORF89,LDB1,RXRB,DNASE1,IRF9,ZNF891,B3GNT9,KLHL41,DBNDD2,GLI4,ZNF225,ZNF253,MC1R,FSBP,S1PR2,ZNF224",1.62152325167179
"6","midnightblue",TRUE,0.0152,5103,358,136,0.38,0.027,"GO:0090304","BP",5,"nucleic acid metabolic process",1,"RAD52,MYCBP2,SAMD4A,UBR2,ARID4A,NRIP2,ARID4B,FAM168A,HDAC7,KDM5A,ZNF638,FGFR1,N4BP2,CBFA2T2,ZNF446,ZFHX4,HDAC6,BTAF1,ZNF516,NFAT5,RBL2,SNRNP70,MEGF8,HOXA6,ZKSCAN1,KANK1,EZH1,ZBTB16,PHF1,XRN1,ACVR2B,PRDM2,SRSF11,KDM5B,ATAD2B,ZSCAN18,ZMYM2,TTC21B,CHD6,THOC2,HP1BP3,ZNF780B,TEP1,HELZ2,ZNF337,ZNF141,KDM6B,LPIN3,SUV420H2,ROCK2,FST,LRP4,DMTF1,PHF21A,PAN2,ARRB1,CREBZF,SMARCC2,IGF1R,RERE,WDTC1,POU2F1,INTS3,ZNF514,VGLL4,DGKQ,RNF44,SHPRH,OGT,ATM,ZNF827,ELMSAN1,ZNF221,MUM1,MYSM1,STK36,BRWD3,PCF11,TK2,STAT6,ZNF91,ZNF701,MIR637,SHOX2,AR,BRD3,ZFPM2,CHD3,IRX1,ATF7,ZBTB26,ZNF217,GOLGB1,ZNF417,ZBTB4,RALGAPA1,ZNF169,CHD9,ZNF454,ZNF354B,ARID3B,ZNF594,ZNF322,ZNF708,ZNF320,TBX1,BRWD1,PTCH1,RNPC3,ZNF397,ZSCAN30,NHEJ1,BTBD8,MPHOSPH8,ZNF605,TCF4,ZNF33B,ZNF431,ZNF700,ZNF665,PHF2,HIST4H4,ZKSCAN8,MAFK,CTNND1,LDB1,RXRB,DNASE1,IRF9,ZNF891,GLI4,ZNF225,ZNF253,MC1R,FSBP,ZNF224",2.2717223785017
"7","midnightblue",TRUE,0.0102,4597,358,126,0.352,0.027,"GO:0016070","BP",5,"RNA metabolic process",2,"MYCBP2,SAMD4A,UBR2,ARID4A,NRIP2,ARID4B,HDAC7,KDM5A,ZNF638,FGFR1,CBFA2T2,ZNF446,ZFHX4,HDAC6,BTAF1,ZNF516,NFAT5,RBL2,SNRNP70,MEGF8,HOXA6,ZKSCAN1,KANK1,EZH1,ZBTB16,PHF1,XRN1,ACVR2B,PRDM2,SRSF11,KDM5B,ATAD2B,ZSCAN18,ZMYM2,TTC21B,CHD6,THOC2,HP1BP3,ZNF780B,HELZ2,ZNF337,ZNF141,KDM6B,LPIN3,SUV420H2,ROCK2,FST,LRP4,DMTF1,PHF21A,PAN2,ARRB1,CREBZF,SMARCC2,RERE,WDTC1,POU2F1,INTS3,ZNF514,VGLL4,DGKQ,RNF44,OGT,ATM,ZNF827,ELMSAN1,ZNF221,MYSM1,STK36,BRWD3,PCF11,STAT6,ZNF91,ZNF701,MIR637,SHOX2,AR,BRD3,ZFPM2,CHD3,IRX1,ATF7,ZBTB26,ZNF217,GOLGB1,ZNF417,ZBTB4,RALGAPA1,ZNF169,CHD9,ZNF454,ZNF354B,ARID3B,ZNF594,ZNF322,ZNF708,ZNF320,TBX1,BRWD1,PTCH1,RNPC3,ZNF397,ZSCAN30,BTBD8,MPHOSPH8,ZNF605,TCF4,ZNF33B,ZNF431,ZNF700,ZNF665,PHF2,HIST4H4,ZKSCAN8,MAFK,CTNND1,LDB1,RXRB,IRF9,ZNF891,GLI4,ZNF225,ZNF253,MC1R,FSBP,ZNF224",2.46190117957877
"8","midnightblue",TRUE,0.0301,4882,358,130,0.363,0.027,"GO:0044271","BP",5,"cellular nitrogen compound biosynthetic process",1,"MYCBP2,SAMD4A,UBR2,ARID4A,NRIP2,ARID4B,HDAC7,KDM5A,ZNF638,FGFR1,CBFA2T2,ZNF446,ZFHX4,HDAC6,BTAF1,ZNF516,NFAT5,RBL2,MEGF8,HOXA6,ZKSCAN1,KANK1,EZH1,ZBTB16,PHF1,XRN1,ACVR2B,SLC35D1,PRDM2,SRSF11,KDM5B,ATAD2B,ZSCAN18,ZMYM2,TTC21B,CHD6,THOC2,HP1BP3,AKAP9,ZNF780B,TEP1,HELZ2,ZNF337,ZNF141,KDM6B,LPIN3,SUV420H2,FST,LRP4,DMTF1,PHF21A,IREB2,GMPR,ARRB1,CREBZF,SMARCC2,RERE,WDTC1,POU2F1,INTS3,ZNF514,VGLL4,DGKQ,RNF44,OGT,ATM,ZNF827,ELMSAN1,ZNF221,MYSM1,STK36,BRWD3,PCF11,TSC1,TK2,STAT6,ZNF91,ZNF701,MIR637,SHOX2,AR,BRD3,ZFPM2,CHD3,IRX1,ATF7,ZBTB26,ZNF217,GOLGB1,ZNF417,ZBTB4,RALGAPA1,ZNF169,CHD9,ZNF454,ZNF354B,ARID3B,ZNF594,ZNF322,ZNF708,ZNF320,TBX1,BRWD1,PTCH1,ZNF397,ZSCAN30,BTBD8,MPHOSPH8,ZNF605,TCF4,ZNF33B,ZNF431,ZNF700,ZNF665,PHF2,HIST4H4,ZKSCAN8,MAFK,CTNND1,LDB1,RXRB,GABBR1,IRF9,ZNF891,GLI4,ZNF225,ZNF253,MC1R,FSBP,ZNF224",2.44489830460872
"9","midnightblue",TRUE,0.000555,4501,358,129,0.36,0.029,"GO:1901362","BP",5,"organic cyclic compound biosynthetic process",1,"MYCBP2,SAMD4A,UBR2,ARID4A,NRIP2,ARID4B,HDAC7,KDM5A,ZNF638,FGFR1,CBFA2T2,ZNF446,ZFHX4,HDAC6,BTAF1,ZNF516,NFAT5,RBL2,MEGF8,HOXA6,ZKSCAN1,KANK1,EZH1,ZBTB16,PHF1,ACVR2B,SLC35D1,PRDM2,SRSF11,KDM5B,ATAD2B,ZSCAN18,ZMYM2,TTC21B,CHD6,MOCS1,THOC2,HP1BP3,AKAP9,ZNF780B,TEP1,HELZ2,ZNF337,ZNF141,KDM6B,LPIN3,SUV420H2,FST,LRP4,DMTF1,PHF21A,IREB2,GMPR,ARRB1,CREBZF,SMARCC2,RERE,WDTC1,POU2F1,INTS3,ZNF514,VGLL4,DGKQ,RNF44,OGT,ATM,ZNF827,ELMSAN1,ZNF221,MYSM1,STK36,BRWD3,PCF11,TK2,STAT6,ZNF91,ZNF701,MIR637,SHOX2,AR,BRD3,ZFPM2,CHD3,IRX1,ATF7,ZBTB26,ZNF217,GOLGB1,ZNF417,ZBTB4,RALGAPA1,ZNF169,CHD9,ZNF454,ZNF354B,ARID3B,ZNF594,ZNF322,ZNF708,ZNF320,TBX1,BRWD1,PTCH1,ZNF397,ZSCAN30,BTBD8,MPHOSPH8,ZNF605,TCF4,ZNF33B,ZNF431,ZNF700,ZNF665,PHF2,HIST4H4,ZKSCAN8,MAFK,CTNND1,LDB1,RXRB,GABBR1,IRF9,ZNF891,GLI4,ZNF225,ZNF253,MC1R,FSBP,ZNF224",2.57699769597771
"10","midnightblue",TRUE,0.000195,4378,358,128,0.358,0.029,"GO:0019438","BP",5,"aromatic compound biosynthetic process",1,"MYCBP2,SAMD4A,UBR2,ARID4A,NRIP2,ARID4B,HDAC7,KDM5A,ZNF638,FGFR1,CBFA2T2,ZNF446,ZFHX4,HDAC6,BTAF1,ZNF516,NFAT5,RBL2,MEGF8,HOXA6,ZKSCAN1,KANK1,EZH1,ZBTB16,PHF1,ACVR2B,SLC35D1,PRDM2,SRSF11,KDM5B,ATAD2B,ZSCAN18,ZMYM2,TTC21B,CHD6,THOC2,HP1BP3,AKAP9,ZNF780B,TEP1,HELZ2,ZNF337,ZNF141,KDM6B,LPIN3,SUV420H2,FST,LRP4,DMTF1,PHF21A,IREB2,GMPR,ARRB1,CREBZF,SMARCC2,RERE,WDTC1,POU2F1,INTS3,ZNF514,VGLL4,DGKQ,RNF44,OGT,ATM,ZNF827,ELMSAN1,ZNF221,MYSM1,STK36,BRWD3,PCF11,TK2,STAT6,ZNF91,ZNF701,MIR637,SHOX2,AR,BRD3,ZFPM2,CHD3,IRX1,ATF7,ZBTB26,ZNF217,GOLGB1,ZNF417,ZBTB4,RALGAPA1,ZNF169,CHD9,ZNF454,ZNF354B,ARID3B,ZNF594,ZNF322,ZNF708,ZNF320,TBX1,BRWD1,PTCH1,ZNF397,ZSCAN30,BTBD8,MPHOSPH8,ZNF605,TCF4,ZNF33B,ZNF431,ZNF700,ZNF665,PHF2,HIST4H4,ZKSCAN8,MAFK,CTNND1,LDB1,RXRB,GABBR1,IRF9,ZNF891,GLI4,ZNF225,ZNF253,MC1R,FSBP,ZNF224",2.60549020784209
