"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","cyan",0.42454068713058
"2","ENSG00000237683","AL627309.1","darkorange",0.252659124442808
"3","ENSG00000268903","RP11-34P13.15","darkorange",0.323813054420294
"4","ENSG00000269981","RP11-34P13.16","black",0.231669620901346
"5","ENSG00000228463","AP006222.2","darkorange",0.547906458180543
"6","ENSG00000241670","AP006222.1","darkorange",0.623036046075186
"7","ENSG00000237094","RP4-669L17.10","brown",0.74510723955087
"8","ENSG00000225972","MTND1P23","darkgrey",0.315069485918658
"9","ENSG00000225630","MTND2P28","skyblue",0.380023633345372
"10","ENSG00000237973","hsa-mir-6723","midnightblue",0.340990058601773
"11","ENSG00000229344","RP5-857K21.7","darkolivegreen",0.469972960481166
"12","ENSG00000224956","RP11-206L10.1","midnightblue",0.446471226940939
"13","ENSG00000228327","RP11-206L10.2","brown",0.9002473245571
"14","ENSG00000237491","RP11-206L10.9","darkorange",0.469328378500841
"15","ENSG00000230092","RP11-206L10.8","orange",0.280663786722303
"16","ENSG00000177757","FAM87B","pink",0.461012733791501
"17","ENSG00000240453","RP11-206L10.10","cyan",0.335005023231343
"18","ENSG00000225880","LINC00115","grey60",0.576581265364818
"19","ENSG00000228794","RP11-206L10.11","darkmagenta",0.516837578930895
"20","ENSG00000188976","NOC2L","greenyellow",0.739883348164136
"21","ENSG00000187961","KLHL17","grey60",0.537934255286492
"22","ENSG00000187583","PLEKHN1","lightcyan",0.593272039671196
"23","ENSG00000188290","HES4","lightcyan",0.604814286822004
"24","ENSG00000187608","ISG15","white",0.464653547608912
"25","ENSG00000188157","AGRN","lightcyan",0.721580073945617
"26","ENSG00000242590","RP11-54O7.14","lightcyan",0.697250963747678
"27","ENSG00000217801","RP11-465B22.3","lightcyan",0.796487766181214
"28","ENSG00000273443","ENSG00000273443","lightcyan",0.607707465341494
"29","ENSG00000131591","C1orf159","grey60",0.417377941964165
"30","ENSG00000186891","TNFRSF18","darkmagenta",0.847851654518631
"31","ENSG00000186827","TNFRSF4","lightcyan",0.695064513820763
"32","ENSG00000078808","SDF4","greenyellow",0.574315808265649
"33","ENSG00000176022","B3GALT6","white",0.647168468820859
"34","ENSG00000184163","FAM132A","darkorange",0.683761306664551
"35","ENSG00000260179","RP5-902P8.12","grey60",0.444671980502199
"36","ENSG00000160087","UBE2J2","white",0.785386711416513
"37","ENSG00000230415","RP5-902P8.10","brown",0.5064432126411
"38","ENSG00000162572","SCNN1D","cyan",0.626254549961245
"39","ENSG00000131584","ACAP3","tan",0.259320286488915
"40","ENSG00000169972","PUSL1","blue",0.658053833402829
"41","ENSG00000127054","CPSF3L","greenyellow",0.559634632804
"42","ENSG00000240731","RP5-890O3.9","pink",0.731183296476849
"43","ENSG00000224051","GLTPD1","greenyellow",0.708673606843092
"44","ENSG00000169962","TAS1R3","grey60",0.416496229035297
"45","ENSG00000107404","DVL1","brown",0.712825855548568
"46","ENSG00000162576","MXRA8","brown",0.34751031248907
"47","ENSG00000175756","AURKAIP1","blue",0.924983435848467
"48","ENSG00000221978","CCNL2","grey60",0.752047930824858
"49","ENSG00000224870","RP4-758J18.2","greenyellow",0.526725362953718
"50","ENSG00000242485","MRPL20","lightyellow",0.848685837251333
"51","ENSG00000264293","RN7SL657P","brown",0.66383545595157
"52","ENSG00000272455","ENSG00000272455","grey60",0.646165298263712
"53","ENSG00000179403","VWA1","black",0.634116484979975
"54","ENSG00000215915","ATAD3C","steelblue",0.416935766884415
"55","ENSG00000160072","ATAD3B","magenta",0.826264890894463
"56","ENSG00000197785","ATAD3A","magenta",0.907088940072741
"57","ENSG00000160075","SSU72","lightyellow",0.771436096305076
"58","ENSG00000215791","AL645728.2","white",0.616736709136796
"59","ENSG00000215014","AL645728.1","grey60",0.395021366512378
"60","ENSG00000228594","C1orf233","steelblue",0.359393989751896
"61","ENSG00000272106","ENSG00000272106","cyan",0.686026696211396
"62","ENSG00000197530","MIB2","cyan",0.629242988519692
"63","ENSG00000248333","CDK11B","greenyellow",0.746984670843832
"64","ENSG00000272004","ENSG00000272004","midnightblue",0.239653877793483
"65","ENSG00000189339","SLC35E2B","cyan",0.504606198050898
"66","ENSG00000269227","RP11-345P4.6","brown",0.716199759526351
"67","ENSG00000008128","CDK11A","greenyellow",0.556849625017213
"68","ENSG00000268575","RP1-283E3.8","greenyellow",0.536584767359407
"69","ENSG00000227775","RP1-283E3.4","grey60",0.530625398548461
"70","ENSG00000215790","SLC35E2","brown",0.673895000963573
"71","ENSG00000008130","NADK","white",0.539472075737935
"72","ENSG00000078369","GNB1","darkmagenta",0.21513752668868
"73","ENSG00000231050","RP1-140A9.1","midnightblue",0.259744347642412
"74","ENSG00000067606","PRKCZ","darkgreen",0.489367058249898
"75","ENSG00000162585","C1orf86","white",0.464800158117893
"76","ENSG00000269554","AL590822.2","grey60",0.582670810697342
