"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","cyan",TRUE,0.00298,4378,440,147,0.334,0.034,"GO:0019438","BP",1,"aromatic compound biosynthetic process",1,"GIPR,MBTD1,CALCOCO1,ARID4B,ZC3H11A,TARBP1,ZNF76,ATXN3,SIRT2,PICALM,CBFA2T2,TP53INP2,RFX3,PSEN1,ZNF506,TRAF5,HACE1,UIMC1,ZBTB25,NFATC4,ZNF516,POLI,ZNF821,QPRT,ZNF419,DBP,ZNF862,EZH1,HDAC5,SMURF2,SUV420H1,CDKN1B,ING4,DUSP22,APBB3,PDGFRB,ACVR2B,STK16,RCOR3,MED28,TGIF2,TGFB3,ZNF211,ZMYM2,LRIF1,SIRT5,ZNF133,PCID2,ZNF337,RBM39,ZNF132,SUV420H2,ELP2,SPAG8,ALS2CR8,HMG20A,IRF8,SMAD4,ZFP14,WDTC1,TBX19,CREB3L4,GATAD2B,CAMK2D,RNF44,ZNF182,ZMYM3,TBX6,ZNF773,EIF4A2,GATAD1,ZNF19,ELK4,GPBP1L1,ZNF230,HSF2BP,ZNF496,ANKRA2,GDF9,ZNF12,TP53INP1,POLL,SMAD3,ZNF610,ZNF83,ATG16L2,IRF2BP2,ZBTB5,ANKRD49,INSR,ZBTB26,ZNF318,MALT1,HINFP,PARP14,ZNF449,ZNF266,NR1D2,ZNF25,ZNF404,CDK5R1,TGIF1,ZHX2,ZBTB18,ZNF571,HKR1,FOXO4,ZFP90,ZFP36L1,ZNF566,ZNF555,ZNF501,ZNF197,ZNF546,ZKSCAN4,ZNF383,ZNF766,ZBTB44,ZNF565,ZNF34,ZNF846,ZNF136,ZNF585A,ZNF470,ZMYM1,ZNF461,ZNF84,ZNF248,ZNF251,ZNF442,ZNF568,ZNF28,MDM4,ZNF525,RXRB,GABBR1,TRIM13,ZNF630,ZNF844,ZNF717,ZBTB22,N4BP2L2,ZNF345,ZNF550,ZNF350,CTD-3105H18.14,ZNF2",2.60549020784209
"2","cyan",TRUE,0.00286,4375,440,147,0.334,0.034,"GO:0018130","BP",1,"heterocycle biosynthetic process",1,"GIPR,MBTD1,CALCOCO1,ARID4B,ZC3H11A,TARBP1,ZNF76,ATXN3,SIRT2,PICALM,CBFA2T2,TP53INP2,RFX3,PSEN1,ZNF506,TRAF5,HACE1,UIMC1,ZBTB25,NFATC4,ZNF516,POLI,ZNF821,QPRT,ZNF419,DBP,ZNF862,EZH1,HDAC5,SMURF2,SUV420H1,CDKN1B,ING4,DUSP22,APBB3,PDGFRB,ACVR2B,STK16,RCOR3,MED28,TGIF2,TGFB3,ZNF211,ZMYM2,LRIF1,SIRT5,ZNF133,PCID2,ZNF337,RBM39,ZNF132,SUV420H2,ELP2,SPAG8,ALS2CR8,HMG20A,IRF8,SMAD4,ZFP14,WDTC1,TBX19,CREB3L4,GATAD2B,CAMK2D,RNF44,ZNF182,ZMYM3,TBX6,ZNF773,EIF4A2,GATAD1,ZNF19,ELK4,GPBP1L1,ZNF230,HSF2BP,ZNF496,ANKRA2,GDF9,ZNF12,TP53INP1,POLL,SMAD3,ZNF610,ZNF83,ATG16L2,IRF2BP2,ZBTB5,ANKRD49,INSR,ZBTB26,ZNF318,MALT1,HINFP,PARP14,ZNF449,ZNF266,NR1D2,ZNF25,ZNF404,CDK5R1,TGIF1,ZHX2,ZBTB18,ZNF571,HKR1,FOXO4,ZFP90,ZFP36L1,ZNF566,ZNF555,ZNF501,ZNF197,ZNF546,ZKSCAN4,ZNF383,ZNF766,ZBTB44,ZNF565,ZNF34,ZNF846,ZNF136,ZNF585A,ZNF470,ZMYM1,ZNF461,ZNF84,ZNF248,ZNF251,ZNF442,ZNF568,ZNF28,MDM4,ZNF525,RXRB,GABBR1,TRIM13,ZNF630,ZNF844,ZNF717,ZBTB22,N4BP2L2,ZNF345,ZNF550,ZNF350,CTD-3105H18.14,ZNF2",2.60657958650888
"3","cyan",TRUE,0.000992,4301,440,147,0.334,0.034,"GO:0009889","BP",1,"regulation of biosynthetic process",1,"GIPR,MBTD1,CALCOCO1,ARID4B,TARBP1,EIF4B,ZNF76,ATXN3,SIRT2,PICALM,CBFA2T2,TP53INP2,RFX3,PSEN1,ZNF506,TRAF5,HACE1,UIMC1,ZBTB25,NFATC4,ZNF516,ZNF821,ZNF419,DBP,ZNF862,EZH1,HDAC5,SMURF2,SUV420H1,CDKN1B,ING4,DUSP22,APBB3,PDGFRB,FXR1,ACVR2B,STK16,RCOR3,MED28,TGIF2,TGFB3,ZNF211,ZMYM2,LRIF1,SIRT5,ZNF133,PCID2,ZNF337,POMT1,RBM39,ZNF132,SUV420H2,ELP2,SPAG8,ALS2CR8,HMG20A,IRF8,SMAD4,ZFP14,WDTC1,TBX19,CREB3L4,GATAD2B,CAMK2D,RNF44,ZNF182,ZMYM3,LSM14B,TBX6,ZNF773,EIF4A2,GATAD1,ZNF19,ELK4,GPBP1L1,ZNF230,ZNF496,ANKRA2,GDF9,ZNF12,TP53INP1,SMAD3,ZNF610,ZNF83,IRF2BP2,ZBTB5,ANKRD49,INSR,ZBTB26,ZNF318,MALT1,HINFP,PARP14,ZNF449,ZNF266,NR1D2,ZNF25,ZNF404,CDK5R1,TGIF1,ZHX2,ZBTB18,ZNF571,HKR1,PLA2G6,FOXO4,ZFP90,ZFP36L1,ZNF566,ZNF555,ZNF501,ZNF197,ZNF546,ZKSCAN4,ZNF383,ZNF766,ZBTB44,ZNF565,ZNF34,ZNF846,ZNF136,ZNF585A,ZNF470,ZMYM1,ZNF461,ZNF84,ZNF248,ZNF251,ZNF442,ZNF568,ZNF28,MDM4,ZNF525,RXRB,GABBR1,TRIM13,ZNF630,ZNF844,ZNF717,ZBTB22,EIF4EBP3,N4BP2L2,ZNF345,ZNF550,ZNF350,CTD-3105H18.14,ZNF2",2.92607428731023
"4","cyan",TRUE,0.0211,5066,440,161,0.366,0.032,"GO:0009059","BP",1,"macromolecule biosynthetic process",1,"MBTD1,CALCOCO1,ARID4B,ZC3H11A,TARBP1,EIF4B,ZNF76,ATXN3,SIRT2,ST6GAL1,PICALM,CBFA2T2,TP53INP2,RFX3,PSEN1,ZNF506,TRAF5,HACE1,UIMC1,ZBTB25,NFATC4,ZNF516,POLI,ZNF821,ZNF419,DBP,ZNF862,PIGL,EZH1,HDAC5,SMURF2,SUV420H1,CDKN1B,ING4,DUSP22,APBB3,PDGFRB,FXR1,ABTB1,ACVR2B,STK16,RCOR3,MED28,TGIF2,TGFB3,ZNF211,ZMYM2,LRIF1,SIRT5,ZNF133,PCID2,RPAIN,ZNF337,POMT1,RBM39,ZNF132,SUV420H2,ELP2,SPAG8,ALS2CR8,HMG20A,IRF8,SMAD4,ZFP14,SIRT3,WDTC1,TBX19,EIF2D,CREB3L4,GATAD2B,CAMK2D,RNF44,ZNF182,ZMYM3,LSM14B,TBX6,ZNF773,EIF4A2,GATAD1,ZNF19,ELK4,GPBP1L1,ZNF230,HSF2BP,ADAMTS13,ZNF496,ANKRA2,GDF9,ZNF12,TP53INP1,POLL,SMAD3,ZNF610,ZNF83,ATG16L2,IRF2BP2,COG7,ZBTB5,ANKRD49,INSR,ZBTB26,ZNF318,MALT1,HINFP,PARP14,ZNF449,ZNF266,NR1D2,ZNF25,ZNF404,CDK5R1,TGIF1,ZHX2,ZBTB18,ZNF571,HKR1,PLA2G6,FOXO4,ZFP90,ZFP36L1,ZNF566,ZNF555,ZNF501,ZNF197,ZNF546,ZKSCAN4,ZNF383,ZNF766,ZBTB44,ZNF565,ZNF34,ZNF846,ZNF136,ZNF585A,ZNF470,ZMYM1,PCBP2,ZNF461,ZNF84,ZNF248,ZNF251,ZNF442,ZNF568,ZNF28,MDM4,ZNF525,RXRB,TRIM13,HEXA,ZNF630,ZNF844,ZNF717,B3GALT4,ZBTB22,EIF4EBP3,N4BP2L2,ZNF345,ZNF550,ZNF350,CTD-3105H18.14,ZNF2",2.38224768092529
"5","cyan",TRUE,9.25e-05,4073,440,145,0.33,0.036,"GO:0010556","BP",1,"regulation of macromolecule biosynthetic process",2,"MBTD1,CALCOCO1,ARID4B,TARBP1,EIF4B,ZNF76,ATXN3,SIRT2,PICALM,CBFA2T2,TP53INP2,RFX3,PSEN1,ZNF506,TRAF5,HACE1,UIMC1,ZBTB25,NFATC4,ZNF516,ZNF821,ZNF419,DBP,ZNF862,EZH1,HDAC5,SMURF2,SUV420H1,CDKN1B,ING4,DUSP22,APBB3,PDGFRB,FXR1,ACVR2B,STK16,RCOR3,MED28,TGIF2,TGFB3,ZNF211,ZMYM2,LRIF1,SIRT5,ZNF133,PCID2,ZNF337,POMT1,RBM39,ZNF132,SUV420H2,ELP2,SPAG8,ALS2CR8,HMG20A,IRF8,SMAD4,ZFP14,WDTC1,TBX19,CREB3L4,GATAD2B,CAMK2D,RNF44,ZNF182,ZMYM3,LSM14B,TBX6,ZNF773,EIF4A2,GATAD1,ZNF19,ELK4,GPBP1L1,ZNF230,ZNF496,ANKRA2,GDF9,ZNF12,TP53INP1,SMAD3,ZNF610,ZNF83,IRF2BP2,ZBTB5,ANKRD49,INSR,ZBTB26,ZNF318,MALT1,HINFP,PARP14,ZNF449,ZNF266,NR1D2,ZNF25,ZNF404,CDK5R1,TGIF1,ZHX2,ZBTB18,ZNF571,HKR1,PLA2G6,FOXO4,ZFP90,ZFP36L1,ZNF566,ZNF555,ZNF501,ZNF197,ZNF546,ZKSCAN4,ZNF383,ZNF766,ZBTB44,ZNF565,ZNF34,ZNF846,ZNF136,ZNF585A,ZNF470,ZMYM1,ZNF461,ZNF84,ZNF248,ZNF251,ZNF442,ZNF568,ZNF28,MDM4,ZNF525,RXRB,TRIM13,ZNF630,ZNF844,ZNF717,ZBTB22,EIF4EBP3,N4BP2L2,ZNF345,ZNF550,ZNF350,CTD-3105H18.14,ZNF2",2.99334430427341
"6","cyan",TRUE,0.00484,5103,440,165,0.375,0.032,"GO:0090304","BP",1,"nucleic acid metabolic process",1,"RAD52,RBM5,RBM6,MBTD1,CALCOCO1,CLK1,GEMIN8,WDR37,ARID4B,ZC3H11A,TARBP1,EIF4B,ZNF76,ATXN3,SIRT2,PICALM,RBMS2,CBFA2T2,TP53INP2,RFX3,PSEN1,ZNF506,TRAF5,HACE1,UIMC1,ZBTB25,PDCD7,NFATC4,ZNF516,POLI,ZNF821,ZNF419,DBP,ZNF862,EZH1,HDAC5,SMURF2,SUV420H1,CDKN1B,ING4,DUSP22,APBB3,CLK4,PDGFRB,ACVR2B,STK16,RCOR3,MED28,TGIF2,MLH3,TGFB3,ZNF211,ZMYM2,LRIF1,SIRT5,ZNF133,PCID2,RPAIN,ZNF337,RBM39,ZNF132,SUV420H2,ELP2,SPAG8,ALS2CR8,HMG20A,NEIL1,IRF8,SMAD4,ZFP14,WDTC1,TBX19,RRNAD1,CREB3L4,GATAD2B,CAMK2D,RNF44,ZNF182,ZMYM3,TBX6,ZNF773,PAN3,EIF4A2,GATAD1,ZNF19,ELK4,GPBP1L1,ZNF230,HSF2BP,ZNF496,ANKRA2,GDF9,ZNF12,TP53INP1,POLL,SMAD3,ZNF610,ZNF83,ATG16L2,THAP9,IRF2BP2,ZBTB5,ANKRD49,INSR,ZBTB26,ZNF318,MALT1,HINFP,PARP14,ZNF449,ENDOV,ZNF266,NR1D2,ZNF25,ZNF404,CDK5R1,TGIF1,ZHX2,ZBTB18,ZNF571,HKR1,FOXO4,ZFP90,ZFP36L1,ZNF566,ZNF555,ZNF501,ZNF197,ZNF546,EXD3,ZKSCAN4,ZNF383,ZNF766,ZBTB44,ZNF565,ZNF34,ZNF846,ZNF136,ZNF585A,ZNF470,ZMYM1,PCBP2,ZNF461,ZNF84,ZNF248,ZNF251,ZNF442,UVRAG,ZNF568,ZNF28,MDM4,ZNF525,RXRB,TRIM13,SYCE3,ZNF630,ZNF844,ZNF717,ZBTB22,N4BP2L2,ZNF345,ZNF550,ZNF350,CTD-3105H18.14,ZNF2",2.2717223785017
"7","cyan",TRUE,0.0154,4501,440,147,0.334,0.033,"GO:1901362","BP",1,"organic cyclic compound biosynthetic process",1,"GIPR,MBTD1,CALCOCO1,ARID4B,ZC3H11A,TARBP1,ZNF76,ATXN3,SIRT2,PICALM,CBFA2T2,TP53INP2,RFX3,PSEN1,ZNF506,TRAF5,HACE1,UIMC1,ZBTB25,NFATC4,ZNF516,POLI,ZNF821,QPRT,ZNF419,DBP,ZNF862,EZH1,HDAC5,SMURF2,SUV420H1,CDKN1B,ING4,DUSP22,APBB3,PDGFRB,ACVR2B,STK16,RCOR3,MED28,TGIF2,TGFB3,ZNF211,ZMYM2,LRIF1,SIRT5,ZNF133,PCID2,ZNF337,RBM39,ZNF132,SUV420H2,ELP2,SPAG8,ALS2CR8,HMG20A,IRF8,SMAD4,ZFP14,WDTC1,TBX19,CREB3L4,GATAD2B,CAMK2D,RNF44,ZNF182,ZMYM3,TBX6,ZNF773,EIF4A2,GATAD1,ZNF19,ELK4,GPBP1L1,ZNF230,HSF2BP,ZNF496,ANKRA2,GDF9,ZNF12,TP53INP1,POLL,SMAD3,ZNF610,ZNF83,ATG16L2,IRF2BP2,ZBTB5,ANKRD49,INSR,ZBTB26,ZNF318,MALT1,HINFP,PARP14,ZNF449,ZNF266,NR1D2,ZNF25,ZNF404,CDK5R1,TGIF1,ZHX2,ZBTB18,ZNF571,HKR1,FOXO4,ZFP90,ZFP36L1,ZNF566,ZNF555,ZNF501,ZNF197,ZNF546,ZKSCAN4,ZNF383,ZNF766,ZBTB44,ZNF565,ZNF34,ZNF846,ZNF136,ZNF585A,ZNF470,ZMYM1,ZNF461,ZNF84,ZNF248,ZNF251,ZNF442,ZNF568,ZNF28,MDM4,ZNF525,RXRB,GABBR1,TRIM13,ZNF630,ZNF844,ZNF717,ZBTB22,N4BP2L2,ZNF345,ZNF550,ZNF350,CTD-3105H18.14,ZNF2",2.57699769597771
"8","cyan",TRUE,0.0239,4882,440,156,0.355,0.032,"GO:0044271","BP",1,"cellular nitrogen compound biosynthetic process",1,"GIPR,MBTD1,CALCOCO1,ARID4B,ZC3H11A,TARBP1,EIF4B,ZNF76,ATXN3,SIRT2,PICALM,CBFA2T2,TP53INP2,RFX3,PSEN1,ZNF506,TRAF5,HACE1,UIMC1,ZBTB25,NFATC4,ZNF516,POLI,ZNF821,QPRT,ZNF419,DBP,ZNF862,EZH1,HDAC5,SMURF2,SUV420H1,CDKN1B,ING4,DUSP22,APBB3,PDGFRB,FXR1,ABTB1,ACVR2B,STK16,RCOR3,MED28,TGIF2,TGFB3,ZNF211,ZMYM2,LRIF1,SIRT5,ZNF133,PCID2,ZNF337,RBM39,ZNF132,SUV420H2,ELP2,SPAG8,ALS2CR8,HMG20A,IRF8,SMAD4,ZFP14,WDTC1,TBX19,EIF2D,CREB3L4,GATAD2B,CAMK2D,RNF44,ZNF182,ZMYM3,UGCG,LSM14B,TBX6,ZNF773,EIF4A2,GATAD1,ZNF19,ELK4,GPBP1L1,ZNF230,HSF2BP,ZNF496,ANKRA2,GDF9,ZNF12,TP53INP1,POLL,SMAD3,ZNF610,ZNF83,ATG16L2,IRF2BP2,ZBTB5,ANKRD49,INSR,ZBTB26,ZNF318,MALT1,HINFP,PARP14,ZNF449,ZNF266,NR1D2,ZNF25,ZNF404,CDK5R1,TGIF1,ZHX2,ZBTB18,ZNF571,HKR1,PLA2G6,FOXO4,ZFP90,ZFP36L1,ZNF566,ZNF555,ZNF501,ZNF197,ZNF546,ZKSCAN4,ZNF383,ZNF766,ZBTB44,ZNF565,ZNF34,ZNF846,ZNF136,ZNF585A,ZNF470,ZMYM1,PCBP2,ZNF461,ZNF84,ZNF248,ZNF251,ZNF442,ZNF568,ZNF28,MDM4,ZNF525,RXRB,GABBR1,TRIM13,ZNF630,ZNF844,ZNF717,ZBTB22,EIF4EBP3,N4BP2L2,ZNF345,ZNF550,ZNF350,CTD-3105H18.14,ZNF2",2.44489830460872
"9","cyan",TRUE,0.00112,4309,440,147,0.334,0.034,"GO:0034654","BP",1,"nucleobase-containing compound biosynthetic process",2,"GIPR,MBTD1,CALCOCO1,ARID4B,ZC3H11A,TARBP1,ZNF76,ATXN3,SIRT2,PICALM,CBFA2T2,TP53INP2,RFX3,PSEN1,ZNF506,TRAF5,HACE1,UIMC1,ZBTB25,NFATC4,ZNF516,POLI,ZNF821,QPRT,ZNF419,DBP,ZNF862,EZH1,HDAC5,SMURF2,SUV420H1,CDKN1B,ING4,DUSP22,APBB3,PDGFRB,ACVR2B,STK16,RCOR3,MED28,TGIF2,TGFB3,ZNF211,ZMYM2,LRIF1,SIRT5,ZNF133,PCID2,ZNF337,RBM39,ZNF132,SUV420H2,ELP2,SPAG8,ALS2CR8,HMG20A,IRF8,SMAD4,ZFP14,WDTC1,TBX19,CREB3L4,GATAD2B,CAMK2D,RNF44,ZNF182,ZMYM3,TBX6,ZNF773,EIF4A2,GATAD1,ZNF19,ELK4,GPBP1L1,ZNF230,HSF2BP,ZNF496,ANKRA2,GDF9,ZNF12,TP53INP1,POLL,SMAD3,ZNF610,ZNF83,ATG16L2,IRF2BP2,ZBTB5,ANKRD49,INSR,ZBTB26,ZNF318,MALT1,HINFP,PARP14,ZNF449,ZNF266,NR1D2,ZNF25,ZNF404,CDK5R1,TGIF1,ZHX2,ZBTB18,ZNF571,HKR1,FOXO4,ZFP90,ZFP36L1,ZNF566,ZNF555,ZNF501,ZNF197,ZNF546,ZKSCAN4,ZNF383,ZNF766,ZBTB44,ZNF565,ZNF34,ZNF846,ZNF136,ZNF585A,ZNF470,ZMYM1,ZNF461,ZNF84,ZNF248,ZNF251,ZNF442,ZNF568,ZNF28,MDM4,ZNF525,RXRB,GABBR1,TRIM13,ZNF630,ZNF844,ZNF717,ZBTB22,N4BP2L2,ZNF345,ZNF550,ZNF350,CTD-3105H18.14,ZNF2",2.62215809209656
"10","cyan",TRUE,0.000472,4251,440,147,0.334,0.035,"GO:0031326","BP",1,"regulation of cellular biosynthetic process",1,"GIPR,MBTD1,CALCOCO1,ARID4B,TARBP1,EIF4B,ZNF76,ATXN3,SIRT2,PICALM,CBFA2T2,TP53INP2,RFX3,PSEN1,ZNF506,TRAF5,HACE1,UIMC1,ZBTB25,NFATC4,ZNF516,ZNF821,ZNF419,DBP,ZNF862,EZH1,HDAC5,SMURF2,SUV420H1,CDKN1B,ING4,DUSP22,APBB3,PDGFRB,FXR1,ACVR2B,STK16,RCOR3,MED28,TGIF2,TGFB3,ZNF211,ZMYM2,LRIF1,SIRT5,ZNF133,PCID2,ZNF337,POMT1,RBM39,ZNF132,SUV420H2,ELP2,SPAG8,ALS2CR8,HMG20A,IRF8,SMAD4,ZFP14,WDTC1,TBX19,CREB3L4,GATAD2B,CAMK2D,RNF44,ZNF182,ZMYM3,LSM14B,TBX6,ZNF773,EIF4A2,GATAD1,ZNF19,ELK4,GPBP1L1,ZNF230,ZNF496,ANKRA2,GDF9,ZNF12,TP53INP1,SMAD3,ZNF610,ZNF83,IRF2BP2,ZBTB5,ANKRD49,INSR,ZBTB26,ZNF318,MALT1,HINFP,PARP14,ZNF449,ZNF266,NR1D2,ZNF25,ZNF404,CDK5R1,TGIF1,ZHX2,ZBTB18,ZNF571,HKR1,PLA2G6,FOXO4,ZFP90,ZFP36L1,ZNF566,ZNF555,ZNF501,ZNF197,ZNF546,ZKSCAN4,ZNF383,ZNF766,ZBTB44,ZNF565,ZNF34,ZNF846,ZNF136,ZNF585A,ZNF470,ZMYM1,ZNF461,ZNF84,ZNF248,ZNF251,ZNF442,ZNF568,ZNF28,MDM4,ZNF525,RXRB,GABBR1,TRIM13,ZNF630,ZNF844,ZNF717,ZBTB22,EIF4EBP3,N4BP2L2,ZNF345,ZNF550,ZNF350,CTD-3105H18.14,ZNF2",2.94883546027591
