"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","yellow3",0.667036281491842
"2","ENSG00000237683","AL627309.1","orangered3",0.327721663879931
"3","ENSG00000268903","RP11-34P13.15","paleturquoise",0.316666008922163
"4","ENSG00000269981","RP11-34P13.16","orangered3",0.328153091966414
"5","ENSG00000228463","AP006222.2","floralwhite",0.309478188936851
"6","ENSG00000241670","AP006222.1","yellow3",0.403379391275593
"7","ENSG00000237094","RP4-669L17.10","palevioletred3",0.789701114673161
"8","ENSG00000225972","MTND1P23","thistle3",0.242704256477871
"9","ENSG00000225630","MTND2P28","blue2",0.218891953087216
"10","ENSG00000237973","hsa-mir-6723","blue2",0.361466895417341
"11","ENSG00000229344","RP5-857K21.7","blue2",0.278133249504392
"12","ENSG00000224956","RP11-206L10.1","bisque4",0.78180309899895
"13","ENSG00000228327","RP11-206L10.2","lavenderblush3",0.656745130917509
"14","ENSG00000237491","RP11-206L10.9","salmon",0.629802929594646
"15","ENSG00000230092","RP11-206L10.8","palevioletred3",0.420588628789977
"16","ENSG00000177757","FAM87B","lavenderblush3",0.638553190654349
"17","ENSG00000225880","LINC00115","skyblue3",0.736816776402173
"18","ENSG00000228794","RP11-206L10.11","sienna3",0.839534778740464
"19","ENSG00000230368","FAM41C","magenta4",0.552079239741137
"20","ENSG00000188976","NOC2L","coral1",0.836187083890878
"21","ENSG00000187961","KLHL17","lightcyan1",0.78051285184183
"22","ENSG00000272512","ENSG00000272512","blue2",0.336251264198804
"23","ENSG00000188290","HES4","darkmagenta",0.722170562500306
"24","ENSG00000187608","ISG15","darkred",0.332804991331428
"25","ENSG00000188157","AGRN","blue2",0.695331766876552
"26","ENSG00000242590","RP11-54O7.14","blue2",0.59573768865961
"27","ENSG00000131591","C1orf159","plum3",0.787891116585887
"28","ENSG00000186891","TNFRSF18","mediumorchid",0.345491744201851
"29","ENSG00000186827","TNFRSF4","yellow",0.511848398991047
"30","ENSG00000078808","SDF4","salmon4",0.833578019705922
"31","ENSG00000176022","B3GALT6","greenyellow",0.810945452277973
"32","ENSG00000184163","FAM132A","grey60",0.715390262358949
"33","ENSG00000260179","RP5-902P8.12","grey60",0.498270341396321
"34","ENSG00000160087","UBE2J2","salmon2",0.774338670025243
"35","ENSG00000230415","RP5-902P8.10","darkseagreen4",0.828861131542155
"36","ENSG00000162572","SCNN1D","yellow4",0.824884186865043
"37","ENSG00000131584","ACAP3","salmon4",0.860919857215216
"38","ENSG00000169972","PUSL1","yellow4",0.695377691933003
"39","ENSG00000127054","CPSF3L","lightcyan1",0.894806951560503
"40","ENSG00000240731","RP5-890O3.9","darkgrey",0.774559683132056
"41","ENSG00000224051","GLTPD1","brown",0.767747224159637
"42","ENSG00000169962","TAS1R3","magenta4",0.68446161003578
"43","ENSG00000107404","DVL1","coral1",0.694374188210748
"44","ENSG00000162576","MXRA8","lightgreen",0.743024735250377
"45","ENSG00000175756","AURKAIP1","brown",0.942139848921243
"46","ENSG00000223663","RP5-890O3.3","mediumpurple4",0.371977673050514
"47","ENSG00000221978","CCNL2","orangered3",0.893921494026695
"48","ENSG00000224870","RP4-758J18.2","lightcyan1",0.52430770375254
"49","ENSG00000242485","MRPL20","darkseagreen3",0.888401970227168
"50","ENSG00000264293","RN7SL657P","lavenderblush3",0.678521211041178
"51","ENSG00000272455","ENSG00000272455","plum3",0.558097665337377
"52","ENSG00000235098","ANKRD65","darkgreen",0.56242337409879
"53","ENSG00000225905","RP4-758J18.7","bisque4",0.66360856347845
"54","ENSG00000205116","TMEM88B","white",0.66345998145912
"55","ENSG00000179403","VWA1","white",0.677293915235745
"56","ENSG00000215915","ATAD3C","darkmagenta",0.35020663493202
"57","ENSG00000160072","ATAD3B","yellow4",0.647196679427656
"58","ENSG00000197785","ATAD3A","yellow4",0.773859971259701
"59","ENSG00000205090","TMEM240","salmon2",0.901475190148714
"60","ENSG00000160075","SSU72","coral2",0.867674039987773
"61","ENSG00000215791","AL645728.2","yellow4",0.648638699796972
"62","ENSG00000215014","AL645728.1","palevioletred2",0.578365799006719
"63","ENSG00000228594","C1orf233","darkgreen",0.861752587177839
"64","ENSG00000272106","ENSG00000272106","bisque4",0.712231245797507
"65","ENSG00000197530","MIB2","yellow",0.85698255736549
"66","ENSG00000189409","MMP23B","skyblue3",0.6759853746375
"67","ENSG00000248333","CDK11B","salmon4",0.726111416059064
"68","ENSG00000272004","ENSG00000272004","orangered3",0.468275720446655
"69","ENSG00000189339","SLC35E2B","floralwhite",0.651524036758236
"70","ENSG00000269227","RP11-345P4.6","lavenderblush3",0.712406929803215
"71","ENSG00000008128","CDK11A","lightcyan1",0.723545803139932
"72","ENSG00000268575","RP1-283E3.8","lightcyan1",0.699509980255402
"73","ENSG00000227775","RP1-283E3.4","lavenderblush3",0.717782404808143
"74","ENSG00000215790","SLC35E2","lavenderblush3",0.7233697904805
"75","ENSG00000008130","NADK","salmon4",0.700712699800787
"76","ENSG00000078369","GNB1","sienna3",0.908005108872999
"77","ENSG00000231050","RP1-140A9.1","darkgreen",0.674762905795887
"78","ENSG00000169885","CALML6","salmon4",0.58070111929727
"79","ENSG00000178821","TMEM52","skyblue3",0.493193977252113
"80","ENSG00000142609","C1orf222","orangered3",0.431001419137447
"81","ENSG00000233542","RP11-547D24.1","orangered3",0.603899762677921
"82","ENSG00000187730","GABRD","brown",0.821486130210917
"83","ENSG00000067606","PRKCZ","steelblue",0.845446260346866
"84","ENSG00000271806","ENSG00000271806","coral1",0.85209946391571
"85","ENSG00000182873","RP11-181G12.2","lightcyan1",0.866727703678072
"86","ENSG00000162585","C1orf86","salmon2",0.798135054066654
"87","ENSG00000269554","AL590822.2","palevioletred2",0.685337266318005
"88","ENSG00000157933","SKI","coral1",0.700600695386628
"89","ENSG00000116151","MORN1","yellow4",0.677816429846283
"90","ENSG00000272161","ENSG00000272161","yellow4",0.592884471093518
"91","ENSG00000269753","AL589739.1","greenyellow",0.424976811455462
"92","ENSG00000272420","ENSG00000272420","skyblue1",0.470840518388099
"93","ENSG00000271921","ENSG00000271921","magenta4",0.401507763159334
"94","ENSG00000271847","ENSG00000271847","lightpink3",0.290365786326506
"95","ENSG00000178642","AL513477.1","lightpink3",0.42177838197114
"96","ENSG00000157916","RER1","floralwhite",0.839111214711286
"97","ENSG00000157911","PEX10","greenyellow",0.631377373775122
"98","ENSG00000149527","PLCH2","yellow4",0.546339531999879
"99","ENSG00000224387","RP3-395M20.2","darkseagreen4",0.662955873787467
"100","ENSG00000229393","RP3-395M20.3","darkseagreen4",0.645826487529128
"101","ENSG00000157881","PANK4","coral2",0.675578681697699
"102","ENSG00000197921","HES5","darkgreen",0.447742955876141
"103","ENSG00000272449","ENSG00000272449","darkgreen",0.653578796534456
"104","ENSG00000238164","RP3-395M20.8","palevioletred2",0.439897575251945
"105","ENSG00000157873","TNFRSF14","palevioletred2",0.503652865696689
"106","ENSG00000228037","RP3-395M20.9","orange",0.187993823099383
"107","ENSG00000157870","FAM213B","skyblue4",0.663592117111746
"108","ENSG00000177133","RP1-163G9.1","lightgreen",0.642253997145206
"109","ENSG00000130762","ARHGEF16","darkolivegreen",0.402388517145377
"110","ENSG00000162591","MEGF6","lavenderblush2",0.462406861623459
"111","ENSG00000238260","RP11-46F15.2","yellow",0.824460372084332
"112","ENSG00000158109","TPRG1L","steelblue",0.757331290353444
"113","ENSG00000116213","WRAP73","salmon4",0.798638080632311
"114","ENSG00000078900","TP73","salmon4",0.445352698272395
"115","ENSG00000227372","TP73-AS1","lavenderblush2",0.755917800209932
"116","ENSG00000235169","SMIM1","darkgreen",0.346447988081843
"117","ENSG00000130764","LRRC47","steelblue",0.896374300489903
"118","ENSG00000266075","RN7SL574P","lightcyan1",0.538454520697062
"119","ENSG00000272153","ENSG00000272153","coral1",0.803479453388663
"120","ENSG00000116198","CEP104","floralwhite",0.813646892915165
"121","ENSG00000169598","DFFB","lightcyan1",0.729687910492098
"122","ENSG00000198912","C1orf174","darkviolet",0.605074247430945
"123","ENSG00000196581","AJAP1","darkolivegreen",0.893486402173671
"124","ENSG00000131697","NPHP4","lightcyan1",0.769760638913759
"125","ENSG00000069424","KCNAB2","coral2",0.649601346149496
"126","ENSG00000116254","CHD5","palevioletred2",0.754009408113402
"127","ENSG00000116251","RPL22","orange",0.814556410111102
"128","ENSG00000226944","RP1-120G22.11","lightcyan1",0.623364537513161
"129","ENSG00000158286","RNF207","lavenderblush2",0.84644095516711
"130","ENSG00000116237","ICMT","blue",0.732562667118818
"131","ENSG00000158292","GPR153","darkolivegreen",0.657937159710562
"132","ENSG00000097021","ACOT7","midnightblue",0.889091882751992
"133","ENSG00000187017","ESPN","maroon",0.809456150289602
"134","ENSG00000215788","TNFRSF25","lightcyan1",0.801308260000717
"135","ENSG00000171680","PLEKHG5","lavenderblush3",0.8802261107648
"136","ENSG00000162408","NOL9","brown4",0.521049693390697
"137","ENSG00000204859","ZBTB48","yellow4",0.801408162391275
"138","ENSG00000162413","KLHL21","skyblue3",0.830420561401669
"139","ENSG00000116273","PHF13","darkviolet",0.671541610299399
"140","ENSG00000041988","THAP3","darkviolet",0.84359225097147
"141","ENSG00000007923","DNAJC11","brown4",0.858670597480944
"142","ENSG00000171735","CAMTA1","lightcyan",0.841908659847741
"143","ENSG00000270171","RP11-338N10.1","lightpink3",0.493852308178577
"144","ENSG00000270035","RP11-338N10.2","palevioletred2",0.671273969869824
"145","ENSG00000269978","RP11-338N10.3","palevioletred2",0.578382863235317
"146","ENSG00000049245","VAMP3","violet",0.711314599433546
"147","ENSG00000269925","RP3-467L1.6","floralwhite",0.81184501979726
"148","ENSG00000049246","PER3","lavenderblush3",0.876547696134133
"149","ENSG00000236266","RP3-467L1.4","lavenderblush3",0.858875643621163
"150","ENSG00000116288","PARK7","midnightblue",0.92235560349408
"151","ENSG00000116285","ERRFI1","coral3",0.678132853018676
"152","ENSG00000162426","SLC45A1","darkseagreen3",0.780048976557277
"153","ENSG00000142599","RERE","lightcyan1",0.76981330379982
"154","ENSG00000232912","RP5-1115A15.1","palevioletred2",0.378078705480313
"155","ENSG00000074800","ENO1","darkmagenta",0.70955501119486
"156","ENSG00000142583","SLC2A5","paleturquoise",0.862231012876
"157","ENSG00000049239","H6PD","palevioletred2",0.619189070545927
"158","ENSG00000171621","SPSB1","darkred",0.808468444454058
"159","ENSG00000171612","SLC25A33","green",0.784787037503249
"160","ENSG00000188807","TMEM201","yellow4",0.68463576187506
"161","ENSG00000171608","PIK3CD","lightcyan1",0.644916025359969
"162","ENSG00000171603","CLSTN1","sienna3",0.911506986359419
"163","ENSG00000178585","CTNNBIP1","darkgreen",0.696038930733889
"164","ENSG00000223989","RP11-84A14.5","darkgreen",0.695796529811576
"165","ENSG00000162441","LZIC","honeydew",0.792641498867683
"166","ENSG00000173614","NMNAT1","thistle",0.664857781379494
"167","ENSG00000241326","RP11-807G9.2","lightpink3",0.406441685942009
"168","ENSG00000162444","RBP7","white",0.750620192420159
"169","ENSG00000130939","UBE4B","orangered3",0.817958591885014
"170","ENSG00000054523","KIF1B","ivory",0.881997825297461
"171","ENSG00000199562","RNU6-37","mediumpurple4",0.407601341234454
"172","ENSG00000264501","RN7SL731P","navajowhite1",0.460322487449092
"173","ENSG00000265945","RN7SL721P","lightpink3",0.322962120687189
"174","ENSG00000142657","PGD","steelblue",0.759953956311633
"175","ENSG00000241563","CORT","yellow",0.649757461809356
"176","ENSG00000160049","DFFA","thistle",0.780508888727381
"177","ENSG00000203469","RP5-1113E3.3","darkseagreen4",0.736569818101253
"178","ENSG00000142655","PEX14","coral2",0.761218289671248
"179","ENSG00000175262","C1orf127","darkolivegreen",0.611134665733526
"180","ENSG00000120948","TARDBP","lightpink4",0.912931568768434
"181","ENSG00000009724","MASP2","floralwhite",0.892834163772655
"182","ENSG00000271895","ENSG00000271895","violet",0.833802231411651
"183","ENSG00000116649","SRM","darkgreen",0.83599634634205
"184","ENSG00000171824","EXOSC10","orangered3",0.854444393334919
"185","ENSG00000226849","RP4-635E18.7","orangered3",0.735664104464457
"186","ENSG00000230337","RP4-635E18.6","lavenderblush3",0.749146521219097
"187","ENSG00000198793","MTOR","darkseagreen4",0.860251689799698
"188","ENSG00000225602","MTOR-AS1","sienna3",0.546178791494163
