"","salmon2","honeydew","plum","darkviolet","paleturquoise","skyblue","lavenderblush3","plum1","salmon","yellow","mediumpurple3","darkorange","plum3","palevioletred3","lightsteelblue","yellow4","skyblue3","sienna3","navajowhite2","cyan","ivory","palevioletred2","darkgrey","magenta","saddlebrown","lightyellow","plum2","bisque4","brown4","navajowhite1","lightpink4","greenyellow","midnightblue","black","steelblue","skyblue1","royalblue","darkslateblue","thistle3","indianred4","white","thistle1","skyblue2","blue2","darkturquoise","darkgreen","darkred","turquoise","orangered4","mediumpurple2","grey60","blue","lightcoral","brown2","coral1","darkseagreen3","lightgreen","brown","darkolivegreen","magenta4","maroon","orangered3","darkmagenta","darkseagreen4","lightsteelblue1","floralwhite","coral2","antiquewhite4","salmon4","honeydew1","red","lavenderblush2","lightpink3","darkorange2","darkolivegreen4","pink","green","lightcyan1","thistle"
"Astrocytes, highly probable (Cahoy, 2008)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.39088572081817e-12,1,5.84103232702686e-05,1,3.84326285196802e-17,1,1,1,1,1,1,1,1,1,1,1,1,7.11489521414111e-07,1,1,1,1,1,1,1,1
"Astrocytes module in Cortex",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0238758625699311,1,1,1,7.35819490747791e-05,1,1,1,1,1,1,3.37587067931343e-20,1,4.55425964130834e-09,1,1.67452668638637e-46,1,1,1,1,1,1,1,1,1,1,1,1,0.00239273582077205,1,1,1,1,1,1,1,1
"Microglia in Human brain Module (Geschwind, 2010)",1,1,1,1,0.00104615359426553,1,1,1,1,1,1,1,1,1.32759730144258e-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.66525664009639e-27,1,1,1,1,1,1,1,1,1,0.000457157622735443,1,1,1,1,1,1,1,1,1,1,1,1
"Microglia (Type2) module in Cortex",1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.81250904507799e-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.56384822331112e-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron in Human brain Module (Geschwind,2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.40502409210716e-11,1,1,1,1,1,1,1.91356485183177e-18,1,1,1,1,1,1,0.00142389424834893,1,1,1,1,1,1,1,1,0.00519743371109333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.89309983721413e-49,1,1
"Neuron module in Cortex",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.56679365088715e-09,1,1,1,1,1,1,1,1,1,1,1,1,1,2.00784927173704e-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.83768685639657e-11,1.09468482630519e-10,1,8.39543386616847e-50,1,1
"Neuron, pyramidal in network from Sugino/Winden",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00105981771601168,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00246411641125801,0.00128908937010443,1,1.86786408943337e-11,1,1
"Microglia (Type 1) (Geschwind, 2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.51739699186482e-86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron, definite (Cahoy, 2008)",1,1,1,1,1,1,1,1,1,1,4.71202775733092e-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.31738576084365e-06,1,1,1,1.92807247350475e-07,1,1,1,1,1.94236685031642e-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocytes in Human brain Module (Geschwind,2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.74144555778449e-106,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
