"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","salmon2",0.599368413704688
"2","ENSG00000237683","AL627309.1","honeydew",0.312505251358034
"3","ENSG00000268903","RP11-34P13.15","salmon2",0.297695974864171
"4","ENSG00000269981","RP11-34P13.16","honeydew",0.30140464348092
"5","ENSG00000239906","RP11-34P13.14","salmon2",0.365518538832937
"6","ENSG00000228463","AP006222.2","plum",0.275630830487621
"7","ENSG00000241670","AP006222.1","salmon2",0.508874800350507
"8","ENSG00000237094","RP4-669L17.10","darkviolet",0.670052949790554
"9","ENSG00000225972","MTND1P23","paleturquoise",0.320181128561539
"10","ENSG00000225630","MTND2P28","paleturquoise",0.326650805371864
"11","ENSG00000237973","hsa-mir-6723","paleturquoise",0.39575926695192
"12","ENSG00000229344","RP5-857K21.7","paleturquoise",0.455848371554167
"13","ENSG00000229376","CICP3","skyblue",0.580244128813733
"14","ENSG00000224956","RP11-206L10.1","lavenderblush3",0.628032405317128
"15","ENSG00000228327","RP11-206L10.2","plum1",0.508662692969591
"16","ENSG00000237491","RP11-206L10.9","salmon",0.674072517416983
"17","ENSG00000230092","RP11-206L10.8","darkviolet",0.511744214934455
"18","ENSG00000177757","FAM87B","plum1",0.5812114022299
"19","ENSG00000225880","LINC00115","yellow",0.662850427662404
"20","ENSG00000228794","RP11-206L10.11","mediumpurple3",0.803180752106997
"21","ENSG00000230368","FAM41C","darkorange",0.448289334867381
"22","ENSG00000188976","NOC2L","skyblue",0.775049167112479
"23","ENSG00000187961","KLHL17","plum3",0.781689378791561
"24","ENSG00000272512","ENSG00000272512","palevioletred3",0.462466001138455
"25","ENSG00000188290","HES4","palevioletred3",0.599812734181527
"26","ENSG00000187608","ISG15","lightsteelblue",0.809639304685979
"27","ENSG00000188157","AGRN","yellow4",0.787453570551306
"28","ENSG00000242590","RP11-54O7.14","yellow4",0.713444611099186
"29","ENSG00000131591","C1orf159","skyblue3",0.709189083212104
"30","ENSG00000186891","TNFRSF18","sienna3",0.433725651204088
"31","ENSG00000186827","TNFRSF4","plum3",0.432695592643059
"32","ENSG00000078808","SDF4","navajowhite2",0.75312011703673
"33","ENSG00000176022","B3GALT6","cyan",0.75365304251061
"34","ENSG00000184163","FAM132A","ivory",0.807194166238819
"35","ENSG00000260179","RP5-902P8.12","palevioletred2",0.601004754872558
"36","ENSG00000160087","UBE2J2","plum3",0.781251928211091
"37","ENSG00000230415","RP5-902P8.10","darkgrey",0.747656856348704
"38","ENSG00000162572","SCNN1D","navajowhite2",0.782904065812524
"39","ENSG00000131584","ACAP3","sienna3",0.813528032828432
"40","ENSG00000169972","PUSL1","magenta",0.725931318418881
"41","ENSG00000127054","CPSF3L","yellow",0.855606970457569
"42","ENSG00000240731","RP5-890O3.9","saddlebrown",0.801350701111576
"43","ENSG00000224051","GLTPD1","lightyellow",0.756876517015964
"44","ENSG00000169962","TAS1R3","darkorange",0.59049892921048
"45","ENSG00000107404","DVL1","plum2",0.815978038057527
"46","ENSG00000162576","MXRA8","bisque4",0.747043406995866
"47","ENSG00000175756","AURKAIP1","lightyellow",0.834162836297371
"48","ENSG00000223663","RP5-890O3.3","brown4",0.216709387489332
"49","ENSG00000221978","CCNL2","darkgrey",0.707369620250799
"50","ENSG00000224870","RP4-758J18.2","navajowhite1",0.581952039613743
"51","ENSG00000242485","MRPL20","cyan",0.682686960876999
