"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","salmon2",TRUE,0.0375,118,10,3,0.3,0.025,"REAC:2408522","rea",2,"Selenoamino acid metabolism",1,"RPL39,RPS28,RPL17",NA
"2","salmon2",TRUE,0.0191,94,10,3,0.3,0.032,"REAC:2408557","rea",2,"Selenocysteine synthesis",2,"RPL39,RPS28,RPL17",NA
"3","salmon2",TRUE,0.0173,91,10,3,0.3,0.033,"REAC:192823","rea",3,"Viral mRNA Translation",1,"RPL39,RPS28,RPL17",NA
"4","salmon2",TRUE,0.0404,121,10,3,0.3,0.025,"REAC:72613","rea",1,"Eukaryotic Translation Initiation",1,"RPL39,RPS28,RPL17",NA
"5","salmon2",TRUE,0.033,113,10,3,0.3,0.027,"REAC:156827","rea",1,"L13a-mediated translational silencing of Ceruloplasmin expression",2,"RPL39,RPS28,RPL17",NA
"6","salmon2",TRUE,0.0404,121,10,3,0.3,0.025,"REAC:72737","rea",1,"Cap-dependent Translation Initiation",2,"RPL39,RPS28,RPL17",NA
"7","salmon2",TRUE,0.0251,103,10,3,0.3,0.029,"REAC:72689","rea",1,"Formation of a pool of free 40S subunits",3,"RPL39,RPS28,RPL17",NA
"8","salmon2",TRUE,0.0339,114,10,3,0.3,0.026,"REAC:72706","rea",1,"GTP hydrolysis and joining of the 60S ribosomal subunit",3,"RPL39,RPS28,RPL17",NA
"9","salmon2",TRUE,0.0339,114,10,3,0.3,0.026,"REAC:1799339","rea",7,"SRP-dependent cotranslational protein targeting to membrane",1,"RPL39,RPS28,RPL17",NA
"10","salmon2",TRUE,0.0203,96,10,3,0.3,0.031,"REAC:156842","rea",4,"Eukaryotic Translation Elongation",1,"RPL39,RPS28,RPL17",NA
"11","salmon2",TRUE,0.0173,91,10,3,0.3,0.033,"REAC:156902","rea",4,"Peptide chain elongation",2,"RPL39,RPS28,RPL17",NA
"12","salmon2",TRUE,0.0197,95,10,3,0.3,0.032,"REAC:72764","rea",5,"Eukaryotic Translation Termination",1,"RPL39,RPS28,RPL17",NA
