"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","brown",0.446666456997187
"2","ENSG00000237683","AL627309.1","grey60",0.482282731203494
"3","ENSG00000268903","RP11-34P13.15","grey60",0.464336706014247
"4","ENSG00000269981","RP11-34P13.16","grey60",0.500352799713173
"5","ENSG00000239906","RP11-34P13.14","green",0.365456984093289
"6","ENSG00000228463","AP006222.2","midnightblue",0.478656469410992
"7","ENSG00000241670","AP006222.1","darkgreen",0.505725948101597
"8","ENSG00000237094","RP4-669L17.10","green",0.652470740139756
"9","ENSG00000225972","MTND1P23","orange",0.157620225192466
"10","ENSG00000225630","MTND2P28","brown",0.118044030554491
"11","ENSG00000237973","hsa-mir-6723","lightcyan",0.139290276913275
"12","ENSG00000229344","RP5-857K21.7","brown",0.252393323776422
"13","ENSG00000224956","RP11-206L10.1","grey",0
"14","ENSG00000228327","RP11-206L10.2","pink",0.689877037552771
"15","ENSG00000237491","RP11-206L10.9","brown",0.628500796217947
"16","ENSG00000230092","RP11-206L10.8","green",0.489925444059876
"17","ENSG00000177757","FAM87B","grey",0
"18","ENSG00000225880","LINC00115","yellow",0.605731733494594
"19","ENSG00000228794","RP11-206L10.11","royalblue",0.503778406387498
"20","ENSG00000223764","RP11-54O7.3","lightgreen",0.391532436622933
"21","ENSG00000187634","SAMD11","lightgreen",0.420088674771556
"22","ENSG00000188976","NOC2L","purple",0.736352764643357
"23","ENSG00000187961","KLHL17","turquoise",0.827754657636961
"24","ENSG00000272512","ENSG00000272512","white",0.210355419972454
"25","ENSG00000188290","HES4","steelblue",0.261744802083977
"26","ENSG00000187608","ISG15","midnightblue",0.441028298337144
"27","ENSG00000188157","AGRN","darkgreen",0.624280083632649
"28","ENSG00000242590","RP11-54O7.14","darkgreen",0.645580605901331
"29","ENSG00000131591","C1orf159","green",0.599852906726959
"30","ENSG00000186827","TNFRSF4","white",0.607082083595998
"31","ENSG00000078808","SDF4","skyblue",0.483243732275496
"32","ENSG00000176022","B3GALT6","purple",0.410946052850743
"33","ENSG00000184163","FAM132A","green",0.560947786182805
"34","ENSG00000260179","RP5-902P8.12","green",0.570632184003906
"35","ENSG00000160087","UBE2J2","skyblue",0.659457147326241
"36","ENSG00000230415","RP5-902P8.10","saddlebrown",0.708800528625999
"37","ENSG00000162572","SCNN1D","saddlebrown",0.797009525832353
"38","ENSG00000131584","ACAP3","saddlebrown",0.767516634245184
"39","ENSG00000169972","PUSL1","skyblue",0.48716914119867
"40","ENSG00000127054","CPSF3L","skyblue",0.666747465139392
