"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","brown",TRUE,0.000306,6866,290,150,0.517,0.022,"GO:0006807","BP",3,"nitrogen compound metabolic process",1,"RBM6,ZNF195,AGK,LUC7L,AKAP8L,CLK1,ZCCHC8,WDR37,ZC3H11A,PMS1,TAF11,CDK13,DRD4,MIR939,PDE8A,ZNF638,THOC1,MIR1909,UBA5,ZNF506,CCNT2,NLK,ZNF302,MIR3198-2,PNN,RHOXF1,TAZ,AMH,ZNF419,PDE4C,HOXA2,NRF1,COA1,UTP6,LUC7L3,FBXW7,HPX,CHKA,CNOT2,GUCA1B,PAPD7,PPWD1,WDR75,TFAP2E,PRPF3,ABCD4,RPAP2,USP22,SLC35B3,DDX31,ZNF133,ZNF337,RBM39,ZNF141,KRBA1,RBMX2,ERCC5,PHF11,NUPL2,WDR33,CDK9,APTX,ZSCAN9,THUMPD2,TDG,CERS5,TBX19,ZC3H8,LYG1,RQCD1,ZNF300,ZNF182,HMBOX1,ZNF7,MRRF,NR6A1,TUT1,PTS,KIN,SREK1IP1,ZNF18,MOV10,GATAD1,PAXBP1,DONSON,ADPGK,ZNF75A,TYW5,MTHFD2L,UCN,ZMYM6,TRA2A,RP9,MIR7-1,METTL17,NDUFB8,ZCCHC18,ZNF83,ZNF354A,ZRSR2,ZNF160,ZNF439,EXOSC10,RBM4,ZNF654,CSTF3,ZNF354B,MCMDC2,OAZ2,ZNF571,HKR1,POU6F1,SS18L1,ZNF529,ZNF732,ZNF626,ZNF600,POM121,ZNF140,ZNF124,TRAPPC2,ZNF100,ZNF682,SLC22A5,ZNF461,ZNF121,ZNF84,ZNF251,ZNF26,ZNF43,MDM4,ZNF525,RING1,AGER,DOM3Z,ZNF814,ZNF254,QTRT1,MXD3,LCAT,CCNL2,NSUN6,GTF2A1L,N4BP2L2,ZNF286B,ZNF878,ZNF625,CTD-3105H18.14,ZNF595,TADA2A",1.93420756307389
"2","brown",TRUE,9.39e-06,6134,290,143,0.493,0.023,"GO:1901360","BP",3,"organic cyclic compound metabolic process",1,"RBM6,ZNF195,LUC7L,AKAP8L,CLK1,ZCCHC8,WDR37,ZC3H11A,PMS1,TAF11,CDK13,DRD4,MIR939,ACADVL,PDE8A,ZNF638,THOC1,MIR1909,UBA5,ZNF506,CCNT2,NLK,ZNF302,MIR3198-2,PNN,RHOXF1,TAZ,AMH,ZNF419,PDE4C,HOXA2,NRF1,UTP6,LUC7L3,FBXW7,HPX,CNOT2,GUCA1B,PAPD7,PPWD1,WDR75,TFAP2E,PRPF3,ABCD4,RPAP2,USP22,SLC35B3,DDX31,ZNF133,ZNF337,HSD17B3,RBM39,ZNF141,KRBA1,RBMX2,ERCC5,PHF11,NUPL2,WDR33,CDK9,APTX,ZSCAN9,THUMPD2,TDG,TBX19,ZC3H8,RQCD1,ZNF300,ZNF182,HMBOX1,ZNF7,NR6A1,TUT1,PTS,KIN,SREK1IP1,ZNF18,MOV10,GATAD1,PAXBP1,DONSON,ADPGK,ZNF75A,TYW5,MTHFD2L,UCN,ZMYM6,TRA2A,RP9,MIR7-1,NDUFB8,ZCCHC18,ZNF83,ZNF354A,ZRSR2,ZNF160,ZNF439,EXOSC10,RBM4,ZNF654,CSTF3,ZNF354B,MCMDC2,ZNF571,HKR1,POU6F1,SS18L1,ZNF529,ZNF732,ZNF626,ZNF600,POM121,ZNF140,ZNF124,TRAPPC2,ZNF100,ZNF682,ZNF461,ZNF121,ZNF84,ZNF251,ZNF26,ZNF43,MDM4,ZNF525,RING1,AGER,DOM3Z,ZNF814,ZNF254,QTRT1,MXD3,LCAT,CCNL2,NSUN6,GTF2A1L,N4BP2L2,ZNF286B,ZNF878,ZNF625,CTD-3105H18.14,ZNF595,TADA2A",2.09634866986716
"3","brown",TRUE,0.011,4501,290,104,0.359,0.023,"GO:1901362","BP",3,"organic cyclic compound biosynthetic process",2,"ZNF195,AKAP8L,ZC3H11A,TAF11,CDK13,DRD4,MIR939,PDE8A,ZNF638,THOC1,ZNF506,CCNT2,NLK,ZNF302,MIR3198-2,PNN,RHOXF1,AMH,ZNF419,HOXA2,NRF1,FBXW7,CNOT2,GUCA1B,PAPD7,WDR75,TFAP2E,RPAP2,USP22,SLC35B3,ZNF133,ZNF337,HSD17B3,RBM39,ZNF141,KRBA1,PHF11,NUPL2,CDK9,ZSCAN9,TDG,TBX19,ZC3H8,RQCD1,ZNF300,ZNF182,HMBOX1,ZNF7,NR6A1,PTS,ZNF18,MOV10,GATAD1,PAXBP1,ZNF75A,MTHFD2L,UCN,ZMYM6,MIR7-1,ZCCHC18,ZNF83,ZNF354A,ZNF160,ZNF439,ZNF654,CSTF3,ZNF354B,ZNF571,HKR1,POU6F1,SS18L1,ZNF529,ZNF732,ZNF626,ZNF600,POM121,ZNF140,ZNF124,TRAPPC2,ZNF100,ZNF682,ZNF461,ZNF121,ZNF84,ZNF251,ZNF26,ZNF43,MDM4,ZNF525,RING1,AGER,ZNF814,ZNF254,QTRT1,MXD3,CCNL2,GTF2A1L,N4BP2L2,ZNF286B,ZNF878,ZNF625,CTD-3105H18.14,ZNF595,TADA2A",2.57699769597771
"4","brown",TRUE,0.0455,4073,290,94,0.324,0.023,"GO:0010556","BP",3,"regulation of macromolecule biosynthetic process",1,"ZNF195,AKAP8L,TAF11,CDK13,PDE8A,ZNF638,THOC1,ZNF506,CCNT2,NLK,ZNF302,MIR3198-2,PNN,RHOXF1,AMH,ZNF419,HOXA2,NRF1,FBXW7,CNOT2,WDR75,TFAP2E,RPAP2,USP22,ZNF133,ZNF337,RBM39,ZNF141,KRBA1,PHF11,CDK9,ZSCAN9,TDG,TBX19,ZC3H8,RQCD1,ZNF300,ZNF182,HMBOX1,ZNF7,NR6A1,ZNF18,MOV10,GATAD1,PAXBP1,ZNF75A,UCN,ZMYM6,MIR7-1,ZCCHC18,ZNF83,ZNF354A,ZNF160,ZNF439,RBM4,GLMN,ZNF654,ZNF354B,ZNF571,HKR1,POU6F1,SS18L1,ZNF529,ZNF732,ZNF626,ZNF600,ZNF140,ZNF124,TRAPPC2,ZNF100,ZNF682,ZNF461,ZNF121,ZNF84,ZNF251,ZNF26,ZNF43,MDM4,ZNF525,RING1,AGER,ZNF814,ZNF254,MXD3,CCNL2,GTF2A1L,N4BP2L2,ZNF286B,ZNF878,ZNF625,CNPY2,CTD-3105H18.14,ZNF595,TADA2A",2.99334430427341
"5","brown",TRUE,0.0451,3960,290,92,0.317,0.023,"GO:2000112","BP",3,"regulation of cellular macromolecule biosynthetic process",1,"ZNF195,AKAP8L,TAF11,CDK13,PDE8A,ZNF638,THOC1,ZNF506,CCNT2,NLK,ZNF302,MIR3198-2,PNN,RHOXF1,AMH,ZNF419,HOXA2,NRF1,FBXW7,CNOT2,WDR75,TFAP2E,RPAP2,USP22,ZNF133,ZNF337,RBM39,ZNF141,KRBA1,PHF11,CDK9,ZSCAN9,TDG,TBX19,ZC3H8,RQCD1,ZNF300,ZNF182,HMBOX1,ZNF7,NR6A1,ZNF18,MOV10,GATAD1,PAXBP1,ZNF75A,UCN,ZMYM6,MIR7-1,ZCCHC18,ZNF83,ZNF354A,ZNF160,ZNF439,RBM4,ZNF654,ZNF354B,ZNF571,HKR1,POU6F1,SS18L1,ZNF529,ZNF732,ZNF626,ZNF600,ZNF140,ZNF124,TRAPPC2,ZNF100,ZNF682,ZNF461,ZNF121,ZNF84,ZNF251,ZNF26,ZNF43,MDM4,ZNF525,RING1,AGER,ZNF814,ZNF254,MXD3,CCNL2,GTF2A1L,N4BP2L2,ZNF286B,ZNF878,ZNF625,CTD-3105H18.14,ZNF595,TADA2A",3.05532834713118
"6","brown",TRUE,0.0415,10105,290,192,0.662,0.019,"GO:0044237","BP",3,"cellular metabolic process",1,"RBM6,ZNF195,AGK,LUC7L,FAM76A,AKAP8L,CLK1,ZCCHC8,UBA6,WDR37,ZC3H11A,PMS1,TAF11,CDK13,DRD4,MIR939,ACADVL,PDE8A,ZNF638,THOC1,MIR1909,MOK,UBA5,ZNF506,STRADB,CCNT2,NLK,ZNF302,MIR3198-2,SLC25A17,PNN,RHOXF1,ALG13,SLC25A14,TAZ,HAGHL,AMH,ZNF419,PDE4C,HOXA2,NRF1,COA1,UTP6,LUC7L3,DCUN1D4,FBXW7,HPX,CHKA,CNOT2,STK38,GUCA1B,PAPD7,PPWD1,WDR75,TFAP2E,PRPF3,ALDH8A1,CCND2,SENP5,ABCD4,RPAP2,USP22,SLC35B3,DDX31,ZNF133,PRKRIP1,SHC2,C19ORF80,CDC16,ZNF337,HSD17B3,RBM39,ZNF141,ILKAP,KRBA1,RBMX2,ERCC5,PHF11,NUPL2,WDR33,CDK9,APTX,ZSCAN9,THUMPD2,TDG,CERS5,FITM1,TBX19,ZC3H8,LYG1,RQCD1,KIAA0226,ZNF300,ZNF182,HMBOX1,PPAPDC1B,ZNF7,MRRF,NR6A1,TUT1,PTS,KIN,SREK1IP1,ZNF18,MOV10,GATAD1,PAXBP1,DONSON,KCNE2,ADPGK,THEM4,ZNF75A,TYW5,MTHFD2L,UCN,ZMYM6,TRA2A,RP9,MIR7-1,METTL17,NDUFB8,ZCCHC18,PIP5KL1,ZNF83,FNTA,ZNF354A,ZRSR2,NRG4,ZNF160,ZNF439,EXOSC10,RBM4,GLMN,ZNF654,UCP3,CSTF3,ANAPC2,ZNF354B,MCMDC2,OAZ2,ZNF571,HKR1,POU6F1,SS18L1,ZNF529,ZNF732,ZNF626,LRRC66,ZNF600,FAM150B,POM121,ZNF140,ZNF124,TRAPPC2,ANAPC7,ZNF100,ZNF682,SLC22A5,BCO2,ZNF461,ZNF121,ZNF84,ZNF251,ZNF26,ZNF43,MDM4,ZNF525,RING1,AGER,DOM3Z,CSNK2B,ZNF814,CYP2D7P1,ZNF254,QTRT1,MXD3,LCAT,CCNL2,COX19,NSUN6,GTF2A1L,N4BP2L2,UBAP1L,NAIP,ZNF286B,CDK3,ZNF878,ZNF625,CNPY2,CTD-3105H18.14,ZNF595,TADA2A",1.33189125738454
"7","brown",TRUE,3.62e-05,6428,290,146,0.503,0.023,"GO:0034641","BP",3,"cellular nitrogen compound metabolic process",2,"RBM6,ZNF195,AGK,LUC7L,AKAP8L,CLK1,ZCCHC8,WDR37,ZC3H11A,PMS1,TAF11,CDK13,DRD4,MIR939,PDE8A,ZNF638,THOC1,MIR1909,UBA5,ZNF506,CCNT2,NLK,ZNF302,MIR3198-2,PNN,RHOXF1,TAZ,AMH,ZNF419,PDE4C,HOXA2,NRF1,COA1,UTP6,LUC7L3,FBXW7,CHKA,CNOT2,GUCA1B,PAPD7,PPWD1,WDR75,TFAP2E,PRPF3,RPAP2,USP22,SLC35B3,DDX31,ZNF133,ZNF337,RBM39,ZNF141,KRBA1,RBMX2,ERCC5,PHF11,NUPL2,WDR33,CDK9,APTX,ZSCAN9,THUMPD2,TDG,CERS5,TBX19,ZC3H8,RQCD1,ZNF300,ZNF182,HMBOX1,ZNF7,MRRF,NR6A1,TUT1,PTS,KIN,SREK1IP1,ZNF18,MOV10,GATAD1,PAXBP1,DONSON,ADPGK,ZNF75A,TYW5,MTHFD2L,UCN,ZMYM6,TRA2A,RP9,MIR7-1,METTL17,NDUFB8,ZCCHC18,ZNF83,ZNF354A,ZRSR2,ZNF160,ZNF439,EXOSC10,RBM4,ZNF654,CSTF3,ZNF354B,MCMDC2,OAZ2,ZNF571,HKR1,POU6F1,SS18L1,ZNF529,ZNF732,ZNF626,ZNF600,POM121,ZNF140,ZNF124,TRAPPC2,ZNF100,ZNF682,SLC22A5,ZNF461,ZNF121,ZNF84,ZNF251,ZNF26,ZNF43,MDM4,ZNF525,RING1,AGER,DOM3Z,ZNF814,ZNF254,QTRT1,MXD3,CCNL2,NSUN6,GTF2A1L,N4BP2L2,ZNF286B,ZNF878,ZNF625,CTD-3105H18.14,ZNF595,TADA2A",2.0095653577481
"8","brown",TRUE,0.0163,4882,290,110,0.379,0.023,"GO:0044271","BP",3,"cellular nitrogen compound biosynthetic process",3,"ZNF195,AGK,AKAP8L,ZC3H11A,TAF11,CDK13,DRD4,MIR939,PDE8A,ZNF638,THOC1,ZNF506,CCNT2,NLK,ZNF302,MIR3198-2,PNN,RHOXF1,AMH,ZNF419,HOXA2,NRF1,COA1,FBXW7,CNOT2,GUCA1B,PAPD7,WDR75,TFAP2E,RPAP2,USP22,SLC35B3,ZNF133,ZNF337,RBM39,ZNF141,KRBA1,PHF11,NUPL2,CDK9,ZSCAN9,TDG,CERS5,TBX19,ZC3H8,RQCD1,ZNF300,ZNF182,HMBOX1,ZNF7,MRRF,NR6A1,PTS,ZNF18,MOV10,GATAD1,PAXBP1,ZNF75A,MTHFD2L,UCN,ZMYM6,MIR7-1,METTL17,ZCCHC18,ZNF83,ZNF354A,ZNF160,ZNF439,RBM4,ZNF654,CSTF3,ZNF354B,OAZ2,ZNF571,HKR1,POU6F1,SS18L1,ZNF529,ZNF732,ZNF626,ZNF600,POM121,ZNF140,ZNF124,TRAPPC2,ZNF100,ZNF682,ZNF461,ZNF121,ZNF84,ZNF251,ZNF26,ZNF43,MDM4,ZNF525,RING1,AGER,ZNF814,ZNF254,QTRT1,MXD3,CCNL2,GTF2A1L,N4BP2L2,ZNF286B,ZNF878,ZNF625,CTD-3105H18.14,ZNF595,TADA2A",2.44489830460872
"9","brown",TRUE,4.5e-06,5897,290,140,0.483,0.024,"GO:0046483","BP",3,"heterocycle metabolic process",2,"RBM6,ZNF195,LUC7L,AKAP8L,CLK1,ZCCHC8,WDR37,ZC3H11A,PMS1,TAF11,CDK13,DRD4,MIR939,PDE8A,ZNF638,THOC1,MIR1909,UBA5,ZNF506,CCNT2,NLK,ZNF302,MIR3198-2,PNN,RHOXF1,TAZ,AMH,ZNF419,PDE4C,HOXA2,NRF1,UTP6,LUC7L3,FBXW7,HPX,CNOT2,GUCA1B,PAPD7,PPWD1,WDR75,TFAP2E,PRPF3,ABCD4,RPAP2,USP22,SLC35B3,DDX31,ZNF133,ZNF337,RBM39,ZNF141,KRBA1,RBMX2,ERCC5,PHF11,NUPL2,WDR33,CDK9,APTX,ZSCAN9,THUMPD2,TDG,TBX19,ZC3H8,RQCD1,ZNF300,ZNF182,HMBOX1,ZNF7,NR6A1,TUT1,PTS,KIN,SREK1IP1,ZNF18,MOV10,GATAD1,PAXBP1,DONSON,ADPGK,ZNF75A,TYW5,MTHFD2L,UCN,ZMYM6,TRA2A,RP9,MIR7-1,NDUFB8,ZCCHC18,ZNF83,ZNF354A,ZRSR2,ZNF160,ZNF439,EXOSC10,RBM4,ZNF654,CSTF3,ZNF354B,MCMDC2,ZNF571,HKR1,POU6F1,SS18L1,ZNF529,ZNF732,ZNF626,ZNF600,POM121,ZNF140,ZNF124,TRAPPC2,ZNF100,ZNF682,ZNF461,ZNF121,ZNF84,ZNF251,ZNF26,ZNF43,MDM4,ZNF525,RING1,AGER,DOM3Z,ZNF814,ZNF254,QTRT1,MXD3,CCNL2,NSUN6,GTF2A1L,N4BP2L2,ZNF286B,ZNF878,ZNF625,CTD-3105H18.14,ZNF595,TADA2A",2.14161737953607
"10","brown",TRUE,0.0052,4375,290,103,0.355,0.024,"GO:0018130","BP",3,"heterocycle biosynthetic process",3,"ZNF195,AKAP8L,ZC3H11A,TAF11,CDK13,DRD4,MIR939,PDE8A,ZNF638,THOC1,ZNF506,CCNT2,NLK,ZNF302,MIR3198-2,PNN,RHOXF1,AMH,ZNF419,HOXA2,NRF1,FBXW7,CNOT2,GUCA1B,PAPD7,WDR75,TFAP2E,RPAP2,USP22,SLC35B3,ZNF133,ZNF337,RBM39,ZNF141,KRBA1,PHF11,NUPL2,CDK9,ZSCAN9,TDG,TBX19,ZC3H8,RQCD1,ZNF300,ZNF182,HMBOX1,ZNF7,NR6A1,PTS,ZNF18,MOV10,GATAD1,PAXBP1,ZNF75A,MTHFD2L,UCN,ZMYM6,MIR7-1,ZCCHC18,ZNF83,ZNF354A,ZNF160,ZNF439,ZNF654,CSTF3,ZNF354B,ZNF571,HKR1,POU6F1,SS18L1,ZNF529,ZNF732,ZNF626,ZNF600,POM121,ZNF140,ZNF124,TRAPPC2,ZNF100,ZNF682,ZNF461,ZNF121,ZNF84,ZNF251,ZNF26,ZNF43,MDM4,ZNF525,RING1,AGER,ZNF814,ZNF254,QTRT1,MXD3,CCNL2,GTF2A1L,N4BP2L2,ZNF286B,ZNF878,ZNF625,CTD-3105H18.14,ZNF595,TADA2A",2.60657958650888
