"","tan","red","black","turquoise","pink","blue","greenyellow","green","brown","purple","magenta"
"Astrocytes, highly probable (Cahoy, 2008)",1,1,1,1,1,1,1,1,1,1,1
"Astrocytes module in Cortex",1,1,1,1,1,1,1,1,1,1,1
"Microglia in Human brain Module (Geschwind, 2010)",1,1,1.34860556921031e-19,1,1,1,1,1,1,1,1
"Microglia (Type2) module in Cortex",1,1,1.69488317300164e-14,1,1,1,1,1,1,1,1
"Neuron in Human brain Module (Geschwind,2010)",1,1,1,1,1,1,1,0.00442074517894438,1,1,1
"Neuron module in Cortex",1,1,1,0.0107616458611521,1,1,1,1,1,1,1.28898465064413e-05
"Neuron, pyramidal in network from Sugino/Winden",1,1,1,0.000669508476125853,1,1,1,1,1,1,1
"Microglia (Type 1) (Geschwind, 2010)",1,9.48915072505455e-21,1,1,1,1,1,1,1,1,1
"Neuron, definite (Cahoy, 2008)",1,1,1,0.00334498765616334,1,1,0.000274331667182686,1,1,1,1
"Oligodendrocytes in Human brain Module (Geschwind,2010)",1,1,1,1,1,1,1,1,1,1,0.00444240259324293
"Oligodendrocytes in Cortex",1,1,1,7.82211836610234e-08,1,1,1,1,1,1,1
"Oligodendrocytes, definite (Cahoy, 2008)",1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocytes from conservative data set (Lein, 2007)",1,1,1,1,1,1,1,1,1,1,1
"Neuron, probably (Cahoy, 2008)",1,1,1,4.27627064483022e-44,1,1,5.81429669139169e-05,1,1,1,1
"Astrocytes-Cahoy",1,1,1,1,1,1,1,1,1,1,1
"Neuron-Dopaminergic-Cahoy",1,1,1,1,1,1,1,1,1,1,1
"Neurons-Cahoy",1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocytes-Cahoy",1,1,1,1,1,1,1,1,1,1,1
"Ependymal-External",1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocyte-External",1,1,1,1,1,1,1,1,1,1,1
"Microglia-External",1,4.71502128119913e-53,3.87282712326091e-05,1,1,1,1,1,1,1,1
"Neuron_Pyramidal_CA1-External",1,1,1,0.000830547667578066,1,1,1,1,1,1,1
"Neuron_Interneuron-External",1,1,1,0.0120698681862853,1,1,1,1,1,1,1
"Endothelial-External",1,1,1,1,1,1,5.59885626660795e-15,1,1,1,1
"Neuron_Pyramidal_S1-External",1,1,1,0.0377078554969737,1,1,1,1,1,1,1
"Astrocyte-External",1,1,1,0.0321663976998342,1,1,1,1,1,1,1
"Mural-External",1,1,1,3.44921312269941e-10,1,1,1,1,1,1,1
"Neuron_Dopaminergic-External",1,1,1,1,1,1,1,1,1,1,1
"Neuron_Dopaminergic_SNigra-External",1,1,1,1,1,1,1,1,1,1,1
"Neuron_Dopaminergic_VTA-External",1,1,1,1,1,1,1,1,1,1,1
"In1-External",1,1,1,1,1,1,1,1,1,1,1
"In2-External",1,1,1,1,1,1,1,1,1,1,1
"In3-External",1,1,1,1,1,1,1,1,1,1,1
"In4-External",1,1,1,1,1,1,1,1,1,1,1
"In5-External",1,1,1,1,1,1,1,1,1,1,1
"In6-External",1,1,1,1,1,1,1,1,1,1,1
"In7-External",1,1,1,1,1,1,1,1,1,1,1
"In8-External",1,1,1,1,1,1,1,1,1,1,1
"Ex1-External",1,1,1,1,1,1,0.0159163740594785,1,1,1,1
"Ex2-External",1,1,1,1,1,1,1,1,1,1,1
"Ex3-External",1,1,1,1,1,1,1,1,1,1,1
"Ex4-External",1,1,1,1,1,1,1,1,1,1,1
"Ex5-External",1,1,1,1,1,1,0.038379226577514,1,1,1,1
"Ex6-External",1,1,1,1,1,1,1,1,1,1,1
"Ex7-External",1,1,1,1,1,1,1,1,1,1,1
"Ex8-External",1,1,1,1,1,1,1,1,1,1,1
"Bcells-External",1,1,1,1,1,1,1,1,1,1,1
"CD8Tcells-External",1,1,1,1,1,1,1,1,1,1,1
"Cytotoxiccells-External",1,1.84743972165676e-08,1,1,1,1,1,1,1,1,1
"Eosinophils-External",1,1,1,1,1,1,1,1,1,1,1
"iDC-External",1,1,1,1,1,1,1,1,1,1,1
"Macrophages-External",1,1,1,1,1,1,1,1,1,1,1
"Mastcells-External",1,1,1,1,1,1,1,1,1,1,1
"NaturalKillers-External",1,1,1,1,1,1,1,1,1,1,1
"Neutrophils-External",1,1,3.22568809242102e-05,1,1,1,1,1,1,1,1
"Tcells-External",1,3.83891510602282e-10,1,1,1,1,1,1,1,1,1
"Tcm-External",1,1,1,1,1,1,1,1,1,1,1
"Tem-External",1,1,1,1,1,1,1,1,1,1,1
"Tfh-External",1,1,1,1,1,1,1,1,1,1,1
"Th1cells-External",1,1,1,1,1,1,1,1,1,1,1
"Th2cells-External",1,1,1,1,1,1,1,1,1,1,1
"Thelpercells-External",1,1,1,1,1,1,1,1,1,1,1
