"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","tan",0.41805468635302
"2","ENSG00000237683","AL627309.1","red",0.344986975209287
"3","ENSG00000268903","RP11-34P13.15","red",0.329934043648418
"4","ENSG00000269981","RP11-34P13.16","red",0.320126581233317
"5","ENSG00000239906","RP11-34P13.14","black",0.45989455986542
"6","ENSG00000228463","AP006222.2","turquoise",0.509095695221482
"7","ENSG00000241670","AP006222.1","turquoise",0.658928859469873
"8","ENSG00000237094","RP4-669L17.10","pink",0.201700713953767
"9","ENSG00000225972","MTND1P23","blue",0.278403081073185
"10","ENSG00000225630","MTND2P28","tan",0.334770177523808
"11","ENSG00000237973","hsa-mir-6723","blue",0.636673829975733
"12","ENSG00000229344","RP5-857K21.7","blue",0.534101953958839
"13","ENSG00000224956","RP11-206L10.1","tan",0.429836841197648
"14","ENSG00000228327","RP11-206L10.2","pink",0.33658747633089
"15","ENSG00000237491","RP11-206L10.9","tan",0.719899450348327
"16","ENSG00000230092","RP11-206L10.8","tan",0.361832643327687
"17","ENSG00000177757","FAM87B","greenyellow",0.462774821254571
"18","ENSG00000225880","LINC00115","tan",0.368296405770412
"19","ENSG00000228794","RP11-206L10.11","turquoise",0.922388811171808
"20","ENSG00000223764","RP11-54O7.3","greenyellow",0.558294677980031
"21","ENSG00000187634","SAMD11","green",0.524905446155218
"22","ENSG00000188976","NOC2L","green",0.687165044039392
"23","ENSG00000187961","KLHL17","green",0.326303704585784
"24","ENSG00000187583","PLEKHN1","red",0.742668709566395
"25","ENSG00000272512","ENSG00000272512","greenyellow",0.158573881862859
"26","ENSG00000188290","HES4","turquoise",0.425814973319455
"27","ENSG00000187608","ISG15","black",0.464391283849189
"28","ENSG00000188157","AGRN","brown",0.553037200397598
"29","ENSG00000242590","RP11-54O7.14","brown",0.555335467224339
"30","ENSG00000217801","RP11-465B22.3","blue",0.853516417165232
"31","ENSG00000131591","C1orf159","blue",0.784826087851731
"32","ENSG00000272141","ENSG00000272141","blue",0.945301957832275
"33","ENSG00000186891","TNFRSF18","red",0.805106334191694
"34","ENSG00000186827","TNFRSF4","red",0.802713292933678
"35","ENSG00000078808","SDF4","blue",0.822639773237632
"36","ENSG00000176022","B3GALT6","green",0.654178934342688
"37","ENSG00000184163","FAM132A","blue",0.884497556877705
"38","ENSG00000260179","RP5-902P8.12","turquoise",0.0140411556890142
"39","ENSG00000160087","UBE2J2","brown",0.579311598486565
"40","ENSG00000230415","RP5-902P8.10","turquoise",0.742793965769959
"41","ENSG00000162572","SCNN1D","turquoise",0.744940850479019
"42","ENSG00000131584","ACAP3","turquoise",0.541466774081048
"43","ENSG00000169972","PUSL1","brown",0.70321080023815
"44","ENSG00000127054","CPSF3L","turquoise",0.616872940240497
"45","ENSG00000240731","RP5-890O3.9","pink",0.696243258176853
"46","ENSG00000224051","GLTPD1","blue",0.927034845227017
"47","ENSG00000169962","TAS1R3","red",0.707896685153028
"48","ENSG00000107404","DVL1","pink",0.429914900971739
"49","ENSG00000162576","MXRA8","turquoise",0.830719894599638
"50","ENSG00000175756","AURKAIP1","brown",0.790303933012939
"51","ENSG00000221978","CCNL2","pink",0.675580775597481
"52","ENSG00000224870","RP4-758J18.2","green",0.434326078478312
"53","ENSG00000242485","MRPL20","green",0.784862625290276
"54","ENSG00000264293","RN7SL657P","tan",0.512065603135594
"55","ENSG00000272455","ENSG00000272455","tan",0.578278686043077
"56","ENSG00000235098","ANKRD65","turquoise",0.891472639302888
"57","ENSG00000225285","RP4-758J18.10","turquoise",0.844310591244439
"58","ENSG00000179403","VWA1","turquoise",0.802484005144148
"59","ENSG00000215915","ATAD3C","turquoise",0.595594843336539
"60","ENSG00000160072","ATAD3B","brown",0.566309471288046
"61","ENSG00000197785","ATAD3A","brown",0.770635237695299
"62","ENSG00000205090","TMEM240","turquoise",0.924621711117513
"63","ENSG00000160075","SSU72","brown",0.675646753239065
"64","ENSG00000215791","AL645728.2","blue",0.549535749709817
"65","ENSG00000228594","C1orf233","brown",0.649322764150335
"66","ENSG00000272106","ENSG00000272106","tan",0.620356513039358
"67","ENSG00000197530","MIB2","tan",0.599990590529019
"68","ENSG00000189409","MMP23B","greenyellow",0.476247100656462
"69","ENSG00000248333","CDK11B","green",0.24553351627468
"70","ENSG00000272004","ENSG00000272004","tan",0.168821088682166
"71","ENSG00000189339","SLC35E2B","tan",0.500760611421066
"72","ENSG00000269227","RP11-345P4.6","tan",0.431508082078633
"73","ENSG00000008128","CDK11A","blue",0.52047341359252
"74","ENSG00000268575","RP1-283E3.8","blue",0.503304923735896
"75","ENSG00000227775","RP1-283E3.4","tan",0.686988311446334
"76","ENSG00000215790","SLC35E2","tan",0.507357953156791
"77","ENSG00000008130","NADK","blue",0.851888321722321
