"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"1","tan","105976_REACTOME_Eukaryotic_Translation_Elongation__Reactome_NCBI_Biosystems","PW_Lists",2.8741692311217e-118
"2","tan","105968_REACTOME_Formation_of_a_pool_of_free_40S_subunits__Reactome_NCBI_Biosystems","PW_Lists",1.34931929190599e-115
"3","tan","413404_KEGG_Ribosome,_eukaryotes__Kegg_NCBI_Biosystems","PW_Lists",3.06238984806879e-115
"4","tan","105977_REACTOME_Peptide_chain_elongation__Reactome_NCBI_Biosystems","PW_Lists",6.38709725478193e-115
"5","tan","441_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",3.19233688943066e-114
"6","tan","83036_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",3.19233688943066e-114
"7","tan","105978_REACTOME_Eukaryotic_Translation_Termination__Reactome_NCBI_Biosystems","PW_Lists",2.55459045320776e-112
"8","tan","106077_REACTOME_Viral_mRNA_Translation__Reactome_NCBI_Biosystems","PW_Lists",2.55459045320776e-112
"9","tan","198853_WikiPathways_Cytoplasmic_Ribosomal_Proteins__Wiki_Pathways_NCBI_Biosystems","PW_Lists",2.55459045320776e-112
"10","tan","530746_REACTOME_SRP-dependent_cotranslational_protein_targeting_to_membrane__Reactome_NCBI_Biosystems","PW_Lists",4.98645747220232e-112
"11","tan","105965_REACTOME_Translation__Reactome_NCBI_Biosystems","PW_Lists",3.86859612907191e-110
"12","tan","160955_REACTOME_L13a-mediated_translational_silencing_of_Ceruloplasmin_expression__Reactome_NCBI_Biosystems","PW_Lists",8.14800356970805e-109
"13","tan","105973_REACTOME_GTP_hydrolysis_and_joining_of_the_60S_ribosomal_subunit__Reactome_NCBI_Biosystems","PW_Lists",3.22799080419888e-108
"14","tan","366242_REACTOME_Nonsense_Mediated_Decay_Independent_of_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",3.80290415681907e-108
"15","tan","105966_REACTOME_Eukaryotic_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",2.45211173309172e-104
"16","tan","105967_REACTOME_Cap-dependent_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",2.45211173309172e-104
"17","tan","106074_REACTOME_Influenza_Viral_RNA_Transcription_and_Replication__Reactome_NCBI_Biosystems","PW_Lists",7.9587910103313e-101
"18","tan","366240_REACTOME_Nonsense-Mediated_Decay__Reactome_NCBI_Biosystems","PW_Lists",5.18689734255427e-97
"19","tan","366241_REACTOME_Nonsense_Mediated_Decay_Enhanced_by_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",5.18689734255427e-97
"20","tan","salmon_M12_Ribosome__HumanMeta","Brain",5.82671941908972e-95
"21","tan","106067_REACTOME_Influenza_Infection__Reactome_NCBI_Biosystems","PW_Lists",2.83807520164724e-87
"22","tan","106068_REACTOME_Influenza_Life_Cycle__Reactome_NCBI_Biosystems","PW_Lists",7.73833071191367e-87
"23","tan","106230_REACTOME_Metabolism_of_proteins__Reactome_NCBI_Biosystems","PW_Lists",2.29752246271158e-75
"24","black","pink_M10_Microglia(Type1)__HumanMeta","Brain",5.55928293373211e-49
"25","tan","530764_REACTOME_Disease__Reactome_NCBI_Biosystems","PW_Lists",2.66660423423245e-46
"26","tan","105937_REACTOME_Gene_Expression__Reactome_NCBI_Biosystems","PW_Lists",3.68596628886508e-45
