"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","turquoise",0.442474780609298
"2","ENSG00000237683","AL627309.1","black",0.288352419453584
"3","ENSG00000268903","RP11-34P13.15","green",0.313933099784271
"4","ENSG00000269981","RP11-34P13.16","black",0.31696878348023
"5","ENSG00000239906","RP11-34P13.14","greenyellow",0.304453664185516
"6","ENSG00000228463","AP006222.2","purple",0.363654057344319
"7","ENSG00000241670","AP006222.1","midnightblue",0.389410864789123
"8","ENSG00000237094","RP4-669L17.10","grey60",0.645139835766391
"9","ENSG00000225972","MTND1P23","darkgrey",0.144215878249264
"10","ENSG00000225630","MTND2P28","green",0.0883039438451111
"11","ENSG00000237973","hsa-mir-6723","royalblue",0.112859919081022
"12","ENSG00000229344","RP5-857K21.7","purple",0.296744515775511
"13","ENSG00000224956","RP11-206L10.1","green",0.655842084340716
"14","ENSG00000228327","RP11-206L10.2","grey60",0.761437961800242
"15","ENSG00000237491","RP11-206L10.9","turquoise",0.735977814001189
"16","ENSG00000230092","RP11-206L10.8","grey60",0.376500116961986
"17","ENSG00000177757","FAM87B","blue",0.536119329118459
"18","ENSG00000225880","LINC00115","turquoise",0.7030407271388
"19","ENSG00000228794","RP11-206L10.11","grey60",0.50777236150206
"20","ENSG00000223764","RP11-54O7.3","green",0.534270008736794
"21","ENSG00000187634","SAMD11","brown",0.52218536172001
"22","ENSG00000188976","NOC2L","cyan",0.637936776405224
"23","ENSG00000187961","KLHL17","lightyellow",0.78466958315261
"24","ENSG00000272512","ENSG00000272512","purple",0.42723252671436
"25","ENSG00000188290","HES4","purple",0.334499946936495
"26","ENSG00000187608","ISG15","purple",0.600600519721046
"27","ENSG00000188157","AGRN","darkturquoise",0.640896223988303
"28","ENSG00000242590","RP11-54O7.14","purple",0.650262883681151
"29","ENSG00000131591","C1orf159","green",0.765520206539227
"30","ENSG00000186827","TNFRSF4","magenta",0.36470696839262
"31","ENSG00000078808","SDF4","black",0.424227108981381
"32","ENSG00000176022","B3GALT6","cyan",0.64954265598677
"33","ENSG00000184163","FAM132A","green",0.664210491591126
"34","ENSG00000260179","RP5-902P8.12","green",0.47472966569901
"35","ENSG00000160087","UBE2J2","lightyellow",0.648842831959309
"36","ENSG00000230415","RP5-902P8.10","darkturquoise",0.631310403159267
"37","ENSG00000162572","SCNN1D","turquoise",0.698760469477207
"38","ENSG00000131584","ACAP3","turquoise",0.772445525979048
"39","ENSG00000169972","PUSL1","midnightblue",0.596031566535454
"40","ENSG00000127054","CPSF3L","lightyellow",0.604698812604229
"41","ENSG00000240731","RP5-890O3.9","grey60",0.735468717152297
"42","ENSG00000224051","GLTPD1","midnightblue",0.675919267499746
"43","ENSG00000107404","DVL1","lightyellow",0.711344326592809
"44","ENSG00000162576","MXRA8","blue",0.765620231002185
"45","ENSG00000175756","AURKAIP1","midnightblue",0.752482748316942
"46","ENSG00000221978","CCNL2","green",0.798368955401921
"47","ENSG00000224870","RP4-758J18.2","lightyellow",0.433806182349138
"48","ENSG00000242485","MRPL20","salmon",0.74464667848916
"49","ENSG00000264293","RN7SL657P","grey60",0.64297006990683
"50","ENSG00000272455","ENSG00000272455","green",0.444760157208577
"51","ENSG00000235098","ANKRD65","darkturquoise",0.361602582951348
"52","ENSG00000225905","RP4-758J18.7","darkturquoise",0.547494937694371
"53","ENSG00000225285","RP4-758J18.10","green",0.325407461201368
"54","ENSG00000179403","VWA1","brown",0.400784885462787
"55","ENSG00000215915","ATAD3C","brown",0.452850160988671
"56","ENSG00000160072","ATAD3B","green",0.73658054717314
"57","ENSG00000197785","ATAD3A","cyan",0.68236599116725
"58","ENSG00000205090","TMEM240","darkturquoise",0.604833432198647
"59","ENSG00000160075","SSU72","tan",0.705467213705158
"60","ENSG00000215791","AL645728.2","green",0.409114336389972
"61","ENSG00000215014","AL645728.1","greenyellow",0.258562920460084
"62","ENSG00000228594","C1orf233","darkgrey",0.492260209486364
"63","ENSG00000272106","ENSG00000272106","greenyellow",0.351948546981067
"64","ENSG00000197530","MIB2","turquoise",0.732731727364629
"65","ENSG00000189409","MMP23B","blue",0.647608732939924
"66","ENSG00000248333","CDK11B","lightyellow",0.444601093484991
"67","ENSG00000272004","ENSG00000272004","turquoise",0.376859420207438
"68","ENSG00000189339","SLC35E2B","lightyellow",0.603491914081475
"69","ENSG00000269227","RP11-345P4.6","grey60",0.578753072686149
"70","ENSG00000008128","CDK11A","lightyellow",0.450529166355829
"71","ENSG00000268575","RP1-283E3.8","lightyellow",0.44995042950295
"72","ENSG00000227775","RP1-283E3.4","turquoise",0.502291628532089
"73","ENSG00000215790","SLC35E2","grey60",0.564941420338029
"74","ENSG00000008130","NADK","lightcyan",0.594822643616445
"75","ENSG00000078369","GNB1","red",0.333035493475039
"76","ENSG00000178821","TMEM52","darkturquoise",0.263095893815592
"77","ENSG00000067606","PRKCZ","lightgreen",0.55377419668575
"78","ENSG00000182873","RP11-181G12.2","turquoise",0.548252760984412
"79","ENSG00000162585","C1orf86","midnightblue",0.717005031863794
"80","ENSG00000269554","AL590822.2","green",0.504720949108284
"81","ENSG00000157933","SKI","purple",0.479189463997696
"82","ENSG00000116151","MORN1","darkturquoise",0.496040437085303
"83","ENSG00000272420","ENSG00000272420","turquoise",0.480738725306306
"84","ENSG00000178642","AL513477.1","grey60",0.489652419452931
"85","ENSG00000157916","RER1","cyan",0.602004894544539
"86","ENSG00000157911","PEX10","darkturquoise",0.482650536188885
"87","ENSG00000157881","PANK4","lightyellow",0.629033646909556
"88","ENSG00000272449","ENSG00000272449","midnightblue",0.286510923531428
"89","ENSG00000238164","RP3-395M20.8","turquoise",0.67402767030234
"90","ENSG00000157873","TNFRSF14","turquoise",0.751988577741189
"91","ENSG00000228037","RP3-395M20.9","turquoise",0.39138763917756
"92","ENSG00000157870","FAM213B","grey",0
"93","ENSG00000177133","RP1-163G9.1","blue",0.659268200638099
"94","ENSG00000142611","PRDM16","blue",0.641142405392814
"95","ENSG00000130762","ARHGEF16","purple",0.867117071482374
"96","ENSG00000162591","MEGF6","magenta",0.491622280172806
"97","ENSG00000238260","RP11-46F15.2","turquoise",0.742059580284095
"98","ENSG00000158109","TPRG1L","midnightblue",0.386303501431344
"99","ENSG00000116213","WRAP73","lightyellow",0.698437725327102
"100","ENSG00000078900","TP73","turquoise",0.70056237815768
"101","ENSG00000227372","TP73-AS1","grey60",0.763721832629942
"102","ENSG00000235169","SMIM1","midnightblue",0.545575267470287
"103","ENSG00000130764","LRRC47","salmon",0.704277233594944
"104","ENSG00000266075","RN7SL574P","turquoise",0.387793161372498
"105","ENSG00000272153","ENSG00000272153","red",0.545524955239274
"106","ENSG00000116198","CEP104","red",0.649054052548763
"107","ENSG00000169598","DFFB","turquoise",0.754972321665439
"108","ENSG00000198912","C1orf174","midnightblue",0.393146934608579
"109","ENSG00000131697","NPHP4","lightyellow",0.563378016793424
"110","ENSG00000069424","KCNAB2","black",0.493051356229213
"111","ENSG00000116254","CHD5","royalblue",0.328255372408764
"112","ENSG00000116251","RPL22","tan",0.76940259779579
"113","ENSG00000226944","RP1-120G22.11","darkturquoise",0.273158032772298
"114","ENSG00000158286","RNF207","grey60",0.588938976850513
"115","ENSG00000116237","ICMT","red",0.710063320148013
"116","ENSG00000158292","GPR153","purple",0.502496246255894
"117","ENSG00000097021","ACOT7","darkgrey",0.459317384586473
"118","ENSG00000271746","ENSG00000271746","greenyellow",0.313949030455607
"119","ENSG00000215788","TNFRSF25","turquoise",0.682571741805092
"120","ENSG00000171680","PLEKHG5","darkturquoise",0.614376285262189
"121","ENSG00000162408","NOL9","cyan",0.473575874720511
