"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","thistle1",0.622374694804731
"2","ENSG00000237683","AL627309.1","skyblue",0.423963386123512
"3","ENSG00000268903","RP11-34P13.15","skyblue",0.391450861378135
"4","ENSG00000269981","RP11-34P13.16","skyblue",0.415100251761799
"5","ENSG00000239906","RP11-34P13.14","skyblue",0.459736572146638
"6","ENSG00000241860","RP11-34P13.13","sienna3",0.400300205702171
"7","ENSG00000228463","AP006222.2","darkolivegreen",0.269415467008658
"8","ENSG00000241670","AP006222.1","thistle1",0.319141996221908
"9","ENSG00000237094","RP4-669L17.10","purple",0.537694686396437
"10","ENSG00000225972","MTND1P23","brown4",0.143919242642975
"11","ENSG00000225630","MTND2P28","lightgreen",0.213075885685782
"12","ENSG00000237973","hsa-mir-6723","darkslateblue",0.197480719313449
"13","ENSG00000229344","RP5-857K21.7","thistle1",0.266873806547245
"14","ENSG00000224956","RP11-206L10.1","lightgreen",0.635464907058426
"15","ENSG00000228327","RP11-206L10.2","orangered4",0.600700405726775
"16","ENSG00000237491","RP11-206L10.9","lightgreen",0.578566426349102
"17","ENSG00000230092","RP11-206L10.8","lightgreen",0.348997146423778
"18","ENSG00000225880","LINC00115","darkorange2",0.725037105192846
"19","ENSG00000228794","RP11-206L10.11","steelblue",0.52827082433024
"20","ENSG00000223764","RP11-54O7.3","greenyellow",0.356391860639259
"21","ENSG00000187634","SAMD11","greenyellow",0.531264383148847
"22","ENSG00000188976","NOC2L","darkmagenta",0.840973444667677
"23","ENSG00000187961","KLHL17","turquoise",0.618382359120345
"24","ENSG00000187583","PLEKHN1","lightcyan1",0.607494037699707
"25","ENSG00000187642","C1orf170","tan",0.29291213730351
"26","ENSG00000272512","ENSG00000272512","tan",0.473086525270906
"27","ENSG00000188290","HES4","royalblue",0.408099774511435
"28","ENSG00000187608","ISG15","violet",0.581967532591578
"29","ENSG00000188157","AGRN","darkred",0.688180941500631
"30","ENSG00000242590","RP11-54O7.14","darkred",0.656365014980831
"31","ENSG00000217801","RP11-465B22.3","green",0.785961224293691
"32","ENSG00000237330","RNF223","green",0.870648928982411
"33","ENSG00000131591","C1orf159","tan",0.714293571839068
"34","ENSG00000198976","MIR429","orangered4",0.231645293609223
"35","ENSG00000272141","ENSG00000272141","tan",0.44062740763638
"36","ENSG00000186891","TNFRSF18","skyblue",0.704811935831235
"37","ENSG00000186827","TNFRSF4","saddlebrown",0.806126025689924
"38","ENSG00000078808","SDF4","darkred",0.748280508160152
"39","ENSG00000176022","B3GALT6","yellowgreen",0.744691420188843
"40","ENSG00000184163","FAM132A","darkmagenta",0.38253963725953
"41","ENSG00000260179","RP5-902P8.12","tan",0.432419942670529
"42","ENSG00000160087","UBE2J2","darkmagenta",0.685560929274017
"43","ENSG00000230415","RP5-902P8.10","orangered4",0.549668895915306
"44","ENSG00000162572","SCNN1D","darkorange",0.465430099984965
"45","ENSG00000131584","ACAP3","tan",0.661730208955248
"46","ENSG00000169972","PUSL1","darkmagenta",0.462241557876597
"47","ENSG00000127054","CPSF3L","darkred",0.79684232516564
"48","ENSG00000240731","RP5-890O3.9","turquoise",0.680661036368891
"49","ENSG00000224051","GLTPD1","green",0.83005579316693
"50","ENSG00000169962","TAS1R3","plum2",0.585145456723311
"51","ENSG00000107404","DVL1","lightcyan1",0.505386747064864
"52","ENSG00000162576","MXRA8","greenyellow",0.589351808383655
"53","ENSG00000175756","AURKAIP1","darkmagenta",0.821531115623037
"54","ENSG00000221978","CCNL2","lightgreen",0.827255840339788
"55","ENSG00000224870","RP4-758J18.2","grey60",0.533805478852226
"56","ENSG00000242485","MRPL20","blue",0.84594525099307
"57","ENSG00000264293","RN7SL657P","orangered4",0.615971227939637
"58","ENSG00000272455","ENSG00000272455","darkred",0.520849496915022
"59","ENSG00000235098","ANKRD65","skyblue",0.605591306767433
"60","ENSG00000225905","RP4-758J18.7","lightgreen",0.478974790480567
"61","ENSG00000225285","RP4-758J18.10","tan",0.545521352500302
"62","ENSG00000179403","VWA1","skyblue",0.636129467315042
"63","ENSG00000215915","ATAD3C","darkred",0.538252034497587
"64","ENSG00000160072","ATAD3B","darkmagenta",0.795859783377381
"65","ENSG00000197785","ATAD3A","darkmagenta",0.904202902663478
"66","ENSG00000205090","TMEM240","greenyellow",0.744300486143177
"67","ENSG00000160075","SSU72","darkmagenta",0.607686509966034
"68","ENSG00000215791","AL645728.2","royalblue",0.553626264613002
"69","ENSG00000215014","AL645728.1","floralwhite",0.335598898807008
"70","ENSG00000228594","C1orf233","tan",0.644569495191495
"71","ENSG00000272106","ENSG00000272106","lightgreen",0.517805808486279
"72","ENSG00000197530","MIB2","tan",0.751794984763579
"73","ENSG00000189409","MMP23B","greenyellow",0.678180043837654
"74","ENSG00000248333","CDK11B","darkred",0.728180194620015
"75","ENSG00000272004","ENSG00000272004","darkorange",0.346831104342868
"76","ENSG00000189339","SLC35E2B","turquoise",0.623484001334024
"77","ENSG00000269227","RP11-345P4.6","orangered4",0.508506429243731
"78","ENSG00000008128","CDK11A","darkred",0.652642845926086
"79","ENSG00000268575","RP1-283E3.8","darkred",0.661985899431458
"80","ENSG00000227775","RP1-283E3.4","turquoise",0.658560190499405
"81","ENSG00000215790","SLC35E2","grey60",0.690614034256008
"82","ENSG00000008130","NADK","darkred",0.786435869924782
"83","ENSG00000078369","GNB1","darkgreen",0.663821493111991
"84","ENSG00000169885","CALML6","turquoise",0.541357197716962
"85","ENSG00000178821","TMEM52","magenta",0.30469402195134
"86","ENSG00000187730","GABRD","greenyellow",0.311407758364198
"87","ENSG00000067606","PRKCZ","plum2",0.546026875042196
"88","ENSG00000271806","ENSG00000271806","plum2",0.493739835393111
"89","ENSG00000182873","RP11-181G12.2","turquoise",0.694559617985903
"90","ENSG00000162585","C1orf86","darkred",0.711465882068178
"91","ENSG00000269554","AL590822.2","purple",0.655476065258637
"92","ENSG00000157933","SKI","darkorange",0.635544737893234
"93","ENSG00000116151","MORN1","skyblue",0.569490056218422
"94","ENSG00000272420","ENSG00000272420","tan",0.546614423374608
"95","ENSG00000271921","ENSG00000271921","tan",0.413146843339688
"96","ENSG00000271847","ENSG00000271847","tan",0.466233196675696
"97","ENSG00000178642","AL513477.1","skyblue",0.591189917457216
"98","ENSG00000157916","RER1","green",0.427920869895866
"99","ENSG00000157911","PEX10","skyblue3",0.619226227161882
"100","ENSG00000149527","PLCH2","turquoise",0.728630606637906
"101","ENSG00000224387","RP3-395M20.2","turquoise",0.551428251209578
"102","ENSG00000229393","RP3-395M20.3","turquoise",0.561931752956245
"103","ENSG00000157881","PANK4","darkred",0.820946800601444
"104","ENSG00000197921","HES5","magenta",0.220035043507618
"105","ENSG00000272449","ENSG00000272449","darkorange",0.371313967971426
"106","ENSG00000238164","RP3-395M20.8","darkorange",0.800781256716722
"107","ENSG00000157873","TNFRSF14","darkorange",0.791852103226887
"108","ENSG00000157870","FAM213B","yellowgreen",0.648650345954814
"109","ENSG00000142606","MMEL1","plum2",0.647497652666623
"110","ENSG00000177133","RP1-163G9.1","greenyellow",0.587166558182642
"111","ENSG00000142611","PRDM16","plum1",0.693990914433713
"112","ENSG00000130762","ARHGEF16","skyblue",0.663185504880902
"113","ENSG00000272088","ENSG00000272088","turquoise",0.450673681172965
"114","ENSG00000162591","MEGF6","orangered4",0.676392442979031
"115","ENSG00000238260","RP11-46F15.2","turquoise",0.700701042265694
"116","ENSG00000158109","TPRG1L","darkslateblue",0.539080395744465
"117","ENSG00000116213","WRAP73","darkred",0.843334729687632
"118","ENSG00000078900","TP73","yellowgreen",0.597560202574481
"119","ENSG00000227372","TP73-AS1","orangered4",0.872933719334003
"120","ENSG00000235169","SMIM1","mediumpurple3",0.787996849335299
"121","ENSG00000130764","LRRC47","yellowgreen",0.822460355802893
"122","ENSG00000272153","ENSG00000272153","yellowgreen",0.753857717122775
"123","ENSG00000116198","CEP104","darkolivegreen",0.781860939002742
"124","ENSG00000169598","DFFB","darkolivegreen",0.813948512237426
"125","ENSG00000198912","C1orf174","darkred",0.74685411777137
"126","ENSG00000131697","NPHP4","darkred",0.729667336312035
"127","ENSG00000069424","KCNAB2","lightcyan",0.858970498858891
"128","ENSG00000116251","RPL22","orange",0.895465814140235
"129","ENSG00000226944","RP1-120G22.11","lightgreen",0.503581730400818
"130","ENSG00000158286","RNF207","orangered4",0.739816803191525
"131","ENSG00000116237","ICMT","bisque4",0.73170239141427
"132","ENSG00000158292","GPR153","steelblue",0.635019484506329
"133","ENSG00000097021","ACOT7","darkmagenta",0.810078168911311
"134","ENSG00000271746","ENSG00000271746","skyblue3",0.356032731721776
"135","ENSG00000069812","HES2","tan",0.522585070921729
