"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","yellow",0.511214685279572
"2","ENSG00000237683","AL627309.1","darkred",0.376207171552605
"3","ENSG00000268903","RP11-34P13.15","darkred",0.38928383921402
"4","ENSG00000269981","RP11-34P13.16","palevioletred3",0.314004436192282
"5","ENSG00000239906","RP11-34P13.14","palevioletred3",0.343852851151612
"6","ENSG00000228463","AP006222.2","magenta",0.389461501559925
"7","ENSG00000241670","AP006222.1","magenta",0.331273476743551
"8","ENSG00000237094","RP4-669L17.10","darkslateblue",0.721418680168751
"9","ENSG00000225972","MTND1P23","floralwhite",0.223312049460669
"10","ENSG00000225630","MTND2P28","saddlebrown",0.11488899273877
"11","ENSG00000237973","hsa-mir-6723","floralwhite",0.22156426845066
"12","ENSG00000229344","RP5-857K21.7","turquoise",0.193647378188734
"13","ENSG00000224956","RP11-206L10.1","yellow",0.623185551296974
"14","ENSG00000228327","RP11-206L10.2","darkslateblue",0.780703497291999
"15","ENSG00000237491","RP11-206L10.9","turquoise",0.666135465601328
"16","ENSG00000230092","RP11-206L10.8","darkslateblue",0.347921747329228
"17","ENSG00000225880","LINC00115","darkred",0.677153515377633
"18","ENSG00000228794","RP11-206L10.11","darkorange",0.535630649964701
"19","ENSG00000223764","RP11-54O7.3","midnightblue",0.471309762233522
"20","ENSG00000187634","SAMD11","orange",0.553689476791021
"21","ENSG00000188976","NOC2L","royalblue",0.724955507351312
"22","ENSG00000187961","KLHL17","red",0.825581875270032
"23","ENSG00000272512","ENSG00000272512","salmon",0.3837372440392
"24","ENSG00000188290","HES4","plum2",0.58243818936413
"25","ENSG00000187608","ISG15","lavenderblush3",0.834391415452176
"26","ENSG00000188157","AGRN","salmon",0.629193323391033
"27","ENSG00000242590","RP11-54O7.14","salmon",0.67859036089163
"28","ENSG00000131591","C1orf159","yellow",0.683958732952799
"29","ENSG00000186827","TNFRSF4","lavenderblush3",0.275156682008369
"30","ENSG00000078808","SDF4","plum2",0.610734339425907
"31","ENSG00000176022","B3GALT6","pink",0.582976787029107
"32","ENSG00000184163","FAM132A","black",0.624364640268246
"33","ENSG00000260179","RP5-902P8.12","black",0.541382272598821
"34","ENSG00000160087","UBE2J2","skyblue",0.60612468918774
"35","ENSG00000230415","RP5-902P8.10","purple",0.730307408774713
"36","ENSG00000162572","SCNN1D","purple",0.811685607809529
"37","ENSG00000131584","ACAP3","purple",0.765756734245476
"38","ENSG00000169972","PUSL1","plum2",0.545041950010332
"39","ENSG00000127054","CPSF3L","skyblue",0.718746020033614
"40","ENSG00000240731","RP5-890O3.9","red",0.698331958635968
"41","ENSG00000224051","GLTPD1","darkturquoise",0.672237675209767
