"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","darkred",TRUE,0.002,5066,241,100,0.415,0.02,"GO:0009059","BP",1,"macromolecule biosynthetic process",1,"ZNF207,MBTD1,ZNF280C,PDE8A,ZNF638,PIAS2,THOC1,RFX3,CCNT2,NLK,ZBTB25,CBX5,ZKSCAN1,COA1,ELF2,FBXW7,CNOT2,TRIM38,TBX18,PAPD7,POLR3G,TCERG1,INO80D,SFPQ,ATAD2B,EPC1,B4GALT4,ZNF484,RBM39,ZNF141,TRIM22,ZMYM5,AHI1,VPS36,BARD1,PRDM5,TDG,NUPL1,HMG20A,MTF2,ZC3H8,RQCD1,ZNF300,HMBOX1,MRRF,GBGT1,GXYLT1,KIN,PIGF,ZNF117,ELK4,PAXBP1,ZNF208,FUBP1,ZNF326,H3F3A,ATXN7,MIR7-1,MIR1304,TET2,ZBTB43,ZNF160,ZNF738,ZNF680,ZNF417,RBM4,GLMN,ATR,ZDHHC21,CSTF3,ZNF354B,ZNF571,ZNF678,ZNF721,SS18L1,ZNF529,ZDHHC17,SRSF10,ZNF292,ZNF676,LCOR,ZNF140,ZNF124,TRAPPC2,ZNF431,ZNF700,ZNF100,PIWIL2,ZNF720,ZNF841,ZNF433,ZNF347,ZNF26,CTNND1,MDM4,SMURF1,ZNF254,N4BP2L2,ZNF878,ZNF850",2.38224768092529
"2","darkred",TRUE,0.00632,4301,241,87,0.361,0.02,"GO:0009889","BP",1,"regulation of biosynthetic process",1,"ZNF207,MBTD1,ZNF280C,PDE8A,ZNF638,PIAS2,THOC1,RFX3,CCNT2,NLK,ZBTB25,CBX5,ZKSCAN1,ELF2,FBXW7,CNOT2,TRIM38,TBX18,POLR3G,TCERG1,INO80D,SFPQ,ATAD2B,EPC1,ZNF484,RBM39,ZNF141,TRIM22,ZMYM5,AHI1,VPS36,PRDM5,TDG,HMG20A,MTF2,ZC3H8,RQCD1,ZNF300,HMBOX1,ZNF117,ELK4,PAXBP1,ZNF208,FUBP1,ZNF326,H3F3A,ATXN7,MIR7-1,MIR1304,TET2,ZBTB43,ZNF160,ZNF738,ZNF680,ZNF417,RBM4,GLMN,ATR,ZNF354B,ZNF571,ZNF678,ZNF721,SS18L1,ZNF529,SRSF10,ZNF292,ZNF676,LCOR,ZNF140,ZNF124,TRAPPC2,ZNF431,ZNF700,ZNF100,PIWIL2,ZNF720,ZNF841,ZNF433,ZNF347,ZNF26,CTNND1,MDM4,SMURF1,ZNF254,N4BP2L2,ZNF878,ZNF850",2.92607428731023
"3","darkred",TRUE,0.0173,4882,241,94,0.39,0.019,"GO:0044271","BP",1,"cellular nitrogen compound biosynthetic process",1,"ZNF207,MBTD1,ATP6V0A1,ZNF280C,PDE8A,ZNF638,PIAS2,THOC1,RFX3,CCNT2,NLK,ZBTB25,CBX5,ZKSCAN1,COA1,ELF2,FBXW7,CNOT2,TRIM38,TBX18,PAPD7,POLR3G,TCERG1,INO80D,SFPQ,ATAD2B,EPC1,ZNF484,PPAT,RBM39,ZNF141,TRIM22,ZMYM5,AHI1,VPS36,BARD1,PRDM5,TDG,NUPL1,HMG20A,MTF2,ZC3H8,RQCD1,ZNF300,HMBOX1,MRRF,ZNF117,ELK4,PAXBP1,ZNF208,FUBP1,ZNF326,H3F3A,ATXN7,MIR7-1,MIR1304,TET2,ZBTB43,ZNF160,ZNF738,ZNF680,ZNF417,RBM4,ATR,CSTF3,ZNF354B,ZNF571,ZNF678,ZNF721,SS18L1,ZNF529,SRSF10,ZNF292,ZNF676,LCOR,ZNF140,ZNF124,TRAPPC2,ZNF431,ZNF700,ZNF100,PIWIL2,ZNF720,ZNF841,ZNF433,ZNF347,ZNF26,CTNND1,MDM4,SMURF1,ZNF254,N4BP2L2,ZNF878,ZNF850",2.44489830460872
"4","darkred",TRUE,0.00381,4251,241,87,0.361,0.02,"GO:0031326","BP",1,"regulation of cellular biosynthetic process",1,"ZNF207,MBTD1,ZNF280C,PDE8A,ZNF638,PIAS2,THOC1,RFX3,CCNT2,NLK,ZBTB25,CBX5,ZKSCAN1,ELF2,FBXW7,CNOT2,TRIM38,TBX18,POLR3G,TCERG1,INO80D,SFPQ,ATAD2B,EPC1,ZNF484,RBM39,ZNF141,TRIM22,ZMYM5,AHI1,VPS36,PRDM5,TDG,HMG20A,MTF2,ZC3H8,RQCD1,ZNF300,HMBOX1,ZNF117,ELK4,PAXBP1,ZNF208,FUBP1,ZNF326,H3F3A,ATXN7,MIR7-1,MIR1304,TET2,ZBTB43,ZNF160,ZNF738,ZNF680,ZNF417,RBM4,GLMN,ATR,ZNF354B,ZNF571,ZNF678,ZNF721,SS18L1,ZNF529,SRSF10,ZNF292,ZNF676,LCOR,ZNF140,ZNF124,TRAPPC2,ZNF431,ZNF700,ZNF100,PIWIL2,ZNF720,ZNF841,ZNF433,ZNF347,ZNF26,CTNND1,MDM4,SMURF1,ZNF254,N4BP2L2,ZNF878,ZNF850",2.94883546027591
"5","darkred",TRUE,0.00818,6134,241,113,0.469,0.018,"GO:1901360","BP",1,"organic cyclic compound metabolic process",1,"ZNF207,MBTD1,ZCCHC8,ATP6V0A1,WDR37,ERCC8,ZNF280C,PDE8A,ZNF638,PIAS2,THOC1,RFX3,CCNT2,NLK,ZBTB25,CBX5,ZKSCAN1,RBM28,ELF2,FBXW7,CNOT2,CPSF6,TRIM38,TBX18,PAPD7,POLR3G,TCERG1,INO80D,SFPQ,ATAD2B,EPC1,ZNF484,PPAT,RBM39,ZNF141,TRIM22,ZMYM5,AHI1,VPS36,WDR33,THUMPD2,BARD1,PRDM5,TDG,NUPL1,HMG20A,MTF2,ZC3H8,RQCD1,ZNF300,HMBOX1,KIN,BICD1,ZNF117,ELK4,PAXBP1,ZNF208,FUBP1,ZNF326,TYW5,H3F3A,ATXN7,TMEM161B,TRA2A,MIR7-1,MIR1304,TET2,HNRNPH1,ZBTB43,HNRNPA3,ZNF160,ZNF738,ZNF680,ZNF417,RBM4,ATR,CSTF3,ATAD5,ZNF354B,ZNF571,ZNF678,ZNF721,SS18L1,PRPF39,ZNF529,CYP2R1,SRSF10,ZNF292,ZNF676,LCOR,ZNF140,ZNF124,TRAPPC2,ZNF431,ZNF700,ZNF100,PIWIL2,ENTPD4,ZNF720,MYO5A,ZNF841,ZNF433,ZNF347,ZNF26,CTNND1,MDM4,SMURF1,SMC5,ZNF254,CSNK1E,N4BP2L2,ZNF878,ZNF850",2.09634866986716
"6","darkred",TRUE,0.0016,4501,241,92,0.382,0.02,"GO:1901362","BP",1,"organic cyclic compound biosynthetic process",2,"ZNF207,MBTD1,ATP6V0A1,ZNF280C,PDE8A,ZNF638,PIAS2,THOC1,RFX3,CCNT2,NLK,ZBTB25,CBX5,ZKSCAN1,ELF2,FBXW7,CNOT2,TRIM38,TBX18,PAPD7,POLR3G,TCERG1,INO80D,SFPQ,ATAD2B,EPC1,ZNF484,PPAT,RBM39,ZNF141,TRIM22,ZMYM5,AHI1,VPS36,BARD1,PRDM5,TDG,NUPL1,HMG20A,MTF2,ZC3H8,RQCD1,ZNF300,HMBOX1,ZNF117,ELK4,PAXBP1,ZNF208,FUBP1,ZNF326,H3F3A,ATXN7,MIR7-1,MIR1304,TET2,ZBTB43,ZNF160,ZNF738,ZNF680,ZNF417,ATR,CSTF3,ZNF354B,ZNF571,ZNF678,ZNF721,SS18L1,ZNF529,CYP2R1,SRSF10,ZNF292,ZNF676,LCOR,ZNF140,ZNF124,TRAPPC2,ZNF431,ZNF700,ZNF100,ZNF720,MYO5A,ZNF841,ZNF433,ZNF347,ZNF26,CTNND1,MDM4,SMURF1,ZNF254,N4BP2L2,ZNF878,ZNF850",2.57699769597771
"7","darkred",TRUE,0.000559,4073,241,87,0.361,0.021,"GO:0010556","BP",1,"regulation of macromolecule biosynthetic process",1,"ZNF207,MBTD1,ZNF280C,PDE8A,ZNF638,PIAS2,THOC1,RFX3,CCNT2,NLK,ZBTB25,CBX5,ZKSCAN1,ELF2,FBXW7,CNOT2,TRIM38,TBX18,POLR3G,TCERG1,INO80D,SFPQ,ATAD2B,EPC1,ZNF484,RBM39,ZNF141,TRIM22,ZMYM5,AHI1,VPS36,PRDM5,TDG,HMG20A,MTF2,ZC3H8,RQCD1,ZNF300,HMBOX1,ZNF117,ELK4,PAXBP1,ZNF208,FUBP1,ZNF326,H3F3A,ATXN7,MIR7-1,MIR1304,TET2,ZBTB43,ZNF160,ZNF738,ZNF680,ZNF417,RBM4,GLMN,ATR,ZNF354B,ZNF571,ZNF678,ZNF721,SS18L1,ZNF529,SRSF10,ZNF292,ZNF676,LCOR,ZNF140,ZNF124,TRAPPC2,ZNF431,ZNF700,ZNF100,PIWIL2,ZNF720,ZNF841,ZNF433,ZNF347,ZNF26,CTNND1,MDM4,SMURF1,ZNF254,N4BP2L2,ZNF878,ZNF850",2.99334430427341
"8","darkred",TRUE,0.00356,5897,241,111,0.461,0.019,"GO:0046483","BP",1,"heterocycle metabolic process",1,"ZNF207,MBTD1,ZCCHC8,ATP6V0A1,WDR37,ERCC8,ZNF280C,PDE8A,ZNF638,PIAS2,THOC1,RFX3,CCNT2,NLK,ZBTB25,CBX5,ZKSCAN1,RBM28,ELF2,FBXW7,CNOT2,CPSF6,TRIM38,TBX18,PAPD7,POLR3G,TCERG1,INO80D,SFPQ,ATAD2B,EPC1,ZNF484,PPAT,RBM39,ZNF141,TRIM22,ZMYM5,AHI1,VPS36,WDR33,THUMPD2,BARD1,PRDM5,TDG,NUPL1,HMG20A,MTF2,ZC3H8,RQCD1,ZNF300,HMBOX1,KIN,BICD1,ZNF117,ELK4,PAXBP1,ZNF208,FUBP1,ZNF326,TYW5,H3F3A,ATXN7,TMEM161B,TRA2A,MIR7-1,MIR1304,TET2,HNRNPH1,ZBTB43,HNRNPA3,ZNF160,ZNF738,ZNF680,ZNF417,RBM4,ATR,CSTF3,ATAD5,ZNF354B,ZNF571,ZNF678,ZNF721,SS18L1,PRPF39,ZNF529,SRSF10,ZNF292,ZNF676,LCOR,ZNF140,ZNF124,TRAPPC2,ZNF431,ZNF700,ZNF100,PIWIL2,ENTPD4,ZNF720,ZNF841,ZNF433,ZNF347,ZNF26,CTNND1,MDM4,SMURF1,SMC5,ZNF254,CSNK1E,N4BP2L2,ZNF878,ZNF850",2.14161737953607
"9","darkred",TRUE,0.00174,4375,241,90,0.373,0.021,"GO:0018130","BP",1,"heterocycle biosynthetic process",2,"ZNF207,MBTD1,ATP6V0A1,ZNF280C,PDE8A,ZNF638,PIAS2,THOC1,RFX3,CCNT2,NLK,ZBTB25,CBX5,ZKSCAN1,ELF2,FBXW7,CNOT2,TRIM38,TBX18,PAPD7,POLR3G,TCERG1,INO80D,SFPQ,ATAD2B,EPC1,ZNF484,PPAT,RBM39,ZNF141,TRIM22,ZMYM5,AHI1,VPS36,BARD1,PRDM5,TDG,NUPL1,HMG20A,MTF2,ZC3H8,RQCD1,ZNF300,HMBOX1,ZNF117,ELK4,PAXBP1,ZNF208,FUBP1,ZNF326,H3F3A,ATXN7,MIR7-1,MIR1304,TET2,ZBTB43,ZNF160,ZNF738,ZNF680,ZNF417,ATR,CSTF3,ZNF354B,ZNF571,ZNF678,ZNF721,SS18L1,ZNF529,SRSF10,ZNF292,ZNF676,LCOR,ZNF140,ZNF124,TRAPPC2,ZNF431,ZNF700,ZNF100,ZNF720,ZNF841,ZNF433,ZNF347,ZNF26,CTNND1,MDM4,SMURF1,ZNF254,N4BP2L2,ZNF878,ZNF850",2.60657958650888
"10","darkred",TRUE,0.000101,5257,241,107,0.444,0.02,"GO:0010467","BP",1,"gene expression",1,"ZNF207,MBTD1,BIRC3,ZCCHC8,WDR37,ZNF280C,PDE8A,ZNF638,PIAS2,THOC1,RFX3,CCNT2,NLK,ZBTB25,CBX5,ZKSCAN1,RBM28,COA1,WNT3,ELF2,FBXW7,CNOT2,CPSF6,TRIM38,TBX18,POLR3G,TCERG1,INO80D,SFPQ,ATAD2B,EPC1,ZNF484,RBM39,ZNF141,TRIM22,ZMYM5,AHI1,VPS36,WDR33,THUMPD2,BARD1,PRDM5,TDG,NUPL1,HMG20A,MTF2,ZC3H8,RQCD1,ZNF300,HMBOX1,MRRF,KIN,BICD1,ZNF117,ELK4,PAXBP1,ZNF208,FUBP1,ZNF326,TYW5,H3F3A,ATXN7,TRA2A,MIR7-1,MIR1304,TET2,HNRNPH1,ZBTB43,HNRNPA3,ZNF160,ZNF738,ZNF680,ZNF417,RBM4,GLMN,CSTF3,ZNF354B,ZNF571,ZNF678,ZNF721,SS18L1,PRPF39,ZNF529,SRSF10,ZNF292,ZNF676,LCOR,ZNF140,ZNF124,TRAPPC2,ZNF431,ZNF700,ZNF100,PIWIL2,ZNF720,ZNF841,ZNF433,ZNF347,ZNF26,CTNND1,MDM4,SMURF1,ZNF254,CSNK1E,N4BP2L2,ZNF878,ZNF850",2.23716411165379
