"","magenta","purple","red","greenyellow","lightgreen","green","blue","brown","cyan","darkred","turquoise","tan","midnightblue","black","pink","grey60","lightcyan"
"Astrocytes, highly probable (Cahoy, 2008)",1,1,1,1,1,1,6.62991410768843e-71,1,1,1,1,1,1,1,1,1,1
"Astrocytes module in Cortex",1,1,1,1,1,1,4.26104846511167e-104,1,1,1,1,1,1,1,4.39327420406349e-13,1,1
"Microglia in Human brain Module (Geschwind, 2010)",1,1,1,1,1,1.12798906855321e-20,1,1,5.54416526087208e-20,1,1,1,1,1,1.38805510962507e-14,1,1
"Microglia (Type2) module in Cortex",1,1,1,1,1,1,1,1,6.67503404627349e-34,1,1,1,1,1,3.48393326075983e-13,1,1
"Neuron in Human brain Module (Geschwind,2010)",1,1,1,1,1,1,1,1.35532695743515e-111,1,1,1,1,1,1,1,1,1
"Neuron module in Cortex",1,1,1,1.73580722593557e-05,1,1,1,5.02022494676536e-95,1,1,1,1,1,1,1,1,0.0476817495070832
"Neuron, pyramidal in network from Sugino/Winden",1,1,1,3.9672077247949e-05,1,1,1,3.03660087675935e-12,1,1,1,1,1,1,1,1,1
"Microglia (Type 1) (Geschwind, 2010)",1,1,1,1,1,1,1,1,4.97895294468071e-88,1,1,1,1,1,1,1,1
"Neuron, definite (Cahoy, 2008)",1,1,1,1,1,1,1,8.66839702383824e-21,1,1,2.39235660421088e-37,1,1,1,1,1,1
"Oligodendrocytes in Human brain Module (Geschwind,2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,5.04380548065339e-145,0.00012530267231057,1,2.63540943824642e-10
"Oligodendrocytes in Cortex",1,1,1,1,1,1,1,1,1,1,1,1,1,6.64994707350026e-78,1,1,0.000113538254647767
"Oligodendrocytes, definite (Cahoy, 2008)",1,1,1,1,1,1,1,1,1,1,1,1,1,7.24211463553457e-42,1,1,1
"Oligodendrocytes from conservative data set (Lein, 2007)",1,1,1,1,1,1,1,1,1,1,1,1,1,1.31620468373105e-20,1,1,1
"Neuron, probably (Cahoy, 2008)",1,1,1,1,1,1,1,6.44274525671223e-115,1,1,7.5971622305018e-108,1,1,1,1,1,1
"Astrocytes-Cahoy",1,1,1,1,1,1,4.24618934039871e-15,1,1,1,1,1,1,1,1,1,1
"Neuron-Dopaminergic-Cahoy",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neurons-Cahoy",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocytes-Cahoy",1,1,1,1,1,1,1,1,1,1,1,1,1,1.52473347963728e-05,1,1,1
"Ependymal-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocyte-External",1,1,1,1,1,1,1,1,1,1,1,1,1,9.77223968184152e-49,1,1,2.48743134875119e-09
"Microglia-External",1,1,1,1,1,1,1,1,1.26797066442414e-105,1,1,1,1,1,1,1,1
"Neuron_Pyramidal_CA1-External",1,1,1,1,1,1,1,5.12046221055919e-05,1,1,3.11518123419444e-15,1,1,1,1,1,1
"Neuron_Interneuron-External",1,1,1,1,1,1,1,9.76393731004382e-14,1,1,1.45554010109392e-20,1,1,1,1,1,1
"Endothelial-External",1,1,1,1,1,2.11363373488769e-47,1,1,1,1,1,1,1,1,1.45876987956495e-07,1,1
"Neuron_Pyramidal_S1-External",1,1,1,1,1,1,1,0.000352231857684859,1,1,1.47706741668161e-18,1,1,1,1,1,1
"Astrocyte-External",1,1,1,1,1,1,9.1779217241534e-42,1,1,1,1,1,1,1,1,1,1
"Mural-External",1,1,1,1,1,1.38810818671506e-16,1,1,1,1,1,1,1,1,1,1,1
"Neuron_Dopaminergic-External",1,1,1,1,1,1,1,1,1,3.22763856609068e-05,9.77987501164212e-06,1,1,1,1,1,1
"Neuron_Dopaminergic_SNigra-External",1,1,1,1,1,1,1,5.70681505448929e-07,1,1,0.00476339129110007,1,1,1,1,1,1
"Neuron_Dopaminergic_VTA-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"In1-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"In2-External",1,1,1,1,1,1,1,0.0107113085803049,1,1,1,1,1,1,1,1,1
"In3-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"In4-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"In5-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"In6-External",1,1,1,1,1,1,1,1,1,1,0.0188867395430723,1,1,1,1,1,1
"In7-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"In8-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ex1-External",1,1,1,1,1,1,1,1,1,1,1.53783878241885e-08,1,1,1,1,1,1
"Ex2-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ex3-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ex4-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ex5-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ex6-External",1,1,1,1,1,1,0.0092906393208897,1,1,1,1,1,1,1,1,1,1
"Ex7-External",1,1,1,1,1,1,1,1,1,1,0.000535832632280875,1,1,1,1,1,1
"Ex8-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bcells-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CD8Tcells-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cytotoxiccells-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Eosinophils-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"iDC-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Macrophages-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Mastcells-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"NaturalKillers-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neutrophils-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Tcells-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Tcm-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Tem-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Tfh-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Th1cells-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Th2cells-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Thelpercells-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
