"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","turquoise",TRUE,0.000629,101,5927,57,0.01,0.564,"GO:0050905","BP",66,"neuromuscular process",1,"PAFAH1B1,HEXB,CTNNA2,KCNAB2,RBFOX1,AARS,JPH4,RBFOX2,HERC1,GRIN2D,DVL1,CNTNAP1,GLRB,KCNA1,CLIC5,FGF12,NR4A3,OPA3,PNKD,NPAS1,DLG4,ATP8A2,MYH10,MYO7A,CHRNA1,PEX5,CACNA1A,APP,KCNH1,DRD2,GRID2,JPH3,UCHL1,ATP2B2,NRG1,ABR,SHANK1,PRRT2,MECP2,RAC3,NLGN2,CAMTA1,PTEN,ADCY5,GRIN1,NRXN1,PENK,GPR88,CSMD1,GRIN2A,ALDH1A3,DRD1,PARK2,BCR,GRIN3A,SHANK3,NEFL",7.10757902497473
"2","turquoise",TRUE,3.88e-06,111,5927,66,0.011,0.595,"GO:0060359","BP",56,"response to ammonium ion",1,"TAC1,PPP5C,GABRA1,ADSS,GNA15,GNB1,OPRK1,GNAO1,GNA11,DPYSL2,HSP90AB1,HRH3,CHRNA4,HTR2A,HOMER2,GPI,PPP1R9B,HDAC5,EFTUD2,GHR,GABRG2,CNR1,PTK2B,FOSB,PRKCG,ASS1,DIAPH1,HTR1B,RGS8,HNRNPD,MBD1,HCN3,SNCA,CRHBP,GABRB2,SDK1,CRH,DRD2,HOMER1,GNAQ,TIAM1,SLC6A1,KALRN,CHRNB2,CDK5,KCNC2,GABRB3,HTR3A,CHRM1,DRD5,PRKCE,ADRBK1,CDK5R1,GRIN1,CHRM4,CHRM2,PENK,PLCB1,DRD1,PARK2,AGRN,LRRK2,HDAC2,HRH1,MTOR,EHMT2",7.21095737942857
"3","turquoise",TRUE,0.0243,52,5927,32,0.005,0.615,"GO:0071242","BP",56,"cellular response to ammonium ion",2,"GABRA1,GNA15,GNB1,GNA11,HRH3,CHRNA4,PPP1R9B,GABRG2,ASS1,DIAPH1,RGS8,HNRNPD,HCN3,CRHBP,GABRB2,CRH,GNAQ,CHRNB2,KCNC2,GABRB3,CHRM1,ADRBK1,CDK5R1,CHRM4,CHRM2,PLCB1,PARK2,AGRN,LRRK2,HDAC2,HRH1,EHMT2",8.5302410302655
"4","turquoise",TRUE,0.00165,32,5927,24,0.004,0.75,"GO:0071867","BP",23,"response to monoamine",1,"ATP2B4,PRKACA,GNB1,GNAS,SLC9A1,APLP1,PPARGC1A,PDE4D,NR4A3,APP,HCN3,SNCA,SRD5A1,STAR,DRD5,ADCY6,PENK,RNLS,DRD1,PARK2,GNG2,LRRK2,HDAC2,RYR2",8.24255895781372
"5","turquoise",TRUE,0.0218,29,5927,21,0.004,0.724,"GO:0071868","BP",23,"cellular response to monoamine stimulus",1,"ATP2B4,PRKACA,GNB1,GNAS,SLC9A1,APLP1,PDE4D,NR4A3,APP,HCN3,SNCA,SRD5A1,STAR,DRD5,ADCY6,DRD1,PARK2,GNG2,LRRK2,HDAC2,RYR2",8.39209069178468
"6","turquoise",TRUE,0.00165,32,5927,24,0.004,0.75,"GO:0071869","BP",23,"response to catecholamine",1,"ATP2B4,PRKACA,GNB1,GNAS,SLC9A1,APLP1,PPARGC1A,PDE4D,NR4A3,APP,HCN3,SNCA,SRD5A1,STAR,DRD5,ADCY6,PENK,RNLS,DRD1,PARK2,GNG2,LRRK2,HDAC2,RYR2",8.29971737165366
"7","turquoise",TRUE,0.0218,29,5927,21,0.004,0.724,"GO:0071870","BP",23,"cellular response to catecholamine stimulus",1,"ATP2B4,PRKACA,GNB1,GNAS,SLC9A1,APLP1,PDE4D,NR4A3,APP,HCN3,SNCA,SRD5A1,STAR,DRD5,ADCY6,DRD1,PARK2,GNG2,LRRK2,HDAC2,RYR2",8.42488051460767
"8","turquoise",TRUE,0.00447,71,5927,42,0.007,0.592,"GO:0007193","BP",72,"adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway",1,"ADCY2,OPRK1,PRMT5,HRH3,HTR2A,APLP1,OPRD1,ADCY7,GRM4,OPRL1,GNAZ,MCHR1,HTR1B,ADCY3,HTR2C,DRD2,ADRA2A,ADCY8,HTR5A,ADCY9,ADORA1,GRIK3,GRM2,NPY1R,ADCY1,CHRM1,HTR1E,P2RY12,ADCY5,ADCY6,HTR1A,HTR1D,GRM8,SSTR2,CHRM4,CHRM2,PTGDR2,NPY2R,GRM7,PSAP,GABBR1,CORT",7.54941177725377
"9","turquoise",TRUE,0.0102,187,5927,89,0.015,0.476,"GO:0006399","BP",35,"tRNA metabolic process",1,"ELAC2,RPUSD1,SARS,METTL1,KARS,THUMPD1,FTSJ1,IKBKAP,CPSF1,DDX1,UBA5,METTL2A,AARS,PUS7,CDK5RAP1,EARS2,MTFMT,POP1,POP4,GARS,PTCD1,EXOSC3,CARS,THG1L,RARS,FARSB,WARS2,EXOSC9,MOCS3,AARS2,RPP40,EEF1E1,DTD1,TRMT5,PUS7L,GTPBP3,EXOSC2,LRRC47,GRSF1,ELP3,NARS,YARS,MTO1,NARS2,ALKBH8,SSB,PPA2,YARS2,WARS,DUS3L,TARS2,FARS2,RPP30,RPP38,TSEN2,RPUSD3,WDR4,CPSF4,PARS2,TYW3,METTL2B,RPUSD4,TRUB1,MARS,TRUB2,DUS2L,LCMT2,HARS,TRMT61B,FAM98B,QARS,POP7,CLP1,TRMT10C,ZBTB8OS,DALRD3,FARSA,PSTK,PPA1,TRMT12,BRF1,FBLL1,TRMT2B,IARS,YRDC,VARS,KIAA1456,GATC,AARSD1",6.4099774940654
"10","turquoise",TRUE,0.00565,591,5927,240,0.04,0.406,"GO:0007264","BP",43,"small GTPase mediated signal transduction",1,"ALS2,ARF5,ARHGAP33,ITGA3,ARHGAP44,CYTH3,RHOBTB2,NISCH,IGF1,RALBP1,DEPDC1B,TIMP2,CUL3,TRIO,RAB27B,KITLG,RASGRF1,PSD,NCKAP1,TNK2,CDON,NGEF,ARFGEF1,RASGRP2,CDC42,ARHGAP10,RHOBTB1,ARHGEF10L,RASAL2,RAP1GAP,GNB1,RABL2B,HACE1,DOCK3,ARHGAP28,GMIP,SH2D3C,CRKL,RAB36,RASL10A,RASD2,SGSM3,ARFRP1,MCF2,FGD1,ARHGEF7,RAB11A,RHOV,RAB2A,CYTH2,RAB3D,RAB3A,SIPA1L3,CHN2,RHEB,LIMK1,RAPGEF1,GBF1,SHOC2,RUNDC3A,RAPGEFL1,RASD1,RND2,RAPGEF2,ARHGEF17,MADD,RASAL1,RERGL,RAB35,MAPK14,WASF1,RASGRF2,TRIM23,ARL6,DNAJC27,DHCR24,ARHGEF2,MFN2,SIPA1L2,SSX2IP,TRIM67,RAB14,MAPKAP1,DENND1A,IQSEC3,ARL1,OCRL,ARL4A,ARHGAP9,RAB9B,ARFGEF2,RAB22A,IQSEC2,RAP2A,MCF2L,RHOT1,RASL11B,DOCK4,RABL5,CHN1,ARPP19,RAB2B,DNMT1,ARHGEF9,ZNF304,ARFIP2,RAN,RAP1GAP2,ARHGEF11,RSG1,STARD13,AGAP3,ARL8B,NGF,ARF3,ROCK2,RAB33A,ARHGAP32,AGAP2,GPR55,ARHGEF4,DBNL,RALGPS1,DAB2IP,GARNL3,ARRB1,ARHGAP20,RAB1A,ARL3,ARHGAP24,FAM13A,RASGEF1B,RAP1GDS1,G3BP2,RHOF,REM2,RAB15,CDH13,RAB40B,ARF1,ARL8A,RALB,RABL2A,IQSEC1,SRPRB,SLIT2,CAMK2D,PLK2,RASA1,ARHGAP26,RASGEF1C,DOK3,TIAM2,ARHGAP36,ARHGAP39,SHC3,ADRA2A,RIT2,RAB3C,LRRK1,OBSCN,RAB6B,ELMO1,RASA2,RAB39B,PSD3,TIAM1,NRG1,DGKI,AGAP1,ABR,ARHGAP35,KALRN,VAV2,RACGAP1,CDC42EP3,ARHGAP25,ARHGEF3,DIRAS2,RHEBL1,RAB26,RAB3B,RAC3,RALGAPB,RASA4B,MURC,PLEKHG5,KNDC1,RAB40A,RASGRP1,RND1,CFL1,RAB37,DAB1,SCAI,TNK1,KCTD13,ARL10,RAB6A,ARL4D,DIRAS1,GRB2,RAB39A,RAP2B,SIAH2,RABIF,IQGAP3,ARL15,MAPK11,BCR,CHP1,ARL4C,CHM,LRRK2,RELN,SRGAP3,ARL9,RABL6,NF1,SRC,SYNGAP1,STMN3,SIPA1L1,RAB40C,NKIRAS1,DENND4B,RASGEF1A,CHML,GDI1,ITSN1,RAB12,NUP62,ARHGEF33,ARHGEF28,ARL17B,AC073869.1,ARHGEF25,ARHGDIG,RASL10B,ENSG00000272822",4.58973855351548
