"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","brown",TRUE,0.0285,18,138,4,0.029,0.222,"REAC:1369062","rea",1,"ABC transporters in lipid homeostasis",1,"ABCA2,ABCA9,ABCA10,ABCA5",NA
"2","thistle1",TRUE,0.0133,1685,153,32,0.209,0.019,"GO:0022610","BP",3,"biological adhesion",1,"CYP26B1,SLC11A1,STK10,NRCAM,WISP1,COMP,MAP3K8,IL18R1,PLEK,SPP1,CSF3R,CSTA,ASS1,LILRB2,LCP1,MYO1G,IL1RN,ITGAX,S100A8,ADAM8,BATF,CD1D,FCER1G,NLRP3,S100A9,S100P,NOD2,SERPINF2,CD300A,SELL,ELANE,LYN",4.04118860061473
"3","thistle1",TRUE,0.0123,1679,153,32,0.209,0.019,"GO:0007155","BP",3,"cell adhesion",2,"CYP26B1,SLC11A1,STK10,NRCAM,WISP1,COMP,MAP3K8,IL18R1,PLEK,SPP1,CSF3R,CSTA,ASS1,LILRB2,LCP1,MYO1G,IL1RN,ITGAX,S100A8,ADAM8,BATF,CD1D,FCER1G,NLRP3,S100A9,S100P,NOD2,SERPINF2,CD300A,SELL,ELANE,LYN",4.04702925134427
"4","thistle1",TRUE,0.00513,1145,153,26,0.17,0.023,"GO:0098609","BP",3,"cell-cell adhesion",3,"CYP26B1,SLC11A1,STK10,NRCAM,MAP3K8,IL18R1,PLEK,CSTA,ASS1,LILRB2,LCP1,IL1RN,ITGAX,S100A8,ADAM8,BATF,CD1D,FCER1G,NLRP3,S100A9,S100P,NOD2,SERPINF2,CD300A,ELANE,LYN",4.57686283915544
"5","thistle1",TRUE,6.81e-05,1552,153,35,0.229,0.023,"GO:0040011","BP",3,"locomotion",1,"FGR,STK10,NRCAM,HMOX1,MMP9,CSF3R,CCRL2,TREM1,LBP,C5AR2,LCP1,MYO1G,ITGAX,ARRB2,S100A8,ADAM8,PSTPIP2,CMTM7,FCER1G,CXCL16,S100A9,S100A12,CXCR1,S100P,CD300A,SERINC2,FPR1,MYD88,IL17RA,FMNL1,SELL,C5AR1,ELANE,GPSM3,LYN",3.79827504789951
"6","thistle1",TRUE,1.4e-14,8162,153,119,0.778,0.015,"GO:0050896","BP",3,"response to stimulus",1,"FGR,CYP26B1,CRLF1,MGST1,MMP25,ALOX5,SLC11A1,TNFRSF1B,LCP2,GNA15,LPAR2,STK10,STXBP2,FCN1,GMIP,IRAK3,NRCAM,OSM,GGT5,CYTH4,HMOX1,NCF4,RIN3,MMP9,SIRPB1,COTL1,MEFV,AQP9,WISP1,MAP3K8,IL1R2,IL18R1,IL18RAP,KYNU,PLEK,RHOU,NCF2,RPS6KA1,SPP1,CSF3R,CCRL2,ARHGAP9,NFE2,TREM1,MT1G,PTGER2,APOBEC3A,RHBDF2,LBP,ASS1,LILRB2,ALOX5AP,CHI3L1,ARNTL,C5AR2,LCP1,MYO1G,IL1RN,TLR2,BCL2A1,ITGAX,IGSF6,ARRB2,SECTM1,STAC2,SLC2A5,ARHGEF19,FCGR2A,S100A8,PLAC8,DOK3,ADAM8,CMTM7,LY96,SAMSN1,CNOT8,SLA,BATF,CD1D,NCF1,FCER1G,CXCL16,ALPL,NLRP3,FCGR3B,RNF149,S100A9,S100A12,CXCR1,S100P,ABCA1,NOD2,SERPINF2,CD300A,FTH1,SERINC2,MT1E,OSCAR,FPR1,MYD88,TNFRSF10C,NABP1,GPR160,A2M,IL17RA,TNFAIP8L3,CD300E,LILRA5,PLA2G2A,SELL,SERPINA1,C5AR1,ELANE,MT1F,MT1M,GPSM3,LILRA6,C4A,LYN",1.35563016342414
"7","thistle1",TRUE,0.000277,4059,153,62,0.405,0.015,"GO:0042221","BP",3,"response to chemical",2,"CYP26B1,MGST1,SLC11A1,TNFRSF1B,GNA15,IRAK3,NRCAM,OSM,HMOX1,MEFV,AQP9,IL1R2,IL18R1,IL18RAP,KYNU,SPP1,CSF3R,CCRL2,TREM1,MT1G,PTGER2,APOBEC3A,LBP,ASS1,LILRB2,ALOX5AP,CHI3L1,ARNTL,C5AR2,IL1RN,TLR2,ARRB2,SLC2A5,S100A8,ADAM8,CMTM7,LY96,FCER1G,CXCL16,ALPL,NLRP3,RNF149,S100A9,S100A12,CXCR1,S100P,ABCA1,NOD2,SERPINF2,SERINC2,MT1E,FPR1,MYD88,TNFRSF10C,IL17RA,SELL,C5AR1,ELANE,MT1F,MT1M,GPSM3,LYN",2.52151884905466
"8","thistle1",TRUE,0.0193,1469,153,29,0.19,0.02,"GO:1901700","BP",3,"response to oxygen-containing compound",3,"CYP26B1,MGST1,SLC11A1,TNFRSF1B,GNA15,IRAK3,HMOX1,AQP9,IL18RAP,SPP1,PTGER2,LBP,ASS1,LILRB2,TLR2,SLC2A5,S100A8,LY96,CXCL16,ALPL,NLRP3,ABCA1,NOD2,MYD88,TNFRSF10C,SELL,C5AR1,ELANE,LYN",3.94300854496407
"9","thistle1",TRUE,0.00147,2799,153,47,0.307,0.017,"GO:0010033","BP",3,"response to organic substance",3,"CYP26B1,MGST1,SLC11A1,TNFRSF1B,GNA15,IRAK3,OSM,HMOX1,MEFV,AQP9,IL1R2,IL18R1,IL18RAP,KYNU,SPP1,CSF3R,CCRL2,MT1G,PTGER2,LBP,ASS1,LILRB2,CHI3L1,ARNTL,IL1RN,TLR2,ARRB2,SLC2A5,S100A8,LY96,FCER1G,CXCL16,ALPL,NLRP3,CXCR1,S100P,ABCA1,NOD2,SERPINF2,SERINC2,MYD88,TNFRSF10C,IL17RA,SELL,C5AR1,ELANE,LYN",2.99203225510203
"10","thistle1",TRUE,0.000105,870,153,25,0.163,0.029,"GO:0033993","BP",3,"response to lipid",4,"CYP26B1,MGST1,SLC11A1,TNFRSF1B,IRAK3,SPP1,PTGER2,LBP,ASS1,LILRB2,ARNTL,IL1RN,TLR2,ARRB2,S100A8,LY96,CXCL16,ALPL,NLRP3,ABCA1,MYD88,TNFRSF10C,C5AR1,ELANE,LYN",4.79699033212016
