"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","brown",TRUE,0.00837,33,166,6,0.036,0.182,"KEGG:03410","keg",1,"Base excision repair",1,"PARP3,NTHL1,XRCC1,LIG1,NEIL1,POLL",NA
"2","grey",TRUE,0.0025,13057,984,753,0.765,0.058,"GO:0044699","BP",3,"single-organism process",1,"CYP51A1,PDK4,ACSM3,CRLF1,YBX2,ABCC8,CACNA1G,CD79B,SCN4A,SYN1,JARID2,AASS,MAPK8IP2,GIPR,SEMA3G,RNF216,CLDN11,DDX11,FHL1,HMGB3,MIR5010,RTN4R,MYO16,TG,ADRB1,MAP4,LAMC3,MSMO1,NNAT,LAMA3,WISP2,ST3GAL6,MYLK,GSTO2,NGEF,CLDN18,FGFR2,ZFAT,IDI1,DRD4,ST6GALNAC1,WIPI1,RPS6KA2,SREBF1,DHRS9,PPP2R2C,SNCB,NUAK1,TUBA3D,ICAM3,MCAM,ITGA8,MAP2,AMPH,EDN1,MIR761,TNS1,DUSP13,SCGN,TCF7,ARG2,COL19A1,CD82,ABCB1,AKR1B1,ALG9,ACOX3,HSD17B14,ACHE,CETP,MT3,PIR,RFX2,GP6,SLC9A1,ZNF268,PITPNM3,MYH7,UNC13D,MIR3198-2,CRTAC1,BAMBI,JAK2,STX1B,HCN2,MKNK2,SERPIND1,MMP11,CECR2,DERL3,PRODH,TRIOBP,GCAT,SLC5A4,TIMP3,RASL10A,RASD2,GRAP2,KCTD17,COCH,CDKN3,GSTZ1,ASB2,CCNB1IP1,RIMS4,ASIP,FAM83D,TNNC2,MYL12A,ASB9,PIM2,PCSK1N,RGCC,CBLN1,DHODH,PLA2G15,WFDC1,HAGHL,RASL12,OIP5,JPH1,TUBB4A,TNNT1,AURKC,APLP1,ICAM5,MIR1181,CNFN,PLA2G4C,ARRDC2,COMP,GAPDHS,LSR,HPN,SCN1B,SIPA1L3,RASA4,DNAH11,CAV2,CAV1,LFNG,TMEM176B,SLC1A1,PRUNE2,PTGR1,GATA3,CXCL12,CDH23,SPOCK2,ACTA2,RUNDC3A,RASD1,CHRNE,ALOX12,TMEM97,INPP4B,SOD3,SLC2A9,FBXW7,PVRL1,MYL2,GPRC5D,RERGL,GNB3,TPD52L1,PHACTR1,BMP5,COL9A1,EYA4,SLC16A10,PACRG,PRPH2,SRF,HMGCS1,HMGCR,HAND1,THBS4,AMOTL2,MIR711,POMC,IGFBP2,EFHD1,SDC1,VAX2,DHCR24,GPX7,ANGPTL1,MEF2D,CTH,HPCAL4,KCNQ4,F3,RCAN3,CTSD,APOA1,CNR1,CTGF,PPL,IFT43,ESRRB,MSX2,ACAT2,MIR3614,KCNJ8,CCRL2,RASL11A,OPN4,WIPF3,CALD1,NUDT10,G0S2,PFKFB2,MIR4800,TP53TG5,NEURL2,HIF3A,NQO2,UNC5CL,GNMT,CPNE5,HS3ST3B1,PAX8,EML2,ID1,FLRT1,HSPA2,AUNIP,PLA2G5,F2RL3,GFER,IL17B,LRFN1,SPINK2,GNAZ,MGAT3,FLNC,LRRC4,E2F8,AJUBA,NRL,FGF13,CDKN1C,APOE,APOC1,GADD45G,ACE2,TNNT3,TNNI2,CYP2E1,GATA5,ARHGEF16,CASZ1,ARHGEF9,C1QL1,GFAP,GALNT15,NAPSA,PPP1R1B,NR0B2,CCT6B,SCLY,IGJ,REEP2,NES,HAPLN2,TRPC4,BEX1,MYH11,LARGE,GSTT2B,MYO18B,SPINK5,ARNTL,RRAS2,GSTM1,WNT2B,NGF,MYCN,CYP2J2,MSI1,TBX3,AGAP2,DYSF,CAPN9,ARHGEF4,MTHFS,ALPK3,ALDOB,CCL21,CD72,ARHGEF39,MGARP,ITPKA,SLC44A5,CENPO,LOXL4,CUZD1,PLCE1,MYPN,STAT4,HCN4,SEMA7A,SHROOM3,MTTP,SDSL,DISP2,CYP11A1,RHCG,MFGE8,OSGIN1,IMPA2,ZMYND15,CCDC40,CBX8,MAPK4,STAC2,CACNA1A,PPAP2C,SLC47A1,ITGB3BP,CYP4B1,ILDR2,CASQ1,TUFT1,DYRK3,VASH2,SMYD2,DUSP10,TPM3,FLG,ACTA1,ETNK2,PPFIA4,OSR1,THNSL2,GPR17,CDCA7,GRIP2,CCBP2,PLA1A,AGTR1,ALDH1L1,MIR922,EAF2,ECE2,DDIT4L,SFRP2,ROPN1L,PLK2,GTF2H2,SPATA9,KCNMB1,DAAM2,DYNLT1,SDK1,POMZP3,TMEM27,CHST7,TRIM55,SYBU,SLC39A4,CDKN2B,ASTN2,GBGT1,CDHR1,ANKRD1,CYP17A1,ADM,SLC5A12,JPH2,DUSP15,CDH22,ADRA2A,CACNA1C,RAD9B,ADAMTS12,AKR1C2,DPYSL4,ZNF385D,TUBA3E,KCNK13,GUCY1A2,HOMER1,RASGRP3,CATSPER3,SCN3A,NMRAL1,UCHL1,OBSCN,ADAMTS5,GOLGA7B,KIF5A,UGT2B4,KCNMA1,MAP3K7CL,TDRD9,PPP2R2B,TSC22D3,MIR4647,CREB3L1,DGKI,CABP1,HPD,TMSB15A,GPR153,HIST1H4H,PKD1L1,NPM2,MIR5187,CSRP1,KCNE2,C1ORF51,GJD2,KALRN,TFF3,GAB3,FTCD,LSS,PCNT,GPSM1,RDH13,MPZL3,PTH1R,MYL3,AZGP1,LY6K,FDXR,MPP3,NAGS,AQP5,SPC24,ITIH3,SLC45A1,DHRS3,DIRAS3,PM20D1,KCNF1,ACTG2,SLC16A14,NOSTRIN,XIRP2,PDLIM5,SPRR3,FZD5,NPPC,LMOD1,ALB,HESX1,RPL9,DNASE1L3,MTHFD2L,KLF15,HEYL,SLC51A,ABLIM2,CDC25A,CAMP,PLXNB1,ELOVL7,STARD4,EGFLAM,CHMP4C,SOX17,GPR146,OSR2,LETM2,FIGF,CFL2,ANKRD2,PACSIN3,CMTM5,ASPG,PLEKHF1,CENPN,PLEKHA7,C16ORF45,NAV2,NKX3-1,IGF2,MYO5B,VKORC1,GNG8,CA4,TMEM145,DNAAF3,KRT1,SDHAF2,VWCE,BEST1,FTH1,KCNJ4,GLYCTK,KIF5C,LGI3,SFTPC,SERINC2,MYL1,NPNT,SHOX2,CPLX1,KCNAB1,LINGO1,PCDH7,CTNND2,MUC3A,TAS1R3,MYO7B,ALCAM,VGLL2,SLC16A5,ADRA1B,ELP5,FRMPD2,EMX2,KRT4,NPAS2,ZNF296,CDCA4,LMOD2,CYTL1,SHCBP1,KCNK3,LURAP1,KRT13,HOPX,NMUR1,SLC25A33,SERF1A,TPSAB1,ABCG4,RSPH9,RASGRP1,KRT2,DHCR7,STOX2,KCNK7,DAB1,PTPRM,CSPG4,LRFN4,SUSD5,PHOSPHO1,GPR160,RBM4,SLC16A13,FZD4,CNIH2,NDUFA11,P2RY14,FUT1,DES,NPPA,CCNE2,CHRNA7,OR10P1,LPL,RFESD,UCP3,ETV4,BAIAP2,ARL4D,UBE2O,TAC4,EID2B,IRX5,MTHFR,ACOT4,IRX3,C18ORF32,MYOZ1,PRSS42,RNF212,GEN1,SHISA3,CALML5,CA8,LGALS7B,PLD6,APOBEC3B,NKX2-6,MYLPF,ATP5EP2,SSTR2,MAP6D1,MIR937,FAM83H,NQO1,TRAPPC5,RPH3AL,PENK,CCL13,UTS2R,SOX2,CLDN7,ASB18,SYNM,PLCXD1,TSKU,HOXB4,GJC1,NEB,C15ORF60,GRIN2A,ACSM5,GPR1,BMP8A,ZNF703,KCNQ3,TSPYL2,HIST2H2AC,TACSTD2,PKP3,MAP7D2,CCR10,CEND1,CDCA2,PRR16,SORCS2,GP1BA,WBSCR17,IFNLR1,ROR1,PRELID2,KRT10,GLDN,KRT14,QRFPR,MAPT,AKR1C1,GABRD,EIF4EBP1,C1ORF168,ZP3,PDCD1,KRTDAP,HBA2,NANOS1,RHCE,RELN,APOD,H1F0,TMEM120A,ALG1L,HLA-DRB1,AKR1C3,ATP2A1,NTNG2,CACNA1H,WNK3,HLA-DQA1,S100A2,LAMB3,ZGPAT,PIWIL2,HIST1H4J,ZNF165,LYPD2,COL13A1,SPN,HOXA4,MFAP5,HOXC6,CFD,SULT1C2,NTRK1,TPM2,HLA-DRB5,ARC,MT-ND6,MT-CO2,MT-CYB,SMOC1,F5,OXCT2,MT-ND2,MT-ND5,MT-CO1,GK,MT-ND3,MT-ND1,TGM2,RP11-176H8.1,CENPW,SYT15,HLA-DOA,APOM,HLA-C,POU5F1,TRIM39,ZFP57,TRIM13,SYCE1L,VIT,KRT6A,SMN2,SERF1B,LYRM5,HBA1,ATP10A,HLA-A,COLQ,GPX3,DIO2,SLC48A1,IGHG2,IGHA1,IGHG1,NUP62,LBH,NCKIPSD,PLIN5,SPINK13,MTCP1,FXYD7,EXOSC6,FAM195B,NTF4,ELFN1,RPS28,B3GNT9,GET4,AQP1,HLA-DOB,HOGA1,ARHGDIG,AMY2A,ETV5,CCDC13,HBB,RP11-766F14.2,PTTG2,IGLL5,GATC,CHURC1,SPESP1,BCL2L2-PABPN1,MIA,FAM58A,MYZAP,TXNIP,LIN37,NDUFA7,EGLN2,C6ORF165,C17ORF96,ADRA2B,SEBOX,HIST1H2AK,ARHGAP23,DUSP14,HIST1H4E,HIST1H2AE,CCL3",0.460307636614468
"3","grey",TRUE,0.0149,6896,984,429,0.436,0.062,"GO:0032501","BP",3,"multicellular organismal process",1,"HSPB6,PDK4,ACSM3,CRLF1,YBX2,CACNA1G,CD79B,SCN4A,JARID2,MAPK8IP2,GIPR,SEMA3G,RNF216,CLDN11,FHL1,HMGB3,RTN4R,MYO16,TG,ADRB1,MAP4,LAMC3,NNAT,LAMA3,MYLK,NGEF,CLDN18,FGFR2,ZFAT,DRD4,RPS6KA2,SREBF1,MCAM,ITGA8,MAP2,EDN1,DUSP13,TCF7,ARG2,COL19A1,AKR1B1,ACHE,CETP,MT3,PIR,RFX2,GP6,SLC9A1,MYH7,MIR3198-2,CRTAC1,BAMBI,JAK2,STX1B,MKNK2,SERPIND1,MMP11,CECR2,TIMP3,COCH,ASB2,CCNB1IP1,ASIP,FAM83D,TNNC2,MYL12A,PCSK1N,RGCC,CBLN1,DHODH,JPH1,TNNT1,AURKC,APLP1,CNFN,PLA2G4C,COMP,LSR,HPN,SCN1B,SIPA1L3,DNAH11,CAV2,CAV1,LFNG,TMEM176B,SLC1A1,GATA3,CXCL12,CDH23,SPOCK2,ACTA2,CHRNE,ALOX12,FBXW7,PVRL1,MYL2,GNB3,BMP5,COL9A1,EYA4,PACRG,PRPH2,SRF,HMGCS1,HMGCR,HAND1,THBS4,MIR711,POMC,IGFBP2,EFHD1,SDC1,VAX2,DHCR24,MEF2D,CTH,HPCAL4,KCNQ4,F3,CTSD,APOA1,CNR1,CTGF,PPL,ESRRB,MSX2,MYOT,MIR3614,KCNJ8,OPN4,WIPF3,CALD1,HIF3A,NQO2,CPNE5,PAX8,EML2,ID1,FLRT1,HSPA2,F2RL3,GFER,IL17B,LRFN1,SPINK2,E2F8,NRL,FGF13,CDKN1C,APOE,APOC1,GADD45G,ACE2,TNNT3,TNNI2,GATA5,CASZ1,C1QL1,GFAP,NAPSA,PPP1R1B,NR0B2,CCT6B,IGJ,REEP2,NES,HAPLN2,TRPC4,BEX1,MYH11,LARGE,MYO18B,SPINK5,ARNTL,RRAS2,WNT2B,NGF,CYP2J2,MSI1,TBX3,AGAP2,DYSF,CAPN9,ALPK3,ITPKA,PLCE1,HCN4,SEMA7A,SHROOM3,MTTP,MFGE8,OSGIN1,ZMYND15,CCDC40,CBX8,CACNA1A,ILDR2,CASQ1,TUFT1,DYRK3,VASH2,SMYD2,DUSP10,TPM3,FLG,ACTA1,ETNK2,OSR1,GRIP2,CCBP2,AGTR1,EAF2,ECE2,SFRP2,PLK2,SPATA9,KCNMB1,DAAM2,DYNLT1,SDK1,POMZP3,CDKN2B,CDHR1,ANKRD1,ADM,JPH2,CDH22,ADRA2A,CACNA1C,ADAMTS12,AKR1C2,DPYSL4,HOMER1,CATSPER3,SCN3A,UCHL1,OBSCN,ADAMTS5,KIF5A,KCNMA1,TDRD9,TSC22D3,CREB3L1,DGKI,HIST1H4H,PKD1L1,NPM2,CSRP1,KCNE2,C1ORF51,GJD2,KALRN,GAB3,GPSM1,RDH13,MPZL3,PTH1R,MYL3,AZGP1,AQP5,DHRS3,PM20D1,ACTG2,XIRP2,PDLIM5,SPRR3,FZD5,NPPC,LMOD1,ALB,HESX1,KLF15,HEYL,CAMP,PLXNB1,ERAP2,CHMP4C,SOX17,OSR2,FIGF,CFL2,ANKRD2,C16ORF45,NAV2,NKX3-1,IGF2,MYO5B,VKORC1,GNG8,KRT1,SDHAF2,BEST1,KCNJ4,KIF5C,SFTPC,SERINC2,MYL1,NPNT,SHOX2,KCNAB1,LINGO1,CTNND2,TAS1R3,ALCAM,VGLL2,ADRA1B,EMX2,NPAS2,ZNF296,LMOD2,CYTL1,KCNK3,LURAP1,KRT13,HOPX,NMUR1,SERF1A,RASGRP1,KRT2,DHCR7,STOX2,DAB1,PTPRM,CSPG4,LRFN4,PHOSPHO1,RBM4,FZD4,DES,NPPA,CHRNA7,OR10P1,LPL,UCP3,ETV4,BAIAP2,TAC4,EID2B,IRX5,MTHFR,IRX3,PRSS42,SHISA3,PLD6,NKX2-6,MYLPF,SSTR2,MIR937,FAM83H,PENK,UTS2R,SOX2,SYNM,TSKU,HOXB4,GJC1,NEB,GRIN2A,BMP8A,ZNF703,TACSTD2,CEND1,GP1BA,ROR1,KRT10,GLDN,CLCNKA,KRT14,MAPT,AKR1C1,EIF4EBP1,ZP3,PDCD1,NANOS1,RELN,APOD,HLA-DRB1,AKR1C3,ATP2A1,NTNG2,CACNA1H,WNK3,S100A2,LAMB3,PIWIL2,HIST1H4J,COL13A1,SPN,HOXA4,MFAP5,HOXC6,NTRK1,TPM2,ARC,MT-CO2,MT-CYB,SMOC1,F5,MT-CO1,TGM2,HLA-DOA,APOM,POU5F1,ZFP57,SMN2,SERF1B,COLQ,IGHA1,NUP62,LBH,NCKIPSD,FXYD7,EXOSC6,FAM195B,NTF4,AQP1,AMY2A,ETV5,HBB,CHURC1,SPESP1,BCL2L2-PABPN1,TXNIP,C17ORF96,ADRA2B,SEBOX,HIST1H4E,CCL3",1.69816761092111
"4","grey",TRUE,0.0155,1961,984,147,0.149,0.075,"GO:0003008","BP",3,"system process",2,"HSPB6,ACSM3,CACNA1G,SCN4A,JARID2,MAPK8IP2,ADRB1,LAMC3,MYLK,RPS6KA2,SREBF1,MCAM,ITGA8,EDN1,ARG2,SLC9A1,MYH7,JAK2,TIMP3,COCH,TNNC2,MYL12A,TNNT1,HPN,SCN1B,CAV1,SLC1A1,GATA3,CXCL12,CDH23,ACTA2,CHRNE,ALOX12,MYL2,GNB3,EYA4,PRPH2,SRF,HMGCR,POMC,VAX2,KCNQ4,APOA1,CNR1,CTGF,MYOT,KCNJ8,OPN4,CALD1,NQO2,EML2,NRL,FGF13,APOE,ACE2,TNNT3,TNNI2,C1QL1,PPP1R1B,IGJ,REEP2,MYH11,CYP2J2,TBX3,DYSF,PLCE1,HCN4,CACNA1A,CASQ1,TPM3,ACTA1,GRIP2,AGTR1,PLK2,KCNMB1,ADM,ADRA2A,CACNA1C,HOMER1,SCN3A,UCHL1,KCNMA1,DGKI,KCNE2,GJD2,KALRN,MYL3,AZGP1,AQP5,DHRS3,ACTG2,PDLIM5,NPPC,LMOD1,KLF15,ERAP2,ANKRD2,NAV2,NKX3-1,MYO5B,BEST1,KCNJ4,MYL1,NPNT,KCNAB1,TAS1R3,ADRA1B,LMOD2,KCNK3,HOPX,NMUR1,PTPRM,FZD4,DES,NPPA,CHRNA7,OR10P1,TAC4,IRX5,MTHFR,MYLPF,SSTR2,PENK,UTS2R,SYNM,GJC1,NEB,GRIN2A,TACSTD2,CLCNKA,AKR1C1,RELN,AKR1C3,ATP2A1,CACNA1H,WNK3,NTRK1,TPM2,ARC,F5,IGHA1,FXYD7,NTF4,AQP1,HBB,ADRA2B,CCL3",3.58411133603802
"5","grey",TRUE,3.45e-05,498,984,58,0.059,0.116,"GO:0044057","BP",3,"regulation of system process",3,"HSPB6,CACNA1G,JARID2,ADRB1,SREBF1,EDN1,SLC9A1,MYH7,JAK2,TNNC2,TNNT1,SCN1B,CAV1,SLC1A1,ALOX12,MYL2,SRF,HMGCR,POMC,APOA1,CTGF,ACE2,TNNT3,TNNI2,CYP2J2,PLCE1,HCN4,CASQ1,AGTR1,KCNMB1,ADM,ADRA2A,CACNA1C,KCNE2,MYL3,NPPC,NKX3-1,KCNJ4,NPNT,ADRA1B,KCNK3,HOPX,PTPRM,DES,NPPA,TAC4,IRX5,SSTR2,UTS2R,GJC1,GRIN2A,ATP2A1,CACNA1H,WNK3,FXYD7,AQP1,ADRA2B,CCL3",5.03485643354364
"6","grey",TRUE,2.38e-05,493,984,58,0.059,0.118,"GO:0003013","BP",3,"circulatory system process",3,"ACSM3,CACNA1G,ADRB1,RPS6KA2,SREBF1,EDN1,SLC9A1,MYH7,JAK2,SCN1B,CAV1,SLC1A1,CXCL12,ACTA2,ALOX12,MYL2,GNB3,HMGCR,POMC,CNR1,CTGF,KCNJ8,APOE,ACE2,TNNI2,CYP2J2,HCN4,CASQ1,GRIP2,AGTR1,KCNMB1,ADM,ADRA2A,CACNA1C,KCNE2,MYL3,NPPC,ERAP2,NAV2,KCNJ4,MYL1,ADRA1B,KCNK3,HOPX,PTPRM,DES,NPPA,TAC4,IRX5,MTHFR,UTS2R,GJC1,ATP2A1,CACNA1H,F5,FXYD7,HBB,ADRA2B",5.11069450993514
"7","grey",TRUE,0.000553,254,984,35,0.036,0.138,"GO:0003015","BP",3,"heart process",4,"CACNA1G,ADRB1,RPS6KA2,SREBF1,EDN1,SLC9A1,MYH7,JAK2,SCN1B,CAV1,SLC1A1,MYL2,CTGF,ACE2,TNNI2,CYP2J2,HCN4,CASQ1,ADM,CACNA1C,KCNE2,MYL3,NPPC,KCNJ4,MYL1,ADRA1B,KCNK3,HOPX,DES,NPPA,IRX5,GJC1,ATP2A1,CACNA1H,FXYD7",6.03306428788568
"8","grey",TRUE,1.77e-05,489,984,58,0.059,0.119,"GO:0008015","BP",3,"blood circulation",4,"ACSM3,CACNA1G,ADRB1,RPS6KA2,SREBF1,EDN1,SLC9A1,MYH7,JAK2,SCN1B,CAV1,SLC1A1,CXCL12,ACTA2,ALOX12,MYL2,GNB3,HMGCR,POMC,CNR1,CTGF,KCNJ8,APOE,ACE2,TNNI2,CYP2J2,HCN4,CASQ1,GRIP2,AGTR1,KCNMB1,ADM,ADRA2A,CACNA1C,KCNE2,MYL3,NPPC,ERAP2,NAV2,KCNJ4,MYL1,ADRA1B,KCNK3,HOPX,PTPRM,DES,NPPA,TAC4,IRX5,MTHFR,UTS2R,GJC1,ATP2A1,CACNA1H,F5,FXYD7,HBB,ADRA2B",5.12288978302896
"9","grey",TRUE,5.92e-05,288,984,40,0.041,0.139,"GO:1903522","BP",3,"regulation of blood circulation",5,"CACNA1G,ADRB1,SREBF1,EDN1,SLC9A1,MYH7,JAK2,SCN1B,CAV1,SLC1A1,ALOX12,MYL2,HMGCR,CTGF,ACE2,CYP2J2,HCN4,CASQ1,AGTR1,KCNMB1,ADM,ADRA2A,CACNA1C,KCNE2,MYL3,NPPC,KCNJ4,ADRA1B,KCNK3,HOPX,PTPRM,DES,NPPA,IRX5,UTS2R,GJC1,ATP2A1,CACNA1H,FXYD7,ADRA2B",5.62152013370113
"10","grey",TRUE,0.000412,251,984,35,0.036,0.139,"GO:0060047","BP",3,"heart contraction",5,"CACNA1G,ADRB1,RPS6KA2,SREBF1,EDN1,SLC9A1,MYH7,JAK2,SCN1B,CAV1,SLC1A1,MYL2,CTGF,ACE2,TNNI2,CYP2J2,HCN4,CASQ1,ADM,CACNA1C,KCNE2,MYL3,NPPC,KCNJ4,MYL1,ADRA1B,KCNK3,HOPX,DES,NPPA,IRX5,GJC1,ATP2A1,CACNA1H,FXYD7",6.05463677313981
