"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"1","darkgreen","413404_KEGG_Ribosome,_eukaryotes__Kegg_NCBI_Biosystems","PW_Lists",9.81978172058247e-108
"2","darkgreen","441_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",6.38943683662502e-107
"3","darkgreen","83036_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",6.38943683662502e-107
"4","darkgreen","105976_REACTOME_Eukaryotic_Translation_Elongation__Reactome_NCBI_Biosystems","PW_Lists",1.23290554013243e-104
"5","darkgreen","105977_REACTOME_Peptide_chain_elongation__Reactome_NCBI_Biosystems","PW_Lists",1.11842093863444e-103
"6","darkgreen","105978_REACTOME_Eukaryotic_Translation_Termination__Reactome_NCBI_Biosystems","PW_Lists",1.11842093863444e-103
"7","darkgreen","106077_REACTOME_Viral_mRNA_Translation__Reactome_NCBI_Biosystems","PW_Lists",1.11842093863444e-103
"8","darkgreen","198853_WikiPathways_Cytoplasmic_Ribosomal_Proteins__Wiki_Pathways_NCBI_Biosystems","PW_Lists",2.95117538725222e-101
"9","darkgreen","366242_REACTOME_Nonsense_Mediated_Decay_Independent_of_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",3.26456072656919e-100
"10","darkgreen","105968_REACTOME_Formation_of_a_pool_of_free_40S_subunits__Reactome_NCBI_Biosystems","PW_Lists",1.35083024312276e-96
"11","darkgreen","106074_REACTOME_Influenza_Viral_RNA_Transcription_and_Replication__Reactome_NCBI_Biosystems","PW_Lists",4.62571975294298e-96
"12","darkgreen","530746_REACTOME_SRP-dependent_cotranslational_protein_targeting_to_membrane__Reactome_NCBI_Biosystems","PW_Lists",1.27303115350809e-92
"13","darkgreen","160955_REACTOME_L13a-mediated_translational_silencing_of_Ceruloplasmin_expression__Reactome_NCBI_Biosystems","PW_Lists",1.74245355634153e-91
"14","darkgreen","105973_REACTOME_GTP_hydrolysis_and_joining_of_the_60S_ribosomal_subunit__Reactome_NCBI_Biosystems","PW_Lists",5.04845462269663e-91
"15","darkgreen","366240_REACTOME_Nonsense-Mediated_Decay__Reactome_NCBI_Biosystems","PW_Lists",1.43727416892463e-90
"16","darkgreen","366241_REACTOME_Nonsense_Mediated_Decay_Enhanced_by_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",1.43727416892463e-90
"17","darkgreen","105966_REACTOME_Eukaryotic_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",5.46720018038972e-88
"18","darkgreen","105967_REACTOME_Cap-dependent_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",5.46720018038972e-88
"19","lightgreen","198860_WikiPathways_Electron_Transport_Chain__Wiki_Pathways_NCBI_Biosystems","PW_Lists",1.16752359004685e-85
"20","darkgreen","106067_REACTOME_Influenza_Infection__Reactome_NCBI_Biosystems","PW_Lists",3.29773446768494e-82
"21","lightgreen","105921_REACTOME_Respiratory_electron_transport,_ATP_synthesis_by_chemiosmotic_coupling,_and_heat_production_by_uncoupling_proteins.__Reactome_NCBI_Biosystems","PW_Lists",7.93356670892857e-82
"22","darkgreen","106068_REACTOME_Influenza_Life_Cycle__Reactome_NCBI_Biosystems","PW_Lists",1.20415210494737e-81
"23","lightgreen","477137_REACTOME_The_citric_acid_(TCA)_cycle_and_respiratory_electron_transport__Reactome_NCBI_Biosystems","PW_Lists",4.64344181269609e-81
"24","darkgreen","105965_REACTOME_Translation__Reactome_NCBI_Biosystems","PW_Lists",5.29455293424502e-81
"25","lightgreen","303_KEGG_Oxidative_phosphorylation__Kegg_NCBI_Biosystems","PW_Lists",3.18500031261502e-78
"26","lightgreen","82942_KEGG_Oxidative_phosphorylation__Kegg_NCBI_Biosystems","PW_Lists",3.18500031261502e-78
"27","lightgreen","6209_mito_oxidative_phosph_pad_196__Palazzolo_and_Wang","PW_Lists",9.9262621542937e-77
"28","lightgreen","83098_KEGG_Parkinson's_disease__Kegg_NCBI_Biosystems","PW_Lists",5.58050286418157e-75
"29","darkgreen","salmon_M12_Ribosome__HumanMeta","Brain",3.82120207846713e-69
"30","lightgreen","160962_REACTOME_Respiratory_electron_transport__Reactome_NCBI_Biosystems","PW_Lists",3.57764251202065e-65
"31","lightgreen","512_KEGG_Huntington's_disease__Kegg_NCBI_Biosystems","PW_Lists",1.38210168341432e-60
"32","lightgreen","83100_KEGG_Huntington's_disease__Kegg_NCBI_Biosystems","PW_Lists",1.38210168341432e-60
"33","lightgreen","509_KEGG_Alzheimer's_disease__Kegg_NCBI_Biosystems","PW_Lists",2.89162322743283e-59
"34","lightgreen","83097_KEGG_Alzheimer's_disease__Kegg_NCBI_Biosystems","PW_Lists",2.89162322743283e-59
"35","lightgreen","6201_mito_db_pad_2664__Palazzolo_and_Wang","PW_Lists",5.61964999724287e-58
"36","darkgreen","106230_REACTOME_Metabolism_of_proteins__Reactome_NCBI_Biosystems","PW_Lists",1.97278281245405e-56
"37","darkmagenta","pink_M10_Microglia(Type1)__HumanMeta","Brain",1.09005984276e-55
"38","lightgreen","198870_WikiPathways_Oxidative_phosphorylation__Wiki_Pathways_NCBI_Biosystems","PW_Lists",8.96679766334569e-52
"39","darkmagenta","Substantia Nigra, pars reticulata_localMarker(top200)_IN_Mesencephalon__HBA","HumanBrainRegions",9.06582332376528e-51
"40","darkgreen","530764_REACTOME_Disease__Reactome_NCBI_Biosystems","PW_Lists",2.61941955654e-49
"41","lightgreen","Mitochondria_Foster__MO","Brain",2.20391320072578e-48
"42","lightgreen","6205_mito_inner_membrane_pad_299__Palazzolo_and_Wang","PW_Lists",9.65248688023187e-47
"43","lightgreen","477135_REACTOME_Metabolism__Reactome_NCBI_Biosystems","PW_Lists",2.57022541700716e-45
"44","lightgreen","132956_KEGG_Metabolic_pathways__Kegg_NCBI_Biosystems","PW_Lists",7.93504550329859e-40
"45","darkgreen","105937_REACTOME_Gene_Expression__Reactome_NCBI_Biosystems","PW_Lists",2.06036657143218e-38
"46","darkmagenta","Substantia Nigra, pars reticulata_localMarker(FC>2)_IN_Mesencephalon__HBA","HumanBrainRegions",1.954893909498e-36
"47","darkgreen","105969_REACTOME_Formation_of_the_ternary_complex,_and_subsequently,_the_43S_complex__Reactome_NCBI_Biosystems","PW_Lists",9.65935604891015e-33
"48","lavenderblush3","tan_M12_Hypoxia__CTX","Brain",2.95382846449295e-32
