"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","grey60",0.66887134018406
"2","ENSG00000237683","AL627309.1","grey60",0.643917001143353
"3","ENSG00000268903","RP11-34P13.15","grey60",0.597156314185504
"4","ENSG00000269981","RP11-34P13.16","darkmagenta",0.52368549482699
"5","ENSG00000228463","AP006222.2","brown4",0.463384193798602
"6","ENSG00000241670","AP006222.1","saddlebrown",0.431779036815008
"7","ENSG00000237094","RP4-669L17.10","darkslateblue",0.716501216859467
"8","ENSG00000225972","MTND1P23","darkseagreen4",0.419293475638711
"9","ENSG00000225630","MTND2P28","darkseagreen4",0.440272424519621
"10","ENSG00000237973","hsa-mir-6723","darkseagreen4",0.336129121822515
"11","ENSG00000229344","RP5-857K21.7","darkseagreen4",0.498970987751256
"12","ENSG00000224956","RP11-206L10.1","grey60",0.717593166028742
"13","ENSG00000228327","RP11-206L10.2","darkslateblue",0.568569328549027
"14","ENSG00000225880","LINC00115","darkred",0.682599121798041
"15","ENSG00000228794","RP11-206L10.11","blue",0.813190389485122
"16","ENSG00000188976","NOC2L","ivory",0.927245486428415
"17","ENSG00000187961","KLHL17","midnightblue",0.814877331022656
"18","ENSG00000187642","C1orf170","lightsteelblue1",0.766946517267183
"19","ENSG00000272512","ENSG00000272512","red",0.487059425750239
"20","ENSG00000188290","HES4","lavenderblush3",0.539197491519535
"21","ENSG00000187608","ISG15","palevioletred3",0.673045904587337
"22","ENSG00000188157","AGRN","palevioletred3",0.755560836594073
"23","ENSG00000242590","RP11-54O7.14","palevioletred3",0.721372117676744
"24","ENSG00000131591","C1orf159","darkred",0.708119264904035
"25","ENSG00000186827","TNFRSF4","honeydew1",0.740864882240343
"26","ENSG00000078808","SDF4","midnightblue",0.858504528514013
"27","ENSG00000176022","B3GALT6","midnightblue",0.833979621120442
"28","ENSG00000184163","FAM132A","palevioletred3",0.494230697036684
"29","ENSG00000160087","UBE2J2","midnightblue",0.894028789674698
"30","ENSG00000230415","RP5-902P8.10","skyblue",0.570273048805549
"31","ENSG00000162572","SCNN1D","greenyellow",0.720338600014635
