"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","grey60",TRUE,0.000438,9000,170,115,0.676,0.013,"GO:0043170","BP",1,"macromolecule metabolic process",1,"RBM6,ZNF263,LUC7L,CLK1,ZCCHC8,SCML1,ARHGEF5,ZC3H11A,SFSWAP,THOC1,RFX3,ZNF506,ZNF586,RFX2,ZNF343,MIR3198-2,PNN,DDX5,WSB1,MYH3,DDX55,NKTR,SFPQ,SRSF11,PRPF3,SENP5,SRSF6,ORMDL1,RBM39,ZNF141,SRRM1,RBMX2,PRPF38A,ARGLU1,DMTF1,HNRNPA1,AHI1,CREBZF,NOVA1,ADAMTS17,MTF2,RQCD1,OGT,GNRH1,NR6A1,ZNF547,ZNF773,PAN3,RASA2,ELMSAN1,PAXBP1,DONSON,ZNF222,ZNF761,ZNF333,MAML1,UCN,IL15,TRA2A,MIR7-1,RIMKLB,MIR637,ZNF83,ZNF558,HNRNPH1,ZRSR2,OTUD3,HNRNPA3,ZNF160,ZNF440,NAA16,ZNF417,RBM4,ZNF266,ZBTB34,ZNF354B,ZNF852,ZNF571,ZNF708,IST1,ZNF721,SS18L1,PCGF3,ZNF529,LRRC66,ZNF676,ZNF836,ZNF140,TRAPPC2,ZNF431,ZNF700,ZNF655,ZNF841,ZNF433,ZNF44,ZNF121,ZNF442,ZNF26,ZNF789,MDM4,INPP5B,ZNF814,ZNF551,SMN2,ZNF254,CCNL2,RBM14,NSUN6,NAIP,PTTG2,EID3,ZNF224,CTD-3105H18.14,ZNF595,HIST1H4E",1.48452897992254
"2","grey60",TRUE,1.01e-13,5257,170,100,0.588,0.019,"GO:0010467","BP",1,"gene expression",2,"RBM6,ZNF263,LUC7L,CLK1,ZCCHC8,SCML1,ARHGEF5,ZC3H11A,SFSWAP,THOC1,RFX3,ZNF506,ZNF586,RFX2,ZNF343,MIR3198-2,PNN,DDX5,SFPQ,SRSF11,PRPF3,SRSF6,RBM39,ZNF141,SRRM1,RBMX2,PRPF38A,ARGLU1,DMTF1,HNRNPA1,AHI1,CREBZF,NOVA1,MTF2,RQCD1,OGT,GNRH1,NR6A1,ZNF547,ZNF773,PAN3,ELMSAN1,PAXBP1,ZNF222,ZNF761,ZNF333,MAML1,UCN,TRA2A,MIR7-1,MIR637,ZNF83,ZNF558,HNRNPH1,ZRSR2,HNRNPA3,ZNF160,ZNF440,NAA16,ZNF417,RBM4,ZNF266,ZBTB34,ZNF354B,ZNF852,ZNF571,ZNF708,ZNF721,SS18L1,PCGF3,ZNF529,ZNF676,ZNF836,ZNF140,TRAPPC2,ZNF431,ZNF700,ZNF655,ZNF841,ZNF433,ZNF44,ZNF121,ZNF442,ZNF26,ZNF789,MDM4,INPP5B,ZNF814,ZNF551,SMN2,ZNF254,CCNL2,RBM14,NSUN6,PTTG2,EID3,ZNF224,CTD-3105H18.14,ZNF595,HIST1H4E",2.23716411165379
"3","grey60",TRUE,0.000422,6208,170,89,0.524,0.014,"GO:0009058","BP",1,"biosynthetic process",1,"ZNF263,SCML1,ARHGEF5,ZC3H11A,SFSWAP,THOC1,RFX3,ZNF506,ZNF586,RFX2,ZNF343,MIR3198-2,PNN,DDX5,CHKA,SFPQ,SRSF11,SRSF6,ORMDL1,RBM39,ZNF141,SRRM1,ARGLU1,DMTF1,HNRNPA1,AHI1,CREBZF,MTF2,RQCD1,OGT,NR6A1,ZNF547,ZNF773,ELMSAN1,PAXBP1,DONSON,ZNF222,ZNF761,ZNF333,MAML1,UCN,IL15,MIR7-1,MIR637,ZNF83,ZNF558,ZNF160,ZNF440,NAA16,ZNF417,RBM4,ZNF266,ZBTB34,ZNF354B,ZNF852,ZNF571,ZNF708,ZNF721,SS18L1,PCGF3,ZNF529,ZNF676,ZNF836,ZNF140,TRAPPC2,ZNF431,ZNF700,ZNF655,ZNF841,ZNF433,ZNF44,ZNF121,ZNF442,ZNF26,ZNF789,MDM4,ZNF814,ZNF551,SMN2,ZNF254,CCNL2,RBM14,HBB,PTTG2,EID3,ZNF224,CTD-3105H18.14,ZNF595,HIST1H4E",2.18753292921599
"4","grey60",TRUE,5.76e-08,6866,170,105,0.618,0.015,"GO:0006807","BP",1,"nitrogen compound metabolic process",1,"RBM6,ZNF263,LUC7L,CLK1,ZCCHC8,SCML1,ARHGEF5,ZC3H11A,SFSWAP,THOC1,RFX3,ZNF506,ZNF586,RFX2,ZNF343,MIR3198-2,PNN,DDX5,MYH3,CHKA,DDX55,SFPQ,SRSF11,PRPF3,SRSF6,ORMDL1,RBM39,ZNF141,SRRM1,RBMX2,PRPF38A,ARGLU1,DMTF1,HNRNPA1,AHI1,CREBZF,NOVA1,MTF2,RQCD1,OGT,NR6A1,ZNF547,ZNF773,PAN3,ELMSAN1,PAXBP1,DONSON,ZNF222,ZNF761,ZNF333,MAML1,UCN,IL15,TRA2A,MIR7-1,MIR637,ZNF83,ZNF558,HNRNPH1,ZRSR2,HNRNPA3,ZNF160,ZNF440,NAA16,ZNF417,RBM4,ZNF266,ZBTB34,ZNF354B,ZNF852,ZNF571,ZNF708,ZNF721,SS18L1,PCGF3,ZNF529,ZNF676,ZNF836,ZNF140,TRAPPC2,ZNF431,ZNF700,ZNF655,ZNF841,ZNF433,ZNF44,ZNF121,ZNF442,ZNF26,ZNF789,MDM4,ZNF814,ZNF551,SMN2,ZNF254,CCNL2,RBM14,NSUN6,HBB,PTTG2,EID3,ZNF224,CTD-3105H18.14,ZNF595,HIST1H4E",1.93420756307389
"5","grey60",TRUE,0.000484,6124,170,88,0.518,0.014,"GO:1901576","BP",1,"organic substance biosynthetic process",1,"ZNF263,SCML1,ARHGEF5,ZC3H11A,SFSWAP,THOC1,RFX3,ZNF506,ZNF586,RFX2,ZNF343,MIR3198-2,PNN,DDX5,CHKA,SFPQ,SRSF11,SRSF6,ORMDL1,RBM39,ZNF141,SRRM1,ARGLU1,DMTF1,HNRNPA1,AHI1,CREBZF,MTF2,RQCD1,OGT,NR6A1,ZNF547,ZNF773,ELMSAN1,PAXBP1,DONSON,ZNF222,ZNF761,ZNF333,MAML1,UCN,IL15,MIR7-1,MIR637,ZNF83,ZNF558,ZNF160,ZNF440,NAA16,ZNF417,RBM4,ZNF266,ZBTB34,ZNF354B,ZNF852,ZNF571,ZNF708,ZNF721,SS18L1,PCGF3,ZNF529,ZNF676,ZNF836,ZNF140,TRAPPC2,ZNF431,ZNF700,ZNF655,ZNF841,ZNF433,ZNF44,ZNF121,ZNF442,ZNF26,ZNF789,MDM4,ZNF814,ZNF551,SMN2,ZNF254,CCNL2,RBM14,PTTG2,EID3,ZNF224,CTD-3105H18.14,ZNF595,HIST1H4E",2.20197361337078
"6","grey60",TRUE,4.52e-08,5066,170,87,0.512,0.017,"GO:0009059","BP",1,"macromolecule biosynthetic process",2,"ZNF263,SCML1,ARHGEF5,ZC3H11A,SFSWAP,THOC1,RFX3,ZNF506,ZNF586,RFX2,ZNF343,MIR3198-2,PNN,DDX5,SFPQ,SRSF11,SRSF6,ORMDL1,RBM39,ZNF141,SRRM1,ARGLU1,DMTF1,HNRNPA1,AHI1,CREBZF,MTF2,RQCD1,OGT,NR6A1,ZNF547,ZNF773,ELMSAN1,PAXBP1,DONSON,ZNF222,ZNF761,ZNF333,MAML1,UCN,IL15,MIR7-1,MIR637,ZNF83,ZNF558,ZNF160,ZNF440,NAA16,ZNF417,RBM4,ZNF266,ZBTB34,ZNF354B,ZNF852,ZNF571,ZNF708,ZNF721,SS18L1,PCGF3,ZNF529,ZNF676,ZNF836,ZNF140,TRAPPC2,ZNF431,ZNF700,ZNF655,ZNF841,ZNF433,ZNF44,ZNF121,ZNF442,ZNF26,ZNF789,MDM4,ZNF814,ZNF551,SMN2,ZNF254,CCNL2,RBM14,PTTG2,EID3,ZNF224,CTD-3105H18.14,ZNF595,HIST1H4E",2.38224768092529
"7","grey60",TRUE,1.86e-09,6134,170,101,0.594,0.016,"GO:1901360","BP",1,"organic cyclic compound metabolic process",1,"RBM6,ZNF263,LUC7L,CLK1,ZCCHC8,SCML1,ARHGEF5,ZC3H11A,SFSWAP,THOC1,RFX3,ZNF506,ZNF586,RFX2,ZNF343,MIR3198-2,PNN,DDX5,MYH3,DDX55,SFPQ,SRSF11,PRPF3,SRSF6,RBM39,ZNF141,SRRM1,RBMX2,PRPF38A,ARGLU1,DMTF1,HNRNPA1,AHI1,CREBZF,NOVA1,MTF2,RQCD1,OGT,NR6A1,ZNF547,ZNF773,PAN3,ELMSAN1,PAXBP1,DONSON,ZNF222,ZNF761,ZNF333,MAML1,UCN,TRA2A,MIR7-1,MIR637,ZNF83,ZNF558,HNRNPH1,ZRSR2,HNRNPA3,ZNF160,ZNF440,NAA16,ZNF417,RBM4,ZNF266,ZBTB34,ZNF354B,ZNF852,ZNF571,ZNF708,ZNF721,SS18L1,PCGF3,ZNF529,ZNF676,ZNF836,ZNF140,TRAPPC2,ZNF431,ZNF700,ZNF655,ZNF841,ZNF433,ZNF44,ZNF121,ZNF442,ZNF26,ZNF789,MDM4,ZNF814,ZNF551,SMN2,ZNF254,CCNL2,RBM14,NSUN6,PTTG2,EID3,ZNF224,CTD-3105H18.14,ZNF595,HIST1H4E",2.09634866986716
"8","grey60",TRUE,4.16e-09,4501,170,83,0.488,0.018,"GO:1901362","BP",1,"organic cyclic compound biosynthetic process",2,"ZNF263,SCML1,ARHGEF5,ZC3H11A,SFSWAP,THOC1,RFX3,ZNF506,ZNF586,RFX2,ZNF343,MIR3198-2,PNN,DDX5,SFPQ,SRSF11,SRSF6,RBM39,ZNF141,SRRM1,ARGLU1,DMTF1,HNRNPA1,AHI1,CREBZF,MTF2,RQCD1,OGT,NR6A1,ZNF547,ZNF773,ELMSAN1,PAXBP1,ZNF222,ZNF761,ZNF333,MAML1,UCN,MIR7-1,MIR637,ZNF83,ZNF558,ZNF160,ZNF440,NAA16,ZNF417,ZNF266,ZBTB34,ZNF354B,ZNF852,ZNF571,ZNF708,ZNF721,SS18L1,PCGF3,ZNF529,ZNF676,ZNF836,ZNF140,TRAPPC2,ZNF431,ZNF700,ZNF655,ZNF841,ZNF433,ZNF44,ZNF121,ZNF442,ZNF26,ZNF789,MDM4,ZNF814,ZNF551,SMN2,ZNF254,CCNL2,RBM14,PTTG2,EID3,ZNF224,CTD-3105H18.14,ZNF595,HIST1H4E",2.57699769597771
"9","grey60",TRUE,0.0326,10105,170,119,0.7,0.012,"GO:0044237","BP",1,"cellular metabolic process",1,"RBM6,ZNF263,LUC7L,CLK1,ZCCHC8,SCML1,ARHGEF5,ZC3H11A,SFSWAP,THOC1,RFX3,ZNF506,ZNF586,RFX2,ZNF343,MIR3198-2,PNN,DDX5,WSB1,MYH3,CHKA,DDX55,NKTR,SFPQ,SRSF11,PRPF3,SENP5,SRSF6,GPCPD1,ORMDL1,RBM39,ZNF141,SRRM1,RBMX2,PRPF38A,ARGLU1,DMTF1,HNRNPA1,AHI1,CREBZF,NOVA1,MTF2,RQCD1,OGT,NR6A1,ZNF547,ZNF773,PAN3,RASA2,ELMSAN1,PAXBP1,DONSON,ZNF222,ZNF761,ZNF333,MAML1,UCN,IL15,TRA2A,MIR7-1,RIMKLB,MIR637,ZNF83,ZNF558,HNRNPH1,ZRSR2,OTUD3,HNRNPA3,ZNF160,ZNF440,NAA16,ZNF417,RBM4,ZNF266,UCP3,ZBTB34,ZNF354B,ZNF852,ZNF571,ZNF708,IST1,ZNF721,SS18L1,PCGF3,ZNF529,HBA2,LRRC66,ZNF676,ZNF836,ZNF140,TRAPPC2,ZNF431,ZNF700,ZNF655,ZNF841,ZNF433,ZNF44,ZNF121,ZNF442,ZNF26,ZNF789,MDM4,INPP5B,ZNF814,ZNF551,SMN2,HBA1,ZNF254,CCNL2,RBM14,NSUN6,HBB,NAIP,PTTG2,EID3,ZNF224,CTD-3105H18.14,ZNF595,HIST1H4E",1.33189125738454
"10","grey60",TRUE,5.38e-05,8276,170,111,0.653,0.013,"GO:0044260","BP",1,"cellular macromolecule metabolic process",2,"RBM6,ZNF263,LUC7L,CLK1,ZCCHC8,SCML1,ARHGEF5,ZC3H11A,SFSWAP,THOC1,RFX3,ZNF506,ZNF586,RFX2,ZNF343,MIR3198-2,PNN,DDX5,WSB1,MYH3,DDX55,NKTR,SFPQ,SRSF11,PRPF3,SENP5,SRSF6,RBM39,ZNF141,SRRM1,RBMX2,PRPF38A,ARGLU1,DMTF1,HNRNPA1,AHI1,CREBZF,NOVA1,MTF2,RQCD1,OGT,NR6A1,ZNF547,ZNF773,PAN3,RASA2,ELMSAN1,PAXBP1,DONSON,ZNF222,ZNF761,ZNF333,MAML1,UCN,IL15,TRA2A,MIR7-1,RIMKLB,MIR637,ZNF83,ZNF558,HNRNPH1,ZRSR2,OTUD3,HNRNPA3,ZNF160,ZNF440,NAA16,ZNF417,RBM4,ZNF266,ZBTB34,ZNF354B,ZNF852,ZNF571,ZNF708,IST1,ZNF721,SS18L1,PCGF3,ZNF529,LRRC66,ZNF676,ZNF836,ZNF140,TRAPPC2,ZNF431,ZNF700,ZNF655,ZNF841,ZNF433,ZNF44,ZNF121,ZNF442,ZNF26,ZNF789,MDM4,ZNF814,ZNF551,SMN2,ZNF254,CCNL2,RBM14,NSUN6,NAIP,PTTG2,EID3,ZNF224,CTD-3105H18.14,ZNF595,HIST1H4E",1.62152325167179
