"","lightgreen","midnightblue","darkseagreen4","brown4","maroon","paleturquoise","plum2","palevioletred3","royalblue","darkorange2","darkturquoise","saddlebrown","pink","darkmagenta","lightsteelblue","skyblue2","lightcoral","lightsteelblue1","yellow4","grey60","plum","steelblue","antiquewhite4","yellow","darkolivegreen","brown","darkslateblue","darkorange","black","blue","lightcyan1","red","thistle1","orangered4","mediumorchid","plum1","darkgreen","bisque4","lightyellow","coral2","honeydew1","magenta","lightpink4","darkgrey","darkred","mediumpurple3"
"Astrocytes, highly probable (Cahoy, 2008)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.03195406780052e-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.70230412259868e-41,1,1,1,1,1,1,1,1,1
"Astrocytes module in Cortex",1,1,1,1,1,1,1,1,1,1,0.0106355418666809,1,1,1,1,1,1,1,1,9.68593931749613e-46,1,0.00683883332569128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.35539313514067e-29,1,1,1,1,1,1,1,1,1
"Microglia in Human brain Module (Geschwind, 2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.91935006270439e-21,1,1,1,1,1,1,1,3.60234669799617e-53,1,1
"Microglia (Type2) module in Cortex",1,0.00118074359754174,1,1,1,1,1,1,1,1,1.64749652214071e-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.05248985758317e-14,1,1
"Neuron in Human brain Module (Geschwind,2010)",1,1,1,1,1,1,1,1,1,1.36495116069143e-23,1,1,1,1,1,1,1,1,1,1,1,3.4146156764792e-58,1,1,1,1,1,1,1.57615922290956e-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron module in Cortex",1,1,1,1,1,1,1,1,1,1.8486527692159e-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.14979818008876e-22,7.65727260537543e-10,1,1,1,1,1.94760358002731e-05,1,1,1,1,1,1,1,1,1,3.40165453853858e-05,0.0123318503402569
"Neuron, pyramidal in network from Sugino/Winden",1,1,0.0353983916220753,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.57998700607801e-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Microglia (Type 1) (Geschwind, 2010)",1,2.76860878649711e-92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron, definite (Cahoy, 2008)",1,1,1,1,1,1,1,1,1,1.12825728029159e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.98075248033749e-38,1,1,1,1,1,1,4.82345155074024e-13,1,1,1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocytes in Human brain Module (Geschwind,2010)",1,1,1,0.0205110670717044,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.74642393786772e-14,1,6.05346713826137e-07,6.41316450398591e-167,7.74251482184465e-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
