"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","lightgreen",0.616152548252948
"2","ENSG00000237683","AL627309.1","midnightblue",0.810081467195565
"3","ENSG00000268903","RP11-34P13.15","midnightblue",0.764508394284018
"4","ENSG00000269981","RP11-34P13.16","midnightblue",0.743570289096619
"5","ENSG00000228463","AP006222.2","darkseagreen4",0.608209743621226
"6","ENSG00000241670","AP006222.1","brown4",0.569381205515961
"7","ENSG00000237094","RP4-669L17.10","maroon",0.775835289977634
"8","ENSG00000225972","MTND1P23","paleturquoise",0.183786305682167
"9","ENSG00000225630","MTND2P28","plum2",0.281369508517099
"10","ENSG00000237973","hsa-mir-6723","plum2",0.0841478371217146
"11","ENSG00000229344","RP5-857K21.7","plum2",0.165620752421823
"12","ENSG00000224956","RP11-206L10.1","palevioletred3",0.683024478042038
"13","ENSG00000228327","RP11-206L10.2","royalblue",0.810485702009839
"14","ENSG00000237491","RP11-206L10.9","maroon",0.723888388996108
"15","ENSG00000225880","LINC00115","lightgreen",0.682740645293021
"16","ENSG00000228794","RP11-206L10.11","darkorange2",0.896104458534458
"17","ENSG00000223764","RP11-54O7.3","lightgreen",0.52705054288884
"18","ENSG00000187634","SAMD11","darkturquoise",0.584947903781094
"19","ENSG00000188976","NOC2L","saddlebrown",0.911906671714595
"20","ENSG00000187961","KLHL17","pink",0.646016857897677
"21","ENSG00000272512","ENSG00000272512","plum2",0.492346561290691
"22","ENSG00000188290","HES4","plum2",0.432932179211581
"23","ENSG00000187608","ISG15","darkmagenta",0.42937793438124
"24","ENSG00000188157","AGRN","lightgreen",0.675573046578009
"25","ENSG00000242590","RP11-54O7.14","lightsteelblue",0.597429270506892
"26","ENSG00000217801","RP11-465B22.3","lightsteelblue",0.817425535396397
"27","ENSG00000131591","C1orf159","skyblue2",0.728687972741579
"28","ENSG00000186891","TNFRSF18","lightsteelblue",0.261601245638653
"29","ENSG00000186827","TNFRSF4","lightcoral",0.453755721306112
"30","ENSG00000078808","SDF4","pink",0.844871377025243
"31","ENSG00000176022","B3GALT6","saddlebrown",0.869119958470573
"32","ENSG00000184163","FAM132A","lightsteelblue",0.351982298088796
"33","ENSG00000160087","UBE2J2","saddlebrown",0.857272161313135
"34","ENSG00000230415","RP5-902P8.10","royalblue",0.743938874705747
