"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","lightgreen",TRUE,0.00271,18,78,4,0.051,0.222,"KEGG:00511","keg",1,"Other glycan degradation",1,"MAN2B1,MAN2C1,ENGASE,HEXDC",NA
"2","midnightblue",TRUE,1.38e-56,2387,344,167,0.485,0.07,"GO:0002376","BP",17,"immune system process",1,"ITGAL,SCIN,CD79B,CD4,BTK,TYROBP,WAS,CD74,RUNX3,POU2F2,LCP2,CYBA,CD84,SPI1,FCGR2B,ST6GAL1,STXBP2,APBB1IP,FYB,LAT2,NLRC4,BLNK,TREM2,IL12RB1,MFNG,NCF4,HCK,TNFSF13B,PYCARD,LYL1,LILRA1,RASAL3,EBI3,TGFB1,CD33,JAK3,HAMP,TGFBR1,DOCK8,CTSC,SELPLG,PTPN6,CLEC4A,TRIM38,LY86,CD86,PLEK,NCF2,RAB32,VAMP8,CSF3R,SASH3,NCKAP1L,RUNX2,C3,HCST,RAC2,IRF5,RIPK3,PLVAP,ARPC1B,PRAM1,DOCK2,HAVCR2,LCP1,GPNMB,TLR2,ITGB7,GPR65,ITGAX,IGSF6,NLRC5,IRF8,VAV1,PLA2G7,IL2RG,FCGR1A,IL18,CMTM7,LY96,SAMSN1,SLC7A7,PIK3AP1,VSIG4,NCF1,FCER1G,C1QC,RUNX1,TNFRSF13C,GAB3,ITGB2,TREML1,TAL1,NLRP3,FCGR3B,CTSS,MNDA,RBM47,CCR1,TLR3,SYK,CYBB,FOLR2,C2,PLD4,LAIR1,TMIGD2,CD300A,CCDC88B,CX3CR1,INPP5D,LGALS9,P2RY12,PTAFR,ITGAM,CD14,OSCAR,PTGER4,C3AR1,CLEC7A,MYD88,C1QB,C1QA,TNFRSF10C,TLR10,TLR1,CMKLR1,TBC1D10C,IL17RA,CIITA,HCLS1,CSF1R,MX2,IKZF1,CD300LF,BTN3A2,LILRB4,TLR5,CARD9,HLA-DRB1,TLR7,GZMM,CFD,PLCG2,FCGR1B,CARD11,FCGR3A,MAFB,HLA-DOA,HLA-DMA,PSMB8,HLA-DRA,AIF1,LST1,PSMB10,GPSM3,HLA-DPB1,HLA-DPA1,NFAM1,LILRA4,LILRA2,HLA-DMB,LYN,SIGLEC14,MILR1,CYFIP1,PIK3R6",2.79342981270393
"3","midnightblue",TRUE,0.00293,156,344,14,0.041,0.09,"GO:0002440","BP",17,"production of molecular mediator of immune response",2,"BTK,CD74,POU2F2,TNFSF13B,TGFB1,JAK3,SASH3,TLR2,FCER1G,NLRP3,TLR3,TMIGD2,HLA-DRB1,CARD11",6.47421976279376
"4","midnightblue",TRUE,3.23e-27,713,344,69,0.201,0.097,"GO:0002252","BP",17,"immune effector process",2,"ITGAL,CD4,BTK,TYROBP,WAS,CD74,POU2F2,CD84,STXBP2,APBB1IP,LAT2,IL12RB1,MFNG,HCK,PYCARD,TGFB1,JAK3,CTSC,PTPN6,TRIM38,CD86,VAMP8,SASH3,NCKAP1L,C3,RAC2,IRF5,RIPK3,ARPC1B,PRAM1,DOCK2,HAVCR2,LCP1,ITGAX,NLRC5,VAV1,FCGR1A,IL18,VSIG4,FCER1G,C1QC,NLRP3,TLR3,SYK,C2,CD300A,CX3CR1,INPP5D,LGALS9,PTAFR,PTGER4,C3AR1,CLEC7A,MYD88,C1QB,C1QA,MX2,BTN3A2,CARD9,HLA-DRB1,TLR7,CFD,PLCG2,FCGR3A,HLA-DMB,LYN,MILR1,CYFIP1,PIK3R6",4.69437938580291
"5","midnightblue",TRUE,4.01e-16,332,344,38,0.11,0.114,"GO:0002443","BP",17,"leukocyte mediated immunity",3,"BTK,WAS,CD74,POU2F2,CD84,STXBP2,LAT2,IL12RB1,TGFB1,JAK3,CTSC,PTPN6,VAMP8,SASH3,C3,RAC2,RIPK3,PRAM1,HAVCR2,VAV1,FCER1G,C1QC,NLRP3,TLR3,SYK,C2,CD300A,INPP5D,LGALS9,PTAFR,MYD88,C1QB,C1QA,BTN3A2,HLA-DRB1,LYN,MILR1,PIK3R6",5.8296258076508
"6","midnightblue",TRUE,2.62e-08,78,344,15,0.044,0.192,"GO:0002444","BP",17,"myeloid leukocyte mediated immunity",4,"BTK,CD84,STXBP2,LAT2,VAMP8,C3,RAC2,PRAM1,FCER1G,SYK,CD300A,LGALS9,PTAFR,LYN,MILR1",7.38342663977951
"7","midnightblue",TRUE,1.54e-07,49,344,12,0.035,0.245,"GO:0002448","BP",17,"mast cell mediated immunity",5,"BTK,CD84,STXBP2,LAT2,VAMP8,RAC2,FCER1G,SYK,CD300A,LGALS9,LYN,MILR1",7.99743649978073
"8","midnightblue",TRUE,4.71e-08,262,344,25,0.073,0.095,"GO:0002449","BP",17,"lymphocyte mediated immunity",4,"BTK,WAS,CD74,POU2F2,IL12RB1,TGFB1,CTSC,PTPN6,SASH3,C3,RIPK3,HAVCR2,VAV1,FCER1G,C1QC,NLRP3,C2,INPP5D,LGALS9,MYD88,C1QB,C1QA,BTN3A2,HLA-DRB1,PIK3R6",6.09273661937208
"9","midnightblue",TRUE,4.82e-08,220,344,23,0.067,0.105,"GO:0019882","BP",17,"antigen processing and presentation",2,"WAS,CD74,CYBA,TREM2,NCF4,PYCARD,NCF2,RAB32,FCGR1A,NCF1,FCER1G,CTSS,CYBB,HLA-DRB1,FCGR1B,HLA-DOA,HLA-DMA,PSMB8,HLA-DRA,PSMB10,HLA-DPB1,HLA-DPA1,HLA-DMB",5.72351930165626
"10","midnightblue",TRUE,2.66e-08,175,344,21,0.061,0.12,"GO:0048002","BP",17,"antigen processing and presentation of peptide antigen",3,"CD74,CYBA,TREM2,NCF4,PYCARD,NCF2,FCGR1A,NCF1,FCER1G,CTSS,CYBB,HLA-DRB1,FCGR1B,HLA-DOA,HLA-DMA,PSMB8,HLA-DRA,PSMB10,HLA-DPB1,HLA-DPA1,HLA-DMB",5.8296258076508
