"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","darkred",0.605433827747271
"2","ENSG00000237683","AL627309.1","magenta",0.657324838200758
"3","ENSG00000268903","RP11-34P13.15","magenta",0.626312975787306
"4","ENSG00000269981","RP11-34P13.16","magenta",0.55404869156171
"5","ENSG00000228463","AP006222.2","red",0.502844584766184
"6","ENSG00000241670","AP006222.1","grey60",0.234787822116859
"7","ENSG00000237094","RP4-669L17.10","cyan",0.654891090256076
"8","ENSG00000225972","MTND1P23","yellow",0.0583658072610247
"9","ENSG00000225630","MTND2P28","yellow",0.0821973129069887
"10","ENSG00000237973","hsa-mir-6723","green",0.0524590790350079
"11","ENSG00000229344","RP5-857K21.7","yellow",0.0638409732748266
"12","ENSG00000224956","RP11-206L10.1","black",0.513145821966788
"13","ENSG00000228327","RP11-206L10.2","cyan",0.588450179736502
"14","ENSG00000237491","RP11-206L10.9","red",0.564041325628488
"15","ENSG00000225880","LINC00115","darkred",0.4145182926895
"16","ENSG00000228794","RP11-206L10.11","royalblue",0.893421732668976
"17","ENSG00000223764","RP11-54O7.3","red",0.481946614604785
"18","ENSG00000187634","SAMD11","royalblue",0.662577129408899
"19","ENSG00000188976","NOC2L","darkred",0.89446445856054
"20","ENSG00000187961","KLHL17","saddlebrown",0.733934718557607
"21","ENSG00000272512","ENSG00000272512","midnightblue",0.336181614770069
"22","ENSG00000188290","HES4","royalblue",0.52214534364612
"23","ENSG00000187608","ISG15","darkturquoise",0.575320869093392
"24","ENSG00000188157","AGRN","darkred",0.64839599829276
"25","ENSG00000242590","RP11-54O7.14","darkred",0.58298954218615
"26","ENSG00000217801","RP11-465B22.3","darkgreen",0.687448978585366
"27","ENSG00000131591","C1orf159","red",0.751510821786248
"28","ENSG00000186891","TNFRSF18","royalblue",0.297146448166719
"29","ENSG00000186827","TNFRSF4","midnightblue",0.532443870548395
"30","ENSG00000078808","SDF4","royalblue",0.816366293946954
"31","ENSG00000176022","B3GALT6","royalblue",0.885106800382473
"32","ENSG00000184163","FAM132A","royalblue",0.634367892655246
"33","ENSG00000160087","UBE2J2","royalblue",0.818543325554404
"34","ENSG00000230415","RP5-902P8.10","darkred",0.69339233101015
"35","ENSG00000162572","SCNN1D","red",0.801046658346762
"36","ENSG00000131584","ACAP3","red",0.809367550049757
"37","ENSG00000169972","PUSL1","darkturquoise",0.7487438767654
"38","ENSG00000127054","CPSF3L","red",0.92070706188644
"39","ENSG00000240731","RP5-890O3.9","red",0.755645419091943
"40","ENSG00000224051","GLTPD1","royalblue",0.75130226966338
"41","ENSG00000107404","DVL1","royalblue",0.787915232190701
"42","ENSG00000162576","MXRA8","darkred",0.56750748469573
"43","ENSG00000175756","AURKAIP1","darkturquoise",0.910365974130995
"44","ENSG00000221978","CCNL2","darkred",0.84048416760541
"45","ENSG00000224870","RP4-758J18.2","yellow",0.570822597372951
"46","ENSG00000242485","MRPL20","darkturquoise",0.937568206791463
"47","ENSG00000264293","RN7SL657P","cyan",0.562536977881432
"48","ENSG00000272455","ENSG00000272455","red",0.588415251804509
"49","ENSG00000235098","ANKRD65","lightcyan",0.601993987092597
"50","ENSG00000225905","RP4-758J18.7","yellow",0.615907374576453
"51","ENSG00000205116","TMEM88B","yellow",0.746281471346954
"52","ENSG00000225285","RP4-758J18.10","green",0.479360772692137
"53","ENSG00000179403","VWA1","yellow",0.798047881835466
"54","ENSG00000215915","ATAD3C","yellow",0.466111152064245
"55","ENSG00000160072","ATAD3B","red",0.781859143644474
"56","ENSG00000197785","ATAD3A","royalblue",0.81154538905576
"57","ENSG00000205090","TMEM240","royalblue",0.858574218988675
"58","ENSG00000160075","SSU72","darkturquoise",0.852809923721578
"59","ENSG00000215791","AL645728.2","red",0.578960427878353
"60","ENSG00000215014","AL645728.1","brown",0.613907503696926
"61","ENSG00000228594","C1orf233","darkgreen",0.82358373537026
"62","ENSG00000272106","ENSG00000272106","black",0.874086689612362
"63","ENSG00000197530","MIB2","royalblue",0.87552845851124
"64","ENSG00000248333","CDK11B","darkred",0.718615470866731
"65","ENSG00000272004","ENSG00000272004","darkred",0.450329108168301
"66","ENSG00000189339","SLC35E2B","darkred",0.754267632758342
"67","ENSG00000008128","CDK11A","darkred",0.594052676383665
"68","ENSG00000268575","RP1-283E3.8","darkred",0.599658823864247
"69","ENSG00000227775","RP1-283E3.4","brown",0.647591718802583
"70","ENSG00000215790","SLC35E2","brown",0.742473398619901
"71","ENSG00000008130","NADK","red",0.821483297643395
"72","ENSG00000078369","GNB1","grey60",0.870956661227199
"73","ENSG00000231050","RP1-140A9.1","royalblue",0.528073636046662
"74","ENSG00000169885","CALML6","red",0.629618095948115
"75","ENSG00000178821","TMEM52","green",0.733700972968754
"76","ENSG00000142609","C1orf222","green",0.949277276860674
"77","ENSG00000187730","GABRD","royalblue",0.348139367637146
"78","ENSG00000067606","PRKCZ","grey60",0.85036725852119
"79","ENSG00000271806","ENSG00000271806","royalblue",0.80191578272218
"80","ENSG00000182873","RP11-181G12.2","red",0.880148420731949
