"","pink","midnightblue","greenyellow","lightcyan1","darkolivegreen","magenta","plum2","black","yellow","darkgreen","paleturquoise","bisque4","antiquewhite4","coral1","mediumpurple3","blue","darkmagenta","darkturquoise","brown4","red","white","maroon","darkorange","navajowhite2","lightpink4","tan","brown","orange","darkorange2","turquoise","saddlebrown","lightyellow","violet","salmon4","grey60","cyan","darkred","floralwhite","lightcyan","plum1","salmon","thistle1","green","lightgreen","skyblue3","purple","sienna3","coral2","orangered4","palevioletred3","steelblue","skyblue","thistle2","darkseagreen4","lightsteelblue1","honeydew1","ivory","darkgrey"
"Astrocytes, highly probable (Cahoy, 2008)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Astrocytes module in Cortex",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Microglia in Human brain Module (Geschwind, 2010)",1,1,1,1,1,1,1,1,1,1,5.72332667428226e-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.01690379135793e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000899756479095683,1,1,1,1,1,1,1,1,1,1
"Microglia (Type2) module in Cortex",1,1,1,1,1,1,1,1,1,1,1,2.50995649985397e-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0365650581683084,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron in Human brain Module (Geschwind,2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.50513233921589e-16,1,1,1,2.03614753600312e-07,1,1,1,0.046654498899898,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.51190232328691e-06
"Neuron module in Cortex",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000154326707510695,1,1,0.0241507508317326,1,1,0.0453271928887319,1,1,1,1,1,1,1,1,2.84695194286035e-18
"Neuron, pyramidal in network from Sugino/Winden",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.41605672445398e-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0031368151573444
"Microglia (Type 1) (Geschwind, 2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.7622015321302e-13,1,9.51643978704061e-14,1,1,1,1,1,1,1,1,1,7.95496488487342e-05,1,1,9.94352904588557e-13,1,1,1,1,1
"Neuron, definite (Cahoy, 2008)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocytes in Human brain Module (Geschwind,2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
