"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","pink",0.663854447010766
"2","ENSG00000237683","AL627309.1","midnightblue",0.474217136497406
"3","ENSG00000268903","RP11-34P13.15","midnightblue",0.458081698992888
"4","ENSG00000269981","RP11-34P13.16","midnightblue",0.420580830398536
"5","ENSG00000228463","AP006222.2","greenyellow",0.56785131519214
"6","ENSG00000237094","RP4-669L17.10","lightcyan1",0.600292024951546
"7","ENSG00000225972","MTND1P23","darkolivegreen",0.256132719524687
"8","ENSG00000225630","MTND2P28","magenta",0.399232449638691
"9","ENSG00000237973","hsa-mir-6723","magenta",0.4113101467896
"10","ENSG00000229344","RP5-857K21.7","magenta",0.363789192988206
"11","ENSG00000224956","RP11-206L10.1","greenyellow",0.612925233373603
"12","ENSG00000228327","RP11-206L10.2","lightcyan1",0.704097704299861
"13","ENSG00000237491","RP11-206L10.9","plum2",0.600799074493279
"14","ENSG00000225880","LINC00115","black",0.647968707170104
"15","ENSG00000228794","RP11-206L10.11","magenta",0.510424787334123
"16","ENSG00000223764","RP11-54O7.3","yellow",0.644457952088241
"17","ENSG00000187634","SAMD11","yellow",0.766774841401274
"18","ENSG00000188976","NOC2L","midnightblue",0.752488797514799
"19","ENSG00000187961","KLHL17","darkgreen",0.836091208929523
"20","ENSG00000272512","ENSG00000272512","paleturquoise",0.564465458123044
"21","ENSG00000188290","HES4","paleturquoise",0.766594638527398
"22","ENSG00000187608","ISG15","bisque4",0.84427129240319
"23","ENSG00000188157","AGRN","antiquewhite4",0.646577088877994
"24","ENSG00000242590","RP11-54O7.14","coral1",0.642484407042485
"25","ENSG00000217801","RP11-465B22.3","mediumpurple3",0.762605002168901
"26","ENSG00000131591","C1orf159","darkolivegreen",0.707087865152568
"27","ENSG00000272141","ENSG00000272141","coral1",0.655798695787584
"28","ENSG00000186891","TNFRSF18","paleturquoise",0.631233257518633
"29","ENSG00000186827","TNFRSF4","blue",0.698547402854279
"30","ENSG00000078808","SDF4","darkmagenta",0.669260626867581
"31","ENSG00000176022","B3GALT6","darkmagenta",0.796815589350953
"32","ENSG00000184163","FAM132A","greenyellow",0.53647007068783
"33","ENSG00000260179","RP5-902P8.12","mediumpurple3",0.686740356593115
"34","ENSG00000160087","UBE2J2","darkgreen",0.823262765339862
"35","ENSG00000230415","RP5-902P8.10","darkturquoise",0.731718351055625
"36","ENSG00000162572","SCNN1D","magenta",0.81367264617487
"37","ENSG00000131584","ACAP3","pink",0.687188551824485
"38","ENSG00000169972","PUSL1","darkmagenta",0.70138349794696
