"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"1","brown","central glial substance_localMarker(FC>2)_IN_Myelencephalon__HBA","HumanBrainRegions",5.58400300607229e-177
"2","steelblue","105976_REACTOME_Eukaryotic_Translation_Elongation__Reactome_NCBI_Biosystems","PW_Lists",4.73445116006774e-136
"3","steelblue","413404_KEGG_Ribosome,_eukaryotes__Kegg_NCBI_Biosystems","PW_Lists",6.23650063571621e-134
"4","steelblue","441_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",3.76683431777218e-133
"5","steelblue","83036_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",3.76683431777218e-133
"6","steelblue","105977_REACTOME_Peptide_chain_elongation__Reactome_NCBI_Biosystems","PW_Lists",1.16217618218117e-131
"7","steelblue","105968_REACTOME_Formation_of_a_pool_of_free_40S_subunits__Reactome_NCBI_Biosystems","PW_Lists",1.86883873847023e-127
"8","steelblue","105978_REACTOME_Eukaryotic_Translation_Termination__Reactome_NCBI_Biosystems","PW_Lists",6.58123144153429e-126
"9","steelblue","106077_REACTOME_Viral_mRNA_Translation__Reactome_NCBI_Biosystems","PW_Lists",6.58123144153429e-126
"10","steelblue","198853_WikiPathways_Cytoplasmic_Ribosomal_Proteins__Wiki_Pathways_NCBI_Biosystems","PW_Lists",6.58123144153429e-126
"11","steelblue","366242_REACTOME_Nonsense_Mediated_Decay_Independent_of_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",9.36720574740358e-123
"12","steelblue","160955_REACTOME_L13a-mediated_translational_silencing_of_Ceruloplasmin_expression__Reactome_NCBI_Biosystems","PW_Lists",2.70409131704255e-122
"13","steelblue","105973_REACTOME_GTP_hydrolysis_and_joining_of_the_60S_ribosomal_subunit__Reactome_NCBI_Biosystems","PW_Lists",7.92517937690908e-122
"14","steelblue","105965_REACTOME_Translation__Reactome_NCBI_Biosystems","PW_Lists",1.36135317757355e-119
"15","steelblue","105966_REACTOME_Eukaryotic_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",9.30159096970013e-119
